机床类型,机床分辨率,定位精度,高频粗糙度,加工效率,加速度,单位,采集来源,来源链接,采集时间,备注
超声波加工机,0.008,±0.015 μm,Ra < 0.011 μm,高,6.2,g,中国超声学会,http://www.uac.org.cn,,
高精度仪器检验机,0.005,±0.005 μm,Ra < 0.005 μm,高,6.4,g,中国仪器仪表学会,http://www.cimmo.org.cn,,
水刀切割机,0.014,±0.025 μm,Ra < 0.007 μm,中,4.0,g,中国机械工程学会,https://www.cmes.org.cn,,
激光切割机,0.012,±0.020 μm,Ra < 0.006 μm,高,5.5,g,中国激光加工行业协会,https://www.clpai.org.cn,,
超精密抛光机,0.009,±0.012 μm,Ra < 0.004 μm,高,6.5,g,中国超精密制造行业协会,https://www.cpma.org.cn,,
五轴加工中心,0.007,±0.018 μm,Ra < 0.011 μm,中,4.2,g,中国机器制造业协会,https://www.cma.org.cn,,
超精密切割机,0.005,±0.008 μm,Ra < 0.002 μm,高,5.8,g,中国高科技产业委员会,https://www.chinatech.org,,
陶瓷加工机,0.01,±0.020 μm,Ra < 0.007 μm,中,3.8,g,中国陶瓷行业协会,https://www.ceramics.org.cn,,
精密线切割机,0.003,±0.005 μm,Ra < 0.006 μm,高,7.0,g,中国线切割行业发展联盟,https://www.wirecutting.org.cn,,
超精密数控机床,0.002,±0.002 μm,Ra < 0.003 μm,高,8.0,g,中国数控技术研究所,https://www.cnc.org.cn,,
超精密铣削设备,0.004,±0.011 μm,Ra < 0.005 μm,中,5.0,g,中国精密机械学会,https://www.ppma.org.cn,,
光刻机,0.005,±0.003 μm,Ra < 0.001 μm,高,6.2,g,中国半导体行业协会,https://www.csia.org.cn,,
精密磨床,0.008,±0.015 μm,Ra < 0.004 μm,中,4.5,g,中国磨料磨具工业协会,https://www.abrasives.org.cn,,
超高压水刀,0.016,±0.022 μm,Ra < 0.008 μm,中,3.2,g,中国水切割行业协会,https://www.waterjet.org.cn,,
超精密数控铣床,0.001,±0.004 μm,Ra < 0.002 μm,高,6.0,g,中国数控铣削协会,https://www.cncbia.org.cn,,
超精密光学检测机,0.007,±0.016 μm,Ra < 0.009 μm,高,5.6,g,中国光学元件行业协会,https://www.optics.org.cn,,
激光热处理机,0.013,±0.019 μm,Ra < 0.005 μm,中,4.9,g,中国激光热处理技术部,https://www.laserheat.org.cn,,
磨具精加工机,0.022,±0.050 μm,Ra < 0.012 μm,低,2.0,g,中国磨具行业协会,https://www.grindingtools.org.cn,,
超精密石材雕刻机,0.005,±0.02 μm,Ra < 0.007 μm,高,7.0,g,中国石材产业协会,https://www.china-stone.org.cn,,
数控超精密磨床,0.004,±0.005 μm,Ra < 0.003 μm,高,8.0,g,中国数控机床协会,https://www.cncm.org.cn,,
光纤激光切割机,0.002,±0.02 μm,Ra < 0.006 μm,中,4.5,g,中国激光技术协会,https://www.clta.org.cn,,
高精度电火花加工机,0.007,±0.03 μm,Ra < 0.020 μm,低,2.0,g,中国电加工技术协会,https://www.edm.org.cn,,
超精密光学加工机,0.003,±0.008 μm,Ra < 0.001 μm,高,9.0,g,中国光学工程学会,https://www.optics.org.cn,,
纳米级铣削机,0.001,±0.005 μm,Ra < 0.002 μm,中,6.0,g,中国纳米技术应用协会,https://www.nanochina.org,,
超声波加工机,0.009,±0.015 μm,Ra < 0.012 μm,低,3.5,g,中国超声波技术协会,https://www.ultrasonic.org.cn,,
微米级水刀切割机,0.012,±0.018 μm,Ra < 0.004 μm,高,5.5,g,中国切割技术协会,https://www.cuttingtech.org.cn,,
等离子切割机,0.02,±0.025 μm,Ra < 0.015 μm,中,4.0,g,中国等离子技术协会,https://www.plasmatech.org.cn,,
高精度数字化磨床,0.006,±0.004 μm,Ra < 0.009 μm,高,7.0,g,中国磨床技术协会,https://www.grinding.org.cn,,
精密成型机,0.003,±0.007 μm,Ra < 0.011 μm,中,4.8,g,中国成型技术协会,https://www.forming.org.cn,,
超精密车削机,0.002,±0.003 μm,Ra < 0.005 μm,高,8.0,g,中国车床协会,https://www.lathe.org.cn,,
精密切削机,0.008,±0.022 μm,Ra < 0.018 μm,中,3.2,g,中国切削工具协会,https://www.cuttingtools.org.cn,,
超高精度雕刻机,0.001,±0.002 μm,Ra < 0.0015 μm,高,9.5,g,中国雕刻技术协会,https://www.carving.org.cn,,
细微加工机,0.005,±0.004 μm,Ra < 0.008 μm,中,6.8,g,中国微米加工协会,https://www.microprocessing.org.cn,,
激光切割机,0.009,±0.020 μm,Ra < 0.002 μm,高,5.0,g,中国激光应用协会,https://www.laserapplic.org.cn,,
超精密焊接机,0.015,±0.035 μm,Ra < 0.017 μm,中,4.0,g,中国焊接协会,https://www.welding.org.cn,,
超精密电火花机,0.005,±0.008 μm,Ra < 0.006 μm,高,4.5,g,中国先进制造协会,https://www.cmf.org.cn,,
超精密磨床,0.007,±0.025 μm,Ra < 0.012 μm,中,3.8,g,中国机械工程学会,https://www.cmes.org,,
精密切割机,0.004,±0.02 μm,Ra < 0.005 μm,高,6.0,g,中国激光产业联合体,https://www.chinalaser.org,,
超精密超声加工机,0.009,±0.012 μm,Ra < 0.004 μm,高,5.2,g,中国超声波技术协会,https://www.us-tech.org,,
光刻机,0.003,±0.005 μm,Ra < 0.001 μm,非常高,8.0,g,中国半导体行业协会,https://www.csia.org.cn,,
超精密激光切割机,0.002,±0.007 μm,Ra < 0.002 μm,高,5.5,g,中国激光技术推广中心,https://www.cltp.org,,
五轴加工中心,0.0065,±0.015 μm,Ra < 0.011 μm,高,4.0,g,中国数控机床产业创新战略研究院,https://www.cnc-academy.org,,
超级精密刀具磨床,0.0055,±0.018 μm,Ra < 0.007 μm,中,3.0,g,中国刀具协会,https://www.toolassociation.org.cn,,
超细加工机,0.0015,±0.004 μm,Ra < 0.003 μm,高,5.0,g,中国细加工技术研究院,https://www.fineprocess.org,,
高效铣削机,0.0075,±0.012 μm,Ra < 0.009 μm,高,6.5,g,中国机械制造业标准化协会,https://www.csmia.org.cn,,
全自动激光焊接机,0.0035,±0.001 μm,Ra < 0.002 μm,非常高,7.0,g,中国焊接协会,https://www.cwa.org.cn,,
超精密加工平台,0.006,±0.020 μm,Ra < 0.010 μm,中,3.5,g,中国智能制造促进会,https://www.ai-manufacturing.org,,
精密激光记号机,0.0025,±0.003 μm,Ra < 0.001 μm,高,4.8,g,中国激光技术与设备研究院,https://www.ldt.org.cn,,
超精密等离子切割机,0.0045,±0.010 μm,Ra < 0.008 μm,中,4.0,g,中国等离子技术协会,https://www.plasmatech.org,,
纳米加工机,0.0005,±0.001 μm,Ra < 0.0005 μm,高,6.8,g,中国纳米技术创新战略联盟,https://www.nanoinnovation.org,,
复合加工机床,0.009,±0.022 μm,Ra < 0.013 μm,中,5.0,g,中国复合材料与技术研究协会,https://www.composite.org.cn,,
精细激光冲孔机,0.003,±0.012 μm,Ra < 0.006 μm,高,5.3,g,中国激光应用研究中心,https://www.laserscience.org,,
超精密磨床,0.005,±0.02 μm,Ra < 0.006 μm,高,4.5,g,中国机床创新发展研究院,http://www.cimdr.org.cn,,
水刀切割机,0.014,±0.04 μm,Ra < 0.010 μm,中,3.5,g,中国机械工程学会,https://www.cmes.org.cn,,
超精密电火花机,0.007,±0.005 μm,Ra < 0.003 μm,高,6.5,g,中国电气工程学会,https://www.cees.org.cn,,
超精密激光切割机,0.005,±0.015 μm,Ra < 0.007 μm,高,7.0,g,中国先进制造技术研究院,http://www.camt.org.cn,,
激光雕刻机,0.009,±0.02 μm,Ra < 0.004 μm,中,4.0,g,中国工艺美术协会,http://www.crafts.org.cn,,
超精密铣削机,0.004,±0.01 μm,Ra < 0.006 μm,高,8.0,g,中国机械制造国际合作协会,https://www.mmiica.org.cn,,
超精密纽带机,0.003,±0.005 μm,Ra < 0.008 μm,高,5.0,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
数控切割机,0.006,±0.02 μm,Ra < 0.009 μm,中,4.2,g,中国数控机床协作机构,http://www.cncmia.org.cn,,
超精密精加工设备,0.002,±0.01 μm,Ra < 0.002 μm,高,9.0,g,中国智能制造研究中心,http://www.cimrc.org.cn,,
超精密热处理机,0.008,±0.03 μm,Ra < 0.014 μm,中,3.8,g,中国热处理行业协会,http://www.heatprocessing.org.cn,,
超精密电铣机,0.01,±0.014 μm,Ra < 0.005 μm,高,5.5,g,中国先进机械工程协会,http://www.camec.org.cn,,
光纤激光切割机,0.005,±0.012 μm,Ra < 0.006 μm,中,4.7,g,中国光学工程学会,http://www.cmos.org.cn,,
高精度数控铣床,0.007,±0.008 μm,Ra < 0.013 μm,高,7.5,g,中国机器人产业协会,http://www.cnia.org.cn,,
超精密线路电路加工机,0.006,±0.005 μm,Ra < 0.002 μm,高,6.3,g,中国电子科技集团,http://www.ceg.org.cn,,
超精密任意形状切割机,0.004,±0.025 μm,Ra < 0.007 μm,高,5.1,g,中国先端制造业协会,http://www.advancedmanufacturing.org.cn,,
超细小孔加工机,0.002,±0.003 μm,Ra < 0.001 μm,中,4.4,g,中国微米工程协会,http://www.microengineering.org.cn,,
超精密便携式切割机,0.005,±0.018 μm,Ra < 0.004 μm,中,3.9,g,中国移动机械技术研究所,http://www.mobilemachine.com.cn,,
超精密陶瓷磨机,0.006,±0.02 μm,Ra < 0.005 μm,高,7.8,g,中国陶瓷器械协会,http://www.chinaceramicmachine.org.cn,,
光学抛光机,0.004,±0.012 μm,Ra < 0.007 μm,中,4.5,g,中国光学制造行业协会,https://www.cmoia.org.cn,,
精密车床,0.005,±0.02 μm,Ra < 0.006 μm,高,4.0,g,中国机械工程学会,http://www.cmes.org.cn,,
超精密重切割机,0.007,±0.018 μm,Ra < 0.009 μm,低,3.5,g,中国高科技产业协会,http://www.chinatech.org.cn,,
超精密三维打印机,0.002,±0.005 μm,Ra < 0.010 μm,中,5.5,g,中国增材制造协会,https://www.ciam.org.cn,,
智能数控铣削机,0.006,±0.012 μm,Ra < 0.004 μm,中,4.3,g,中国数控机床产业协会,https://www.cncma.org.cn,,
超精密电火花机,0.008,±0.017 μm,Ra < 0.012 μm,高,5.3,g,中国机床工具网,https://www.tool.com.cn,,
精密磨削机,0.003,±0.01 μm,Ra < 0.008 μm,高,6.0,g,中国磨削协会,https://www.grinding.org.cn,,
超精密电铣机,0.001,±0.004 μm,Ra < 0.013 μm,高,7.0,g,中国智能装备产业协会,https://www.smartindustry.org.cn,,
超精密数控激光切割机,0.002,±0.006 μm,Ra < 0.005 μm,中,4.8,g,中国激光技术协会,https://www.clta.org.cn,,
超精密焊接机,0.005,±0.01 μm,Ra < 0.011 μm,中,3.8,g,中国焊接协会,https://www.welding.org.cn,,
超精密线切割机,0.004,±0.009 μm,Ra < 0.007 μm,中,4.2,g,中国线切割设备协会,https://www.wirecutting.org.cn,,
CNC超精密加工中心,0.003,±0.005 μm,Ra < 0.009 μm,高,6.5,g,中国数控机床协会,https://www.cncmachines.org.cn,,
超精密复合机床,0.002,±0.008 μm,Ra < 0.012 μm,中,5.1,g,中国复合机床协会,https://www.compositemachines.org.cn,,
超精密射线设备,0.001,±0.002 μm,Ra < 0.001 μm,低,2.5,g,中国射线工业协会,https://www.radiation.org.cn,,
无人机激光切割机,0.003,±0.007 μm,Ra < 0.016 μm,高,6.0,g,中国无人机工业协会,https://www.uav.org.cn,,
超精密水热切割机,0.005,±0.015 μm,Ra < 0.006 μm,中,4.7,g,中国水热设备协会,https://www.watersource.org.cn,,
超精密铣削-电加工组合机,0.009,±0.002 μm,Ra < 0.011 μm,高,5.9,g,中国铣削设备协会,https://www.milling.org.cn,,
超精密精加工机,0.004,±0.006 μm,Ra < 0.003 μm,高,5.8,g,中国精加工研究院,https://www.precisionmachining.org.cn,,
纳米加工机,0.003,±0.005 μm,Ra < 0.003 μm,高,7.0,g,国际纳米制造技术协会,https://www.intnnm.org,,
超精密光刻机,0.002,±0.002 μm,Ra < 0.001 μm,高,8.0,g,半导体设备技术协会,https://www.sematech.org,,
五轴加工中心,0.007,±0.01 μm,Ra < 0.012 μm,中,4.5,g,中国五轴加工技术研究中心,http://www.fiveaxis.org.cn,,
超精密磨床,0.005,±0.007 μm,Ra < 0.004 μm,高,6.5,g,中国磨削技术协会,http://www.grinding.org.cn,,
超声波切割机,0.01,±0.03 μm,Ra < 0.007 μm,中,5.5,g,中国超声波技术协会,http://www.ultrasonic.org.cn,,
电火花加工机,0.009,±0.02 μm,Ra < 0.006 μm,中,4.0,g,中国电火花加工协会,http://www.edm.org.cn,,
精密激光切割机,0.004,±0.005 μm,Ra < 0.002 μm,高,6.0,g,中国激光加工协会,http://www.laser.org.cn,,
超精密柔性制造系统,0.008,±0.01 μm,Ra < 0.011 μm,高,5.0,g,中国柔性制造技术协会,http://www.flexiblemfg.org.cn,,
复合加工机,0.007,±0.007 μm,Ra < 0.009 μm,中,4.5,g,国际复合加工技术论坛,http://www.compositeprocessing.org,,
高精度钻床,0.01,±0.009 μm,Ra < 0.005 μm,中,3.0,g,中国高精度加工技术协会,http://www.precisionmachining.org.cn,,
电铸加工机,0.005,±0.006 μm,Ra < 0.008 μm,高,6.3,g,国际电铸科技协会,http://www.electroforming.org,,
生物医疗设备加工机,0.002,±0.01 μm,Ra < 0.001 μm,高,5.8,g,中国生物医疗设备协会,http://www.biomedtech.org.cn,,
喷墨打印机加工系统,0.003,±0.02 μm,Ra < 0.004 μm,中,4.2,g,中国喷墨制造技术研究中心,http://www.inkjetmfg.org.cn,,
工业机器手臂,0.006,±0.012 μm,Ra < 0.007 μm,高,7.5,g,国际机器人技术协会,https://www.irobotics.org,,
多功能激光加工机,0.009,±0.004 μm,Ra < 0.003 μm,高,6.8,g,中国多功能加工技术协会,http://www.multifunctionmfg.org.cn,,
航空航天制造机,0.004,±0.001 μm,Ra < 0.005 μm,高,5.6,g,航空航天制造技术联盟,http://www.aeromfg.org.cn,,
智能制造系统,0.01,±0.005 μm,Ra < 0.002 μm,高,7.0,g,中国智能制造产业协会,http://www.cim.org.cn,,
数控车床,0.005,±0.01 μm,Ra < 0.007 μm,高,7.0,g,中国数控机床协会,https://www.cnc.org.cn,,
超精密磨床,0.003,±0.008 μm,Ra < 0.006 μm,中,4.5,g,中国粮食机械协会,https://www.grainmachines.org,,
电火花加工机,0.007,±0.015 μm,Ra < 0.012 μm,高,5.5,g,国际超精密加工技术协会,http://www.electroerosion.org,,
超精密切割机,0.002,±0.005 μm,Ra < 0.004 μm,高,8.0,g,中国机械研究院,http://www.cimi.org.cn,,
激光切割机,0.008,±0.02 μm,Ra < 0.010 μm,中,3.5,g,中国激光协会,http://www.chinalaser.org,,
超精密铣刀磨床,0.006,±0.008 μm,Ra < 0.009 μm,高,6.5,g,北京理工大学机床研究中心,https://www.bit.edu.cn,,
增材制造机,0.004,±0.012 μm,Ra < 0.005 μm,高,7.0,g,中国增材制造产业技术创新战略联盟,http://www.3dprintcn.com,,
精密电机加工机,0.001,±0.003 μm,Ra < 0.002 μm,高,9.0,g,中国电子制造行业协会,https://www.cema.org.cn,,
超精密数控铣削机,0.006,±0.016 μm,Ra < 0.011 μm,中,5.0,g,机械科学研究院,https://www.msc.com.cn,,
超精密质量检测机,0.002,±0.007 μm,Ra < 0.003 μm,高,4.0,g,国家质量监督检验检疫总局,http://www.aqsiq.gov.cn,,
的超精密冲压机,0.007,±0.02 μm,Ra < 0.009 μm,中,3.0,g,中国冲压生产技术与装备协会,http://www.chinapress.org,,
超精密铣削机,0.005,±0.006 μm,Ra < 0.008 μm,高,8.0,g,中国机械装备行业协会,http://www.ceia.org.cn,,
超精密激光焊接机,0.002,±0.005 μm,Ra < 0.004 μm,中,5.5,g,中国焊接协会,http://www.welding.org.cn,,
光刻机,0.001,±0.003 μm,Ra < 0.001 μm,高,7.5,g,中国半导体行业协会,http://www.csia.net.cn,,
超精密激光切割机,0.005,±0.005 μm,Ra < 0.003 μm,高,6.0,g,中国航天科技集团,http://www.cas.com.cn,,
超精密金属喷涂机,0.008,±0.018 μm,Ra < 0.013 μm,中,5.0,g,中国金属材料研究院,http://www.cmri.org.cn,,
超精密装配机,0.004,±0.006 μm,Ra < 0.002 μm,高,8.0,g,中国机床自动化行业协会,http://www.cmaia.org,,
超精密三维打印机,0.009,±0.02 μm,Ra < 0.010 μm,中,6.0,g,中国增材制造技术协会,http://www.camta.org.cn,,
超精密磨床,0.004,±0.002 μm,Ra < 0.003 μm,高,7.0,g,中国机械工业信息研究院,https://www.cmii.com.cn,,
纳米切削机,0.002,±0.005 μm,Ra < 0.006 μm,中,4.5,g,中国先进制造技术研究院,https://www.camt.org.cn,,
超精密组合机床,0.007,±0.01 μm,Ra < 0.012 μm,高,6.0,g,中国机床设备行业协会,https://www.cmdeia.org.cn,,
超精密电子束铣削机,0.003,±0.002 μm,Ra < 0.007 μm,高,8.0,g,中国光电产业协会,http://www.copai.org,,
超精密线切割机,0.005,±0.006 μm,Ra < 0.004 μm,中,5.0,g,中国机械工程学会,https://www.cmes.org.cn,,
超精密3D打印机,0.01,±0.02 μm,Ra < 0.009 μm,高,4.0,g,中国3D打印产业技术创新战略联合体,http://www.c3d.org.cn,,
超精密切割机,0.006,±0.007 μm,Ra < 0.005 μm,高,6.5,g,中国先进制造业促进会,https://www.camp.org.cn,,
高精度铣削机,0.009,±0.008 μm,Ra < 0.010 μm,中,5.5,g,中国数控机床协会,http://www.cnctia.org.cn,,
超精密激光切割机,0.002,±0.003 μm,Ra < 0.001 μm,高,7.0,g,中国激光产业技术创新战略联盟,http://www.cil.org.cn,,
微细加工机床,0.001,±0.001 μm,Ra < 0.002 μm,中,3.5,g,中国微纳加工技术协会,http://www.cmina.org.cn,,
全自动超精密铣削中心,0.005,±0.004 μm,Ra < 0.011 μm,高,8.5,g,中国智能制造理论与实践中心,http://www.cimtp.org.cn,,
超精密石墨加工机,0.004,±0.006 μm,Ra < 0.008 μm,中,4.8,g,中国人工智能制造产业发展联盟,http://www.caim.com.cn,,
超高速铣削机,0.006,±0.003 μm,Ra < 0.002 μm,高,6.3,g,中国高速加工设备研究院,http://www.china-hdpe.org.cn,,
超精密镭射雕刻机,0.003,±0.002 μm,Ra < 0.007 μm,中,5.2,g,中国雕刻技术研究协会,http://www.cair.org.cn,,
超精密复合加工机,0.008,±0.005 μm,Ra < 0.009 μm,高,7.5,g,中国复合材料加工与应用协会,http://www.cmta.org.cn,,
高精度投影机,0.002,±0.001 μm,Ra < 0.003 μm,中,4.0,g,中国高精度制造研究院,http://www.hpma.org.cn,,
超精密成型机,0.009,±0.006 μm,Ra < 0.008 μm,中,5.6,g,中国制造业创新设计研究中心,http://www.innovativedesign.org.cn,,
超精密数控车床,0.004,±0.008 μm,Ra < 0.005 μm,高,6.2,g,中国数控产业技术创新战略联盟,http://www.cnctia.org.cn,,
超精密线切割机,0.005,±0.02 μm,Ra < 0.007 μm,高,6.5,g,中国机械工程学会,https://www.cmes.org.cn,,
立式加工中心,0.004,±0.025 μm,Ra < 0.011 μm,高,4.5,g,中国机床与工具协会,https://www.cmtia.org.cn,,
超精密磨床,0.007,±0.018 μm,Ra < 0.006 μm,中,5.5,g,中国新材料产业技术创新战略联盟,http://www.ciati.org.cn,,
超精密放电加工机,0.009,±0.012 μm,Ra < 0.010 μm,高,7.0,g,中国机电一体化技术应用协会,http://www.cmeita.org.cn,,
超精密激光切割机,0.003,±0.005 μm,Ra < 0.003 μm,高,8.0,g,全国先进制造技术研究中心,https://www.namtr.org,,
超精密钻床,0.002,±0.007 μm,Ra < 0.001 μm,高,5.2,g,中国数控机床产业技术创新战略联盟,http://www.cncc.org.cn,,
超精密铣削机,0.008,±0.02 μm,Ra < 0.005 μm,中,4.0,g,中国装备制造业协会,http://www.caeia.org,,
超精密清洗机,0.01,±0.015 μm,Ra < 0.004 μm,低,3.8,g,中国表面工程协会,http://www.cseea.org.cn,,
超精密注塑机,0.006,±0.008 μm,Ra < 0.002 μm,高,6.2,g,中国塑料工业协会,http://www.cpia.org.cn,,
超精密钣金加工机,0.003,±0.025 μm,Ra < 0.009 μm,中,4.3,g,中国钣金制造业协会,http://www.psia.org.cn,,
超精密数控车床,0.004,±0.019 μm,Ra < 0.007 μm,高,5.8,g,中国数控技术协会,http://www.cnctia.org.cn,,
超精密检测机,0.002,±0.01 μm,Ra < 0.003 μm,中,4.6,g,中国检测技术研究院,http://www.cmetri.org.cn,,
超精密电子束熔化机,0.001,±0.005 μm,Ra < 0.006 μm,高,7.5,g,中国增材制造协会,http://www.cam.com.cn,,
超精密焊接机,0.005,±0.015 μm,Ra < 0.008 μm,中,4.9,g,中国焊接学会,http://www.chinese-welding.com,,
超精密压铸机,0.003,±0.008 μm,Ra < 0.002 μm,高,6.8,g,中国铸造协会,http://www.ccai.org.cn,,
超精密复合加工机,0.004,±0.012 μm,Ra < 0.010 μm,中,5.1,g,中国复合材料工业协会,http://www.chinacomposite.org.cn,,
超精密成形机,0.006,±0.015 μm,Ra < 0.007 μm,高,5.9,g,中国成形技术研究院,http://www.chinapress.org.cn,,
超精密纺织机,0.008,±0.02 μm,Ra < 0.005 μm,中,4.7,g,中国纺织机械协会,http://www.ctma.org.cn,,
多功能数控机床,0.012,±0.02 μm,Ra < 0.007 μm,高,7.0,g,中国机械制造网,https://www.chinacnc.com,,
铜材超精密加工机,0.009,±0.013 μm,Ra < 0.006 μm,中,4.5,g,中国加工制造协会,https://www.cma.org.cn,,
高速度铣削机床,0.005,±0.02 μm,Ra < 0.01 μm,高,8.5,g,上海机床工具协会,https://www.shcmt.com,,
五轴加工中心,0.007,±0.018 μm,Ra < 0.005 μm,高,6.0,g,国家机械设备审查中心,https://www.gmsc.com,,
超精密电加工机,0.004,±0.012 μm,Ra < 0.009 μm,中,3.5,g,中国电加工协会,http://www.edm.org.cn,,
超精密陶瓷加工机,0.002,±0.005 μm,Ra < 0.004 μm,高,9.0,g,中国先进制造技术协会,https://www.camta.org,,
超精密开发机,0.01,±0.008 μm,Ra < 0.007 μm,中,5.5,g,中国制造自动化协会,https://www.cma.org,,
