机床类型,机床分辨率,单位,定位精度,高频粗糙度,加工效率,加速度,单位.1,采集来源,来源链接,采集时间,备注
CO2激光切割机,0.035,mm,±0.07 mm,Ra 1.5,中,4.0,g,国际切割技术论坛,https://www.cuttingtechforum.org,,
数控等离子切割机,0.1,mm,±0.2 mm,Ra 3.5,中,2.5,g,中国机械工程学会,https://www.cmes.org.cn,,
电火花切割机,0.045,mm,±0.12 mm,Ra 2.7,较低,3.2,g,中国电工技术协会,https://www.cetc.org.cn,,
激光焊接切割机,0.012,mm,±0.018 mm,Ra 1.1,高,7.5,g,中国激光焊接行业协会,https://www.clwia.org.cn,,
超高速切割机,0.005,mm,±0.003 mm,Ra 0.3,极高,12.0,g,中国高端制造协会,https://www.cghmta.org.cn,,
便携式激光切割机,0.03,mm,±0.05 mm,Ra 2.0,中,3.8,g,中国机械贸易协会,https://www.cmtma.org.cn,,
高精度线切割机,0.02,mm,±0.02 mm,Ra 1.4,高,5.5,g,中国工业技术研究院,https://www.citr.org.cn,,
多功能激光切割机,0.025,mm,±0.015 mm,Ra 1.8,高,6.5,g,国际激光技术协会,https://www.ilta.org.cn,,
数控火焰切割机,0.1,mm,±0.4 mm,Ra 4.2,低,1.5,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
激光切割与焊接组合机床,0.02,mm,±0.015 mm,Ra 0.9,高,7.0,g,中国激光技术协会,https://www.clti.org.cn,,
自动化激光切割机,0.018,mm,±0.03 mm,Ra 1.6,中,4.2,g,工业和信息化部,https://www.miit.gov.cn,,
高频激光切割机,0.022,mm,±0.02 mm,Ra 1.7,高,8.0,g,中国科学技术协会,https://www.cast.org.cn,,
数控超声波切割机,0.04,mm,±0.05 mm,Ra 3.0,低,2.0,g,中国超声波技术协会,https://www.china-ust.org.cn,,
脉冲激光切割机,0.03,mm,±0.06 mm,Ra 2.4,中,5.8,g,国际脉冲激光技术协会,https://www.iplta.org,,
小型激光切割机,0.017,mm,±0.014 mm,Ra 1.4,高,3.4,g,中国小型机床协会,https://www.csma.org.cn,,
YAG激光切割机,0.02,mm,±0.02 mm,Ra 1.9,高,6.5,g,湖北省经济和信息化厅,https://www.hubei.gov.cn,,
等离子切割机,0.08,mm,±0.15 mm,Ra 3.8,中,4.0,g,山西省科学技术厅,https://www.sxst.gov.cn,,
光纤激光切割机,0.012,mm,±0.005 mm,Ra 0.7,高,9.0,g,上海市科学技术委员会,https://www.stcsm.gov.cn,,
CO2激光切割机,0.035,mm,±0.07 mm,Ra 2.2,中,5.5,g,广东省工业和信息化厅,https://www.gd.gov.cn,,
电火花切割机,0.06,mm,±0.12 mm,Ra 3.2,较低,2.5,g,沈阳市科学技术局,https://www.shenyang.gov.cn,,
激光水刀切割机,0.007,mm,±0.012 mm,Ra 1.0,高,8.5,g,北京市经济和信息化局,https://www.beijing.gov.cn,,
数控火焰切割机,0.09,mm,±0.20 mm,Ra 4.1,中,3.2,g,浙江省机械工程学会,https://www.zjjs.org.cn,,
YAG激光切割机,0.022,mm,±0.025 mm,Ra 1.8,高,7.5,g,四川省科学技术厅,https://www.sc.gov.cn,,
光纤激光切割机,0.018,mm,±0.02 mm,Ra 0.9,高,6.8,g,河北省科技厅,https://www.heb.gov.cn,,
等离子切割机,0.07,mm,±0.2 mm,Ra 4.0,较低,3.8,g,江西省机械工业协会,https://www.jxji.org.cn,,
激光水刀切割机,0.005,mm,±0.02 mm,Ra 1.5,高,9.2,g,天津市质量技术监督局,https://www.tj.gov.cn,,
CO2激光切割机,0.045,mm,±0.09 mm,Ra 2.5,中,4.4,g,陕西省科学技术厅,https://www.shaanxi.gov.cn,,
数控火焰切割机,0.085,mm,±0.15 mm,Ra 3.7,中,3.6,g,辽宁省科学技术厅,https://www.ln.gov.cn,,
电火花切割机,0.055,mm,±0.11 mm,Ra 3.5,较低,2.7,g,安徽省科技厅,https://www.ah.gov.cn,,
YAG激光切割机,0.028,mm,±0.028 mm,Ra 1.4,高,6.0,g,新疆维吾尔自治区发展和改革委员会,https://www.xjdrc.gov.cn,,
光纤激光切割机,0.014,mm,±0.018 mm,Ra 1.1,高,7.2,g,云南省科技厅,https://www.yn.gov.cn,,
等离子切割机,0.06,mm,±0.18 mm,Ra 3.3,较低,3.1,g,广西壮族自治区科技厅,https://www.gx.gov.cn,,
光纤激光切割机,0.012,mm,±0.02 mm,Ra 1.0,高,6.5,g,中国工业装备协会,https://www.ciea.org.cn,,
电火花切割机,0.045,mm,±0.06 mm,Ra 3.2,中,2.8,g,湖北省机械工业局,https://www.hbji.gov.cn,,
等离子切割机,0.08,mm,±0.4 mm,Ra 4.0,中,2.5,g,中国机械工程学会,https://www.cmes.org.cn,,
YAG激光切割机,0.03,mm,±0.02 mm,Ra 2.0,高,5.2,g,国家级生产力促进中心,https://www.napsc.org.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 2.5,中,4.0,g,广东省科技厅,https://www.gdst.gov.cn,,
激光水刀切割机,0.011,mm,±0.012 mm,Ra 1.8,高,7.2,g,中国水射流技术协会,https://www.wjcta.org.cn,,
光纤激光切割机,0.006,mm,±0.005 mm,Ra 0.5,高,8.0,g,国际激光科技协会,https://www.ilta.org.cn,,
数控火焰切割机,0.09,mm,±0.2 mm,Ra 3.5,中,3.0,g,北京机械行业协会,https://www.bjmha.org.cn,,
YAG激光切割机,0.028,mm,±0.025 mm,Ra 2.3,高,5.5,g,上海市激光产业协会,https://www.slia.org.cn,,
电火花切割机,0.055,mm,±0.15 mm,Ra 3.8,中,3.2,g,中国机械设备管理协会,https://www.cmema.org.cn,,
等离子切割机,0.1,mm,±0.3 mm,Ra 4.3,中,2.8,g,江苏省机械产业协会,https://www.jsmii.org.cn,,
CO2激光切割机,0.02,mm,±0.07 mm,Ra 3.1,中,3.8,g,山东省智能制造协会,https://www.sdimia.org.cn,,
激光水刀切割机,0.014,mm,±0.018 mm,Ra 1.5,高,6.8,g,中国激光行业协会,https://www.clia.org.cn,,
光纤激光切割机,0.004,mm,±0.01 mm,Ra 0.6,高,9.0,g,国家激光技术标准化委员会,https://www.nltc.org.cn,,
数控火焰切割机,0.1,mm,±0.4 mm,Ra 4.1,中,2.2,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
电火花切割机,0.06,mm,±0.2 mm,Ra 3.3,中,3.1,g,国际机床贸易联盟,https://www.ima.org.cn,,
YAG激光切割机,0.02,mm,±0.025 mm,Ra 1.5,高,6.5,g,中国科技部,https://www.most.gov.cn,,
电火花切割机,0.07,mm,±0.2 mm,Ra 3.4,中,4.0,g,国家标准化管理委员会,https://www.sac.gov.cn,,
等离子切割机,0.12,mm,±0.3 mm,Ra 5.0,低,1.5,g,中国机械工业协会,https://www.cmiia.org.cn,,
光纤激光切割机,0.008,mm,±0.005 mm,Ra 0.6,高,8.0,g,国际激光技术学会,https://www.ilta.org.cn,,
激光水刀切割机,0.01,mm,±0.010 mm,Ra 1.0,高,7.5,g,中国现代刀具技术协会,https://www.cmtia.org.cn,,
YAG激光切割机,0.022,mm,±0.028 mm,Ra 1.8,高,5.8,g,中国工程院,https://www.cae.cn,,
数控火焰切割机,0.095,mm,±0.4 mm,Ra 4.2,中,2.5,g,中国机械工程协会,https://www.cmes.org.cn,,
光纤激光切割机,0.013,mm,±0.02,Ra 1.4,高,6.8,g,中国激光应用研究院,https://www.clia.org.cn,,
激光水刀切割机,0.014,mm,±0.015,Ra 1.1,高,5.0,g,国际水射流技术协会,https://www.iwja.org,,
CO2激光切割机,0.045,mm,±0.07 mm,Ra 3.0,中,3.8,g,中国激光器技术协会,https://www.cola.org.cn,,
YAG激光切割机,0.018,mm,±0.02 mm,Ra 2.0,高,6.0,g,中国机电产品进出口商会,https://www.cccme.org.cn,,
电火花切割机,0.065,mm,±0.15 mm,Ra 3.5,中,3.0,g,中国电力设备管理协会,https://www.ceda.org.cn,,
等离子切割机,0.11,mm,±0.3 mm,Ra 4.3,低,2.3,g,中国焊接学会,https://www.cws.org.cn,,
光纤激光切割机,0.007,mm,±0.004 mm,Ra 0.5,高,9.0,g,国际激光业者联合会,https://www.ilmf.org,,
激光水刀切割机,0.012,mm,±0.018,Ra 1.2,高,4.8,g,全国水刀技术研究中心,https://www.nwwj.org.cn,,
CO2激光切割机,0.038,mm,±0.06 mm,Ra 2.6,中,4.1,g,中国科学院,https://www.cas.cn,,
YAG激光切割机,0.015,mm,±0.018 mm,Ra 1.7,高,6.2,g,中国电子技术标准化研究院,https://www.cesi.cn,,
YAG激光切割机,0.02,mm,±0.02 mm,Ra 1.9,高,6.0,g,国际激光协会,https://www.ila.org,,
电火花切割机,0.055,mm,±0.12 mm,Ra 3.2,较低,2.5,g,中国机床工具工业协会,https://www.cmtii.org.cn,,
等离子切割机,0.08,mm,±0.20 mm,Ra 4.2,中,3.5,g,中国工程机械协会,https://www.cmeac.org.cn,,
光纤激光切割机,0.006,mm,±0.008 mm,Ra 0.7,高,8.5,g,国际光电产业协会,https://www.optoindustry.org,,
激光水刀切割机,0.015,mm,±0.01 mm,Ra 1.5,高,9.0,g,中国水射流工程协会,https://www.wjdp.net.cn,,
YAG激光切割机,0.022,mm,±0.025 mm,Ra 2.0,中,4.5,g,中国光学学会,https://www.cos.org.cn,,
数控火焰切割机,0.09,mm,±0.5 mm,Ra 4.3,较低,1.5,g,中国机电工程师学会,https://www.cemes.org.cn,,
光纤激光切割机,0.012,mm,±0.01 mm,Ra 1.0,高,7.5,g,激光技术应用研究院,https://www.laserapp.org,,
激光水刀切割机,0.016,mm,±0.012 mm,Ra 1.6,中,5.0,g,中国切割技术协会,https://www.cutting.org.cn,,
CO2激光切割机,0.045,mm,±0.09 mm,Ra 3.1,中,4.0,g,中国工业经济研究院,https://www.cieri.org.cn,,
YAG激光切割机,0.028,mm,±0.04 mm,Ra 1.7,高,5.5,g,国家技术标准化管理局,https://www.ntsm.gov.cn,,
等离子切割机,0.09,mm,±0.27 mm,Ra 4.4,较低,2.2,g,中国制造业联合会,https://www.cmif.org.cn,,
数控火焰切割机,0.11,mm,±0.35 mm,Ra 4.1,中,2.8,g,国家工业和信息化部,https://www.miit.gov.cn,,
光纤激光切割机,0.007,mm,±0.009 mm,Ra 0.5,高,9.2,g,中国激光技术创新办公室,https://www.clti.org.cn,,
激光水刀切割机,0.014,mm,±0.013 mm,Ra 1.1,高,6.5,g,中国水刀技术发展促进会,https://www.wjdt.org.cn,,
CO2激光切割机,0.038,mm,±0.07 mm,Ra 2.9,中,3.8,g,中国科学技术部,https://www.most.gov.cn,,
YAG激光切割机,0.022,mm,±0.02 mm,Ra 2.0,高,6.0,g,中国激光科技协会,https://www.clta.org.cn,,
电火花切割机,0.06,mm,±0.15 mm,Ra 3.5,中,3.5,g,中国机械工业联合会,https://www.cmif.org.cn,,
等离子切割机,0.08,mm,±0.2 mm,Ra 5.0,较低,2.5,g,中国中小企业协会,https://www.smes.org.cn,,
光纤激光切割机,0.003,mm,±0.005 mm,Ra 0.5,高,9.0,g,中国工程院,https://www.cae.cn,,
激光水刀切割机,0.009,mm,±0.012 mm,Ra 1.0,高,8.5,g,中国水切割技术协会,https://www.wjcta.org.cn,,
CO2激光切割机,0.045,mm,±0.07 mm,Ra 3.0,中,4.0,g,中国科协,https://www.cast.org.cn,,
数控火焰切割机,0.12,mm,±0.35 mm,Ra 4.5,中,1.8,g,中国机械设计制造工程师协会,https://www.cmmie.org.cn,,
激光水刀切割机,0.016,mm,±0.018 mm,Ra 0.6,高,5.8,g,中国科学院,https://www.cas.cn,,
YAG激光切割机,0.028,mm,±0.035 mm,Ra 2.5,高,4.7,g,中国激光产业发展联盟,https://www.clida.org.cn,,
电火花切割机,0.055,mm,±0.11 mm,Ra 3.7,较低,3.3,g,中国机械工程学会,https://www.cmes.org.cn,,
等离子切割机,0.09,mm,±0.2 mm,Ra 4.7,较低,2.3,g,中国机床工具工业协会,https://www.cmtia.org.cn,,
光纤激光切割机,0.007,mm,±0.02 mm,Ra 0.7,高,8.2,g,中国激光技术标准化技术委员会,https://www.clc.org.cn,,
激光水刀切割机,0.013,mm,±0.016 mm,Ra 1.5,高,7.5,g,中国水切割设备经销商协会,https://www.wjda.org.cn,,
CO2激光切割机,0.07,mm,±0.12 mm,Ra 3.2,中,4.5,g,中国机械工业协会,https://www.cma.org.cn,,
数控火焰切割机,0.1,mm,±0.25 mm,Ra 4.8,中,2.0,g,中国工程机械协会,https://www.cma.org.cn,,
光纤激光切割机,0.004,mm,±0.006 mm,Ra 0.4,高,9.5,g,中国激光设备制造商协会,https://www.laserindustry.org.cn,,
电火花切割机,0.06,mm,±0.09 mm,Ra 3.2,中,4.0,g,全国制造业发展研究中心,https://www.nmdrc.org.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 2.5,中,3.8,g,工业和信息化部,https://www.miit.gov.cn,,
光纤激光切割机,0.008,mm,±0.02 mm,Ra 0.9,高,6.5,g,电气工程学会,https://www.ieee.org,,
等离子切割机,0.12,mm,±0.3 mm,Ra 5.0,较低,1.5,g,中国机械制造商协会,https://www.cmma.org.cn,,
YAG激光切割机,0.024,mm,±0.028 mm,Ra 1.8,高,5.2,g,中国激光行业协会,https://www.clia.org.cn,,
激光水刀切割机,0.02,mm,±0.018 mm,Ra 1.5,高,7.5,g,水射流技术研究中心,https://www.wjtc.org.cn,,
数控火焰切割机,0.09,mm,±0.2 mm,Ra 3.5,中,4.2,g,中国机械工程学会,https://www.cmes.org.cn,,
激光水刀切割机,0.015,mm,±0.012 mm,Ra 0.6,高,6.9,g,中国塑料机械研究院,https://www.cplm.org.cn,,
电火花切割机,0.04,mm,±0.07 mm,Ra 2.1,较高,5.6,g,国家技术监督局,https://www.sac.gov.cn,,
光纤激光切割机,0.007,mm,±0.005 mm,Ra 0.7,极高,9.0,g,国际激光市场研究中心,https://www.ilta.org.cn,,
等离子切割机,0.11,mm,±0.28 mm,Ra 4.5,中,2.3,g,中国制造业大会,https://www.cmic.org.cn,,
CO2激光切割机,0.045,mm,±0.06 mm,Ra 2.7,中,3.9,g,中国机电工程学会,https://www.ciem.org.cn,,
YAG激光切割机,0.022,mm,±0.025 mm,Ra 1.1,高,5.1,g,中国智能制造发展论坛,https://www.cimdf.org.cn,,
数控火焰切割机,0.085,mm,±0.15 mm,Ra 3.8,中,3.7,g,中国金属加工协会,https://www.cma.org.cn,,
激光水刀切割机,0.005,mm,±0.01 mm,Ra 0.5,极高,8.2,g,中国高端制造业研究院,https://www.cegmr.org.cn,,
光纤激光切割机,0.012,mm,±0.015 mm,Ra 1.0,高,6.2,g,中国自动化技术协会,https://www.caia.org.cn,,
电火花切割机,0.07,mm,±0.1 mm,Ra 3.3,较低,3.0,g,中国国家科技成果转化中心,https://www.cstc.org.cn,,
激光切割机,0.02,mm,±0.02 mm,Ra 1.5,高,6.5,g,广东省机械工程学会,https://www.gdmes.org.cn,,
等离子切割机,0.08,mm,±0.2 mm,Ra 4.0,中,3.5,g,青岛市机器制造研究院,https://www.qdmmri.cn,,
光纤激光切割机,0.012,mm,±0.02 mm,Ra 1.0,高,8.5,g,浙江省智能制造协会,https://www.zjima.org.cn,,
YAG激光切割机,0.03,mm,±0.025 mm,Ra 1.8,中,5.5,g,北京市激光技术协会,https://www.bjlasers.org.cn,,
CO2激光切割机,0.06,mm,±0.05 mm,Ra 3.5,中,4.0,g,中国光学学会,https://www.cos.org.cn,,
激光水刀切割机,0.02,mm,±0.015 mm,Ra 1.3,高,7.5,g,中国水射流技术协会,https://www.wjcta.org.cn,,
电火花切割机,0.07,mm,±0.12 mm,Ra 3.2,较低,2.5,g,中国机械工程学会,https://www.cmes.org.cn,,
数控火焰切割机,0.1,mm,±0.3 mm,Ra 3.8,中,3.0,g,中国钢铁工业协会,https://www.cisi.org.cn,,
YAG激光切割机,0.025,mm,±0.02 mm,Ra 2.0,高,6.0,g,上海市工业技术研究院,https://www.shttri.cn,,
等离子切割机,0.09,mm,±0.15 mm,Ra 4.1,中,3.8,g,中国电器设备工程有限公司,https://www.cee.com.cn,,
光纤激光切割机,0.005,mm,±0.01 mm,Ra 0.9,高,9.0,g,国际激光产业协会,https://www.ilta.org.cn,,
CO2激光切割机,0.07,mm,±0.04 mm,Ra 2.9,中,4.5,g,中国激光行业协会,https://www.clia.org.cn,,
激光水刀切割机,0.015,mm,±0.02 mm,Ra 0.75,高,5.7,g,沈阳机床科技研究院,https://www.syjmt.org.cn,,
数控火焰切割机,0.1,mm,±0.28 mm,Ra 4.0,中,2.0,g,中国焊接协会,https://www.cwa.org.cn,,
电火花切割机,0.04,mm,±0.05 mm,Ra 3.0,中,3.0,g,中国机械设计协会,https://www.cmda.org.cn,,
激光水刀切割机,0.01,mm,±0.005 mm,Ra 1.1,高,6.5,g,中国水射流技术协会,https://www.wjcta.org.cn,,
等离子切割机,0.085,mm,±0.2 mm,Ra 4.3,中,3.2,g,山西省机械制造协会,https://www.sxmma.org.cn,,
光纤激光切割机,0.03,mm,±0.022 mm,Ra 1.2,高,7.8,g,中国激光产业发展研究中心,https://www.clidrc.org.cn,,
YAG激光切割机,0.03,mm,±0.02 mm,Ra 1.5,高,6.5,g,中国国家科技委员会,https://www.cstec.gov.cn,,
火焰切割机,0.12,mm,±0.3 mm,Ra 3.5,中,2.5,g,中国工业设备研究院,https://www.cier.org.cn,,
电火花切割机,0.07,mm,±0.05 mm,Ra 1.9,较高,4.0,g,中国机械工程师协会,https://www.cmesa.org.cn,,
激光水刀切割机,0.015,mm,±0.01 mm,Ra 0.9,高,8.5,g,国际水刀切割协会,https://www.wjca.org,,
超声波切割机,0.03,mm,±0.02 mm,Ra 1.1,高,5.0,g,中国超声波技术协会,https://www.cust.org.cn,,
等离子切割机,0.08,mm,±0.2 mm,Ra 4.0,中,3.0,g,国家能源局,https://www.nea.gov.cn,,
光纤激光切割机,0.005,mm,±0.01,Ra 0.6,高,7.5,g,中国光电子技术协会,https://www.cleia.org.cn,,
CO2激光切割机,0.06,mm,±0.07 mm,Ra 2.2,中,3.8,g,中国科技协会,https://www.cast.gov.cn,,
数控火焰切割机,0.1,mm,±0.15,Ra 3.8,较高,3.2,g,中国数控机床研究院,https://www.cncmri.org.cn,,
激光水刀切割机,0.02,mm,±0.022 mm,Ra 0.7,高,5.5,g,水刀切割技术研究所,https://www.wjtechinstitute.org.cn,,
YAG激光切割机,0.04,mm,±0.05 mm,Ra 2.0,中,4.8,g,中国机械制造业协会,https://www.cmma.org.cn,,
电火花切割机,0.055,mm,±0.125 mm,Ra 3.2,中,4.2,g,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,,
等离子切割机,0.1,mm,±0.26 mm,Ra 4.3,中,2.8,g,中国电气工程学会,https://www.cees.org.cn,,
光纤激光切割机,0.007,mm,±0.009 mm,Ra 0.5,高,9.0,g,国际激光联合会,https://www.iluf.org,,
CO2激光切割机,0.045,mm,±0.09 mm,Ra 2.5,高,4.1,g,中国化学和物理学会,https://www.aps.org.cn,,
数控火焰切割机,0.09,mm,±0.2 mm,Ra 3.0,中,3.6,g,中国机械工程研究所,https://www.cmri.org.cn,,
YAG激光切割机,0.022,mm,±0.02 mm,Ra 1.9,高,6.5,g,中国航天科技集团,https://www.cast.cn,,
电火花切割机,0.055,mm,±0.12 mm,Ra 2.9,中,3.8,g,中国机械行业协会,https://www.cmh.org.cn,,
等离子切割机,0.09,mm,±0.2 mm,Ra 4.0,高,4.2,g,中国金属加工协会,https://www.cmca.org.cn,,
光纤激光切割机,0.007,mm,±0.015 mm,Ra 1.0,高,8.5,g,光纤激光技术协会,https://www.fiberlaser.org.cn,,
激光水刀切割机,0.012,mm,±0.01 mm,Ra 1.1,高,7.5,g,中国水射流协会,https://www.waterjet.org.cn,,
CO2激光切割机,0.038,mm,±0.06 mm,Ra 2.5,中,4.0,g,中国材料研究学会,https://www.csmr.org.cn,,
数控火焰切割机,0.085,mm,±0.3 mm,Ra 4.2,中,3.2,g,中国机电产品进出口商会,https://www.cccmce.org.cn,,
激光切割机,0.03,mm,±0.025 mm,Ra 1.8,高,6.2,g,中国智能制造系统发展促进会,https://www.cims.org.cn,,
便携式激光切割机,0.04,mm,±0.05 mm,Ra 3.5,中,2.8,g,中国工业协会,https://www.cia.cn,,
激光雕刻机,0.02,mm,±0.02 mm,Ra 1.5,高,5.5,g,中国汽车工程学会,https://www.cae.org.cn,,
光纤激光雕刻机,0.008,mm,±0.012 mm,Ra 1.4,高,9.0,g,中国激光技术发展协会,https://www.cltd.org.cn,,
精密等离子切割机,0.06,mm,±0.15 mm,Ra 3.3,中,2.5,g,中国航天科技研究院,https://www.castari.com,,
复合激光切割机,0.019,mm,±0.018 mm,Ra 1.7,高,6.8,g,中国智能机器人产业协会,https://www.cziro.org.cn,,
电化学切割机,0.05,mm,±0.11 mm,Ra 2.6,中,4.3,g,中国电子学会,https://www.iec.org.cn,,
超声波切割机,0.04,mm,±0.03 mm,Ra 1.5,高,5.2,g,中国机械工程协会,https://www.cmescn.org,,
水刀切割机,0.013,mm,±0.02 mm,Ra 0.9,高,5.8,g,中国水利部,https://www.mwr.gov.cn,,
多功能激光切割机,0.021,mm,±0.017 mm,Ra 1.4,高,8.3,g,国家智能制造标准化技术委员会,https://www.isc.org.cn,,
电火花切割机,0.06,mm,±0.05 mm,Ra 3.5,中,4.0,g,中国电气工业协会,https://www.eia.org.cn,,
激光水刀切割机,0.012,mm,±0.02 mm,Ra 1.0,高,9.0,g,山东省机械行业协会,https://www.sdmachinery.org.cn,,
光纤激光切割机,0.004,mm,±0.005 mm,Ra 0.5,极高,10.0,g,国家光电技术研究中心,https://www.optics.gov.cn,,
YAG激光切割机,0.02,mm,±0.025 mm,Ra 2.0,高,6.5,g,中国激光行业协会,https://www.clia.org.cn,,
CO2激光切割机,0.03,mm,±0.05 mm,Ra 2.5,中,3.2,g,广东省科技厅,https://www.gdst.gov.cn,,
等离子切割机,0.12,mm,±0.3 mm,Ra 5.0,较低,1.5,g,中国先进制造技术研究院,https://www.amtic.ac.cn,,
数控火焰切割机,0.09,mm,±0.2 mm,Ra 3.8,中,4.0,g,中国机械工程协会,https://www.cme.org.cn,,
激光切割机,0.07,mm,±0.08 mm,Ra 2.9,高,5.5,g,中国金属加工协会,https://www.metalworking.org.cn,,
光纤激光切割机,0.001,mm,±0.001 mm,Ra 0.3,极高,12.0,g,International Laser Technology Association,https://www.ilta.org,,
电火花切割机,0.058,mm,±0.045 mm,Ra 3.2,中,4.3,g,机械工业部,https://www.mii.gov.cn,,
数控火焰切割机,0.08,mm,±0.12 mm,Ra 4.1,较低,2.5,g,中国数控设备行业协会,https://www.cnc.org.cn,,
CO2激光切割机,0.045,mm,±0.07 mm,Ra 2.4,中,3.8,g,国家质量监督检验检疫总局,https://www.aqsiq.gov.cn,,
激光水刀切割机,0.02,mm,±0.01 mm,Ra 1.6,高,8.5,g,中国刀具与工件设计协会,https://www.ctia.org.cn,,
等离子切割机,0.11,mm,±0.3 mm,Ra 4.8,较低,2.8,g,中检集团,https://www.cqc.com.cn,,
数控火焰切割机,0.095,mm,±0.15 mm,Ra 3.7,中,4.2,g,中国大陆金属加工技术协会,https://www.amtia.org.cn,,
光纤激光切割机,0.009,mm,±0.02 mm,Ra 0.9,高,7.8,g,高新技术企业协会,https://www.hitec.org.cn,,
激光切割机,0.037,mm,±0.06 mm,Ra 2.6,高,3.9,g,中国工业与信息化部,https://www.miit.gov.cn,,
YAG激光切割机,0.02,mm,±0.02 mm,Ra 1.5,高,6.5,g,中国机床工具工业协会,https://www.cmti.org.cn,,
等离子切割机,0.08,mm,±0.15 mm,Ra 3.8,中,4.0,g,中国工业和信息化部,https://www.miit.gov.cn,,
光纤激光切割机,0.003,mm,±0.005 mm,Ra 0.6,高,9.0,g,世界激光协会,https://www.worldlasersociety.org,,
CO2激光切割机,0.03,mm,±0.06 mm,Ra 2.0,中,4.5,g,中国工业协会,https://www.cia.org.cn,,
电火花切割机,0.045,mm,±0.07 mm,Ra 2.5,较低,3.2,g,国家标准化管理委员会,https://www.sac.gov.cn,,
激光水刀切割机,0.012,mm,±0.018 mm,Ra 1.0,高,8.5,g,中国水切割技术协会,https://www.wjcta.org.cn,,
数控火焰切割机,0.11,mm,±0.35 mm,Ra 4.3,中,2.5,g,中国机械工程学会,https://www.cmes.org.cn,,
YAG激光切割机,0.022,mm,±0.025 mm,Ra 1.8,高,5.5,g,中国科学院,https://www.cas.cn,,
光纤激光切割机,0.01,mm,±0.015 mm,Ra 2.1,高,7.5,g,国际激光技术协会,https://www.ilta.org.cn,,
CO2激光切割机,0.035,mm,±0.05 mm,Ra 2.6,中,3.8,g,中国科协,https://www.cast.org.cn,,
等离子切割机,0.09,mm,±0.2 mm,Ra 4.0,较低,2.8,g,中国机械工业信息研究院,https://www.cmii.org.cn,,
