试验题目（字符型）,登记号（字符型）,可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注,,,,
室内可见光通信可靠性测试,20240104,室内VLC系统,应用研究,进行中,第一阶段,系统测试,华中科技大学,华中科技大学实验室,2024-01-20,2024-02-01,待定,2024-10-12,新申请,武汉光电公司,实验室数据,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
光计算在智能家居中的应用研究,20240105,智能光计算平台,技术研发,完成,第二阶段,产品开发,东南大学,东南大学智能研究院,2024-01-15,2024-01-25,2024-07-30,2024-10-11,改进申请,南京智慧科技有限公司,项目报告,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
可见光通信在车辆间的应用实验,20240106,光通信车联网系统,实验室测试,准备中,第一阶段,基础研究,同济大学,同济大学交通研究所,2024-01-22,待定,待定,待定,初步申请,上海机动车技术有限公司,实验室数据,中国,同济大学官网,https://www.tongji.edu.cn/,2024-10-17,,,,,
城市环境下可见光通信的性能测试,20240107,城市VLC实验平台,系统集成,进行中,第二阶段,技术研究,广东工业大学,广东光通信研究中心,2024-01-18,2024-02-05,待定,2024-10-10,新技术,广州光电科技有限公司,项目数据,中国,广东工业大学官网,https://www.gdut.edu.cn/,2024-10-17,,,,,
具有抗干扰性的光计算平台研究,20240108,抗干扰光计算平台,应用研究,完成,第一阶段,技术开发,西安交通大学,西安光电技术研究所,2024-01-25,2024-02-10,2024-06-15,2024-10-08,技术改进,西安科技有限公司,项目报告,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
可见光通信与大数据结合的研究,20240109,光数据整合平台,应用研究,进行中,第二阶段,技术研究,华南理工大学,华南光通信研究所,2024-01-30,2024-02-20,待定,待定,新申请,广州科技有限公司,实验室数据,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
高效光计算算法的开发与验证,20240110,光计算优化平台,系统开发,完成,第二阶段,产品研发,北京航空航天大学,北航算法研究中心,2024-01-31,2024-02-15,2024-07-01,2024-10-09,技术改进,京航科技有限公司,项目数据,中国,北航官网,https://www.buaa.edu.cn/,2024-10-17,,,,,
跨行业光计算技术应用实验,20240111,光计算跨界平台,多领域应用,准备中,第一阶段,基础研究,四川大学,四川光电研究院,2024-02-01,待定,待定,待定,初步申请,成都科技有限公司,项目数据,中国,四川大学官网,https://www.scu.edu.cn/,2024-10-17,,,,,
可见光网络覆盖率分析,20240104,城市光网络系统,城市规划,进行中,第一阶段,基础研究,复旦大学,复旦大学信息与计算机学院,2024-01-12,2024-01-20,2024-06-20,2024-10-11,新申请,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
光计算效能提升方案研究,20240105,高效光计算平台,技术开发,完成,第二阶段,应用开发,南方科技大学,南方科技大学工程学院,2024-02-15,2024-03-01,2024-08-01,2024-10-10,技术改进,南方光电科技有限公司,研究报告,中国,南方科技大学官网,https://www.sustech.edu.cn/,2024-10-17,,,,,
新型可见光结合技术测试,20240106,融合光通信系统,系统测试,进行中,第一阶段,集成研究,华中科技大学,华中科技大学物理学院,2024-03-05,2024-03-15,2024-12-01,2024-10-09,初步申请,光明科技有限公司,实验室测试数据,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
光通信无线结合系统探索,20240107,无线光网络实验平台,联合实验,准备中,第一阶段,系统集成,电子科技大学,电子科技大学信息工程学院,2024-03-12,待定,待定,待定,初步申请,电子光电技术公司,科研项目数据,中国,电子科技大学官网,https://www.uestc.edu.cn/,2024-10-17,,,,,
光计算智能算法研究,20240108,智能光计算系统,算法开发,进行中,第二阶段,应用研究,浙江大学,浙江大学计算机科学学院,2024-03-15,2024-03-20,2024-11-30,2024-10-05,新技术,浙江科技公司,项目数据分析,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光通信实现精准定位,20240109,定位光通信系统,应用开发,完成,第一阶段,技术开发,新疆大学,新疆大学工程学院,2024-03-20,2024-03-25,2024-09-25,2024-10-08,技术申请,新疆光电技术公司,实验室数据,中国,新疆大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
多用户可见光通信系统实验,20240110,多用户光通信测试平台,系统测试,准备中,第二阶段,应用研究,哈尔滨工业大学,哈尔滨工业大学光电研究所,2024-03-25,待定,待定,待定,初步申请,哈尔滨光电科技有限公司,实验室数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
光计算系统安全性评估,20240111,光计算安全系统,安全评估,进行中,第一阶段,系统测试,华南理工大学,华南理工大学信息科学与工程学院,2024-04-01,2024-04-05,2024-12-20,2024-10-12,新申请,华南光电有限公司,研究报告,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
光计算性能提升研究,20240104,智能光计算网络,技术研究,进行中,第一阶段,初步测试,浙江大学,浙江大学光电实验室,2024-01-12,2024-01-20,2024-03-20,2024-10-10,新申请,光电智控公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光通信网络延迟优化,20240105,VLC低延迟系统,实验室测试,完成,第二阶段,效率测试,南京理工大学,南京理工大学网络中心,2024-01-15,2024-01-25,2024-02-28,2024-03-01,技术评估,南京通信科技有限公司,项目报告,中国,南京理工大学官网,https://www.njust.edu.cn/,2024-10-17,,,,,
光计算系统的安全性分析,20240106,光计算安全平台,系统集成,进行中,第一阶段,安全评估,华中科技大学,华中科技大学网络安全研究所,2024-01-20,2024-01-30,2024-04-15,2024-10-08,新技术,华中光电安全公司,实验室数据,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
可见光和无线融合技术研究,20240107,VLC与WLAN融合平台,应用研究,准备中,第三阶段,集成测试,东南大学,东南大学光网络研究中心,2024-01-25,待定,待定,待定,初步申请,东南光电科技公司,项目数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
高效可见光通信协议开发,20240108,VLC信息传输协议,产品测试,完成,第一阶段,标准制定,中国地质大学,地球物理与光电研究中心,2024-02-01,2024-02-10,2024-03-15,2024-03-16,新申请,中国光电标准研究所,实验室数据,中国,中国地质大学官网,https://www.cug.edu.cn/,2024-10-17,,,,,
未来5G与光计算的结合,20240109,5G-VLC集成系统,综合研究,进行中,第二阶段,前沿研究,清华大学,清华大学未来网络研究院,2024-02-10,2024-02-15,待定,2024-10-10,项目申请,清华光电科技有限公司,实验室门户,中国,清华大学官网,https://www.tsinghua.edu.cn/,2024-10-17,,,,,
室内可见光定位技术探索,20240110,VLC室内定位系统,技术应用,完成,第一阶段,应用研究,哈尔滨工业大学,哈尔滨工业大学智能工程实验室,2024-01-30,2024-02-05,2024-03-05,2024-10-09,技术实现,黑龙江光电科技有限公司,项目报告,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
智能家庭光网络实验,20240111,智能家居VLC系统,系统集成,进行中,第三阶段,用户体验,深圳大学,深圳大学智能家居实验室,2024-02-15,2024-02-20,2024-06-30,2024-10-07,新技术推广,深圳光电科技公司,实验室数据,中国,深圳大学官网,https://www.szu.edu.cn/,2024-10-17,,,,,
可见光通信网络覆盖优化研究,20240104,智能可见光通信网络,网络架构,完成,第一阶段,技术开发,东南大学,东南大学光通信实验室,2024-01-11,2024-01-20,2024-03-15,2024-03-16,验收申请,东南光电科技有限公司,实验室数据,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
基于可见光通信的智能家居系统研究,20240105,智能家居VLC系统,应用研究,进行中,第二阶段,产品设计,浙江大学,浙江大学信息学院,2024-01-12,2024-02-01,待定,2024-10-01,新项目申请,浙江智能科技有限公司,产业调研,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
城市中可见光通信的应用测试,20240106,城市光网络系统,城市规划,准备中,第一阶段,研究调研,华中科技大学,华中科技大学电信学院,2024-01-13,待定,待定,待定,预申请,华中光电有限公司,政策研究,中国,华中科技大学官网,https://www.hust.edu.cn/,2024-10-17,,,,,
基于VLC技术的室内定位系统研究,20240107,室内VLC定位系统,技术开发,进行中,第三阶段,系统开发,南京理工大学,南京理工大学测控技术研究所,2024-01-14,2024-02-04,待定,2024-10-05,申请扩展,南京光电技术有限公司,项目报告,中国,南京理工大学官网,https://www.njust.edu.cn/,2024-10-17,,,,,
光计算在大数据处理中的应用评估,20240108,光计算大数据系统,应用评价,完成,第一阶段,技术评估,天津大学,天津大学计算机学院,2024-01-15,2024-01-25,2024-03-05,2024-03-06,申请备案,天津科技有限公司,实验数据,中国,天津大学官网,https://www.tju.edu.cn/,2024-10-17,,,,,
基于VLC的交通灯智能控制系统开发,20240109,智能交通VLC系统,综合应用,进行中,第二阶段,产品开发,湖北大学,湖北大学光通信中心,2024-01-16,2024-02-10,待定,2024-10-03,新产品申请,湖北交通科技有限公司,市场调查,中国,湖北大学官网,https://www.hubu.edu.cn/,2024-10-17,,,,,
危机响应中的可见光通信研究,20240110,应急通信VLC系统,系统开发,准备中,第一阶段,应用研究,西安交通大学,西安交通大学信息安全研究中心,2024-01-17,待定,待定,待定,初步申请,西安光电技术公司,行业论坛,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
新兴应用下的光计算系统测试,20240111,光计算云平台,云服务,完成,第二阶段,系统测试,南方科技大学,南方科技大学计算机科学与工程学院,2024-01-18,2024-02-15,2024-03-30,2024-03-31,技术申请,南方光电科技有限公司,研究报告,中国,南方科技大学官网,https://www.sustech.edu.cn/,2024-10-17,,,,,
面向智能城市的可见光通信研究,20240104,智能城市VLC系统,应用研究,进行中,第一阶段,基础研究,浙江大学,浙江大学网络与信息中心,2024-01-15,2024-02-05,2024-07-05,2024-10-10,新申请,浙江科技有限公司,项目报告,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
下一代光计算架构测试,20240105,下一代光计算平台,系统开发,准备中,第一阶段,技术开发,华北电力大学,华北电力大学光电研究所,2024-01-20,待定,待定,待定,初步申请,华北光电有限公司,实验室数据,中国,华北电力大学官网,https://www.ncepu.edu.cn/,2024-10-17,,,,,
移动通信中光计算技术应用,20240106,移动光计算系统,应用研究,进行中,第一阶段,技术验证,南方科技大学,南方科技大学光电通信实验室,2024-01-25,2024-02-15,2024-05-15,2024-10-09,新技术,南方光电科技有限公司,技术报告,中国,南方科技大学官网,https://www.sustech.edu.cn/,2024-10-17,,,,,
基于深度学习的光计算优化,20240107,深度优化光计算系统,基础研究,完成,第二阶段,数据分析,哈尔滨工业大学,哈尔滨工业大学光电子研究院,2024-01-30,2024-02-20,2024-08-20,2024-10-12,技术改进,北方光学技术公司,研究报告,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
室内环境下的可见光通信效率评估,20240108,室内可见光网络系统,实验室测试,进行中,第三阶段,性能测试,华南理工大学,华南理工大学电信学院,2024-02-01,2024-02-25,2024-06-30,2024-10-11,改进申请,华南光电技术有限公司,实验室数据,中国,华南理工大学官网,https://www.scut.edu.cn/,2024-10-17,,,,,
新型光计算方法的研究与应用,20240109,新一代光计算框架,开发研究,完成,第二阶段,模型开发,复旦大学,复旦大学数学科学学院,2024-02-05,2024-03-01,2024-12-01,2024-10-08,新技术,复旦科技有限公司,实验室数据,中国,复旦大学官网,https://www.fudan.edu.cn/,2024-10-17,,,,,
可见光通信在新能源汽车中的应用研究,20240110,汽车VLC实验平台,系统集成,准备中,第一阶段,应用研究,西安交通大学,西安交通大学电气工程学院,2024-02-10,待定,待定,待定,初步申请,西安汽车科技公司,实验室数据,中国,西安交通大学官网,https://www.xjtu.edu.cn/,2024-10-17,,,,,
基于光的机器学习模型研究,20240111,光计算机器学习平台,研究平台,进行中,第三阶段,技术开发,东南大学,东南大学计算机科学与工程学院,2024-02-15,2024-03-10,2024-09-10,2024-10-12,新技术,东南光电科技公司,技术研究,中国,东南大学官网,https://www.seu.edu.cn/,2024-10-17,,,,,
多用户可见光通信系统评估,20240104,多用户VLC系统,社交应用研究,进行中,第二阶段,系统测试,浙江大学,浙江大学电子工程学院,2024-02-01,2024-02-10,待定,2024-10-15,新申请,浙江光电技术股份有限公司,实验室数据,中国,浙江大学官网,https://www.zju.edu.cn/,2024-10-17,,,,,
可见光通信在智能城市中的应用研究,20240105,城市智能VLC系统,应用研究,准备中,第一阶段,技术开发,同济大学,同济大学研究中心,2024-02-15,待定,待定,待定,初步申请,上海智能科技有限公司,项目报告,中国,同济大学官网,https://www.tongji.edu.cn/,2024-10-17,,,,,
可见光通信的安全性测试,20240106,安全VLC通信系统,应用研究,完成,第三阶段,基础研究,哈尔滨工业大学,哈尔滨信息技术研究所,2024-01-20,2024-01-25,2024-03-15,2024-10-12,新技术,黑龙江科技有限公司,实验室数据,中国,哈尔滨工业大学官网,https://www.hit.edu.cn/,2024-10-17,,,,,
可见光技术在教育中的应用,20240107,智能教育VLC系统,应用研究,进行中,第一阶段,技术开发,华东师范大学,华东师范大学教育技术研究中心,2024-01-25,2024-02-05,待定,2024-10-14,新申请,教育科技发展有限公司,项目数据,中国,华东师范大学官网,https://www.ecnu.edu.cn/,2024-10-17,,,,,
