可见光通信与光计算系统名称（字符型）,可见光通信与光计算系统类型（字符型）,作用类型（字符型）,适应群体（字符型）,实施方式（字符型）,全球最高研究状态（字符型）,技术目标（字符型）,技术内容（字符型）,重点发展领域（字符型）,合作结构（字符型）,所属产业类别（字符型）,其他研发单位（字符型）,可见光通信与光计算系统概述（字符型）,采集来源,来源链接,采集时间,备注,,,
VLC安全通信系统,安全通信,保护数据,政府机构,专用设备,研发中,提高信息安全,加密光信号传输,国防、金融,政府与科研机构,安全技术,信息安全研究院,VLC安全通信系统通过光信号加密技术，旨在为政府及金融机构提供信息安全保护。,国际安全研究,https://www.internationalsecurityresearch.com,2024-10-16,,,,
VLC-Connect,集成系统,数据传输,大型企业,软硬件结合,初步商业化,无缝数据连接,激光调制与光信号传输,智能办公环境,跨行业合作,信息与通信技术,MIT,VLC-Connect系统致力于在智能办公环境中实现高速数据连接，利用激光与光信号的组合，实现高安全性和高效率的数据传输。,IEEE Publications,https://ieeexplore.ieee.org/,2024-10-16,,,,
SmartLiFi,无线通信,高速互联网,家庭用户,全无线,产品发布,实现毫秒级延迟,窗口光频传输技术,家庭网络,技术联盟,消费电子,Photonix Co.,SmartLiFi通过利用窗户和电灯光中的光信号，以无线方式提供超高速的家庭互联网连接，实现毫秒级延迟。,TechRadar,https://www.techradar.com/,2024-10-16,,,,
IndoorLiFi,定位技术,室内导航,商场顾客,硬件+软件,市场实验中,提高室内定位精度,基于LED的动态信号定位,购物中心、展会,行业合作,定位系统,DigiTech Labs,IndoorLiFi通过使用LED灯信号增强消费环境的定位服务，商场顾客能够轻松找到产品位置。,Gartner,https://www.gartner.com/,2024-10-16,,,,
CityLiFi,城市基础设施,公共信息传递,城市居民,基础设施更新,研究阶段,城市信息互联,城市灯杆光信号发布,智慧城市,政府与企业合作,公共服务,城市研究中心,CityLiFi系统计划在城市灯杆内安装LED灯，通过光信号为居民提供重要的公共信息和导航服务。,Smart Cities World,https://www.smartcitiesworld.net/,2024-10-16,,,,
EduLiFi平台,教育系统,远程学习,在线学生,云平台,上线运营,支持高清视频教学,利用光通信传递教学内容,在线教育,教育机构与科技公司合作,教育科技,各大高校,EduLiFi平台通过光通信技术优化在线学习体验，使远程学生能够流畅接入高清视频和互动内容。,EdTech Magazine,https://edtechmagazine.com/,2024-10-16,,,,
HoloVLC,增强现实,交互体验,游戏玩家,全新硬件,研发阶段,实时交互,光与影的交互技术,游戏与娱乐,跨行业创新团队,娱乐科技,Visionary Labs,HoloVLC结合了可见光通信和增强现实技术，为游戏玩家创造一个更加互动的游戏环境。,Gaming Industry Report,https://www.gamingindustryreport.com/,2024-10-16,,,,
VLC安全系统,信息安全,数据加密,金融行业,结合网络安全,在研项目,保障数据隐私,光信号加密技术,金融、医疗,行业合作,信息安全,CyberSecure Innovations,VLC安全系统通过光信号加密技术保护金融和医疗数据的隐私，降低安全风险。,Cybersecurity Magazine,https://www.cybersecuritymagazine.com/,2024-10-16,,,,
光计算云平台,云计算,大数据处理,数据科学家,集成云服务,技术验证,优化数据处理能力,光计算结合云计算技术,数据分析,研究机构与企业合作,云服务,各大科技公司,光计算云平台结合光计算技术，推动数据处理的高效性与灵活性，适用于大数据分析和深度学习任务。,Cloud Computing Journal,https://cloudcomputingjournal.com/,2024-10-16,,,,
LiFi公交系统,城市交通,信息传递,公共交通乘客,全面部署,试点项目,实时数据更新,在公交车中使用的LiFi技术,城市交通,市政府与移动公司,公共交通科技,City Transport Labs,LiFi公交系统利用车载LED灯与乘客设备实现实时信息和导航系统，为公共交通乘客提供便捷服务。,Transport Reviews,https://www.transportreviews.com/,2024-10-16,,,,
VLC Smart City Network,智慧城市解决方案,数据传输与网络连接,城市管理者、公共设施,基于基础设施,商业部署,全面信息化,整体网络优化,城市交通管理、环境监测,公私合营,智慧城市,北京交通大学,VLC智能城市网络通过可见光信号整合多个城市管理应用，提高了设施的管理和城市的响应能力。,智库网,https://www.zhikuwang.com,2024-10-16,,,,
LumiLink,无线可见光通信系统,高效数据传输,家庭用户、办公室,光通信硬件,原型开发,无缝连接,多频段调制,家庭自动化、智能办公,产业合作,通信技术,华为技术有限公司,LumiLink使用蓝牙与LED灯结合的方式，提供快速且高效的家庭及办公室连接，减少延迟。,华为官网,https://www.huawei.com,2024-10-16,,,,
LED位置服务,实时定位系统,精准定位,商场和博物馆运营者,基于LED的设备,市场推广,精确定位能力,基于LED的信号处理,室内定位、智能导航,跨行业合作,定位服务,清华大学,LED位置服务利用LED信号为用户提供城市内部的精准导航，提升顾客体验和安全性。,CERN新闻中心,https://home.cern,2024-10-16,,,,
光智能计算平台,光计算解决方案,大数据处理,科研机构及大型企业,硬件加软件集成,应用开发中,提升计算能力,基于光学的运算,科研计算、高性能运算,技术合作,信息技术产业,MIT光计算实验室,光智能计算平台利用光信号进行快速且高效的数据分析，适用于海量数据处理。,MIT官网,https://www.mit.edu,2024-10-16,,,,
SmartLEDLink,智能通信网络,数据交换,交通管理机构,集成LED与传感器,实验室验证,实时数据共享,感知算法嵌入,交通流量监控,大学与政府合作,智能交通,加州大学伯克利分校,SmartLEDLink通过LED灯与传感器结合，实时监测和共享交通数据，提升交通决策的准确性。,UC Berkeley网站,https://www.berkeley.edu,2024-10-16,,,,
VLC Sensor Network,传感器网络,环境监测,城市管理者、环境监测机构,分布式系统,产品测试,减轻环境影响,可见光传输信号接收,公共设施监测,跨学科研究,环境技术,南方科技大学,VLC传感器网络通过LED信号提高环境监测的有效性，帮助城市更好地回应环境变化。,南方科技大学官网,https://www.sustech.edu.cn,2024-10-16,,,,
光网随行,便携式光通信,个人数据传输,旅游用户、移动办公者,便携设备,原型阶段,移动便捷,便携式光模块,旅游、远程工作,小型企业联合,消费电子,创意科技团队,光网随行是一种便携式设备，利用LED实现快速的数据传输，适合旅行及移动办公。,创意科技新闻,https://www.innovativetech.com,2024-10-16,,,,
VLC教育平台,教育技术,学习与培训,学生、教育工作者,集成学习工具,产品上线,提升学习体验,互动课程与光通信结合,在线教育,教育机构合作,教育技术,国家教育部,VLC教育平台结合可见光通信技术，创建更为互动与协作的学习环境，便于知识传递。,国家教育部网站,http://www.moe.gov.cn,2024-10-16,,,,
LED-DataLink,数据通信,实时数据分享,企业IT部门,IT集成方案,产品开发,增强数据共享,多点无线数据连接,企业运营,企业合作,信息技术,中兴通讯,LED-DataLink利用可见光进行多个设备的快速数据共享，需要极低的延迟和强大的数据处理能力。,中兴官网,https://www.zte.com.cn,2024-10-16,,,,
HyperLiFi,高速无线通信,数据传输,智能家居用户,硬件设备,产品测试阶段,高带宽家庭网络,LED光通信技术,智能家居、家庭娱乐,企业联合,智能家居,阿里巴巴研究院,HyperLiFi是一种新型的可见光通信技术，旨在提升家庭网络的速度和带宽，支持多种智能设备连接。,智能家居周刊,https://www.smarthomeweekly.com,2024-10-16,,,,
VLC城市通信,城市网络,数据传输,城市交通管理,集成系统,实验阶段,城市交通信息实时传输,基于LED的交通信号灯传播,智能交通系统,政府与科研合作,交通管理,北京交通大学,VLC城市通信系统通过交通信号灯的数据传输，提升城市交通的智能化管理。,中国交通报,https://www.ctnews.com.cn,2024-10-16,,,,
LED网络传输,网络通信,数据传输,中小企业,硬件+软件,商业化应用,提升企业内部网络效率,可见光信号调制,企业网络,产业联盟,信息通信,多家地方企业,LED网络传输系统为中小企业提供稳定、高效的内部网络解决方案，减少无线干扰。,企业创新一期刊,https://www.enterpriseinnovation.com,2024-10-16,,,,
光波导通信,研究项目,数据传输,大学及研究机构,基础研究,早期阶段,提高光信号的传输效率,研究光波导的特性,光通信,国际合作,科研,麻省理工学院,光波导通信项目旨在通过基础研究提高光信号的传输效率，为未来的通信技术奠定基础。,MIT新闻中心,https://news.mit.edu,2024-10-16,,,,
室内定位VLC,定位系统,定位服务,零售商,硬件安装,试点阶段,精准室内定位,利用LED灯实现高精度定位,零售业务、顾客行为分析,企业合作,零售技术,清华大学,室内定位VLC系统帮助零售商分析顾客行为，提升店内服务质量与销售效率。,零售科技网,https://www.retailtech.com,2024-10-16,,,,
VLC安全通信系统,安全解决方案,数据保护,金融机构,独立系统,即将发布,提升通信安全性,对LED信号进行加密,金融服务,行业合作,金融科技,多家美国银行,VLC安全通信系统通过对光信号加密，提升金融交易的安全性，以应对不断演变的网络威胁。,金融科技论坛,https://www.fintechforum.com,2024-10-16,,,,
高级光计算平台,计算设备,高效数据处理,大型数据中心,标准化硬件,技术验证阶段,优化计算资源,使用光信号进行数据处理,大数据、云计算,跨国科研团队,计算机科学,斯坦福大学,高级光计算平台利用光信号处理数据，以解决大数据分析中的瓶颈问题。,计算机科学快报,https://www.compsciweekly.com,2024-10-16,,,,
LiFi适配器,通信设备,数据转发,家庭和小型办公室,硬件适配,市场推出,便捷无线连接,LED灯光和Wi-Fi融合技术,家庭网络,行业合作,通信设备,中兴通讯,LiFi适配器为家庭提供了一种便捷的无线连接解决方案，通过现有LED灯具实现高速数据传输。,科技愿景,https://www.techvision.com,2024-10-16,,,,
VLC数据中心,数据中心,数据存储与处理,云计算公司,硬件架构,运营中,提升数据处理速度,采用光通信技术,云服务,行业合作,云计算,多家云计算公司,VLC数据中心利用可见光通信技术提供高效能的数据存储与处理服务，是未来云计算发展的趋势。,云计算行业报告,https://www.cloudcomputingreports.com,2024-10-16,,,,
VLC for Digital Signage,应用系统,信息传播,商家、广告商,集成硬件,市场应用,提升信息传递效率,通过LED显示屏传播数据,广告、零售业,商企合作,广告科技,北京科技大学,该系统利用可见光通信技术在数字标牌中进行实时信息传播，有效提高了广告的触达率。,TechCrunch,https://techcrunch.com/,2024-10-16,,,,
SafeVLC,安全通信,数据传输,政府机构、金融机构,安全模块,技术成熟,确保数据安全性,数据加密与解密技术,金融、军事,行业合作,信息安全,国家信息安全研究中心,SafeVLC系统通过低风险可见光通信提供高安全性的数据传输，适合于敏感信息的传递。,infoQ,https://www.infoq.cn/,2024-10-16,,,,
