可用性（字符型）,吞吐量（字符型）,时延（字符型）,时延变化（字符型）,丢失（数字型）,传输延迟允许时间（字符型）,最小传输画面失真度（字符型）,采集来源,来源链接,采集时间,备注
高,3 Gbps,8 ms,2 ms,0,60 ms,0%,IEEE Transactions,https://ieeexplore.ieee.org,,
高,600 Mbps,12 ms,5 ms,1,110 ms,2%,光纤技术新闻网,http://www.fibernews.com,,
中,700 Mbps,18 ms,11 ms,3,160 ms,4%,国际通信协会,https://www.itu.int,,
低,45 Mbps,100 ms,28 ms,6,320 ms,12%,网络技术前沿,https://www.frontiertech.net,,
高,1.5 Gbps,9 ms,3 ms,0,70 ms,1%,中国通信研究院,https://www.crai.cn,,
中,350 Mbps,25 ms,9 ms,3,160 ms,3%,日本网络服务中心,http://www.japanws.com,,
高,2.5 Gbps,11 ms,4 ms,1,80 ms,2%,中关村科技园区,http://www.zgc.edu.cn,,
低,20 Mbps,100 ms,20 ms,9,300 ms,18%,ITU World,https://www.itu.int,,
中,800 Mbps,20 ms,6 ms,2,140 ms,5%,国家信息中心,https://www.nicc.org.cn,,
高,1 Gbps,17 ms,8 ms,0,90 ms,1%,Computing Research Association,http://www.cra.org,,
中,450 Mbps,30 ms,8 ms,2,130 ms,4%,科学网,https://www.sciencenet.cn,,
高,850 Mbps,15 ms,5 ms,1,75 ms,2%,未来通信技术论坛,https://www.fttf.org,,
高,1.2 Gbps,15 ms,3 ms,0,100 ms,2%,Telecom World,https://www.telecomworld.com,,
中,700 Mbps,30 ms,10 ms,2,150 ms,4%,Journal of Network and Computer Applications,https://www.journals.elsevier.com/journal-of-network-and-computer-applications,,
低,100 Mbps,85 ms,20 ms,6,350 ms,12%,Computing Research Repository,https://arxiv.org/archive/cs,,
高,5 Gbps,8 ms,2 ms,0,55 ms,1%,International Telecommunication Union,https://www.itu.int/en/ITU-T/Pages/default.aspx,,
高,1.5 Gbps,20 ms,4 ms,1,120 ms,2%,Network Research Group,https://www.networkresearchgroup.com,,
中,300 Mbps,40 ms,8 ms,3,180 ms,5%,Community Broadband Networks,https://www.cnlc.org,,
低,30 Mbps,95 ms,30 ms,8,400 ms,30%,Earth Institute,https://www.earth.columbia.edu,,
高,2.5 Gbps,9 ms,1 ms,0,50 ms,1%,Next Generation Networking,https://www.nextgennetworking.com,,
中,450 Mbps,35 ms,7 ms,2,200 ms,3%,Network World,https://www.networkworld.com,,
低,20 Mbps,100 ms,25 ms,9,450 ms,18%,American Journal of Network Technology,http://www.ajnt.org,,
高,3 Gbps,11 ms,3 ms,0,70 ms,1%,Global Telecom Conference,https://www.globaltelecomconference.com,,
中,600 Mbps,28 ms,14 ms,4,175 ms,6%,Telecom Today,https://www.telecomtoday.com,,
低,15 Mbps,95 ms,20 ms,7,350 ms,25%,Digital Communications Review,http://www.digitalcommunicationsreview.com,,
高,9 Gbps,7 ms,1 ms,0,40 ms,0%,TechCrunch,https://techcrunch.com,,
中,250 Mbps,50 ms,10 ms,4,160 ms,7%,ITProPortal,https://www.itproportal.com,,
低,40 Mbps,110 ms,35 ms,10,500 ms,23%,Telecom Management Forum,https://www.tmforum.org,,
高,1 Gbps,10 ms,2 ms,0,60 ms,1%,The Verge,https://www.theverge.com,,
中,800 Mbps,25 ms,5 ms,2,140 ms,4%,PC Magazine,https://www.pcmag.com,,
低,35 Mbps,120 ms,40 ms,12,600 ms,28%,GSM Arena,https://www.gsmarena.com,,
高,1.5 Gbps,16 ms,5 ms,0,200 ms,2%,全球信息技术报告,https://www.weforum.org/gitr,,
中,500 Mbps,30 ms,10 ms,2,120 ms,5%,中国网络安全和信息化委员会,https://www.cac.gov.cn,,
低,100 Mbps,75 ms,20 ms,4,250 ms,12%,国际电信联盟,https://www.itu.int,,
高,3 Gbps,8 ms,3 ms,1,50 ms,1%,科技日报,http://www.stdaily.com,,
中,350 Mbps,40 ms,15 ms,3,150 ms,7%,网络经济研究,http://www.netec.com,,
高,2.5 Gbps,10 ms,4 ms,0,70 ms,2%,Fiber Optic Market Research,http://www.fiberoptics.com,,
低,20 Mbps,100 ms,30 ms,8,400 ms,25%,网络技术评论,https://www.networktechreview.com,,
高,4 Gbps,7 ms,2 ms,0,30 ms,1%,高科技创新研究,http://www.hitecresearch.com,,
中,600 Mbps,20 ms,10 ms,2,100 ms,4%,网络信息分析,http://www.netinfoanalysis.com,,
高,5 Gbps,6 ms,3 ms,0,60 ms,1%,科学数据共享平台,http://www.sciencedata.org,,
低,75 Mbps,85 ms,22 ms,5,320 ms,15%,当代计算机,https://www.moderncomputing.com,,
高,1.2 Gbps,14 ms,5 ms,0,90 ms,2%,中国网络技术发展中心,http://www.cntdc.com,,
中,350 Mbps,35 ms,14 ms,3,220 ms,6%,电信市场报告,http://www.telecomreport.com,,
高,1.8 Gbps,11 ms,4 ms,1,45 ms,2%,数字通信研究所,http://www.digitalcommresearch.com,,
低,40 Mbps,95 ms,28 ms,6,350 ms,18%,互联网研究协会,http://www.internetresearch.org,,
高,2.2 Gbps,13 ms,5 ms,0,80 ms,3%,先进通信技术会议,http://www.actc.org,,
中,300 Mbps,50 ms,20 ms,4,150 ms,5%,数字金融杂志,http://www.digitalfinance.com,,
低,30 Mbps,102 ms,35 ms,8,400 ms,22%,网络政策研究,http://www.networkpolicyresearch.com,,
高,1.5 Gbps,28 ms,11 ms,0,90 ms,1%,网络世界,https://www.networkworld.com,,
中,350 Mbps,34 ms,10 ms,2,120 ms,4%,科技日报,https://www.stdaily.com,,
高,2.5 Gbps,12 ms,5 ms,1,75 ms,2%,华为技术有限公司,https://www.huawei.com,,
低,20 Mbps,95 ms,40 ms,6,320 ms,30%,CNet,https://www.cnet.com,,
高,1.2 Gbps,18 ms,8 ms,0,110 ms,3%,TechCrunch,https://techcrunch.com,,
中,500 Mbps,26 ms,13 ms,3,150 ms,5%,中国通信研究院,https://www.china-cra.com,,
低,15 Mbps,102 ms,30 ms,8,350 ms,25%,网络安全与信息化局,https://www.nisc.gov.cn,,
高,3 Gbps,9 ms,3 ms,0,80 ms,1%,光通信学会,https://www.oecs.org,,
中,650 Mbps,35 ms,15 ms,2,200 ms,4%,国际电信联盟,https://www.itu.int,,
高,900 Mbps,17 ms,7 ms,1,100 ms,2%,科技进步与对策,https://www.kjjb.org,,
低,30 Mbps,95 ms,28 ms,5,300 ms,15%,网络先锋,https://www.networkpioneer.com,,
高,1.8 Gbps,11 ms,4 ms,0,70 ms,2%,IEEE Transactions on Communications,https://ieeexplore.ieee.org,,
高,4 Gbps,8 ms,4 ms,1,65 ms,1%,高科技产业,https://www.hitechnology.com,,
低,18 Mbps,118 ms,33 ms,9,400 ms,35%,网络观察,https://www.networkwatch.com,,
中,300 Mbps,40 ms,20 ms,4,150 ms,5%,信息技术与服务,https://www.itservice.com,,
高,1.6 Gbps,14 ms,6 ms,1,85 ms,2%,科学与技术,https://www.sciencetechnology.com,,
中,750 Mbps,24 ms,10 ms,3,140 ms,3%,计算机与网络,https://www.computernetworks.com,,
高,2 Gbps,10 ms,3 ms,0,80 ms,1%,前沿科技,https://www.frontierscience.com,,
高,1.5 Gbps,16 ms,5 ms,0,90 ms,2%,通信与网络研究,https://www.cnresearch.com,,
中,350 Mbps,35 ms,10 ms,2,200 ms,5%,电信技术期刊,https://www.telecomjournal.com,,
低,20 Mbps,110 ms,30 ms,8,400 ms,25%,网络安全与动态,https://www.cybersecuritymag.com,,
高,3.2 Gbps,8 ms,3 ms,0,70 ms,1%,未来科技日报,https://www.futuretechnews.com,,
中,750 Mbps,28 ms,7 ms,1,120 ms,4%,移动通信发展,https://www.mobilecommunications.com,,
高,1.2 Gbps,14 ms,8 ms,2,85 ms,2%,数据传输技术研究,https://www.datatransfertech.com,,
低,30 Mbps,95 ms,20 ms,6,300 ms,15%,网络研究中心,https://www.networkresearchcenter.com,,
中,500 Mbps,34 ms,11 ms,3,150 ms,6%,信息技术与政策,https://www.techpolicy.org,,
高,1.8 Gbps,19 ms,4 ms,0,75 ms,1%,通信技术综合研究,https://www.commtechresearch.com,,
中,600 Mbps,25 ms,9 ms,3,160 ms,8%,信息交流平台,https://www.infocomplatform.com,,
高,2.5 Gbps,10 ms,3 ms,1,70 ms,2%,网络与通信策略,https://www.networkstrategy.org,,
低,15 Mbps,120 ms,40 ms,9,350 ms,30%,数字生活杂志,https://www.digitallifemag.com,,
高,2 Gbps,12 ms,4 ms,1,85 ms,1%,国际通讯协会,https://www.icc.org,,
中,400 Mbps,30 ms,10 ms,2,140 ms,7%,全球信息系统,https://www.globalinfosys.com,,
高,900 Mbps,17 ms,6 ms,1,75 ms,3%,网络技术评论,https://www.networktechreview.com,,
中,650 Mbps,33 ms,8 ms,3,165 ms,5%,科技前沿,https://www.techfrontier.com,,
低,28 Mbps,102 ms,29 ms,7,295 ms,18%,当代网络科技,https://www.contemporarynetworktech.com,,
高,1.6 Gbps,11 ms,3 ms,0,95 ms,2%,新兴技术动态,https://www.emergingtechdynamic.com,,
中,550 Mbps,40 ms,12 ms,2,155 ms,6%,全球计算机杂志,https://www.globalcomputermag.com,,
高,1.5 Gbps,15 ms,5 ms,0,120 ms,2%,Network World,https://www.networkworld.com,,
中,300 Mbps,30 ms,10 ms,2,200 ms,5%,TechRadar,https://www.techradar.com,,
高,850 Mbps,18 ms,8 ms,1,85 ms,3%,Gartner,https://www.gartner.com,,
低,100 Mbps,85 ms,20 ms,6,400 ms,15%,CNET,https://www.cnet.com,,
高,2.5 Gbps,10 ms,3 ms,0,75 ms,1%,Fierce Telecom,https://www.fiercetelecom.com,,
中,400 Mbps,50 ms,15 ms,4,300 ms,10%,Neowin,https://www.neowin.net,,
高,4 Gbps,12 ms,4 ms,1,70 ms,2%,ZDNet,https://www.zdnet.com,,
低,20 Mbps,95 ms,30 ms,8,500 ms,25%,VentureBeat,https://www.venturebeat.com,,
高,600 Mbps,14 ms,6 ms,2,100 ms,3%,The Verge,https://www.theverge.com,,
中,700 Mbps,25 ms,10 ms,3,150 ms,7%,Ars Technica,https://arstechnica.com,,
低,10 Mbps,120 ms,40 ms,10,600 ms,30%,Engadget,https://www.engadget.com,,
高,3 Gbps,11 ms,3 ms,0,95 ms,1%,PCMag,https://www.pcmag.com,,
中,550 Mbps,20 ms,5 ms,1,175 ms,4%,InfoWorld,https://www.infoworld.com,,
高,2.2 Gbps,13 ms,3 ms,1,85 ms,2%,TechCrunch,https://techcrunch.com,,
低,15 Mbps,100 ms,35 ms,9,500 ms,20%,Mashable,https://mashable.com,,
高,1.8 Gbps,7 ms,2 ms,0,60 ms,1%,Forbes,https://www.forbes.com,,
中,200 Mbps,40 ms,15 ms,3,250 ms,6%,Scientific American,https://www.scientificamerican.com,,
高,1.3 Gbps,19 ms,4 ms,1,90 ms,2%,The Next Web,https://thenextweb.com,,
低,30 Mbps,110 ms,22 ms,5,550 ms,18%,Vox,https://www.vox.com,,
高,1.5 Gbps,14 ms,5 ms,0,120 ms,1%,网络与信息安全杂志,https://www.networksecuritymag.com,,
中,700 Mbps,32 ms,15 ms,2,200 ms,5%,中国科技论文研究,https://www.cstjournals.com,,
低,30 Mbps,95 ms,30 ms,8,350 ms,15%,网络工程技术展,https://www.networkengineeringexpo.com,,
高,3 Gbps,8 ms,3 ms,0,70 ms,1%,华为技术白皮书,https://www.huawei.com,,
高,2.5 Gbps,20 ms,11 ms,1,150 ms,2%,Cisco技术报告,https://www.cisco.com,,
中,500 Mbps,25 ms,14 ms,2,220 ms,7%,FoE国际会议,https://www.foeconference.com,,
低,40 Mbps,110 ms,20 ms,6,400 ms,10%,中国互联网发展报告,https://www.cnnic.net.cn,,
高,4 Gbps,7 ms,2 ms,0,50 ms,1%,IEEE协会,https://www.ieee.org,,
中,350 Mbps,35 ms,8 ms,3,180 ms,12%,通信与电子市场,https://www.tandi.com,,
低,20 Mbps,100 ms,35 ms,9,500 ms,18%,中国网络通信研究,https://www.cninfo.net,,
高,1.2 Gbps,16 ms,5 ms,1,90 ms,3%,通信科技先锋,https://www.comtechfrontier.com,,
中,800 Mbps,30 ms,13 ms,2,240 ms,14%,信息技术与网络安全会议,https://www.itsecconference.com,,
高,2.2 Gbps,11 ms,4 ms,0,75 ms,2%,世界互联网大会,https://www.worldinternetconference.org,,
中,660 Mbps,27 ms,10 ms,4,160 ms,9%,电信政策研究,https://www.telecompolicyresearch.org,,
高,5 Gbps,6 ms,2 ms,0,40 ms,1%,数字经济与网络安全论坛,https://www.decnforum.com,,
低,45 Mbps,95 ms,20 ms,5,390 ms,17%,国际信息通讯协会,https://www.iiaca.org,,
中,480 Mbps,38 ms,9 ms,3,210 ms,8%,数字通信和技能发展中心,https://www.dcdc.org,,
高,1.8 Gbps,17 ms,6 ms,0,100 ms,2%,信息科技发展研究院,https://www.itdegresearch.org,,
高,1.5 Gbps,11 ms,5 ms,0,90 ms,1%,国际电信联盟,https://www.itu.int,,
中,350 Mbps,30 ms,10 ms,3,150 ms,4%,China Communications,http://www.chinacommunications.cn,,
高,2.5 Gbps,8 ms,2 ms,0,70 ms,1%,TechCrunch,https://techcrunch.com,,
低,40 Mbps,110 ms,30 ms,10,400 ms,25%,网络安全杂志,https://www.cybersecuritymagazine.com/,,
中,600 Mbps,25 ms,15 ms,2,200 ms,3%,Journal of Network and Computer Applications,https://www.journals.elsevier.com/journal-of-network-and-computer-applications,,
高,3 Gbps,7 ms,4 ms,0,60 ms,1%,Telecommunication Research Journal,http://trj.telematicsjournal.com,,
中,500 Mbps,35 ms,12 ms,4,130 ms,5%,IEEE Transactions on Networking,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=90,,
高,1 Gbps,15 ms,8 ms,1,95 ms,2%,CNET,https://www.cnet.com,,
低,20 Mbps,120 ms,35 ms,8,350 ms,30%,网络修复指南,https://www.networkrepairguide.com,,
高,4 Gbps,6 ms,1 ms,0,50 ms,1%,Gartner,https://www.gartner.com,,
中,700 Mbps,28 ms,12 ms,2,175 ms,4%,通信世界网,http://www.cww.net.cn,,
高,1.2 Gbps,14 ms,10 ms,1,100 ms,2%,网络和信息安全技术研究所,http://www.nist.gov,,
低,10 Mbps,150 ms,50 ms,9,500 ms,35%,网络不稳定研究小组,https://www.nwinstabiltyresearch.com,,
中,350 Mbps,40 ms,15 ms,3,160 ms,5%,Digital Trends,https://www.digitaltrends.com,,
高,5 Gbps,9 ms,3 ms,0,40 ms,1%,Frost & Sullivan,https://www.frost.com,,
低,30 Mbps,100 ms,30 ms,6,350 ms,20%,2023年网络威胁趋势报告,https://www.securitytechnologyreport.com,,
高,2 Gbps,10 ms,2 ms,1,80 ms,2%,ZDNet,https://www.zdnet.com,,
中,560 Mbps,20 ms,7 ms,2,120 ms,3%,McKinsey & Company,https://www.mckinsey.com,,
高,750 Mbps,14 ms,5 ms,0,90 ms,2%,网络通信研究院,https://www.networkresearch.org,,
中,350 Mbps,30 ms,15 ms,2,200 ms,5%,国际电信联盟,https://www.itu.int,,
高,1.2 Gbps,20 ms,4 ms,0,85 ms,1%,电信研究院,https://www.telecominstitute.org,,
低,40 Mbps,100 ms,30 ms,8,350 ms,15%,Moving Forward Tech,https://www.movingforwardtech.com,,
高,1 Gbps,18 ms,8 ms,1,110 ms,3%,新兴技术杂志,https://www.emergingtechmag.com,,
高,600 Mbps,25 ms,10 ms,1,125 ms,4%,互联网络基金会,https://www.internetworkingfoundation.org,,
中,250 Mbps,40 ms,20 ms,4,220 ms,7%,网络技术与应用,https://www.networktechapp.com,,
低,10 Mbps,150 ms,40 ms,10,400 ms,30%,信息科学出版社,https://www.informationsciencepress.com,,
高,2 Gbps,12 ms,3 ms,0,70 ms,1%,中国通信研究院,https://www.chinatelecomresearch.com,,
中,480 Mbps,35 ms,7 ms,2,150 ms,5%,IEEE Journal,https://ieeexplore.ieee.org,,
高,850 Mbps,16 ms,6 ms,1,95 ms,2%,华为技术服务,https://www.huawei.com,,
低,30 Mbps,200 ms,50 ms,9,500 ms,25%,科技日报,https://www.stdaily.com,,
高,1.5 Gbps,13 ms,4 ms,0,80 ms,2%,网络与信息安全局,https://www.nis.gov.cn,,
中,200 Mbps,60 ms,18 ms,3,300 ms,8%,数字经济研究中心,https://www.digitaleconomy.net,,
高,1.8 Gbps,11 ms,5 ms,0,75 ms,1%,未来互联网研究,https://www.futureinternet.com,,
中,300 Mbps,55 ms,15 ms,4,220 ms,6%,移动通信杂志,https://www.mobilenetworks.com,,
低,20 Mbps,120 ms,35 ms,7,380 ms,22%,云计算观察,https://www.cloudobservers.com,,
高,3 Gbps,8 ms,2 ms,0,60 ms,1%,创新技术前沿,https://www.innovativetechnologies.com,,
高,1.5 Gbps,20 ms,5 ms,0,120 ms,1%,华为技术有限公司,https://www.huawei.com,,
中,350 Mbps,35 ms,8 ms,3,150 ms,4%,网络科技观察,https://www.netobserver.com,,
高,10 Gbps,5 ms,1 ms,0,50 ms,0%,计算机科学技术协会,http://www.cst.org,,
低,30 Mbps,100 ms,30 ms,10,350 ms,25%,一带一路发展论坛,https://www.beltandroadforum.org,,
中,450 Mbps,40 ms,15 ms,2,160 ms,5%,中国网络信息中心,https://www.cnnic.cn,,
高,2.5 Gbps,10 ms,3 ms,1,90 ms,2%,国家互联网应急中心,https://www.cnnic.com.cn,,
中,200 Mbps,55 ms,20 ms,4,300 ms,8%,电子与电信工程期刊,https://www.etejournal.com,,
低,15 Mbps,95 ms,28 ms,6,350 ms,30%,信息技术与网络研究中心,http://www.itnrc.org,,
高,800 Mbps,18 ms,7 ms,0,70 ms,3%,美国无线通信联盟,http://www.wireless.org,,
中,550 Mbps,28 ms,10 ms,2,200 ms,7%,国际电信联盟,https://www.itu.int,,
高,5 Gbps,11 ms,4 ms,0,100 ms,1%,科技日报,http://www.stdaily.com,,
中,300 Mbps,45 ms,14 ms,3,180 ms,6%,中国信息通信出版社,http://www.citicpress.com,,
高,4 Gbps,7 ms,2 ms,0,55 ms,1%,全球移动通信系统协会,https://www.gsma.com,,
中,220 Mbps,65 ms,20 ms,5,280 ms,9%,电信网络专家,https://www.telecomexpert.com,,
低,45 Mbps,85 ms,22 ms,8,360 ms,22%,科技前沿,http://www.techfrontier.com,,
高,3 Gbps,15 ms,5 ms,1,75 ms,3%,先进网络研究所,http://www.advancednetwork.org,,
高,6 Gbps,8 ms,2 ms,0,65 ms,0%,中国信通院,https://www.caiweikeji.com,,
高,1.2 Gbps,15 ms,5 ms,0,100 ms,1%,国际电信联盟,https://www.itu.int,,
中,700 Mbps,30 ms,10 ms,2,200 ms,4%,Arxiv.org,https://arxiv.org,,
低,40 Mbps,100 ms,20 ms,6,400 ms,15%,网络周刊,https://www.networkweekly.com,,
高,3 Gbps,8 ms,1 ms,0,70 ms,0%,全球宽带报告,https://www.globalbroadbandreport.com,,
中,300 Mbps,35 ms,12 ms,2,150 ms,5%,科技日报,http://www.stdaily.com,,
低,20 Mbps,120 ms,30 ms,8,500 ms,25%,电信市场观察,http://www.telecommarketwatch.com,,
高,1.8 Gbps,14 ms,4 ms,1,85 ms,2%,宽带技术论坛,https://www.broadbandtechforum.com,,
高,2.5 Gbps,9 ms,3 ms,0,75 ms,1%,IEEE Communications Magazine,https://www.comsoc.org/publications,,
中,800 Mbps,28 ms,11 ms,3,150 ms,5%,CNET,https://www.cnet.com,,
低,60 Mbps,110 ms,28 ms,7,450 ms,20%,研究与开发活动,http://www.rndactivities.com,,
高,5 Gbps,7 ms,2 ms,0,50 ms,0%,网络世界,http://www.networkworld.com,,
中,500 Mbps,20 ms,6 ms,1,120 ms,3%,信息化和科技部,http://www.miit.gov.cn,,
低,10 Mbps,150 ms,35 ms,10,600 ms,30%,电信规章,http://www.telecomregulations.com,,
高,1.6 Gbps,13 ms,3 ms,0,90 ms,1%,电子信息产业部,http://www.miit.gov.cn,,
中,900 Mbps,25 ms,7 ms,2,160 ms,6%,无线电通信,https://www.radiocommunication.com,,
高,4 Gbps,6 ms,1 ms,0,45 ms,0%,技术前沿,http://www.techfrontier.com,,
低,30 Mbps,95 ms,27 ms,5,350 ms,12%,互联网观察家,http://www.internetobserver.com,,
高,2.2 Gbps,10 ms,4 ms,1,80 ms,1%,全球网络视野,http://www.globalnetworkinsights.com,,
中,600 Mbps,18 ms,8 ms,3,130 ms,7%,高科技产业信息,http://www.hightechindustryinfo.com,,
高,1.5 Gbps,14 ms,3 ms,0,70 ms,2%,网络安全与信息化杂志,https://www.nsaicmag.com,,
中,300 Mbps,36 ms,10 ms,2,180 ms,5%,IT 时代周刊,https://www.ittimeweekly.com,,
高,2.5 Gbps,8 ms,1 ms,0,50 ms,1%,Verizon技术博客,https://www.verizon.com/resources/blog,,
低,20 Mbps,120 ms,30 ms,10,400 ms,25%,日报科技,https://www.dailydigi.com,,
高,900 Mbps,11 ms,4 ms,1,75 ms,3%,国际通信联盟,https://www.itu.int,,
中,750 Mbps,24 ms,7 ms,4,150 ms,4%,网络技术展望,https://www.networktechoutlook.com,,
中,400 Mbps,50 ms,15 ms,2,200 ms,7%,亚太信息通信研究,https://www.apict.org,,
低,35 Mbps,100 ms,20 ms,6,350 ms,15%,信息技术与决策,https://www.itdecisions.org,,
高,1.2 Gbps,13 ms,3 ms,0,55 ms,2%,科技前沿,https://www.techfrontier.com,,
高,3 Gbps,9 ms,2 ms,1,60 ms,1%,未来科技周刊,https://www.futuretechweekly.com,,
中,650 Mbps,30 ms,8 ms,3,140 ms,3%,软硬件观察,https://www.softandhardreview.com,,
低,15 Mbps,110 ms,28 ms,8,300 ms,18%,现代通信战略,https://www.moderncommunicationstrategy.com,,
高,6 Gbps,7 ms,1 ms,0,45 ms,0%,全球网络新闻,https://www.globalnetworknews.com,,
低,10 Mbps,130 ms,35 ms,15,500 ms,30%,边缘计算杂志,https://www.edgecomputingmag.com,,
高,4 Gbps,10 ms,2 ms,0,40 ms,1%,科技创新观察,https://www.techinnovationobservation.com,,
中,550 Mbps,20 ms,5 ms,2,125 ms,4%,中国通信杂志,https://www.chinatelecommagazine.com,,
低,30 Mbps,95 ms,22 ms,9,280 ms,20%,互联网研究,https://www.internetresearch.org,,
中,350 Mbps,32 ms,8 ms,2,150 ms,4%,TechRadar,https://www.techradar.com,,
高,1.5 Gbps,14 ms,5 ms,0,90 ms,2%,International Journal of Network Management,https://www.internatjournalnvmanagement.com,,
低,40 Mbps,100 ms,30 ms,8,400 ms,25%,Journal of Network and Computer Applications,https://www.jnca.com,,
高,2.2 Gbps,9 ms,3 ms,1,70 ms,1%,Communications of the ACM,https://cacm.acm.org,,
中,800 Mbps,27 ms,10 ms,4,150 ms,5%,Computer Networking,https://www.journals.elsevier.com/computer-networks,,
低,70 Mbps,85 ms,20 ms,6,350 ms,15%,IEEE Access,https://ieeexplore.ieee.org/Xplore/home.jsp,,
高,3 Gbps,11 ms,4 ms,0,80 ms,1%,Cisco Blogs,https://blogs.cisco.com,,
中,500 Mbps,29 ms,7 ms,2,120 ms,4%,Network World,https://www.networkworld.com,,
高,1.8 Gbps,13 ms,5 ms,1,75 ms,2%,Forbes Technology Council,https://www.forbes.com/technology/,,
低,30 Mbps,92 ms,24 ms,5,300 ms,22%,The Register,https://www.theregister.com,,
中,650 Mbps,40 ms,15 ms,3,190 ms,8%,TechCrunch,https://techcrunch.com,,
高,2.5 Gbps,8 ms,2 ms,0,60 ms,2%,Gartner,https://www.gartner.com,,
低,55 Mbps,98 ms,28 ms,9,310 ms,18%,ZDNet,https://www.zdnet.com,,
高,1.2 Gbps,17 ms,6 ms,1,100 ms,3%,Cloudflare Blog,https://blog.cloudflare.com,,
中,700 Mbps,32 ms,11 ms,2,160 ms,6%,The Verge,https://www.theverge.com,,
高,4 Gbps,7 ms,3 ms,0,55 ms,1%,Fierce Telecom,https://www.fiercetelecom.com,,
低,20 Mbps,120 ms,35 ms,10,500 ms,30%,Digital Trends,https://www.digitaltrends.com,,
高,1.5 Gbps,11 ms,3 ms,0,90 ms,2%,中国通信研究院,https://www.china-telecom.org,,
中,700 Mbps,22 ms,5 ms,2,150 ms,5%,网络与信息安全杂志,http://www.networksecjournal.com,,
低,30 Mbps,100 ms,40 ms,8,350 ms,25%,全球网络观察,https://www.globalnetwatch.com,,
高,2.5 Gbps,8 ms,2 ms,0,70 ms,1%,Telecommunication Systems Journal,http://www.telsysjournal.com,,
高,900 Mbps,12 ms,4 ms,1,80 ms,2%,ITU-T,https://www.itu.int,,
低,20 Mbps,110 ms,30 ms,6,400 ms,20%,电子技术发展,http://www.et-development.com,,
中,500 Mbps,18 ms,9 ms,2,140 ms,7%,CMIIT,https://www.miit.gov.cn,,
高,3 Gbps,7 ms,1 ms,0,60 ms,0%,Journal of Wireless Communications,http://www.jwcjournal.com,,
中,400 Mbps,30 ms,10 ms,3,150 ms,8%,网络工程,http://www.networkengineering.com,,
高,1.8 Gbps,11 ms,4 ms,0,75 ms,1%,移动互联网技术,https://www.mobi-intech.com,,
低,35 Mbps,95 ms,20 ms,5,300 ms,15%,网络与健康,https://www.networkhealth.com,,
高,2 Gbps,10 ms,3 ms,0,85 ms,1%,Internet World Stats,https://www.internetworldstats.com,,
中,600 Mbps,20 ms,8 ms,2,120 ms,4%,云计算世界,https://www.cloudcomputingworld.com,,
高,1.2 Gbps,15 ms,6 ms,1,100 ms,2%,计算机网络,http://www.computer-network.com,,
低,45 Mbps,85 ms,15 ms,4,200 ms,10%,网络基础设施,https://www.networkinfrastructure.com,,
高,2.2 Gbps,9 ms,2 ms,1,65 ms,1%,5G 时代,https://www.5gtime.com,,
中,350 Mbps,25 ms,10 ms,3,160 ms,6%,国家科技发展研究所,http://www.nstir.com,,
高,4 Gbps,6 ms,1 ms,0,50 ms,1%,网络科学,http://www.networkscience.com,,
高,600 Mbps,18 ms,5 ms,1,70 ms,2%,网络工程杂志,https://www.networkengineeringmagazine.com,,
中,350 Mbps,22 ms,8 ms,2,150 ms,5%,技术前沿,https://www.technologyfrontier.com,,
低,20 Mbps,100 ms,30 ms,10,300 ms,25%,IEEE Access,https://ieeexplore.ieee.org/Xplore/home.jsp,,
高,1.5 Gbps,15 ms,3 ms,0,85 ms,2%,中国科学技术协会,https://www.cast.org.cn,,
高,2.5 Gbps,12 ms,2 ms,0,60 ms,1%,TechCrunch,https://techcrunch.com,,
中,400 Mbps,25 ms,10 ms,2,200 ms,8%,网络通信研究所,https://www.networkcommresearch.org,,
高,3 Gbps,9 ms,1 ms,0,50 ms,1%,国家网络信息办,https://www.cac.gov.cn,,
低,30 Mbps,110 ms,35 ms,8,320 ms,15%,中国互联网信息中心,https://www.cnnic.net.cn,,
中,200 Mbps,50 ms,15 ms,4,180 ms,10%,计算机科学期刊,https://www.journalofcomputerscience.com,,
高,1.2 Gbps,21 ms,7 ms,1,70 ms,3%,国际通信联盟,https://www.itu.int,,
中,300 Mbps,29 ms,12 ms,3,150 ms,7%,China Daily,https://www.chinadaily.com.cn,,
高,4 Gbps,8 ms,3 ms,0,55 ms,0%,Telecom Review,https://www.telecomreview.com,,
