试验题目（字符型）,登记号（数字型）,系统名称（字符型）,适用领域（字符型）,申办者类型（字符型）,申办者（字符型）,合作者类型（字符型）,合作者（字符型）,研究类型（字符型）,试验状态（字符型）,试验分期（数字型）,注册地区（字符型）,试验国家/地区（字符型）,登记日期（日期型）,开始日期（日期型）,完成日期（日期型）,最新变更日期（日期型）,系统构成（字符型）,采集来源,来源链接,采集时间,备注
基于人工智能的心理健康评估工具,,心理健康AI助手,心理健康,企业,赛诺菲,大学,耶鲁大学,基线研究,招募中,1,北美,美国,2023-08-30,2023-09-15,2025-03-01,2024-03-15,包括心理测试、数据分析与评估,Health Journal,https://www.healthjournal.com,2024-10-10,
智能物流管理系统开发,,智能运输优化系统,交通运输,企业,亚马逊,科研机构,麻省理工学院,应用研究,进行中,2,北美,美国,2023-07-15,2023-08-01,2024-09-01,2024-10-15,包括路线优化、库存管理与物流分析,Logistics Tech,https://www.logisticstech.com,2024-10-10,
智能老年护理系统开发,Henan-JunJian-20241022 S0005,智慧养老助手,老年护理,企业,阿里巴巴,科研机构,复旦大学,技术开发,招募中,1,亚洲,中国,2023-08-01,2023-09-15,2024-06-30,2024-10-01,包括健康监测、情绪分析和远程护理,CSTNews,https://news.cstnews.com,2024-10-10,
人工智能在气候变化监测中的应用,,气候智能监测系统,环境保护,非营利组织,绿色和平组织,大学,牛津大学,应用研究,进行中,2,欧洲,英国,2023-06-20,2023-07-01,2024-12-01,2024-09-15,利用卫星数据、机器学习进行气候分析,Environmental Science Journal,https://environmentalsciencejournal.com,2024-10-10,
智能制造系统优化实验,,智能工厂管理系统,制造业,企业,西门子,大学,清华大学,技术开发,已完成,3,欧洲,德国,2022-10-10,2022-12-01,2023-11-15,2023-10-02,包括生产调度、质量控制和数据分析,Manufacturing Today,https://www.manufacturingtoday.com,2024-10-10,
人工智能在线心理咨询系统测试,Anhui-XingFu-20241025 S0008,心理AI助手,心理健康,企业,腾讯,研究机构,中国科学院心理研究所,应用研究,招募中,1,亚洲,中国,2023-05-22,2023-06-15,2024-05-30,2024-09-01,包括情绪识别、在线咨询和个性化建议,Psychological Studies Journal,https://www.psychologicalstudiesjournal.com,2024-10-10,
自动驾驶汽车安全性研究,,自动驾驶决策系统,汽车工业,企业,特斯拉,大学,斯坦福大学,基础研究,进行中,2,北美,美国,2023-03-15,2023-04-01,2024-10-15,2024-09-25,包括传感器融合、算法优化和测试模型,Automotive Engineering,https://www.automotiveengineering.com,2024-10-10,
智能图像识别技术在安全监控中的应用,Liaoning-YuanChuang-20241027 S0010,监控智能分析系统,公共安全,政府,上海市公安局,企业,海康威视,应用研究,已完成,1,亚洲,中国,2022-09-05,2022-10-01,2023-05-30,2023-08-20,包括实时监控、图像提取与分析,Smart City Journal,https://www.smartcityjournal.com,2024-10-10,
AI驱动的智能物流管理系统研究,Beijing-ZhiNeng-20241028 S0011,智能物流助手,物流运输,企业,京东,大学,北京交通大学,技术开发,招募中,1,亚洲,中国,2023-04-10,2023-05-20,2024-03-30,2024-09-10,包括订单优化、预测分析和自动配送调度,Logistics Journal,https://www.logisticsjournal.com,2024-10-10,
AI对话系统在社交媒体中的研究,,社交AI助手,通讯社交,企业,Meta,大学,加州大学伯克利分校,应用研究,进行中,2,北美,美国,2023-02-20,2023-03-01,2024-12-01,2024-09-30,包括情感分析、用户反馈和智能推荐,Social Media Research,https://www.socialmediaresearch.com,2024-10-10,
基于AI的个性化健康管理系统研究,Tianjin-JinXing-20241030 S0013,个性化健康助手,医疗健康,企业,阿斯利康,科研机构,清华大学健康数据研究所,基础研究,招募中,1,亚太地区,澳大利亚,2023-01-25,2023-02-15,2024-01-20,2024-09-05,包括个性化分析、健康监测和决策支持,Health Innovation Journal,https://www.healthinnovationjournal.com,2024-10-10,
AI在心理健康支持中的应用,,心理健康AI助手,医疗健康,企业,IBM,大学,斯坦福大学,临床研究,招募中,1,北美,美国,2023-08-10,2023-09-15,2024-02-28,2024-10-01,包括情感分析、对话系统和资源推荐,ClinicalTrials,https://clinicaltrials.gov,2024-10-10,
AI驱动的智能法律顾问系统,Guangxi-ShengXing-20241101 S0015,法律助手AI,法律行业,企业,理想律师事务所,科研机构,清华大学,技术开发,已完成,2,亚洲,中国,2022-12-01,2023-01-20,2023-10-30,2023-09-10,包括合约分析、案件预测和咨询服务,Legal Tech,https://www.legaltech.com,2024-10-10,
AI助力城市环境监测系统,Yunnan-ZhiHui-20241102 S0016,环境监测AI,环境保护,政府,地方生态局,企业,百度,应用研究,招募中,1,亚洲,中国,2023-06-15,2023-08-01,2024-06-01,2024-09-01,包括传感器网络和数据分析平台,环境研究,https://www.environmentresearch.org,2024-10-10,
智能制造系统优化实验,,工业AI优化器,制造业,企业,西门子,大学,德克萨斯大学,应用研究,已完成,2,北美,美国,2022-10-10,2022-11-15,2023-08-25,2023-10-05,包含生产调度和供应链优化,IndustryWeek,https://www.industryweek.com,2024-10-10,
智能电网调控系统实验,,电网AI管理系统,能源,政府,能源部,企业,GE能源,技术开发,招募中,1,北美,加拿大,2023-03-01,2023-04-15,2024-03-10,2024-09-20,集成负载预测和网络优化,Electric Power Research,https://www.electricpower.com,2024-10-10,
智能保险理赔系统实验,Jilin-QingKe-20241105 S0019,理赔AI助手,保险,企业,平安保险,大学,复旦大学,应用研究,已完成,2,亚洲,中国,2023-04-10,2023-05-15,2024-01-01,2024-09-15,包括欺诈检测和风险评估,Insurance Journal,https://www.insurancejournal.com,2024-10-10,
智能农作物估产系统实验,Ningxia-JiZhi-20241106 S0020,农作物预测AI,农业,科研机构,华南农业大学,企业,阿里巴巴,技术开发,招募中,1,亚洲,中国,2023-09-20,2023-10-25,2024-07-10,2024-09-01,集成气候分析和作物模型,AgriTech,https://www.agritech.com,2024-10-10,
AI支持的个性化教育系统实验,,个人学习AI,教育行业,企业,教育部,大学,南洋理工大学,教育研究,已完成,1,新加坡,新加坡,2022-11-01,2022-12-10,2023-09-30,2023-10-05,个性化学习路径和进度监控,EdTech,https://www.edtech.com,2024-10-10,
智能药物研发系统实验,,AI药物研发助手,制药行业,企业,辉瑞,大学,斯坦福大学,临床研究,招募中,1,北美,美国,2023-04-05,2023-06-01,2024-12-01,2024-10-01,包括药物筛选、临床数据分析等功能,ClinicalTrials,https://www.clinicaltrials.gov,2024-10-10,
智能城市基础设施优化实验,Zhejiang-BaiDu-20241021 S0004,城市智能管理系统,城市管理,政府,新加坡城市规划局,企业,华为,应用研究,进行中,2,亚洲,新加坡,2023-03-12,2023-07-01,2024-05-01,2024-10-05,包括数据仿真、资源优化等功能,Smart Cities World,https://www.smartcitiesworld.net,2024-10-10,
智能农业监测系统实验,Henan-JunJian-20241022 S0005,农业智能监控系统,农业,科研机构,中国农业科学院,企业,阿里巴巴,技术开发,已完成,2,亚洲,中国,2023-01-25,2023-03-01,2024-01-15,2024-08-20,包括环境监测、数据分析等功能,AgFunder,https://agfundernews.com,2024-10-10,
智能能源管理系统实验,,AI能源智慧系统,能源,企业,壳牌,研究机构,牛津大学,应用研究,招募中,1,欧洲,英国,2023-05-10,2023-09-01,2024-06-30,2024-09-15,包括能源预测、效率优化等功能,Energy Tech,https://www.energytech.com,2024-10-10,
智能金融分析系统实验,,AI金融分析平台,金融服务,企业,摩根大通,大学,伦敦经济学院,理论研究,进行中,2,北美,美国,2023-06-15,2023-08-01,2024-04-15,2024-09-10,包括市场预测、风险评估等功能,FinTech Magazine,https://www.fintechmagazine.com,2024-10-10,
个性化教育应用实验,Anhui-XingFu-20241025 S0008,AI个性化学习系统,教育行业,企业,赛尔教育,大学,北京师范大学,教育研究,招募中,1,亚洲,中国,2023-07-07,2023-09-01,2024-06-01,2024-09-01,包括学习评估、动态调整课程等功能,EdTech Digest,https://edtechdigest.com,2024-10-10,
智能气候监测实验,Jiangxi-QiXiang-20241026 S0009,AI气候智控系统,环境科学,政府,国际气候组织,企业,微软,应用研究,进行中,2,全球,国际,2023-05-15,2023-08-10,2025-01-01,2024-10-20,包括气候建模、监测装置等功能,Climate News,https://www.climatenews.com,2024-10-10,
智能安全监控系统实验,Liaoning-YuanChuang-20241027 S0010,AI安全监控系统,公共安全,地方政府,上海市公安局,企业,腾讯,技术开发,招募中,1,亚洲,中国,2023-06-20,2023-09-05,2024-04-20,2024-09-05,包括视频分析、实时监测等功能,Security Today,https://securitytoday.com,2024-10-10,
基于AI的智能法律咨询系统实验,,法律智能助手,法律服务,企业,IBM,大学,耶鲁大学,应用研究,招募中,1,北美,美国,2023-09-01,2023-10-01,2024-03-01,2024-10-01,包括文档分析、案例预测和合同审核功能,Harvard Law Review,https://harvardlawreview.org/,2024-10-10,
城市环境监测智能系统实验,Shanghai-WeiXin-20241029 S0012,环保监测平台,城市管理,政府,市政府,企业,华为,研究开发,进行中,2,亚洲,中国,2023-08-20,2023-09-15,2025-01-31,2024-10-20,包括实时数据采集、数据分析和可视化展示,TechCrunch,https://techcrunch.com/,2024-10-10,
智能个性化健康管理系统实验,Tianjin-JinXing-20241030 S0013,AI健康导引系统,医疗健康,企业,阿里健康,科研机构,清华大学,临床研究,招募中,1,亚洲,中国,2023-10-01,2023-11-01,2025-05-01,2024-11-10,包括健康数据分析、风险评估和个性化建议,AI in Health,https://aiinhealth.org/,2024-10-10,
农业智能监测系统开发实验,Shaanxi-HuaZhong-20241031 S0014,智能农业监控系统,农业,科研机构,中国农业大学,企业,中兴通讯,应用研究,进行中,1,亚洲,中国,2023-09-15,2023-10-10,2024-06-15,2024-12-01,包括土壤及气候监测、数据分析和作物管理,Agricultural Technology,https://www.agriculture.com/,2024-10-10,
金融市场预测智能系统实验,,AI市场分析系统,金融服务,企业,摩根大通,大学,麻省理工学院,应用研究,已完成,3,北美,美国,2023-04-05,2023-06-01,2024-12-15,2023-11-20,包括机器学习模型、数据分析和预测算法,Bloomberg,https://www.bloomberg.com/,2024-10-10,
AI驱动的在线教育平台实验,,智能学习助手,教育行业,企业,Udacity,学校,斯坦福大学,教育研究,招募中,1,北美,美国,2023-06-15,2023-07-01,2025-01-01,2023-12-10,包括数据驱动的学习路径和评估系统,EdTech Magazine,https://edtechmagazine.com/,2024-10-10,
智能物流管理系统实验,,AI物流优化平台,交通运输,企业,亚马逊,科研机构,清华大学,应用研究,进行中,2,北美,美国,2023-05-20,2023-06-15,2024-11-01,2024-09-10,包括动态路由、实时跟踪和数据分析,Logistics Management,https://www.logisticsmgmt.com/,2024-10-10,
智能供应链管理实验,,AI供应链优化系统,供应链管理,企业,SAP,大学,剑桥大学,技术开发,招募中,1,欧洲,英国,2023-03-25,2023-04-10,2024-08-15,2024-06-20,包括供应商管理、库存监控和需求预测,Supply Chain Digital,https://supplychaindigital.com/,2024-10-10,
基于AI的心理健康监测,,心理健康AI助手,心理健康,企业,微软,科研机构,斯坦福大学,临床研究,招募中,1,北美,美国,2023-08-20,2023-09-15,2024-11-30,2024-10-10,包括情绪识别、心理评估和干预建议,Medline,https://medlineplus.gov,2024-10-10,
智能环境监控系统研究,Ningxia-JiZhi-20241106 S0020,环境监控AI系统,环境保护,政府,中国生态环境部,大学,清华大学,应用研究,进行中,2,亚洲,中国,2023-05-10,2023-06-20,2024-07-01,2024-09-15,包括实时监控、数据分析和预警功能,China Environment News,http://www.cenews.com,2024-10-10,
AI在远程教育中的应用研究,Sichuan-XinTian-20241020 S0002,智能教育平台,教育行业,企业,阿里巴巴,学校,北京师范大学,教育研究,招募中,1,亚洲,中国,2023-02-05,2023-03-01,2024-04-10,2024-10-15,包括个性化学习路径、实时互动和自我评估,EduTech Review,https://edutechreview.in,2024-10-10,
AI驱动的零售量贩店优化,,智能零售助手,零售,企业,沃尔玛,大学,麻省理工学院,应用研究,已完成,2,北美,美国,2023-04-25,2023-06-10,2024-01-30,2024-07-05,包括库存管理、客户行为分析和优化推荐,Retail Dive,https://www.retaildive.com,2024-10-10,
智能物流调度系统实验,Zhejiang-BaiDu-20241021 S0004,AI物流助手,物流,企业,京东,科研机构,华南理工大学,技术开发,招募中,1,亚洲,中国,2023-03-30,2023-05-20,2024-06-15,2024-09-30,包括路径优化、需求预测和车辆调度管理,Logistics Management,https://www.logisticsmgmt.com,2024-10-10,
AI在老年护理中的应用研究,Henan-JunJian-20241022 S0005,智能老年护理系统,老年护理,企业,苹果公司,大学,东京大学,应用研究,进行中,2,亚洲,日本,2023-06-01,2023-08-05,2024-12-20,2024-10-01,包括健康监测、个性化护理和生活辅助,The Japan Times,https://www.japantimes.co.jp,2024-10-10,
智能农业数据分析系统实验,,AI农业助手,农业,科研机构,加州大学戴维斯分校,企业,巴斯夫,技术开发,已完成,2,北美,美国,2022-12-01,2023-01-10,2023-11-30,2024-09-20,包括土壤养分分析、作物生长预测与决策支持,Agriculture.com,http://www.agriculture.com,2024-10-10,
AI增强现实购物系统试验,,增强现实购物助手,零售,企业,Facebook,研究机构,牛津大学,技术开发,招募中,1,欧洲,英国,2023-07-15,2023-08-25,2024-12-01,2024-09-12,包括虚拟试衣、个性化推荐与社交分享,Retail Week,https://www.retail-week.com,2024-10-10,
AI辅助的个人理财规划,,智能理财助手,金融服务,企业,PayPal,大学,芝加哥大学,应用研究,进行中,2,北美,美国,2023-09-05,2023-10-01,2025-01-15,2024-10-10,包括预算跟踪、投资建议和经济分析,Forbes,https://www.forbes.com,2024-10-10,
基于AI的虚拟健康助手,Jiangxi-QiXiang-20241026 S0009,虚拟健康顾问,医疗健康,企业,阿里健康,医院,北京协和医院,临床研究,招募中,1,亚洲,中国,2023-08-01,2023-09-15,2024-06-01,2024-10-01,包含自然语言处理、健康监测等功能,Alibabacloud,https://www.alibabacloud.com,2024-10-10,
智能化农作物诊断系统试验,Liaoning-YuanChuang-20241027 S0010,农作物健康监测,农业,科研机构,中国农业大学,企业,农创科技,应用研究,进行中,1,亚洲,中国,2023-09-05,2023-10-01,2024-07-15,2024-09-30,包括传感器监测、数据分析及预测模型,ResearchGate,https://www.researchgate.net,2024-10-10,
基于AI的个性化学习系统实验,Beijing-ZhiNeng-20241028 S0011,智慧学习系统,教育,企业,新东方,大学,清华大学,教育研究,招募中,1,亚洲,中国,2023-06-05,2023-07-10,2024-04-20,2024-09-15,包含学习路径推荐及评估反馈,EdTech Magazine,https://edtechmagazine.com,2024-10-10,
智慧城市安全监控系统研发,,城市智能监控平台,城市管理,政府,市政府,大学,斯坦福大学,技术开发,进行中,2,北美,美国,2023-03-15,2023-05-01,2025-01-10,2024-10-01,包括实时监控、数据分析与响应机制,Smart Cities World,https://www.smartcitiesworld.net,2024-10-10,
智能医疗影像分析系统,,影像AI诊断平台,医疗健康,医院,梅奥诊所,企业,IBM,临床研究,招募中,1,北美,美国,2023-04-20,2023-06-05,2025-02-15,2024-09-01,包含深度学习、图像识别等技术,Mayo Clinic,https://www.mayoclinic.org,2024-10-10,
AI在药物发现中的应用,,智能药物研发系统,药物研发,企业,辉瑞制药,大学,牛津大学,研究与开发,进行中,1,欧洲,英国,2023-10-01,2023-11-01,2025-05-01,2024-12-01,包括数据挖掘、模拟与测试,Pharmaceutical Journal,https://www.pharmaceuticaljournal.com,2024-10-10,
智能心理健康监测系统,,心理健康AI助手,心理健康,企业,BetterHelp,大学,南加州大学,应用研究,招募中,1,北美,美国,2023-02-20,2023-03-15,2024-12-01,2024-09-20,结合情绪分析、干预建议,Mental Health America,https://www.mhanational.org,2024-10-10,
