标准编号（字符型）,标准名称（字符型）,每秒帧数（数值型）,单位,像素深度（字符型）,视频质量（字符型）,宽长比（字符型）,实施日期（日期型）,实施范围（字符型）,采集来源,来源链接,采集时间,备注
EBU R128,音频响度标准,48.0,fps,8bit,高画质,4:3,2020-03-01,欧洲,EBU,https://www.ebu.ch,,
G.8261,音视频同步标准,30.0,fps,8bit,高清晰度,16:09,2019-05-10,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
AVC-Intra,专业视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2017-08-01,全球,Panasonic,https://www.panasonic.com,,
DASH-IF,动态自适应流媒体交互标准,30.0,fps,8bit,高清晰度,16:09,2021-01-01,全球,DASH-IF,http://dashif.org,,
ITU-R BT.2446,色彩空间标准,24.0,fps,10bit,超高清晰度,16:09,2022-04-10,全球,ITU,https://www.itu.int/en/ITU-R/index.html,,
HEVC-Video,高效视频编码扩展标准,120.0,fps,12bit,超高清晰度,21:09,2023-06-12,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
ITU-R BT.2020,超高清电视标准,60.0,fps,10bit,超高清晰度,16:09,2020-04-01,ITU-R,全球,https://www.itu.int/en/ITU-R/study-groups/rsg3/Pages/default.aspx,,
NVIDIA NVENC,高效视频编码,120.0,fps,10bit,超高清晰度,21:09,2021-06-15,NVIDIA,北美,https://www.nvidia.com/en-us/geforce/technologies/,,
H.265/HEVC,高级视频编码标准,30.0,fps,10bit,高画质,16:09,2013-10-01,ITU,全球,https://www.itu.int/en/ITU-T/h264/Pages/default.aspx,,
HEVC,高效视频编码标准,60.0,fps,12bit,超高清晰度,16:09,2020-12-01,Wikipedia,全球,https://en.wikipedia.org/wiki/High_Efficiency_Video_Coding,,
AVS3,视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2022-05-01,AVS工作组,中国,http://www.avs.org.cn,,
ISDB-T,日本地面数字电视广播标准,30.0,fps,8bit,高清晰度,16:09,2018-03-01,NTT,日本,https://www.ntt.com/en/solutions/it-communication.html,,
DVB-S2,卫星数字视频广播标准,25.0,fps,10bit,高清晰度,16:09,2010-04-01,DVB,全球,https://www.dvb.org,,
H.273,视频编解码新标准,120.0,fps,12bit,超高清晰度,21:09,2023-01-01,ITU,全球,https://www.itu.int/en/ITU-T/abc/,,
ATSC 3.0,高级电视系统委员会标准,60.0,fps,12bit,超高清晰度,16:09,2022-10-01,ATSC,美国,https://www.atsc.org/,,
TNT,高清电视标准,30.0,fps,10bit,高清晰度,16:09,2022-07-15,TNT平台,亚洲,http://www.tntplatform.com,,
VVC,Versatile Video Coding,60.0,fps,12bit,超高清晰度,21:09,2021-11-01,Fraunhofer HHI,全球,https://hhi.fraunhofer.de,,
H.261,视频编解码老标准,30.0,fps,8bit,标清晰度,4:3,1993-12-01,ITU,全球,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
CAVS,中国音视频标准,60.0,fps,10bit,超高清晰度,16:09,2016-02-01,CAVS组织,中国,http://www.cavs.org.cn,,
SMPTE ST 2022,专业视频传输标准,60.0,fps,10bit,高品质,16:09,2018-09-01,SMPTE,全球,https://www.smpte.org,,
HE-AAC,高效高级音频编码,30.0,fps,8bit,高清晰度,16:09,2014-11-03,ISO,全球,https://www.iso.org,,
MPEG-4,动态图像专家组标准,30.0,fps,8bit,高清晰度,16:09,2001-10-01,MPEG,全球,https://mpeg.chiariglione.org,,
ISO/IEC 13818-2,MPEG-2视频标准,30.0,fps,8bit,标清晰度,4:3,1994-11-01,ISO,全球,https://www.iso.org,,
AOMedia AV1,开放视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2020-01-15,Alliance for Open Media,全球,https://aomediacodec.github.io,,
ITU-T H.661,高清视频传输标准,30.0,fps,10bit,高画质,16:09,2024-01-15,全球,ITU,https://www.itu.int/en/ITU-T/pages/default.aspx,,
DVB-S2X,第二代超高清电视标准,50.0,fps,12bit,超高清晰度,16:09,2023-07-10,全球,DVB,https://www.dvb.org,,
ISO/IEC 23091,媒体内容分发标准,60.0,fps,10bit,高清晰度,21:09,2022-09-01,欧洲,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,30.0,fps,10bit,超高清晰度,16:09,2021-11-20,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
H.267,下一代视频压缩标准,120.0,fps,12bit,超高清晰度,21:09,2023-05-30,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
AVS3,第三代音视频标准,60.0,fps,10bit,超高清晰度,16:09,2022-12-01,中国,中国传媒大学,http://www.cuc.edu.cn,,
SMPTE ST 2084,高动态范围视频标准,60.0,fps,12bit,超高清晰度,16:09,2021-03-25,全球,SMPTE,https://www.smpte.org,,
AV1.1,开放视频编码最新版本,120.0,fps,10bit,超高清晰度,21:09,2022-06-15,全球,Alliance for Open Media,https://aomediacodec.github.io,,
HEVC H.265,最新的HEVC改进标准,30.0,fps,10bit,超高清晰度,16:09,2022-04-01,亚太地区,IEEE,https://www.ieee.org,,
H.264/MPEG-4 AVC,先进视频编码标准,30.0,fps,8bit,高清晰度,16:09,2003-09-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
SMPTE ST 2110-20,专业媒体流计量标准,60.0,fps,10bit,高品质,16:09,2019-11-01,全球,SMPTE,https://www.smpte.org,,
ITU-T H.662,下一代视频协议标准,29.97,fps,10bit,高画质,16:09,2025-03-30,全球,ITU,https://www.itu.int/en/ITU-T/pages/default.aspx,,
DASH ISO 23009-1,动态自适应流媒体标准,50.0,fps,8bit,高清晰度,16:09,2021-07-15,全球,ISO,https://www.iso.org,,
ETSI TS 103 033,数字视频传输标准,25.0,fps,10bit,高清晰度,18:09,2022-12-10,欧洲,ETSI,https://www.etsi.org,,
G.711,音频视频编码标准,30.0,fps,8bit,高清晰度,16:09,2023-02-20,全球,ITU,https://www.itu.int/en/ITU-T/pages/default.aspx,,
RFC 7741,视频编码协议,120.0,fps,10bit,超高清晰度,16:09,2023-06-30,全球,IETF,https://www.ietf.org,,
ITU-T H.265,高级视频编码标准,30.0,fps,10bit,高清晰度,16:09,2022-11-15,全球,ITU,https://www.itu.int/en/ITU-T/technology,,
AVS3,新一代视频编码标准,60.0,fps,12bit,超高清晰度,16:09,2021-07-05,中国,AVS工作组,https://www.avs.org.cn,,
CMAF,通用媒体应用格式标准,24.0,fps,8bit,标清,16:09,2020-09-20,全球,ISO,https://www.iso.org/standard/80382.html,,
SMPTE ST 2059,时间编码标准,60.0,fps,10bit,高品质,16:09,2016-12-15,全球,SMPTE,https://www.smpte.org/standards,,
HEVC,高效视频编码标准,48.0,fps,10bit,超高清晰度,21:09,2017-03-01,全球,ITU,https://www.itu.int/en/ITU-T/studygroups/2022/16,,
DASH,动态自适应流标准,30.0,fps,8bit,高清晰度,16:09,2019-02-20,全球,MPEG,https://mpeg.chiariglione.org/standards/mpeg-dash,,
ATSC 3.0,先进电视系统委员会标准,60.0,fps,10bit,超高清晰度,16:09,2020-07-11,北美,ATSC,https://www.atsc.org,,
RFC 7742,网络视频传输协议,30.0,fps,8bit,普通质量,16:09,2021-10-05,全球,IETF,https://www.ietf.org/rfc/rfc7742.txt,,
MPEG-5,第五代视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2023-03-15,全球,MPEG,https://mpeg.chiariglione.org/standards,,
JPEG XS,低延迟视频编码标准,60.0,fps,10bit,高品质,16:09,2022-01-10,全球,ISO,https://jpeg.org/static/jpegsimages/22a.pdf,,
NABERS,视频流标准,60.0,fps,12bit,超高清晰度,16:09,2022-06-18,欧洲,NABERS,https://www.nabers.com.au,,
DVCPRO HD,高清数字视频标准,30.0,fps,10bit,高清晰度,16:09,2018-08-10,全球,Panasonic,https://www.panasonic.com/global/setting/media-standards,,
VVC,视频编码新标准,120.0,fps,12bit,超高清晰度,21:09,2020-09-25,全球,ITU,https://www.itu.int/en/ITU-T/technology,,
XAVC,新一代视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2021-09-29,全球,Sony,https://pro.sony/ue_US/technologies/xavc/,,
Dynamic HDR,动态高动态范围视频标准,60.0,fps,10bit,超高清晰度,16:09,2023-05-20,全球,CTA,https://www.cta.tech,,
HLS,HTTP直播流标准,30.0,fps,8bit,高清晰度,16:09,2022-03-01,全球,Apple,https://developer.apple.com/streaming/,,
ITUT-H.761,超高清秋季同步标准,60.0,fps,12bit,超高清晰度,21:09,2023-09-15,全球,https://www.itu.int,ITU,,
DVB-H,移动数字视频广播标准,25.0,fps,8bit,高清晰度,16:09,2018-06-01,欧洲,https://www.dvb.org,DVB,,
ISO/IEC 23091,增强现实视频标准,30.0,fps,10bit,高画质,16:09,2022-11-10,全球,https://www.iso.org,ISO,,
AVS3,新一代视频编码标准,120.0,fps,12bit,超高清晰度,21:09,2023-03-01,中国,https://www.cappi.org.cn,中国音像与数字出版协会,,
H.265/HEVC,高效视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2015-04-01,全球,https://www.itu.int,ITU,,
SMPTE ST 2022,实时大数据流标准,30.0,fps,10bit,高画质,16:09,2021-08-20,全球,https://www.smpte.org,SMPTE,,
EBU R128,音频响度标准,0,fps,8bit,标准,16:09,2016-02-02,欧洲,https://www.ebu.ch,EBU,,
H.264,视频压缩标准,30.0,fps,8bit,高清晰度,4:3,2006-05-01,全球,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,Wikipedia,,
MPEG-5,视频编码新标准,60.0,fps,12bit,超高清晰度,21:09,2022-12-15,全球,https://mpeg.chiariglione.org/,MPEG,,
IEEE 802.11,无线局域网通信标准,0,fps,8bit,标准,16:09,2020-01-01,全球,https://www.ieee.org,IEEE,,
DASH,动态自适应流媒体传输标准,30.0,fps,10bit,高清晰度,16:09,2017-05-25,全球,https://www.iso.org,ISO,,
HEVC,高效视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2018-09-15,全球,https://www.itu.int,ITU,,
AV1,开放视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2022-01-15,全球,https://aomediacodec.github.io,Alliance for Open Media,,
VC-6,视频编码新标准,120.0,fps,12bit,超高清晰度,21:09,2023-04-01,全球,https://www.microsoft.com,Microsoft,,
RFC 8216,流媒体传输标准,0.0,fps,8bit,标准,16:09,2019-01-28,全球,https://www.ietf.org,IETF,,
ITU-R BT.2020,宽色域视频标准,60.0,fps,12bit,超高清晰度,16:09,2015-09-30,全球,https://www.itu.int,ITU,,
PES,承载视频标准,30.0,fps,10bit,高清晰度,16:09,2014-07-15,全球,https://www.ce.org,CEA,,
P2P,点对点直播标准,60.0,fps,10bit,超高清晰度,21:09,2023-11-11,全球,https://www.streamingmedia.com,Streaming Media,,
ITU-T H.661,视频传输与压缩标准,30.0,fps,10bit,超高清晰度,16:09,2022-06-15,全球,ITU,https://www.itu.int,,
DVB-T2,增强型数字视频广播标准,50.0,fps,10bit,高清视频,16:09,2020-04-01,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23091,媒体内容描述标准,60.0,fps,12bit,超高清晰度,16:09,2021-11-15,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码,30.0,fps,10bit,超高清晰度,21:09,2013-01-01,全球,ITU,https://www.itu.int,,
AVS3,下一代视频编码标准,120.0,fps,12bit,超高清晰度,16:09,2023-01-15,中国,AVS标准工作组,https://www.avs.org.cn,,
SMPTE ST 2094,动态元数据传输标准,24.0,fps,10bit,高质量,16:09,2019-10-30,全球,SMPTE,https://www.smpte.org,,
H.264/MPEG-4 AVC,高级视频编码,60.0,fps,8bit,高清晰度,16:09,2005-08-15,全球,ITU,https://www.itu.int,,
DASH-IF,动态自适应流媒体标准,60.0,fps,10bit,超高清晰度,16:09,2019-06-01,北美,DASH Industry Forum,https://dashif.org,,
DVB-S2,卫星广播增强标准,30.0,fps,8bit,高清晰度,4:3,2010-07-01,全球,DVB,https://www.dvb.org,,
H.269,扩展视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2022-03-20,亚太地区,ITU,https://www.itu.int,,
HEVC Extension,HEVC扩展标准,30.0,fps,12bit,超高清晰度,16:09,2021-04-01,全球,ITU,https://www.itu.int,,
ITU-T H.667,大数据视频传输标准,30.0,fps,10bit,高清晰度,16:09,2022-05-15,全球,ITU,https://www.itu.int,,
AV1 Profile 2,AV1 增强编码标准,120.0,fps,12bit,超高清晰度,16:09,2021-02-28,全球,Alliance for Open Media,https://aomediacodec.github.io,,
IEEE 2007,下一代视频编解码标准,100.0,fps,10bit,超高清晰度,21:09,2020-07-15,全球,IEEE,https://www.ieee.org,,
SMPTE ST 2038,单条流传输标准,24.0,fps,10bit,高质量,16:09,2018-12-31,全球,SMPTE,https://www.smpte.org,,
Nvidia NVENC,GPU加速编码标准,60.0,fps,10bit,高品质,16:09,2020-09-20,全球,Nvidia,https://www.nvidia.com,,
H.268,第三代视频编码标准,60.0,fps,8bit,高清晰度,16:09,2023-02-01,全球,ITU,https://www.itu.int,,
ITU-T H.661,下一代视频传输标准,30.0,fps,10bit,超高清晰度,16:09,2023-10-12,全球,ITU,https://www.itu.int,,
DVB-T2,数字视频广播地面标准,50.0,fps,8bit,高清晰度,16:09,2018-06-15,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23091,媒体交付标准,60.0,fps,12bit,超高清晰度,21:09,2022-04-22,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2013-10-01,全球,ITU,https://www.itu.int,,
SMPTE ST 2084,高动态范围视频标准,24.0,fps,12bit,超高清晰度,16:09,2014-11-25,全球,SMPTE,https://www.smpte.org,,
AVS3,视频编码标准扩展,60.0,fps,10bit,超高清晰度,16:09,2023-09-01,中国,AVS,https://www.avs.org.cn,,
NABERS,视频质量评价标准,30.0,fps,8bit,高画质,16:09,2022-11-12,澳大利亚,NABERS,https://www.nabers.gov.au,,
AVC+,增强视频编码标准,60.0,fps,10bit,超高清晰度,21:09,2020-12-31,全球,ITU,https://www.itu.int,,
HLS V3,自适应流媒体标准,30.0,fps,10bit,高清晰度,16:09,2019-07-15,全球,Apple,https://developer.apple.com,,
MPEG-DASH,动态自适应流媒体标准,25.0,fps,8bit,高清晰度,16:09,2015-02-10,全球,MPEG,https://mpeg.chiariglione.org,,
4K UHD,超高清晰度电视标准,60.0,fps,10bit,超高清晰度,16:09,2012-11-01,全球,UHD Alliance,https://www UHDAlliance.org,,
HFR,高帧率视频标准,120.0,fps,10bit,超高清晰度,21:09,2023-03-01,全球,SMPTE,https://www.smpte.org,,
IMF,国际媒体格式标准,24.0,fps,12bit,超高清晰度,16:09,2016-08-01,全球,SMPTE,https://www.smpte.org,,
REC 2020,宽色域和更高动态范围,60.0,fps,10bit,超高清晰度,16:09,2015-04-01,全球,ITU,https://www.itu.int,,
HEVC V2,高效视频编码第二版,120.0,fps,12bit,超高清晰度,21:09,2021-09-01,全球,ITU,https://www.itu.int,,
JPEG XS,低延迟图像编码标准,30.0,fps,10bit,高画质,16:09,2022-07-23,全球,JPEG,https://jpeg.org,,
DASH-AVC,动态自适应流 AVC,30.0,fps,8bit,高清晰度,16:09,2018-02-28,全球,MPEG,https://mpeg.chiariglione.org,,
ITU-T H.669,动态视频传输标准,30.0,fps,10bit,高画质,16:09,2022-11-15,亚太地区,ITU,https://www.itu.int/en/ITU-T,,
DVB-T2,第二代数字视频广播标准,50.0,fps,8bit,高清晰度,16:09,2019-03-01,欧洲,DVB,https://www.dvb.org,,
ISO/IEC 23001,媒体内容描述标准,24.0,fps,12bit,超高清晰度,18:09,2022-06-15,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,120.0,fps,10bit,超高清晰度,21:09,2017-07-31,全球,ITU,https://www.itu.int/en/ITU-T,,
AVS3,视频编码最新标准,60.0,fps,12bit,超高清晰度,16:09,2023-01-22,中国,AVS工作组,https://www.avs.org.cn,,
H.264/AVC,高级视频编码标准,40.0,fps,8bit,高清晰度,16:09,2004-09-15,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
SMPTE ST 2110-30,专业视频流标准,60.0,fps,10bit,高品质,16:09,2018-10-20,全球,SMPTE,https://www.smpte.org,,
AV1,开放视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2020-03-25,全球,Alliance for Open Media,https://aomediacodec.github.io,,
H.266,视频编码标准,60.0,fps,10bit,超高清晰度,21:09,2019-07-01,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
HEIF,高效图像文件格式,30.0,fps,12bit,超高清晰度,16:09,2023-07-19,全球,Apple,https://www.apple.com,,
ITU-R BT.2100,高动态范围视频标准,60.0,fps,10bit,超高清晰度,16:09,2020-04-01,全球,ITU,https://www.itu.int/en/ITU-R,,
DASH,动态自适应流媒体传输标准,30.0,fps,8bit,高清晰度,16:09,2021-02-10,全球,MPEG,https://mpeg.chiariglione.org,,
ISDB-T,综合数字广播标准,30.0,fps,8bit,高清晰度,16:09,2019-08-01,日本,ARIB,https://www.arib.or.jp,,
VVC,视频编码（VVC）,120.0,fps,12bit,超高清晰度,21:09,2021-09-17,全球,ITU,https://www.itu.int/en/ITU-T,,
H.261,视频编码标准,30.0,fps,8bit,标准画质,4:03,1995-11-01,全球,ITU,https://www.itu.int/en/ITU-T,,
AOM AV2,下一代视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2024-05-20,全球,AOM,https://aomediacodec.github.io,,
ITU-T H.661,高清视频传输标准,50.0,fps,10bit,超高清晰度,16:09,2023-07-15,全球,ITU,https://www.itu.int,,
DVB-S2X,卫星广播新标准,30.0,fps,10bit,高清晰度,16:09,2018-11-20,全球,DVB,https://www.dvb.org,,
ISO/IEC 23001,媒体内容适配标准,60.0,fps,8bit,高画质,16:09,2023-01-01,全球,ISO,https://www.iso.org,,
H.265/HEVC,高效视频编码标准,240.0,fps,12bit,超高清晰度,21:09,2020-05-15,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
AVS3,视频编码新标准,120.0,fps,10bit,超高清晰度,16:09,2022-12-31,中国,中国视频编码标准组织,https://www.avs.org.cn,,
MPEG-DASH,动态自适应流媒体标准,30.0,fps,8bit,高清晰度,16:09,2015-06-01,全球,MPEG,https://mpeg.chiariglione.org,,
SMPTE ST 2110-10,专业媒体传输标准,60.0,fps,10bit,高画质,16:09,2018-09-10,全球,SMPTE,https://www.smpte.org,,
HEVC Screen Content,屏幕内容编码标准,120.0,fps,12bit,超高清晰度,16:09,2021-04-01,全球,ISO,https://www.iso.org,,
H.264/AVC,高清视频编码标准,30.0,fps,8bit,高清晰度,16:09,2004-01-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
AV1,开放视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2020-01-01,全球,Alliance for Open Media,https://aomediacodec.github.io,,
ATSC 3.0,下一代广播标准,60.0,fps,10bit,超高清晰度,16:09,2021-07-01,美国,ATSC,https://www.atsc.org,,
HEVC Main 10,高效视频编码主流标准,60.0,fps,10bit,超高清晰度,21:09,2019-03-15,全球,ITU,https://www.itu.int/en/ITU-T/Highlights/Pages/default.aspx,,
JCT-VC,视频编码技术协作,120.0,fps,12bit,超高清晰度,16:09,2022-01-01,全球,ITU,https://www.itu.int,,
ITU-R BT.2100,超高清电视标准,60.0,fps,10bit,超高清晰度,16:09,2020-04-01,全球,ITU,https://www.itu.int/en/ITU-R/Pages/default.aspx,,
IMF,国际媒体框架,30.0,fps,8bit,高清晰度,16:09,2018-07-01,全球,SMPTE,https://www.smpte.org,,
VP9,谷歌视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2016-06-10,全球,Google,https://developers.google.com/media/vp9,,
SMPTE ST 2022-6,专业视频传输标准,60.0,fps,10bit,高画质,16:09,2018-10-01,全球,SMPTE,https://www.smpte.org,,
ITU-T H.661,高清视频传输标准,50.0,fps,10bit,超高清晰度,16:09,2023-09-15,亚太地区,ITU,https://www.itu.int/en/ITU-T,,
HEVC Main,高效视频编码标准主级,60.0,fps,10bit,超高清晰度,16:09,2020-06-01,全球,ITU,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,,
SMPTE ST 2022,专业高清媒体传输协议,30.0,fps,8bit,高清晰度,16:09,2021-11-15,北美,SMPTE,https://www.smpte.org,,
AVS3,视频编码标准第3版,120.0,fps,10bit,超高清晰度,21:09,2022-04-10,中国,中国国家标准化管理委员会,http://www.sac.gov.cn,,
HEVC Main10,高效视频编码主10位,29.97,fps,10bit,高清晰度,16:09,2020-03-15,全球,ISO,https://www.iso.org,,
DVB-T2,数字视频广播第二代地面广播标准,50.0,fps,8bit,高清晰度,16:09,2019-01-01,欧洲与亚洲,DVB,https://www.dvb.org,,
SDR-REC.709,标准动态范围色彩空间,60.0,fps,8bit,高画质,16:09,2021-09-05,全球,Rec.709,https://www.itu.int/en/ITU-T,,
P2020,视频内容色彩空间标准,30.0,fps,12bit,超高清晰度,16:09,2022-10-20,北美与亚洲,ITU,https://www.itu.int/en/ITU-T,,
AV1,开放视频编码标准,120.0,fps,10bit,超高清晰度,16:09,2018-12-31,全球,Alliance for Open Media,https://aomediacodec.github.io,,
H.265,高效视频编码第二版,60.0,fps,12bit,超高清晰度,21:09,2017-07-14,全球,ISO,https://www.iso.org,,
RFC 6416,视频传输与解码标准,30.0,fps,10bit,高清晰度,16:09,2021-06-01,全球,RFC Editor,https://www.rfc-editor.org,,
EAC-3,增强型AC-3视频编码标准,48.0,fps,10bit,超高清晰度,16:09,2022-03-15,全球,Dolby,https://www.dolby.com,,
ATSC 3.0,美国先进电视系统委员会标准,60.0,fps,12bit,超高清晰度,16:09,2020-05-01,北美,ATSC,https://www.atsc.org,,
H.264/AVC,先进视频编码标准,24.0,fps,8bit,高清晰度,4:3,2003-05-01,全球,Wikipedia,https://en.wikipedia.org/wiki/H.264/MPEG-4_AVC,,
ITU-R BT.2100,HDR视频显示标准,120.0,fps,10bit,超高清晰度,21:9,2018-08-20,全球,ITU,https://www.itu.int,,
H.266/VVC,视频编码标准,60.0,fps,10bit,超高清晰度,16:09,2022-10-01,全球,Fraunhofer HHI,https://hhi.fraunhofer.de,,
ITU-T H.661,增强视频传输标准,30.0,fps,10bit,超高清晰度,16:9,2023-09-15,全球,https://www.itu.int/en/ITU-T,f6b8cd72,,
DVB-T2,数字视频广播标准 T2,50.0,fps,10bit,高清晰度,16:9,2022-11-15,欧洲,https://www.dvb.org,f6b8cd72,,
ISO/IEC 23091,媒体内容传输增强标准,60.0,fps,12bit,超高清晰度,16:9,2022-06-01,全球,https://www.iso.org,f6b8cd72,,
HEVC,高效视频编码标准,120.0,fps,10bit,超高清晰度,21:9,2021-01-01,全球,https://www.itu.int/en/ITU-T/Studies/Pages/default.aspx,f6b8cd72,,
