受理号（数字型）,技术名称（字符型）,技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,地区代码（字符型）,审评结论（字符型）,规范企业名称（字符型）,实施方式（字符型）,企业名称(CDE)（字符型）,试验登记号（数字型）,技术领域（字符型）,注册版本（字符型）,采集来源,来源链接,采集时间,备注
CN10-1819/TJ,火星探测器热控制技术,系统设计,空天技术,1,2023/11/5,中国航天技术研究院,无,已完成,100000,合格,航天科技有限公司,实验室测试,中国航天技术研究院,2023-009,空天技术,V1.1,《航天科技》期刊,http://www.spacejournal.cn,2024-10-09,
CN10-1815/TJ,深海与太空材料相容性研究,材料科学,空天技术,2,2023/9/25,海空材料研究所,无,正在进行,210000,待审,海空科技公司,实验室研究,海空材料研究所,2023-010,空天技术,V2.0,中国材料研究学会,http://www.cmos.org.cn,2024-10-09,
CN10-1785/TJ,先进复合材料在航天中的应用,工程开发,空天技术,1,2023/10/15,中国复合材料研究所,无,已受理,310000,合格,复合科技公司,技术实施,中国复合材料研究所,2023-011,空天技术,V1.0,国家材料科学中心,http://www.cams.gov.cn,2024-10-09,
CN10-1710/TJ,量子通信卫星技术,前沿科技,空天技术,1,2023/9/30,量子科技发展有限公司,无,完成,440000,合格,量子科技公司,实验室测试,量子科技发展有限公司,2023-012,空天技术,V1.2,《量子科技》杂志,http://www.quantummagazine.cn,2024-10-09,
CN10-1787/TJ,轨道垃圾监测与处理技术,应用开发,空天技术,2,2023/8/1,轨道清理技术中心,无,正在进行,330000,待审,轨道科技公司,技术研究,轨道清理技术中心,2023-013,空天技术,V1.0,中国航天报,http://www.spaceweekly.cn,2024-10-09,
CN10-1742/TJ,空间气候监测与预测技术,环境监测,空天技术,1,2023/7/15,空间气候研究所,无,已完成,450000,合格,空间科技有限公司,项目实施,空间气候研究所,2023-014,空天技术,V1.0,环境保护部,http://www.mee.gov.cn,2024-10-09,
CN10-1813/TJ,量子通信技术在空天系统中的应用,系统设计,空天技术,1,2023/2/25,量子科技研究院,未来通信公司,已受理,410000,合格,量子科技有限公司,实验室演示,量子科技研究院,2023-006,空天技术,V1.0,中国科技网,http://www.cctv.com,2024-10-09,
CN10-1790/TJ,智能无人机路径优化技术,算法研究,空天技术,2,2023/4/18,智航科技有限公司,无人机产业协会,完成,520000,合格,智航科技,模拟测试,智航科技有限公司,2023-007,空天技术,V2.0,科技日报,http://www.stdaily.com,2024-10-09,
CN10-1773/TJ,低轨卫星通信系统,系统设计,空天技术,1,2023/5/5,星际通讯有限公司,太空网络科技,正在进行,330000,待审,星际科技公司,原型测试,星际通讯有限公司,2023-008,空天技术,V1.1,业务论坛,http://www.bbs.com,2024-10-09,
CN10-1782/TJ,空天无人机空中加油系统,系统设计,空天技术,2,2023/7/15,空天飞行器制造有限公司,高空技术公司,已完成,620000,合格,空天科技研究院,地面测试,空天飞行器制造有限公司,2023-009,空天技术,V1.0,航空航天报,http://www.aviationnews.com,2024-10-09,
CN10-1819/TJ,深空探测器技术研发,探测技术,空天技术,1,2023/7/30,宇宙探索公司,太空科学研究院,待审,340000,待审,宇宙科技有限公司,实验室测试,宇宙探索公司,2023-010,空天技术,V1.0,航天在线,http://www.spaceonline.com,2024-10-09,
CN10-1815/TJ,气候监测卫星数据分析技术,数据处理,空天技术,2,2023/8/20,气候科技中心,气象局,已受理,410000,合格,气候数据公司,数据分析,气候科技中心,2023-011,空天技术,V1.2,气象网站,http://www.weather.gov,2024-10-09,
CN10-1785/TJ,卫星遥感技术的军民融合,技术设计,空天技术,1,2023/9/5,卫星技术有限公司,国防科技局,进行中,120000,合格,卫星科技研究院,联合实验,卫星技术有限公司,2023-012,空天技术,V1.0,国防科技报,http://www.defense-news.com,2024-10-09,
CN10-1710/TJ,多传感器集成空天系统,系统集成,空天技术,2,2023/10/10,集成技术研究所,空天集成公司,已完成,510000,合格,集成科技有限公司,系统测试,集成技术研究所,2023-013,空天技术,V1.1,空天技术平台,http://www.space-tech.com,2024-10-09,
CN10-1787/TJ,高速气体动力技术,动力系统,空天技术,1,2023/8/30,动力科技企业,流体动力研究所,待审,150000,待审,动力技术有限公司,实验室分析,动力科技企业,2023-014,空天技术,V1.0,流体动力论坛,http://www.fluidforum.com,2024-10-09,
CN10-1742/TJ,空间碎片监测系统,系统设计,空天技术,1,2023/7/15,空间安全研究院,中国航天科技集团,已受理,210000,合格,空间科技公司,实地测试,空间安全研究院,2023-006,空天技术,V1.0,中国日报,http://www.chinadaily.com.cn/,2024-10-09,
CN10-1813/TJ,星间通信多天线传输技术,通信系统,空天技术,2,2023/8/20,卫星通信研究所,光明卫星技术有限公司,完成,440100,合格,卫星科技公司,实验室测试,卫星通信研究所,2023-007,空天技术,V1.2,光明日报,http://www.gmw.cn/,2024-10-09,
CN10-1790/TJ,载人航天舱热防护材料,材料科学,空天技术,1,2023/9/5,中国航天科技有限公司,神舟材料技术公司,正在进行,120000,待审,航天材料公司,实验室测试,中国航天科技有限公司,2023-008,空天技术,V1.1,中央电视台,http://www.cctv.com/,2024-10-09,
CN10-1773/TJ,卫星遥感大数据处理技术,数据处理,空天技术,2,2023/10/1,大数据科技公司,智慧星球研究院,已完成,310100,合格,大数据解析公司,云计算分析,大数据科技公司,2023-009,空天技术,V2.0,商业推广网,https://www.cpn.cn/,2024-10-09,
CN10-1782/TJ,月球基地结构设计技术,建筑设计,空天技术,1,2023/9/25,国际宇航院,月球建设有限公司,待审,430000,待审,宇航建筑公司,概念验证,国际宇航院,2023-010,空天技术,V1.0,航天新闻,http://www.space.com/,2024-10-09,
CN10-1819/TJ,火星探测器动力系统优化算法,算法开发,空天技术,1,2023/8/15,火星探测技术中心,红星航天科技公司,完成,360100,合格,探测科技公司,算法测试,火星探测技术中心,2023-011,空天技术,V1.0,科学技术部,http://www.most.gov.cn/,2024-10-09,
CN10-1815/TJ,太空机器人自主操作技术,机器人技术,空天技术,2,2023/10/10,未来机器人科技公司,星际探测机构,已受理,440300,合格,机器人研发公司,实验室测试,未来机器人科技公司,2023-012,空天技术,V1.0,南方科技新闻,http://www.sznews.com/,2024-10-09,
CN10-1785/TJ,空间微波通信研究,通信技术,空天技术,1,2023/11/20,微波技术研究院,太空通信科技公司,正在进行,310200,待审,通信科技公司,理论验证,微波技术研究院,2023-013,空天技术,V1.0,中国科技网,http://www.cstnet.cn/,2024-10-09,
CN10-1710/TJ,天基激光测距系统,测距技术,空天技术,1,2023/9/30,光电技术研究所,卫星探索集团,已完成,540000,合格,光电科技公司,试验室测试,光电技术研究所,2023-014,空天技术,V1.0,新华科技,http://www.xinhuanet.com/tech/,2024-10-09,
CN10-1787/TJ,卫星通信网络优化方案,网络优化,空天技术,2,2023/10/1,星联科技公司,未来航天有限公司,已受理,420000,合格,星联科技有限公司,模拟仿真,星联科技公司,2023-006,空天技术,V1.0,新华社,http://www.xinhuanet.com/,2024-10-09,
CN10-1742/TJ,载人航天飞行控制系统,控制系统,空天技术,1,2023/9/15,航天科技集团,智能航天工程公司,完成,110000,合格,航天科技公司,系统验证,航天科技集团,2023-007,空天技术,V1.2,国家航天局,http://www.cnsa.gov.cn/,2024-10-09,
CN10-1813/TJ,地面控制站软件系统,软件开发,空天技术,1,2023/7/22,宇航信息技术公司,无,正在进行,310000,待审,宇航科技股份有限公司,软件测试,宇航信息技术公司,2023-008,空天技术,V2.0,中国航天科技网,https://www.spacechina.com/,2024-10-09,
CN10-1790/TJ,深空数据传输协议,数据通信,空天技术,2,2023/8/30,深空通信公司,科技前沿公司,已完成,450000,合格,深空科技有限公司,理论分析,深空通信公司,2023-009,空天技术,V1.5,科技日报,http://www.stdaily.com/,2024-10-09,
CN10-1773/TJ,可重复使用火箭设计方案,系统设计,空天技术,1,2023/5/10,飞天工程科技公司,迅达航天技术有限公司,已受理,440000,合格,飞天科技公司,机械测试,飞天工程科技公司,2023-010,空天技术,V1.0,南方日报,http://www.southcn.com/,2024-10-09,
CN10-1782/TJ,卫星遥感数据分析技术,数据处理,空天技术,2,2023/4/16,遥感科技研究院,无,正在进行,340000,待审,遥感技术公司,软件开发,遥感科技研究院,2023-011,空天技术,V1.1,中国科技网,http://www.sciencenet.cn/,2024-10-09,
CN10-1819/TJ,无人机空中测量系统,系统集成,空天技术,1,2023/3/22,智能无人机公司,高飞航空科研院,完成,510000,合格,高飞航空有限公司,现场测试,智能无人机公司,2023-012,空天技术,V1.3,人民网,http://www.people.com.cn/,2024-10-09,
CN10-1815/TJ,超高空气象监测设备,设备研制,空天技术,2,2023/2/19,空中气象科技公司,无,待审,230000,待审,空中气象公司,实地试验,空中气象科技公司,2023-013,空天技术,V1.0,中国天气网,http://www.weather.com.cn/,2024-10-09,
CN10-1785/TJ,航天科学实验室搭建技术,实验室建设,空天技术,1,2023/1/5,星际研究所,创新科技公司,已完成,650000,合格,星际科技公司,结构测试,星际研究所,2023-014,空天技术,V1.0,科技发展部,http://www.most.gov.cn/,2024-10-09,
CN10-1710/TJ,电磁波探测与监测系统,监测系统,空天技术,1,2023/9/25,电磁技术研发中心,新一代科技公司,已受理,450000,合格,电磁科技有限公司,实验室测试,电磁技术研发中心,2023-006,空天技术,V1.0,科技日报,http://www.stdaily.com/,2024-10-09,
CN10-1787/TJ,小型卫星数据传输技术,数据传输,空天技术,2,2023/10/2,小卫星科技有限公司,卫星应用研究所,完成,220000,合格,小卫星科技公司,实地测试,小卫星科技有限公司,2023-007,空天技术,V1.1,国际空间网,http://www.space.com/,2024-10-09,
CN10-1742/TJ,空天无人机自动配载系统,系统设计,空天技术,1,2023/10/15,无人机技术推广中心,先进无人机公司,正在进行,410000,待审,无人驾驶科技公司,系统集成测试,无人机技术推广中心,2023-008,空天技术,V1.0,航空工业网,http://www.aeroindustry.com/,2024-10-09,
CN10-1813/TJ,深空探测大气层技术,性能测试,空天技术,2,2023/11/1,深空探测研究院,中国探空科技公司,已完成,540000,合格,深空科技有限公司,风洞实验,深空探测研究院,2023-009,空天技术,V1.2,中国航空网,http://www.cnair.com/,2024-10-09,
CN10-1790/TJ,卫星轨道管理系统,管理系统,空天技术,1,2023/11/15,航天信息技术公司,轨道科技研究所,已受理,350000,合格,航天科技公司,模拟测试,航天信息技术公司,2023-010,空天技术,V1.0,科技部官网,http://www.most.gov.cn/,2024-10-09,
CN10-1773/TJ,载人航天飞行控制技术,控制系统,空天技术,2,2023/12/5,载人航天中心,中国航天科技集团,完成,100000,合格,载人航天科技公司,系统验证,载人航天中心,2023-011,空天技术,V1.1,新华网,http://www.news.cn/,2024-10-09,
CN10-1782/TJ,太空碎片监测与处理技术,监测技术,空天技术,1,2023/12/20,太空管理科技协会,绿色地球科技公司,正在进行,620000,待审,太空科技有限公司,数据监测,太空管理科技协会,2023-012,空天技术,V1.0,未来科技网,http://www.futuretech.com/,2024-10-09,
CN10-1819/TJ,智能无人机导航控制系统,导航系统,空天技术,2,2024/1/10,智能航天科技有限公司,无人机产业研究所,已完成,220000,合格,智能科技公司,实验室模拟,智能航天科技有限公司,2024-001,空天技术,V1.1,Aerospace Daily,http://www.aerospacedaily.com/,2024-10-09,
CN10-1815/TJ,基于AI的卫星影像分析技术,数据分析,空天技术,1,2024/1/20,智能影像科学有限公司,数据分析研究所,正在进行,450000,待审,AI科技公司,数据处理测试,智能影像科学有限公司,2024-002,空天技术,V1.0,接口科技网,http://www.techinterface.com/,2024-10-09,
CN10-1785/TJ,量子通信卫星技术,系统开发,空天技术,1,2023/10/1,量子科技有限公司,光子通信股份公司,已受理,110000,合格,量子速度科技,实验室测试,量子科技有限公司,2023-006,空天技术,V1.0,国家科技部,http://www.most.gov.cn/,2024-10-09,
CN10-1710/TJ,超高空飞行器开发技术,系统设计,空天技术,2,2023/11/15,超高空研究所,未来航天股份公司,正在进行,430000,待审,青萍航天科技,原型试飞,超高空研究所,2023-007,空天技术,V1.2,航天日报,http://www.space.com/,2024-10-09,
CN10-1787/TJ,低轨卫星星座部署技术,系统集成,空天技术,1,2023/4/22,卫星技术公司,宇航联合有限公司,已完成,410000,合格,卫星技术与管理公司,全系统测试,卫星技术公司,2023-008,空天技术,V1.1,中国航天新闻网,http://www.spaceflight.cn/,2024-10-09,
CN10-1742/TJ,天基环境监测系统,数据采集,空天技术,2,2023/7/30,环境监测中心,自然资源保护协作组,完成,220000,合格,监测科技有限公司,数据分析,环境监测中心,2023-009,空天技术,V1.3,中国环境保护部,http://www.epa.gov.cn/,2024-10-09,
CN10-1813/TJ,智能无人机飞行控制技术,系统开发,空天技术,1,2023/5/18,无人机创新科技公司,飞行控制研究所,待审,540000,待审,无人机科技有限公司,软件仿真,无人机创新科技公司,2023-010,空天技术,V1.0,无人机网,http://www.uavchina.org/,2024-10-09,
CN10-1790/TJ,极地探测器设计方案,系统设计,空天技术,1,2023/9/20,极地探索公司,科学探测协作组,已受理,150000,合格,极地科技有限公司,现场测试,极地探索公司,2023-011,空天技术,V1.0,探索频道,http://www.explore.com/,2024-10-09,
CN10-1773/TJ,微小型卫星制造技术,系统开发,空天技术,2,2023/12/5,微卫星技术公司,宇宙探索集团,完成,610000,合格,微卫星制造有限公司,生产线测试,微卫星技术公司,2023-012,空天技术,V1.0,电子科技部,http://www.miit.gov.cn/,2024-10-09,
CN10-1782/TJ,空中交通管理技术,系统集成,空天技术,3,2023/10/15,航天交通公司,航空管理局,正在进行,730000,待审,空中安全科技公司,模拟仿真,航天交通公司,2023-013,空天技术,V1.1,航天科技信息网,http://www.aerospaceinfo.net/,2024-10-09,
CN10-1819/TJ,空间动力推进技术,研究开发,空天技术,1,2023/11/1,推进科技研发中心,宇航工程公司,已完成,520000,合格,引擎科技有限公司,实验室试验,推进科技研发中心,2023-014,空天技术,V1.0,科技日报,http://www.stdaily.com/,2024-10-09,
CN10-1815/TJ,智能控制系统优化设计,系统设计,空天技术,1,2023/10/1,未来航天技术公司,无,已受理,410000,合格,现代航天科技公司,计算机模拟,未来航天技术公司,2023-006,空天技术,V1.0,河南省科技厅,http://www.hnkj.gov.cn/,2024-10-09,
CN10-1785/TJ,新型探测器热控系统,温控技术,空天技术,2,2023/9/15,中国航天科技集团,中国电子科技集团,完成,110000,合格,航天热控科技公司,实验室测试,中国航天科技集团,2023-007,空天技术,V1.1,中国航天新闻,http://www.spacechina.com/,2024-10-09,
CN10-1710/TJ,量子通信卫星技术,通信技术,空天技术,1,2023/11/5,量子通信技术有限公司,无,正在进行,430000,待审,量子技术研究院,卫星实验,量子通信技术有限公司,2023-008,空天技术,V1.0,湖南省科技厅,http://www.hnstc.gov.cn/,2024-10-09,
