试验题目（字符型）,登记号（字符型）,地方标准（字符型）,空天技术系统名称（字符型）,空天技术系统类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验完成时间（日期型）,最新状态日期（日期型）,注册受理号（数字型）,股票代码（数字型）,申报类型（字符型）,规范企业名称（字符型）,试验数据来源（字符型）,试验国家/地区（字符型）,采集来源,来源链接,采集时间,备注
空间辐射环境监测实验,京公网安备11010802156789号,GB/T 88888,辐射监测系统,监测系统,完成,第三阶段,监测测试,陆倩,航天辐射研究所,国家环境监测中心,2023-10-05,2023-10-15,2023-10-30,2023-10-31,京公网安备11010802156789号,930875,项目申报,环境科技有限公司,实验室数据,中国,新华网,http://www.xinhuanet.com/,2024-10-09,
空间能源收集系统测试,京公网安备11010802167890号,GB/T 77777,空间光电能量收集器,能源系统,正在进行,第一阶段,完备性测试,孟超,空间能源研究院,国家能源局,2023-11-01,2023-11-10,待定,2024-01-01,京公网安备11010802167890号,930875,科研项目,光电科技有限公司,实验室记录,中国,科技网,http://www.sciencenet.cn/,2024-10-09,
低轨道卫星通信链路实验,京公网安备11010802178901号,GB/T 83765,低轨卫星通信系统,通信系统,完成,第一阶段,性能测试,赵强,通信与信息工程研究院,国家卫星通信实验室,2023-09-05,2023-09-20,2023-10-10,2023-10-15,京公网安备11010802178901号,930875,科研项目,卫星科技有限公司,实验室数据,中国,中国科技网,http://www.cstc.gov.cn,2024-10-09,
超高分辨率遥感实测数据采集,京公网安备11010802189012号,GB/T 17299,超分辨率成像系统,遥感系统,正在进行,第二阶段,技术验证,周昊,地球科学研究院,遥感与成像技术中心,2023-10-01,2023-10-15,待定,2024-01-05,京公网安备11010802189012号,930875,项目申报,成像科技股份有限公司,现场实测数据,中国,科研网,http://www.research.net.cn,2024-10-09,
新型推进剂燃烧特性实验,空天技术备案号11010802012345,GB/T 28180,先进推进系统,推进系统,完成,第一阶段,材料测试,孙丽,航天动力研究中心,空间推进实验室,2023-08-30,2023-09-10,2023-09-25,2023-09-30,空天技术备案号11010802012345,930875,科研项目,航天推进技术公司,实验室数据,中国,航天科技网,http://www.space.org.cn,2024-10-09,
高超声速飞行器热保护系统测试,空天技术备案号11010802067890,GB/T 13579,高超声速飞行器,实验系统,进行中,第三阶段,热性能测试,李娜,航空航天材料研究所,航空工程实验室,2023-09-15,2023-09-25,待定,2024-01-01,空天技术备案号11010802067890,930875,项目申报,热保护科技公司,测试记录数据,中国,国家科技部,http://www.most.gov.cn,2024-10-09,
月球基地建设材料实验,空天技术备案号11010802023456,GB/T 40312,月球基地科研系统,科研设施,完成,第二阶段,科研实验,何杰,中国空间科学研究院,月球资源实验室,2023-10-05,2023-10-20,2023-11-10,2023-11-15,空天技术备案号11010802023456,930875,科研项目,月球工程科技有限公司,实验室数据,中国,空间网,http://www.space.com.cn,2024-10-09,
空天技术辅助决策系统实验,空天技术备案号11010802078901,GB/T 03582,智慧空天系统,决策系统,正在进行,第一阶段,技术验证,杨晨,系统科学研究中心,智能决策实验室,2023-11-01,2023-11-15,待定,2024-01-15,空天技术备案号11010802078901,930875,项目申报,智能科技公司,现场测试数据,中国,人工智能网,http://www.ai.org.cn,2024-10-09,
空天电磁环境影响测试,空天技术备案号11010802034567,GB/T 17244,电磁环境监测系统,监测系统,完成,第二阶段,环境监测,吴敏,国家气象局,电磁实验室,2023-11-10,2023-11-20,2023-12-05,2023-12-10,空天技术备案号11010802034567,930875,科研项目,气象科技股份公司,实验室数据,中国,国家气象网,http://www.weather.gov.cn,2024-10-09,
空间站生命保障系统测试,空天技术备案号11010802045678,GB/T 72480,空间站生命保障系统,生命保障系统,正在进行,第一阶段,系统集成,于磊,航天生物技术研究所,航天健康实验室,2023-12-01,2023-12-10,待定,2024-01-05,空天技术备案号11010802045678,930875,项目申报,生物科技有限公司,现场测试数据,中国,航天医学网,http://www.spacebiomed.com,2024-10-09,
火星探测器着陆系统实验,空天技术备案号11010802098765,GB/T 34512,火星探测器,探测系统,完成,第二阶段,系统测试,高飞,中国火星计划中心,航天器测试实验室,2023-10-12,2023-10-20,2023-11-05,2023-11-10,空天技术备案号11010802098765,930875,科研项目,探测科技有限公司,实验室数据,中国,太空探索网,http://www.spaceexplore.com,2024-10-09,
空间电磁干扰测试,空天技术备案号11010802087654,GB/T 83765,电磁干扰系统,干扰系统,完成,第二阶段,性能测试,马云,科学技术大学,国家电磁实验室,2023-09-15,2023-10-01,2023-10-31,2023-11-01,空天技术备案号11010802087654,930875,科研项目,电磁科技有限公司,实验室数据,中国,科技日报,https://www.stdaily.com/,2024-10-09,
空间环境适应性测试,空天技术备案号11010802034523,GB/T 13579,适应性测试系统,实验系统,正在进行,第三阶段,技术验证,李刚,中国科学院空间应用研究中心,北京航天测试中心,2023-10-05,2023-10-20,待定,2023-12-15,空天技术备案号11010802034523,930875,项目申报,宇航科技有限公司,现场测试数据,中国,科学网,https://www.sciencetimes.com/,2024-10-09,
高能激光系统试验,空天技术备案号11010802091234,GB/T 11272,激光推动航天器,实验系统,完成,第一阶段,性能测试,王涛,国家激光研究中心,长春光机研究所,2023-11-05,2023-11-10,2023-11-20,2023-11-25,空天技术备案号11010802091234,930875,科研项目,激光科技公司,实验室数据,中国,新华网,http://www.xinhuanet.com/,2024-10-09,
微重力下材料配比实验,京公网安备11010802012345号,GB/T 13141,材料科学实验平台,实验舱,正在进行,第三阶段,科学实验,赵哲,材料科学与工程研究院,广州航天科技有限公司,2023-11-17,2023-12-01,待定,2024-01-05,京公网安备11010802012345号,930875,项目申报,空间材料科技有限公司,实验室数据,中国,今日头条,https://www.toutiao.com/,2024-10-09,
载人航天系统演练,京公网安备11010802056789号,GB/T 14785,载人飞行器,飞行系统,完成,第一阶段,演练,唐洋,神州航天集团,航天员训练中心,2023-11-20,2023-12-05,2023-12-20,2023-12-21,京公网安备11010802056789号,930875,科研项目,航天科技股份有限公司,现场测试数据,中国,人民日报,http://www.people.com.cn/,2024-10-09,
深空探测器综合性能评估,京公网安备11010802098765号,GB/T 19283,深空探测器,探测系统,完成,第二阶段,性能测试,张磊,中国科学院,四维空间实验室,2023-11-25,2023-12-10,2023-12-30,2024-01-05,京公网安备11010802098765号,930875,科研项目,深空探索技术有限公司,实验室数据,中国,科技部,https://www.most.gov.cn/,2024-10-09,
卫星数据处理算法优化,京公网安备11010802043210号,GB/T 12654,卫星数据处理系统,数据处理系统,正在进行,第一阶段,数据分析,李娜,国家卫星气象中心,气象数据分析实验室,2023-12-01,2023-12-15,待定,2024-01-10,京公网安备11010802043210号,930875,项目申报,卫星技术有限公司,现场测试数据,中国,气象网,http://www.weather.com.cn/,2024-10-09,
高超声速滑翔技术研究,京公网安备11010802011112号,GB/T 15834,高超声速滑翔器,实验系统,完成,第二阶段,技术验证,孙凯,航天技师学院,国家高速飞行实验室,2023-12-10,2023-12-20,2024-01-15,2024-01-16,京公网安备11010802011112号,930875,科研项目,高超声速科技股份有限公司,实验室数据,中国,科技部,https://www.most.gov.cn/,2024-10-09,
无人机智能控制系统测试,京公网安备11010802054321号,GB/T 16834,无人机控制系统,飞行控制系统,完成,第一阶段,技术验证,于涛,无人机研究中心,国家航空实验室,2023-12-15,2024-01-01,2024-01-10,2024-01-12,京公网安备11010802054321号,930875,项目申报,无人机技术有限公司,实验室数据,中国,飞行网,http://www.flightnews.com/,2024-10-09,
新型推进系统性能评估,京公网安备11010802067890号,GB/T 78121,电磁推进器,推进系统,完成,第一阶段,性能测试,赵强,航天推进研究院,国家航天实验中心,2023-05-15,2023-06-01,2023-06-20,2023-06-25,京公网安备11010802067890号,930875,科研项目,航天推进科技公司,实验室数据,中国,中国航天科技集团,https://www.casc.com.cn/,2024-10-09,
空间站对接技术试验,京公网安备11010802034567号,GB/T 101112,空间对接系统,对接技术,正在进行,第二阶段,技术验证,于晓,载人航天工程办公室,国家航天局,2023-07-10,2023-07-15,待定,2023-08-01,京公网安备11010802034567号,930875,项目申报,航天对接科技有限公司,实地测试数据,中国,科学网,https://www.sciencenet.cn/,2024-10-09,
月球探测机器人实地测试,京公网安备11010802087654号,GB/T 55897,月球探测机器人,探测系统,完成,第三阶段,科学实验,李娜,中国科学院,地球与行星研究所,2023-08-05,2023-08-10,2023-09-10,2023-09-15,京公网安备11010802087654号,930875,科研项目,探月科技有限公司,实验室数据,中国,中国科学院院网,http://www.cas.cn/,2024-10-09,
先进卫星通信技术测试,京公网安备11010802023456号,GB/T 13579,新一代卫星通信系统,通信系统,正在进行,第一阶段,技术测试,孙翔,卫星通信研究所,国家卫星实验室,2023-09-01,2023-09-10,待定,2023-09-15,京公网安备11010802023456号,930875,项目申报,卫星科技股份有限公司,实地测试数据,中国,卫星互联网,http://www.sast.gov.cn/,2024-10-09,
低轨卫星网络组网实验,京公网安备11010802012345号,GB/T 14785,低轨通信卫星网络,网络系统,完成,第一阶段,网络测试,周艳,低轨卫星开发中心,国家卫星通信实验室,2023-06-15,2023-06-20,2023-07-05,2023-07-10,京公网安备11010802012345号,930875,科研项目,航天通信网络公司,实验室数据,中国,航天日报,http://www.spaceflightnews.net/,2024-10-09,
空间物理实验舱测试,京公网安备11010802067890号,GB/T 25869,空间物理实验舱,实验舱,正在进行,第一阶段,科学实验,孟涛,空间物理研究所,航天科学与技术研究中心,2023-09-12,2023-09-15,待定,2023-09-20,京公网安备11010802067890号,930875,项目申报,航天物理公司,实验室数据,中国,物理学报,http://www.phys.org/,2024-10-09,
航天材料力学试验,京公网安备11010802023456号,GB/T 34895,航天复合材料,材料测试,完成,第一阶段,材料实验,张磊,航天材料研究所,国家材料科学实验室,2023-10-01,2023-10-05,2023-10-20,2023-10-25,京公网安备11010802023456号,930875,科研项目,航天材料科技公司,测试记录数据,中国,中国材料网,http://www.materials.com.cn/,2024-10-09,
无人机负载测试,京公网安备11010802098765号,GB/T 22723,无人机负载系统,无人机系统,完成,第二阶段,负载测试,黄梅,无人机研发中心,国家无人机实验室,2023-11-01,2023-11-05,2023-11-20,2023-11-25,京公网安备11010802098765号,930875,项目申报,无人机科技有限公司,实验室数据,中国,无人机快报,http://www.uavnews.com/,2024-10-09,
高能粒子探测器测试,京公网安备11010802034567号,GB/T 98387,高能粒子探测器,探测系统,完成,第三阶段,科学实验,何勇,粒子物理研究所,国家高能物理实验室,2023-09-20,2023-09-25,2023-10-10,2023-10-15,京公网安备11010802034567号,930875,科研项目,高能科技有限公司,实验室数据,中国,高能物理研究网,http://www.higherenergy.org/,2024-10-09,
空天热防护材料的测试,京公网安备11010802045678号,GB/T 03789,热防护系统,材料测试,完成,第一阶段,材料测试,赵晨,材料科学研究院,国防科技大学,2023-05-20,2023-06-10,2023-07-01,2023-07-05,京公网安备11010802045678号,930875,科研项目,先进材料科技有限公司,实验室数据,中国,搜狐科技,,2024-10-09,
低轨小卫星通信技术实验,京公网安备11010802087654号,GB/T 67891,小卫星通信系统,通信系统,正在进行,第二阶段,技术验证,李娜,航天信息技术中心,中国卫星通信集团公司,2023-08-15,2023-09-01,待定,2023-09-30,京公网安备11010802087654号,930875,项目申报,卫星通信技术有限公司,现场测试,中国,新华网,,2024-10-09,
航天智能控制算法验证实验,京公网安备11010802056789号,GB/T 78121,智能控制系统,控制系统,完成,第一阶段,算法测试,于建,航天智能研究所,国家航天局,2023-06-30,2023-07-15,2023-08-05,2023-08-10,京公网安备11010802056789号,930875,科研项目,智能科技有限公司,模拟测试数据,中国,科技日报,,2024-10-09,
空间环境适应性研究实验,京公网安备11010802011223号,GB/T 89101,空间适应系统,环境模拟,正进行,第三阶段,环境测试,王翔,航天环境研究所,国家空间实验室,2023-07-25,2023-08-05,待定,2023-09-20,京公网安备11010802011223号,930875,项目申报,环境科技有限公司,实验室数据,中国,人民网,,2024-10-09,
高超声速飞行器导航测试实验,京公网安备11010802044556号,GB/T 91724,超声速导航系统,导航系统,完成,第一阶段,性能测试,杨华,航天应用技术研究院,国家航天技术研究中心,2023-09-15,2023-10-01,2023-10-15,2023-10-20,京公网安备11010802044556号,930875,科研项目,飞行器导航科技有限公司,现场测试数据,中国,科技部,,2024-10-09,
空天气象监测与预测系统实验,"京公网安备11010802032367号,京公网安备11010802032368号,京公网安备11010802032369号,京公网安备11010802032370号,京公网安备11010802032371号,京公网安备11010802032372号,京公网安备11010802032373号,京公网安备11010802032374号,京公网安备11010802032375号,京公网安备11010802032376号",GB/T 97245,气象监测系统,监测系统,完成,第二阶段,监测测试,周勇,气象科学研究所,国家气象局,2022-10-05,2023-01-01,2023-05-10,2023-05-15,"京公网安备11010802032367号,京公网安备11010802032368号,京公网安备11010802032369号,京公网安备11010802032370号,京公网安备11010802032371号,京公网安备11010802032372号,京公网安备11010802032373号,京公网安备11010802032374号,京公网安备11010802032375号,京公网安备11010802032376号",930875,项目申报,气象科技有限公司,实地监测数据,中国,中国气象局网站,,2024-10-09,
