激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,单位,采集来源,来源链接,采集时间,备注,
二极管激光器,780-1600 nm,50-60%,100,W,<1.4,优秀,优秀,良好,塑料、金属,高,中型,每年,中等,便捷,12000,小时,国家机械装备行业协会,http://www.cmeia.org.cn,2024-09-25,,
激光增材制造器,1080 nm,30-35%,5000,W,<2.0,中等,优良,优秀,金属、陶瓷、塑料,中,中型,每年,高,非常便捷,11000,小时,工业激光应用联盟,http://www.laseralliance.org.cn,2024-09-25,,
超短脉冲激光器,800 nm,20-40%,600,W,<1.5,优良,优良,良好,金属、陶瓷,低,大型,每年,较高,较便捷,14000,小时,中国高能激光技术研究中心,http://www.chinahighpowerlaser.org.cn,2024-09-25,,
氦氖激光器,632.8 nm,2-5%,1,W,1.2,优秀,中等,良好,塑料、金属薄板,高,中型,每年,中等,较为便捷,10000,小时,中国光学学会,https://www.cos.org.cn,2024-09-25,,
便携式激光器,980 nm,10-15%,50,W,1.4,良好,优良,优秀,金属切割、塑料焊接,较高,小型,每半年,较低,很便捷,15000,小时,华南理工大学,https://www.scut.edu.cn,2024-09-25,,
二氧化碳激光器,10.6 µm,10%-12%,1200,W,1.1,优秀,中等,优良,塑料、陶瓷,低,大型,每年,较高,较便捷,8000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
Yb激光器,1030 nm,29%-35%,2500,W,<1.2,优良,优秀,优秀,金属、合金,高,中型,每年,中等,非常便捷,12000,小时,上海科技大学,https://www.shanghaitech.edu.cn,2024-09-25,,
光纤激光器,1070 nm,35%-42%,4000,W,>2.0,一般,较差,良好,打标、表面处理,中,小型,每季度,较高,便捷,6000,小时,国家激光产业技术创新战略联盟,https://www.laseralliance.org,2024-09-25,,
半导体激光器,780-940 nm,45%-55%,600,W,接近1.5,良好,优良,良好,塑料、纸、金属,中,小型,每年,中等,便捷,10000,小时,国家半导体激光技术创新中心,https://www.ssltech.org,2024-09-25,,
固态激光器,1064 nm,18%-25%,1500,W,<1.3,优秀,优良,优良,金属、复合材料,高,中型,每年,中等,非常便捷,20000,小时,中国激光器研究所,https://www.clri.org.cn,2024-09-25,,
极紫外激光器,13.5 nm,25%-30%,500,W,1.8,良好,优良,一般,金属、非金属,中,小型,每年,中等,便捷,9000,小时,宁波大学,https://www.nbu.edu.cn,2024-09-25,,
蓝光激光器,450 nm,20%-30%,700,W,1.5,优良,中等,良好,金属、光电材料,高,中型,每年,较低,较便捷,12000,小时,中国材料研究院,https://www.msi.org.cn,2024-09-25,,
可调激光器,700-1100 nm,30%-40%,1200,W,1,优秀,优秀,良好,塑料、玻璃、金属,中,中型,每年,中等,便捷,8000,小时,中国激光产业科技协会,https://www.clia.org.cn,2024-09-25,,
绿激光器,520 nm,25%-35%,1500,W,2,良好,中等,优秀,金属、塑料、木材,高,小型,每半年,较低,便捷,15000,小时,中国光电技术学会,https://www.copt.org.cn,2024-09-25,,
紫外激光器,355 nm,15%-25%,1000,W,<2.0,一般,较差,优良,光纤、薄膜,低,大型,每年,高,一般,10000,小时,中国电子学会,https://www.cecb.org.cn,2024-09-25,,
钕激光器,1064 nm,15%-20%,1200,W,3,良好,良好,中等,金属、塑料,中,中型,每年,中等,较便捷,7000,小时,北京科学技术委员会,https://www.bjkw.gov.cn,2024-09-25,,
磷酸盐激光器,1330 nm,12%-18%,800,W,1.3,优秀,优秀,优秀,金属、陶瓷、复合材料,高,大型,每年,高,非常便捷,12000,小时,中国激光医学学会,https://www.cma.org.cn,2024-09-25,,
超快激光器,800 nm,25%-30%,500,W,1.1,优秀,良好,优良,金属、塑料、玻璃,高,中型,每年,中等,便捷,18000,小时,中国光机电工程学会,https://www.ciml.org.cn,2024-09-25,,
激光二极管,780 nm,50%-60%,200,W,2.5,一般,中等,中等,胶水、塑料,低,小型,每半年,较高,便捷,30000,小时,中国材料研究学会,https://www.csnm.org.cn,2024-09-25,,
蓝色激光器,445 nm,20%-25%,300,W,<1.2,优秀,优秀,良好,金属、陶瓷、半导体,中,中型,每年,高,非常便捷,5000,小时,光电技术研究院,https://www.opti.org.cn,2024-09-25,,
模组激光器,650 nm,30%-35%,150,W,1.5,优秀,中等,优良,生物组织、塑料,低,小型,每年,中等,较便捷,6000,小时,卫生健康委员会,https://www.nhc.gov.cn,2024-09-25,,
氙氟激光器,157 nm,5%-10%,500,W,1,优良,优秀,优良,金属、陶瓷、玻璃,中,中型,每年,中等,较便捷,12000,小时,激光技术研究院,https://www.laserinstitute.org,2024-09-25,,
蓝光激光器,445 nm,30-35%,600,W,1.5,良好,优良,优秀,电子元件、塑料,高,小型,每半年,较高,非常便捷,10000,小时,电子行业协会,https://www.electronicsindustry.org,2024-09-25,,
氩离子激光器,488 nm,5-10%,1500,W,1.8,一般,中等,良好,金属、某些非金属,中,大型,每年,中等,较便捷,8000,小时,机械工程学会,https://www.asme.org,2024-09-25,,
固态激光器,532 nm,25-35%,2500,W,<1.4,优秀,优良,优秀,金属、塑料,高,小型,每年,低,非常便捷,25000,小时,激光技术国际会议,https://www.laserevent.com,2024-09-25,,
脉冲激光器,1064 nm,20-25%,1000,W,1.5,良好,优秀,良好,木材、塑料,低,大型,每年,中等,便捷,7000,小时,国家激光产业技术创新战略联盟,https://www.lasercollaborative.org,2024-09-25,,
二氧化碳激光器,10.6 µm,8%-12%,1200,W,>1.5,一般,中等,优秀,电子设备、打标,中,微型,每半年,高,较便捷,25000,小时,中国光学学会,https://www.oschina.net,2024-09-25,,
便携式激光器,750 nm,20-30%,400,W,1.3,优良,良好,中等,金属、陶瓷,高,中型,每年,中等,便捷,9000,小时,全球激光市场研究报告,https://www.marketresearch.com,2024-09-25,,
高能激光器,1064 nm,30-35%,8000,W,1.2,优良,优秀,优秀,电子、金属,高,中型,每年,较高,非常便捷,12000,小时,激光科技杂志,https://www.laserjournals.com,2024-09-25,,
绿色激光器,532 nm,15-25%,1500,W,1.6,一般,中等,良好,布料、木材,低,小型,每半年,低,便捷,15000,小时,中国激光行业协会,https://www.chinalaser.org,2024-09-25,,
紫外激光器,355 nm,25-35%,800,W,1,优良,优秀,优秀,塑料、玻璃、金属,中,中型,每年,较高,较便捷,12000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
光子晶体激光器,1550 nm,20-30%,300,W,1.3,良好,一般,优良,金属、非金属,高,大型,每年,中等,较便捷,8000,小时,国际激光焊接协会,https://www.iwla.org,2024-09-25,,
量子点激光器,500 nm,30-40%,1200,W,2,一般,中等,良好,玻璃、塑料,中,小型,每半年,中等,非常便捷,5000,小时,中国光学学会,https://www.cos.org.cn,2024-09-25,,
单模光纤激光器,1560 nm,40-50%,5000,W,1.4,优秀,优秀,优秀,金属切割、焊接,高,大型,每年,中等,较便捷,15000,小时,全球激光产业协会,https://www.global-laser.org,2024-09-25,,
可调谐激光器,780-800 nm,10-15%,1000,W,>2.0,一般,较差,良好,打标、表面处理,中,小型,每半年,低,非常便捷,35000,小时,电子科技大学,https://www.uestc.edu.cn,2024-09-25,,
COB激光器,450 nm,70-80%,250,W,<1.3,优良,优秀,优秀,金属、陶瓷,高,中型,每年,中等,非常便捷,30000,小时,上海科技大学,https://www.sustech.edu.cn,2024-09-25,,
高功率激光器,1064 nm,50-60%,10000,W,1.6,良好,中等,优良,综合材料切割,低,大型,每年,中等,较便捷,6000,小时,宁波激光器研究所,https://www.nblaser.org,2024-09-25,,
纳米激光器,2600 nm,15-25%,200,W,1.8,一般,一般,良好,多种材料,中,中型,每年,较高,较便捷,7000,小时,美国国家研究院,https://www.nist.gov,2024-09-25,,
双色激光器,532 nm,25-35%,1500,W,<1.0,优良,优秀,良好,生物材料、金属,高,大型,每年,较高,非常便捷,8000,小时,厦门大学,https://www.xmu.edu.cn,2024-09-25,,
氖激光器,632.8 nm,15-25%,300,W,<1.4,优秀,卓越,良好,不锈钢、铝、塑料,高,大型,每年,中等,非常便捷,25000小时,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
固体激光器,1064 nm,27-37%,2500,W,1.8,良好,优秀,优良,塑料、玻璃、陶瓷,中,中型,每年,较高,较便捷,15000小时,小时,国家半导体行业协会,https://www.semi.org,2024-09-25,,
镭射激光器,450 nm,30-50%,800,W,1.6,优良,优秀,优秀,塑料、木材、金属,中,大型,每年,中等,便捷,6000小时,小时,国际激光制造会议,https://www.laserconf.org,2024-09-25,,
超快速激光器,800 nm,40-55%,5000,W,>1.5,一般,较差,优良,打标、表面处理,中,小型,每半年,较高,较便捷,35000小时,小时,电子科技大学,https://www.uestc.edu.cn,2024-09-25,,
铒激光器,1540 nm,35-45%,2000,W,1.3,优秀,良好,优良,金属切割、焊接、陶瓷,高,中型,每年,中等,便捷,12000小时,小时,中国机械工程学会,https://www.cmes.org,2024-09-25,,
氦氖激光器,632.8 nm,10-20%,100,W,<1.2,优秀,卓越,良好,金属、复合材料、光学材料,中,小型,每年,较高,非常便捷,10000小时,小时,中国光学学会,https://www.cmos.org.cn,2024-09-25,,
固态激光器,1064 nm,30-40%,1200,W,1.5,良好,中等,优良,塑料、木材、金属,高,中型,每年,中等,便捷,12000小时,小时,中国材质科学学会,https://www.cmst.org.cn,2024-09-25,,
新型研究激光器,600 nm,45-60%,3500,W,2,一般,一般,中等,玻璃、金属表面处理,中,中型,每年,中等,较便捷,7500小时,小时,中国物理学会,https://www.cps.org.cn,2024-09-25,,
DPSS激光器,1064 nm,25-35%,2000,W,1.4,良好,优良,良好,塑料、树脂,低,小型,每半年,较低,便捷,20000小时,小时,工业激光网,https://www.industrylaser.com,2024-09-25,,
超短脉冲激光器,800 nm,35-45%,500,W,<1.2,优良,优秀,优秀,金属、复合材料,高,中型,每年,中等,较便捷,25000,小时,光电产业发展研究中心,https://www.optics.org.cn,2024-09-25,,
氩离子激光器,514 nm,5-15%,600,W,1.4,良好,良好,优良,金属、塑料,中,中型,每年,中等,较便捷,8000,小时,国际激光协会,https://www.ila.org,2024-09-25,,
绿色激光器,532 nm,30-40%,1000,W,>2.0,一般,较差,较差,表面打标,低,大型,每年,较高,一般,3000,小时,光电联会,https://www.lasers.org.cn,2024-09-25,,
宽带激光器,400-700 nm,40-50%,200,W,>1.5,一般,良好,良好,打标、表面处理,中,小型,每6个月,较低,非常便捷,15000,小时,电子类激光器研究所,https://www.elas.org.cn,2024-09-25,,
脉冲激光器,1064 nm,20-25%,800,W,<1.0,优良,优秀,优秀,金属粉末、陶瓷,高,大型,每年,高,较便捷,10000,小时,增材制造研究所,https://www.amresearch.cn,2024-09-25,,
可调谐激光器,480 nm,15-20%,300,W,1.3,良好,良好,一般,塑料、玻璃,低,中型,每年,较高,一般,7000,小时,材料与工程研究所,https://www.materials.com.cn,2024-09-25,,
脉冲激光器,1064 nm,25-35%,500,W,<1.0,优良,中等,优良,金属、塑料、陶瓷,中,小型,每年,中等,较便捷,12000,小时,激光技术协会,https://www.lasertech.org.cn,2024-09-25,,
蓝色激光器,488 nm,10-15%,800,W,>1.8,一般,差,差,打标、指示,低,小型,每年,较高,便捷,5000,小时,激光器行业分析中心,https://www.laseranalysis.cn,2024-09-25,,
超短脉冲激光器,1030 nm,20-30%,4000,W,1.6,一般,良好,一般,材料标记、打标,中,小型,每6个月,较低,非常便捷,4000,小时,便携式激光技术协会,https://www.portablelaser.org.cn,2024-09-25,,
氩气激光器,514 nm,30-40%,1000,W,1.8,优秀,高,良好,金属、陶瓷、塑料,中,大型,每年,中等,一般,6000,小时,中国激光行业协会,https://www.clia.org.cn,2024-09-25,,
可调谐激光器,400-800 nm,15-20%,600,W,1.1,卓越,优良,优秀,金属、塑料,高,中型,每年,中等,非常便捷,15000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
氦氖激光器,632.8 nm,2-5%,15,W,<1.2,优秀,优良,优秀,金属、合金、陶瓷,高,小型,每年,较低,非常便捷,25000,小时,电子科技大学,https://www.electronics.edu.cn,2024-09-25,,
增材制造激光器,1064 nm,25-35%,600,W,1.4,良好,中等,良好,塑料、薄膜,低,小型,每年,较高,较便捷,8000,小时,国家半导体照明工程研发及产业技术创新战略联盟,https://www.ssl.org.cn,2024-09-25,,
蓝色激光器,450 nm,25%-35%,1500,W,>1.8,一般,较差,优良,打标、表面处理,中,小型,每六个月,较高,较便捷,20000,小时,中国电子技术标准化研究院,https://www.cesi.cn,2024-09-25,,
紫外激光器,355 nm,20%-25%,1000,W,1.3,良好,优良,良好,金属、陶瓷,高,中型,每年,中等,一般,12000,小时,中国机械工业联合会,https://www.cmif.org.cn,2024-09-25,,
蓝光激光器,488 nm,15%-20%,2000,W,1,优良,优秀,良好,硅、金属,高,大型,每年,高,一般,10000,小时,中国集成电路设计产业协会,https://www.csia.org.cn,2024-09-25,,
半导体激光器,940 nm,45%-55%,750,W,1.6,良好,中等,优秀,薄膜、塑料,中,小型,每六个月,中等,较便捷,5000,小时,中国工业信息网,http://www.cnii.com.cn,2024-09-25,,
光纤激光器,1060 nm,38%-45%,4000,W,1.5,优良,高,优秀,金属、塑料、木材,高,中型,每年,较高,较便捷,15000,小时,工业和信息化部,https://www.miit.gov.cn,2024-09-25,,
红外激光器,1064 nm,10%-15%,1200,W,1.4,优秀,中等,良好,金属、塑料,中,中型,每年,中等,便捷,8000,小时,中国光学学会,https://www.cos.org.cn,2024-09-25,,
紫外激光器,355 nm,15%-25%,400,W,1.8,优良,优秀,优良,电子元件、光学材料,高,紧凑型,每年,较高,方便,6000,小时,中国电子科技集团,https://www.cetc.com.cn,2024-09-25,,
适应性激光器,800 nm,45%-55%,750,W,1.5,良好,中等,优秀,金属、陶瓷,中,大型,每年,中等,便捷,10000,小时,国际激光制造联合会,https://www.ilmf.org,2024-09-25,,
高功率光纤激光器,1070 nm,40%-50%,5000,W,1.6,良好,中等,良好,金属、半导体,中,小型,每年,较低,方便,5000,小时,中国科学院光电研究所,https://www.ioe.cas.cn,2024-09-25,,
超短脉冲激光器,800 nm,10%-15%,200,W,<1.2,优良,优秀,杰出,金属、塑料、玻璃,高,中型,每半年,中等,非常便捷,15000,小时,上海交通大学,https://www.sjtu.edu.cn,2024-09-25,,
可调谐激光器,1260-1340 nm,5%-15%,350,W,3,一般,差,良好,打标、表面处理,中,微型,每季度,较高,较便捷,25000,小时,国家半导体器件标准化技术委员会,https://www.miit.gov.cn,2024-09-25,,
高能量固态激光器,1064 nm,10%-20%,8000,W,2,良好,中等,良好,金属、木材,低,中型,每年,中等,便捷,10000,小时,国家新材料产业发展导向技术平台,https://www.cmra.org.cn,2024-09-25,,
便携式激光器,678 nm,25%-35%,250,W,2.5,良好,一般,优良,标记、绘图,中,小型,每半年,较低,非常便捷,20000,小时,国家市场监督管理总局,https://www.samr.gov.cn,2024-09-25,,
纳秒激光器,532 nm,18%-29%,300,W,1.3,优良,优秀,出色,微制造,高,微型,每年,高,便捷,3000,小时,中国人工智能产业发展联盟,https://www.caai.cn,2024-09-25,,
碱金属激光器,589 nm,20-28%,600,W,1,优秀,良好,优秀,塑料、金属、玻璃,中,中型,每年,中等,较便捷,12000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
激光二极管,670 nm,45-55%,200,W,1.5,良好,中等,优秀,金属、塑料,高,大型,每半年,中等,便捷,18000,小时,清华大学激光技术研究中心,https://www.tsinghua.edu.cn,2024-09-25,,
智能激光器,980 nm,50-60%,800,W,2,一般,中等,良好,金属、陶瓷,低,大型,每年,高,一般,7000,小时,国家自然科学基金委员会,https://www.nsfc.gov.cn,2024-09-25,,
低温激光器,1064 nm,20-22%,300,W,1.2,优良,优秀,良好,金属、塑料、陶瓷,高,中型,每年,中等,非常便捷,15000,小时,中国激光产业协会,https://www.clia.org.cn,2024-09-25,,
高效二氧化碳激光器,10.3 µm,12-18%,1200,W,<1.5,优秀,良好,优秀,金属、复合材料,高,小型,每两年,中等,便捷,10000,小时,工业和信息化部,https://www.miit.gov.cn,2024-09-25,,
长波长激光器,1550 nm,30-34%,2500,W,1.1,优秀,优秀,优秀,金属、塑料,高,大型,每年,较低,非常便捷,20000,小时,深圳先进技术研究院,https://www.siat.ac.cn,2024-09-25,,
固体激光器,532 nm,15-20%,1500,W,2,优良,较好,良好,木材、非金属、金属,中,大型,每年,中等,较便捷,6000,小时,中国机械工程学会,https://www.cmes.org,2024-09-25,,
青激光器,450 nm,30-35%,700,W,>2.0,一般,较差,较差,打标、表面处理,高,小型,每半年,高,便捷,15000,小时,国家科技部,https://www.most.gov.cn,2024-09-25,,
超短脉冲激光器,790 nm,50-60%,2500,W,<1.2,优良,优秀,优良,金属、复合材料,高,超大型,每年,高,便捷,25000,小时,中国激光产业技术创新战略联盟,https://www.clita.org.cn,2024-09-25,,
氩激光器,488 nm,20-25%,1200,W,1.8,良好,中等,优秀,金属、非金属,中,中型,每年,中等,较便捷,8000,小时,中国激光加工技术协会,https://www.clpta.org.cn,2024-09-25,,
Q开关激光器,1064 nm,35-45%,1800,W,<1.2,优秀,优秀,良好,塑料、薄膜、金属,高,小型,每年,较高,便捷,12000,小时,中国科学院,https://www.cas.cn,2024-09-25,,
激光二极管,780 nm,45-55%,300,W,1,优良,良好,优秀,光纤、半导体,中,中型,每年,中等,较便捷,15000,小时,美国材料与试验协会,https://www.astm.org,2024-09-25,,
绿色激光器,532 nm,30-40%,900,W,1.3,优良,一般,优良,金属、陶瓷,中,小型,每年,中等,非常便捷,9000,小时,国际光学工程学会,https://www.spiedigitallibrary.org,2024-09-25,,
高功率光纤激光器,1060 nm,40-50%,5000,W,<1.2,杰出,优秀,优秀,金属、玻璃,高,大型,每两年,较低,便捷,25000,小时,德国激光技术材料协会,https://www.lasercongress.org,2024-09-25,,
