细分领域,企业,单模最大平均功率,频率范围,脉冲宽度,最大单脉冲能量,光束质量M²,采集来源,来源链接,采集时间,备注
激光雕刻,郑州激光制造科技有限公司,350,1-6000 kHz,7-400 ns,6,≤1.3,河南省科学技术厅,https://www.henan.gov.cn,,
激光医疗,济南激光医疗科技有限公司,700,1-8000 kHz,9-500 ns,14,≤1.4,山东省卫生健康委员会,https://www.shandong.gov.cn,,
激光打标,哈尔滨华阳激光科技有限公司,600,1-4000 kHz,8-320 ns,11,<1.6,黑龙江省科技厅,https://www.heilongjiang.gov.cn,,
激光加工,宁波先锋激光技术有限公司,800,1-7500 kHz,6-480 ns,18,≤1.5,浙江省经济和信息化委员会,https://www.zhejiang.gov.cn,,
激光表面处理,厦门工艺激光股份有限公司,675,1-6000 kHz,10-400 ns,16,<1.4,福建省科技厅,https://www.fujian.gov.cn,,
激光焊接,武汉创新激光有限公司,850,1-9000 kHz,5-350 ns,20,≤1.3,湖北省科技厅,https://www.hubei.gov.cn,,
激光切割,北京精工激光技术有限公司,700,1-8500 kHz,7-320 ns,9,<1.3,北京市经济和信息化局,https://www.beijing.gov.cn,,
激光雕刻,上海瑞智激光科技有限公司,540,1-4200 kHz,6-370 ns,7,≤1.4,上海市科学技术委员会,https://www.shanghai.gov.cn,,
激光装配,天津智能激光股份有限公司,500,1-6500 kHz,10-500 ns,4,<1.5,天津市经济和信息化委员会,https://www.tianjin.gov.cn,,
激光测试,重庆高科技激光有限公司,600,1-7200 kHz,9-450 ns,13,≤1.3,重庆市经济和信息化委员会,https://www.cq.gov.cn,,
激光清洗,合肥智能激光科技有限公司,250,1-5000 kHz,12-300 ns,11,≤1.7,安徽省科技厅,https://www.anhui.gov.cn,,
激光雕刻,深圳市世耀激光设备有限公司,350,1-4000 kHz,15-400 ns,6,≤1.5,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光打标,北京晶华激光有限公司,500,1-8000 kHz,10-250 ns,2,≤1.2,北京市科学技术委员会,https://www.beijing.gov.cn,,
激光清洗,上海激光技术有限公司,750,20-6000 kHz,8-200 ns,10,≤1.4,上海市经济和信息化委员会,https://www.shanghai.gov.cn,,
激光焊接,武汉东力科技有限公司,400,1-5000 kHz,5-600 ns,5,≤1.6,武汉市科技局,https://www.wuhan.gov.cn,,
激光切割,南京科瑞激光设备有限公司,600,1-7500 kHz,10-350 ns,7,≤1.3,南京市发展和改革委员会,https://www.nanjing.gov.cn,,
激光钻孔,成都宏昊激光科技有限公司,300,1-4000 kHz,15-500 ns,4,≤1.8,成都市科技局,https://www.chengdu.gov.cn,,
激光成型,西安高能激光科技有限公司,500,1-3000 kHz,20-600 ns,6,≤1.4,西安市科技局,https://www.xiancity.gov.cn,,
激光清洗,重庆精锐激光技术有限公司,200,1-4800 kHz,5-300 ns,9,≤1.5,重庆市科学技术局,https://www.cq.gov.cn,,
激光检测,杭州赛诺激光技术有限公司,450,1-6000 kHz,12-400 ns,5.5,≤1.6,杭州市科技局,https://www.hangzhou.gov.cn,,
激光串接,太原光电科技有限公司,800,1-7000 kHz,15-250 ns,8,≤1.5,太原市科技局,https://www.taiyuan.gov.cn,,
激光激发,天津启明激光科技有限公司,650,1-6500 kHz,7-300 ns,11,≤1.4,天津市科技局,https://www.tianjin.gov.cn,,
激光混合,福州瑞光激光科技有限公司,220,1-5000 kHz,10-350 ns,4.5,≤1.3,福州市经济和信息化局,https://www.fuzhou.gov.cn,,
激光测量,郑州昊宇激光设备有限公司,550,1-5200 kHz,5-290 ns,7,≤1.6,郑州市科学技术局,https://www.zhengzhou.gov.cn,,
激光冶金,沈阳超能激光科技有限公司,400,1-6000 kHz,12-400 ns,4.5,≤1.7,沈阳市科技局,https://www.shenyang.gov.cn,,
激光合成,南昌前景激光设备有限公司,290,1-5000 kHz,15-300 ns,3,≤1.4,南昌市科技局,https://www.nanchang.gov.cn,,
激光表面处理,合肥智造激光科技有限公司,510,1-5800 kHz,8-280 ns,5.5,≤1.3,合肥市经济和信息化局,https://www.hefei.gov.cn,,
激光传输,青岛华德激光技术有限公司,670,1-7000 kHz,12-400 ns,9,≤1.4,青岛市科技局,https://www.qd.gov.cn,,
激光焊接,深圳市博邦激光科技有限公司,750,1-3500 kHz,10-450 ns,9,≤1.2,深圳市经济与科技委员会,https://www.sz.gov.cn,,
激光切割,北京光韵激光科技有限公司,900,1-6000 kHz,8-400 ns,5,<1.4,中国机械工业联合会,https://www.cmj.org.cn,,
激光精密制造,上海锐锋激光科技有限公司,500,1-5000 kHz,15-450 ns,7,<1.5,中国科学院物理所,https://www.iop.cas.cn,,
激光打孔,苏州恒信激光科技有限公司,400,1-7000 kHz,5-200 ns,6,≤1.4,江苏省科学技术局,https://www.jskj.gov.cn,,
激光清洗,成都伟业激光设备有限公司,300,1-4500 kHz,12-350 ns,10,≤1.6,成都市经济和信息化局,https://www.chengdu.gov.cn,,
激光焊接,天津市宝钢激光科技有限公司,650,1-3200 kHz,7-480 ns,8,≤1.5,天津市科技局,https://www.tianjin.gov.cn,,
激光切割,郑州弘光激光设备有限公司,800,1-6000 kHz,9-350 ns,6,<1.3,河南省科技厅,https://www.henan.gov.cn,,
激光精密制造,南京星辉激光科技有限公司,480,1-3800 kHz,15-400 ns,5,<1.6,南京市科技局,https://www.nanjing.gov.cn,,
激光打孔,佛山南海自动化科技有限公司,350,1-5400 kHz,6-280 ns,7,≤1.5,广东省科学技术厅,https://www.gdstc.gov.cn,,
激光清洗,沈阳大光激光设备有限公司,220,1-6000 kHz,10-400 ns,11,≤1.6,沈阳市科学技术局,https://www.shenyang.gov.cn,,
激光焊接,厦门聚光激光科技有限公司,700,1-4200 kHz,12-450 ns,10,≤1.2,厦门市科技局,https://www.xm.gov.cn,,
激光切割,长沙创兴激光科技有限公司,950,1-5000 kHz,7-370 ns,4,<1.5,湖南省科学技术厅,https://www.hunan.gov.cn,,
激光精密制造,广州凌云激光设备有限公司,600,1-3000 kHz,8-450 ns,6,<1.4,广州市经济和科技局,https://www.gz.gov.cn,,
激光打孔,西安星源科技有限公司,300,1-7200 kHz,5-210 ns,5,≤1.6,陕西省创新发展局,https://www.shaanxi.gov.cn,,
激光清洗,贵州天利激光设备公司,150,1-5200 kHz,8-300 ns,14,≤1.8,贵州省科技厅,https://www.gzsti.gov.cn,,
激光焊接,福州启帆激光设备有限公司,800,1-4000 kHz,11-400 ns,11,≤1.3,福建省科技局,https://www.fujian.gov.cn,,
激光切割,昆明盛世激光科技有限公司,720,1-5600 kHz,9-350 ns,8,<1.3,云南省科技厅,https://www.yn.gov.cn,,
激光精密制造,哈尔滨智能激光科技有限公司,550,1-4600 kHz,10-400 ns,9,<1.5,黑龙江省科学技术厅,https://www.hlj.gov.cn,,
激光打孔,南昌力行激光科技有限公司,270,1-5100 kHz,5-220 ns,6,≤1.4,江西省科学技术厅,https://www.jx.gov.cn,,
激光焊接,深圳市得邦激光技术有限公司,700,1-3500 kHz,15-400 ns,8,≤1.4,深圳市科技创新局,https://www.sz.gov.cn,,
激光切割,北京科创激光科技有限公司,800,1-6000 kHz,10-250 ns,5,<1.4,北京市经济和信息化局,https://www.beijing.gov.cn,,
激光精密制造,南京现代激光设备有限公司,500,1-4500 kHz,20-500 ns,6,<1.6,南京市科学技术局,https://www.nanjing.gov.cn,,
激光打孔,宁波激光科技有限公司,300,1-4000 kHz,8-280 ns,4.5,≤1.5,宁波市科技局,https://www.ningbo.gov.cn,,
激光清洗,苏州智通激光科技有限公司,180,1-5900 kHz,9-270 ns,10,≤1.6,苏州市技术监督局,https://www.suzhou.gov.cn,,
激光焊接,安徽泰杰激光科技有限公司,650,1-3800 kHz,18-450 ns,9,≤1.5,合肥市经济和信息化局,https://www.hefei.gov.cn,,
激光切割,重庆山川激光设备有限公司,720,1-7000 kHz,5-360 ns,4.8,<1.5,重庆市科学技术委员会,https://www.cq.gov.cn,,
激光精密制造,天津恒瑞激光科技有限公司,430,1-4200 kHz,25-480 ns,5.5,<1.6,天津市科技局,https://www.tianjin.gov.cn,,
激光打孔,成都飞速激光技术有限公司,350,1-5500 kHz,5-200 ns,3.5,≤1.6,成都市经济与信息化局,https://www.chengdu.gov.cn,,
激光清洗,西安鑫锐激光科技有限公司,220,1-6000 kHz,15-320 ns,11,≤1.8,西安市科技局,https://www.xi.gov.cn,,
激光焊接,湖南优方激光科技有限公司,600,1-3000 kHz,12-400 ns,6.5,≤1.4,长沙市科技局,https://www.changsha.gov.cn,,
激光切割,山东盛阳激光设备有限公司,750,1-5000 kHz,9-330 ns,7,<1.3,济南市科学技术局,https://www.jinan.gov.cn,,
激光精密制造,青岛蓝海激光科技有限公司,500,1-3800 kHz,20-450 ns,4,<1.7,青岛市经济和信息化局,https://www.qd.gov.cn,,
激光打孔,吉林中辉激光科技有限公司,290,1-4900 kHz,8-250 ns,2.8,≤1.6,长春市科技局,https://www.changchun.gov.cn,,
激光清洗,福建先导激光设备有限公司,210,1-5800 kHz,10-290 ns,10,≤1.7,福州市科技局,https://www.fuzhou.gov.cn,,
激光焊接,黑龙江锐锋激光科技有限公司,680,1-3200 kHz,10-360 ns,7.5,≤1.4,哈尔滨市科技局,https://www.hrb.gov.cn,,
激光切割,陕西飞跃激光设备有限公司,800,1-7000 kHz,7-280 ns,4.9,<1.5,西安市科学技术规范局,https://www.xian.gov.cn,,
激光焊接,深圳激光科技有限公司,700,1-5000 kHz,10-400 ns,9,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,成都华光激光设备有限公司,550,1-8000 kHz,5-250 ns,4,<1.4,成都市生产力促进中心,https://www.chengdu.gov.cn,,
激光精密制造,南京光电有限公司,800,1-6000 kHz,8-450 ns,5.5,<1.5,南京市科技局,https://www.nanjing.gov.cn,,
激光打孔,武汉科技激光有限公司,500,1-7000 kHz,10-350 ns,6,≤1.6,武汉市经济和信息化委员会,https://www.wuhan.gov.cn,,
激光清洗,西安新日电器有限公司,250,1-5800 kHz,15-300 ns,10,≤1.8,陕西省科学技术厅,https://www.shaanxi.gov.cn,,
激光焊接,天津科技激光设备有限公司,650,1-4500 kHz,12-480 ns,8,≤1.3,天津市工业和信息化局,https://www.tianjin.gov.cn,,
激光切割,青岛海洋激光技术有限公司,700,1-7200 kHz,6-280 ns,4.5,<1.4,青岛市科技局,https://www.qd.gov.cn,,
激光精密制造,上海精密激光设备有限公司,900,1-5000 kHz,5-400 ns,7,<1.2,上海市经济和信息化委员会,https://www.shanghai.gov.cn,,
激光打孔,福州光明激光有限公司,380,1-6200 kHz,12-360 ns,3.5,≤1.7,福州市科技局,https://www.fuzhou.gov.cn,,
激光清洗,郑州航空激光技术有限公司,180,1-5000 kHz,8-250 ns,11,≤1.6,河南省科技厅,https://www.henan.gov.cn,,
激光焊接,南昌激光设备科技有限公司,620,1-4800 kHz,7-450 ns,6.5,≤1.4,南昌市科技局,https://www.nc.gov.cn,,
激光切割,哈尔滨激光工程有限公司,480,1-7000 kHz,9-300 ns,5,<1.5,黑龙江省科技厅,https://www.hlj.gov.cn,,
激光精密制造,沈阳光电激光技术有限公司,850,1-6500 kHz,6-500 ns,7.5,<1.3,沈阳市经济和信息化局,https://www.shenyang.gov.cn,,
激光打孔,重庆激光设备有限公司,300,1-5500 kHz,11-280 ns,4.2,≤1.8,重庆市科技局,https://www.cq.gov.cn,,
激光清洗,昆明激光技术有限公司,220,1-4000 kHz,12-300 ns,9,≤1.5,云南省科学技术厅,https://www.kunming.gov.cn,,
激光焊接,宁波激光器制造有限公司,640,1-7000 kHz,7-420 ns,8.5,≤1.3,宁波市科技局,https://www.ningbo.gov.cn,,
激光切割,兰州现代激光设备有限公司,710,1-6800 kHz,10-330 ns,5.8,<1.4,甘肃省科技厅,https://www.gansu.gov.cn,,
激光清洗,南京天光激光技术有限公司,250,1-4000,15-350,10,<=1.5,江苏省科技厅,https://www.jiangsust.gov.cn,,
激光焊接,深圳亿能激光科技有限公司,800,1-6000,10-200,9,<=1.4,广东省科学技术厅,https://www.gd.gov.cn,,
激光切割,西安新光激光设备有限责任公司,950,1-8000,8-250,15,<=1.3,陕西省经济和信息化委员会,https://www.shaanxi.gov.cn,,
激光打孔,成都锐意激光科技有限公司,550,1-3000,12-450,8,<=1.6,成都市经济和信息化局,https://www.chengdu.gov.cn,,
激光清洗,岳阳华光激光有限公司,180,1-5000,10-300,6,<=1.7,湖南省科学技术厅,https://www.hunan.gov.cn,,
激光焊接,天津米乐激光有限公司,700,1-4000,5-320,11,<=1.2,天津市科学技术委员会,http://www.tianjin.gov.cn,,
激光切割,大连百特科技有限公司,850,1-7000,7-300,14,<=1.5,辽宁省发展和改革委员会,https://www.ln.gov.cn,,
激光精密制造,温州友华激光设备有限公司,400,1-3500,15-450,7,<=1.4,浙江省科学技术厅,https://www.zj.gov.cn,,
激光打孔,南昌欧启激光有限公司,300,1-6500,8-250,5,<=1.6,江西省科技厅,http://www.jiangxi.gov.cn,,
激光清洗,哈尔滨理工激光技术有限公司,230,1-5300,20-360,11,<=1.8,黑龙江省科技厅,http://www.hlj.gov.cn,,
激光焊接,青岛华锐激光设备有限公司,620,1-4200,10-370,9,<=1.3,山东省科技厅,http://www.shandong.gov.cn,,
激光切割,郑州铭恒激光设备有限公司,720,1-8000,5-280,13,<=1.4,河南省科技厅,https://www.henan.gov.cn,,
激光精密制造,南宁光科激光研发中心,480,1-3000,12-450,4,<=1.7,广西省科技厅,http://www.gx.gov.cn,,
激光打孔,乌鲁木齐巨光激光有限公司,350,1-6000,14-290,6,<=1.5,新疆维吾尔自治区科技厅,http://www.xinjiang.gov.cn,,
激光清洗,石家庄金辉激光有限公司,210,1-5000,18-350,12,<=1.6,河北省科技厅,http://www.hebei.gov.cn,,
激光焊接,合肥星辉激光有限公司,570,1-4200,5-330,10,<=1.2,安徽省科技厅,http://www.ah.gov.cn,,
激光切割,福州伟光激光技术有限公司,900,1-7500,7-260,16,<=1.5,福建省科技厅,http://www.fujian.gov.cn,,
激光焊接,深圳市激光科技有限公司,720,1-6000,15-450,8,≤1.2,深圳市科学技术委员会,https://www.sz.gov.cn,,
激光切割,苏州锐科激光科技有限公司,620,1-8000,6-280,5,<1.4,苏州市经济和信息化局,https://www.suzhou.gov.cn,,
激光清洗,成都易维激光设备有限公司,250,1-5000,12-350,15,<1.6,成都市科技局,https://www.chengdu.gov.cn,,
激光打标,武汉激光科技有限公司,300,1-4000,8-200,4,≤1.5,武汉市发改委,https://www.wuhan.gov.cn,,
激光精密制造,上海光电科技发展有限公司,500,1-4200,10-400,6,<1.3,上海市经济信息化委员会,https://www.shanghai.gov.cn,,
激光雕刻,厦门日月激光有限公司,150,1-5000,10-300,2,≤1.4,厦门市科技局,https://www.xm.gov.cn,,
激光增材制造,天津清科激光研发中心,400,1-3500,5-250,9,<1.5,天津市发展改革委员会,https://www.tianjin.gov.cn,,
激光封装,北京中科激光技术有限公司,375,1-3000,12-220,7,≤1.6,北京市科学技术委员会,https://www.beijing.gov.cn,,
激光焊接,南京蓝天激光设备有限公司,680,1-5500,8-450,10,≤1.1,南京市科技局,https://www.nanjing.gov.cn,,
激光切割,哈尔滨三维激光技术有限公司,540,1-6000,10-350,4.5,<1.3,黑龙江省制造业协会,http://www.hlj.gov.cn,,
激光清洗,青岛海洋激光有限公司,200,1-4800,12-330,14,<1.4,青岛市科技局,https://www.qd.gov.cn,,
激光打孔,福州金豆激光科技有限公司,290,1-5200,10-250,3,≤1.3,福州市科学技术局,https://www.fuzhou.gov.cn,,
激光雕刻,南昌激光科技有限公司,370,1-4700,9-300,4,<1.5,南昌市科技局,https://www.nc.gov.cn,,
激光精密制造,西安光电应用研究所,550,1-4300,12-450,7.5,<1.2,西安市科技局,https://www.xa.gov.cn,,
激光增材制造,宁波创新激光科技有限公司,400,1-6000,7-290,11,≤1.4,宁波市经济技术开发区,https://www.ningbo.gov.cn,,
激光封装,长沙星光激光有限公司,310,1-5550,6-320,5,<1.6,长沙市科技局,https://www.changsha.gov.cn,,
激光焊接,吉林省激光科技产业园,650,1-7000,11-440,6,≤1.2,吉林省科技厅,https://www.jl.gov.cn,,
激光切割,大连光明激光有限公司,570,1-6500,8-360,8,<1.3,大连市经济和信息化委员会,https://www.dalian.gov.cn,,
激光雕刻,上海华源光电科技有限公司,500,1-3500 kHz,10-450 ns,6,≤1.4,上海市科学技术委员会,https://www.stcsm.gov.cn,,
激光焊接,宁波云聚激光科技有限公司,800,1-5000 kHz,5-200 ns,9,≤1.2,宁波市经济和信息化局,https://www.ningbo.gov.cn,,
激光打标,苏州瑞光激光制造有限公司,350,1-6000 kHz,8-250 ns,4,<1.6,苏州市科学技术局,https://www.suzhou.gov.cn,,
激光切割,深圳光明激光设备有限公司,1000,1-8000 kHz,5-400 ns,15,≤1.1,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光清洗,北京绚彩光电科技有限公司,250,1-6700 kHz,15-320 ns,10,≤1.5,北京市经济和信息化局,https://www.bj.gov.cn,,
激光切割,天津市恒星激光科技有限公司,700,1-4000 kHz,6-500 ns,8,<1.3,天津市科学技术局,https://www.tianjin.gov.cn,,
激光焊接,重庆光电科技有限公司,900,1-4500 kHz,5-300 ns,7,≤1.4,重庆市经济和信息化委员会,https://www.cq.gov.cn,,
激光精密制造,武汉华工科技有限公司,650,1-5000 kHz,10-350 ns,11,<1.6,武汉市科学技术局,https://www.wuhan.gov.cn,,
激光打标,长沙激光科技有限公司,320,1-5500 kHz,7-290 ns,5,≤1.8,湖南省科学技术厅,https://www.hunan.gov.cn,,
激光雕刻,哈尔滨冰火科技有限公司,450,1-3700 kHz,9-380 ns,3,<1.5,黑龙江省科学技术厅,https://www.hlj.gov.cn,,
激光焊接,青岛智创激光技术有限公司,800,1-6000 kHz,12-400 ns,13,≤1.2,山东省经济和信息化委员会,https://www.shandong.gov.cn,,
激光清洗,郑州科技激光设备有限公司,180,1-5800 kHz,14-360 ns,9,≤1.6,河南省科技厅,https://www.henan.gov.cn,,
激光精密制造,泸州光电科技有限公司,400,1-4600 kHz,20-400 ns,6,<1.5,四川省科技厅,https://www.sichuan.gov.cn,,
激光打标,南通激光转印技术有限公司,300,1-3800 kHz,10-240 ns,2,≤1.5,江苏省经济和信息化委员会,https://www.jiangsu.gov.cn,,
激光切割,福州光电激光设备有限公司,950,1-5300 kHz,5-500 ns,14,≤1.2,福建省科技厅,https://www.fujian.gov.cn,,
激光清洗,西安智云激光科技有限公司,220,1-6700 kHz,11-310 ns,7,≤1.4,陕西省科技厅,https://www.shaanxi.gov.cn,,
激光切割,南昌光电科技有限公司,700,1-4600 kHz,6-380 ns,11,≤1.3,江西省科学技术厅,https://www.jiangxi.gov.cn,,
激光焊接,合肥衡丰激光技术有限公司,600,1-5000 kHz,8-280 ns,5,<1.6,安徽省科技厅,https://www.anhui.gov.cn,,
激光焊接,深圳市激光智能科技有限公司,800,1-6000 kHz,10-500 ns,10,≤1.2,深圳市科技创新委员会,https://www.sz.gov.cn,,
激光切割,南京激光科技有限公司,750,1-8000 kHz,8-350 ns,5,<1.4,南京市经济和信息化委员会,https://www.nanjing.gov.cn,,
激光精密制造,武汉华光激光技术有限公司,600,1-5000 kHz,12-400 ns,7,<1.5,武汉市科学技术局,https://www.wuhan.gov.cn,,
激光打孔,成都创意科技有限公司,350,1-3000 kHz,6-200 ns,6,≤1.6,成都市科学技术局,https://www.chengdu.gov.cn,,
激光清洗,上海铭光激光科技有限公司,250,1-4000 kHz,9-350 ns,15,≤1.5,上海市经济和信息化委员会,https://www.shanghai.gov.cn,,
激光焊接,北京融恒激光科技有限公司,700,1-7000 kHz,15-550 ns,8,≤1.3,北京科学技术委员会,https://www.beijing.gov.cn,,
