激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,单位.1,采集来源,来源链接,采集时间,备注
多光谱激光器,400 nm / 800 nm,18-26%,2500,W,1.4,优良,中等,良好,金属、塑料、纸张,低,中型,每年,中等,便捷,16000,小时,光电技术学院,https://www.optech.edu,,
钕激光器,1064 nm,20-25%,1500,W,1.5,优良,优秀,良好,金属、陶瓷,中,中型,每年,中等,便捷,30000,小时,中国激光应用技术研究中心,https://www.chinalaserapp.org,,
光纤激光器,1070 nm,25-35%,2000,W,1.2,优良,非常优秀,优秀,金属、塑料,高,小型,每年,中等,非常便捷,50000,小时,激光技术开发公司,https://www.laserdevelopment.com,,
聚变激光器,270 nm,12-20%,6000,W,>2.0,一般,较差,优良,复合材料、金属,低,大型,每二年,较高,不便,10000,小时,中国聚变研究中心,https://www.chinafusion.org,,
紫外激光器,355 nm,15-25%,450,W,1.1,优良,优秀,中等,塑料、玻璃,中,中型,每季,高,较便捷,12000,小时,国内紫外激光协会,https://www.uvalaser.org.cn,,
超快激光器,800 nm,30-40%,1000,W,1.4,良好,优良,优秀,金属、玻璃,高,小型,每年,中等,便捷,20000,小时,激光器工业协会,https://www.laserindustry.org,,
重离子激光器,400 nm,8-15%,3500,W,2.0,一般,较差,一般,金属、复合材料,高,大型,每二年,较高,复杂,8000,小时,中国辐射源技术研究院,https://www.radiationtech.org,,
波长可调激光器,400 nm - 500 nm,12-22%,900,W,1.3,优良,中等,良好,金属、塑料,中,中型,每季,中等,便捷,15000,小时,激光器技术开发平台,https://www.lasertechnology.dev,,
皮秒激光器,1064 nm,30-45%,800,W,1.2,优良,优秀,优秀,塑料、金属,低,小型,每年,中等,非常便捷,40000,小时,激光科学研究院,https://www.laserscience.org,,
碱金属激光器,589 nm,20-30%,750,W,1.8,优良,中等,良好,金属、纸张,中,中型,每半年,高,复杂,10000,小时,中国激光技术总公司,https://www.clasertech.cn,,
高能激光器,1030 nm,30-50%,5000,W,1.5,良好,非常优秀,优秀,金属、复合材料,高,大型,每年,中等,便捷,25000,小时,国际激光材料学会,https://www.laser-materials.org,,
探测激光器,980 nm,20-30%,500,W,1.7,优良,良好,中等,塑料、金属,中,小型,每半年,中等,较便捷,15000,小时,激光探测仪器研究所,https://www.laserdetection.org,,
量子点激光器,450 nm,25-35%,400,W,1.2,优良,优良,良好,金属、复合材料,低,小型,每年,中等,非常便捷,16000,小时,量子材料技术研究中心,https://www.quantummaterials.org,,
自由空间激光器,830 nm,15-20%,300,W,1.9,一般,优良,良好,纸张、塑料,低,小型,每季,较高,较复杂,9000,小时,中国光学激光研究室,https://www.opticlasers.org,,
高能束激光器,532 nm,35-45%,2200,W,1.5,良好,优秀,优良,塑料、金属,中,中型,每年,中等,较便捷,20000,小时,高能激光技术研究协会,https://www.highpowerlasers.org,,
红外激光器,1550 nm,10-20%,1000,W,2.4,一般,中等,一般,复合材料、非金属,低,大型,每二年,较高,复杂,7000,小时,红外激光技术研究中心,https://www.infraredlaser.com,,
紫外激光器,355 nm,20-25%,1000,W,<1.5,优良,良好,优秀,玻璃、陶瓷,低,中型,每年,中等,便捷,15000,小时,新材料激光研究中心,https://www.newmateriallaser.org,,
脉冲气体激光器,10.6 µm,15-20%,2500,W,>2.0,一般,优良,一般,塑料、金属,中,大型,每两年,较低,较便捷,50000,小时,中科院物理研究所,https://www.iop.cas.cn,,
大功率二氧化碳激光器,10.6 µm,25-30%,5000,W,1.0,优良,优秀,优秀,复合材料、木材,高,大型,每年,高,便捷,30000,小时,全球激光技术论坛,https://www.laserforum.org,,
高能激光器,1064 nm,35-40%,8000,W,<1.1,优良,优秀,优良,金属、陶瓷,低,超大型,每年,高,复杂,15000,小时,高能物理研究中心,https://www.highenergyphysics.org,,
激光切割机,1070 nm,20-25%,3000,W,1.5,良好,优良,优秀,金属、塑料,中,中型,每年,中等,便捷,22000,小时,机器制造行业研究所,https://www.machineryresearch.org,,
新型高频激光器,980 nm,50-60%,400,W,1.0,优良,良好,优良,金属、非金属,低,小型,每半年,中等,便捷,18000,小时,激光技术展示会,https://www.laserexpo.com,,
双光子激光器,800 nm / 920 nm,40-50%,250,W,1.8,一般,中等,良好,生物样本、聚合物,低,小型,每年,中等,较便捷,10000,小时,生物医学激光研究中心,https://www.biomedicallaser.org,,
光纤激光器,1060 nm,25-32%,1000,W,1.1,优良,优秀,优良,金属、合金,高,中型,每年,中等,便捷,25000,小时,光纤激光专题研讨会,https://www.fiberlasersymposium.org,,
高功率光纤激光器,1550 nm,30-40%,2000,W,1.5,优良,优秀,优秀,金属、塑料,中,大型,每半年,高,复杂,15000,小时,激光制造前沿论坛,https://www.lasermanufacturingforum.org,,
钕:YAG激光器,1064 nm,20-30%,1500,W,1.4,良好,一般,良好,金属、塑料,中,中型,每年,中等,便捷,12000,小时,激光器与技术协会,https://www.laserassociation.org,,
固体激光器,1064 nm,25-35%,3000,W,1.2,优良,优秀,优秀,金属、木材,中,大型,每两年,高,较复杂,40000,小时,国际激光技术合作平台,https://www.internationallaserplatform.org,,
无源光纤激光器,1300 nm,30-35%,600,W,1.3,优良,中等,良好,光纤、复合材料,低,小型,每半年度,中等,简单,15000,小时,光纤激光研究协会,https://www.fiberlaserassociation.org,,
激光打标机,532 nm,15-25%,200,W,>1.5,优良,中等,一般,塑料、金属,中,小型,每半年,较低,便捷,8000,小时,打标技术专委会,https://www.markingtech.org,,
新一代陶瓷激光器,1940 nm,30-38%,1500,W,1.2,优良,良好,优良,陶瓷、塑料,中,中型,每年,中等,较便捷,25000,小时,陶瓷与激光技术研究中心,https://www.ceramiclasers.org,,
光纤激光器,1064 nm,30-40%,1200,W,<1.1,优秀,优良,优秀,金属、陶瓷,低,中型,每年,中等,便捷,25000,小时,全球激光技术研究所,https://www.global-lasertech.org,,
紫外激光器,355 nm,15-25%,500,W,>1.5,良好,中等,良好,塑料、玻璃,低,小型,每半年,较高,较复杂,15000,小时,激光应用技术协会,https://www.laserapptech.org,,
高功率二氧化碳激光器,10.6 µm,20-30%,5000,W,2.0,一般,优秀,良好,金属、非金属,高,大型,每年,中等,便捷,20000,小时,激光工程研究中心,https://www.laserengineering.org,,
金属激光器,808 nm,25-35%,1000,W,1.5,良好,优良,优秀,金属、合金,中,小型,每年,中等,较便捷,18000,小时,新兴激光技术集团,https://www.newlasertech.com,,
多波长激光器,450 nm / 650 nm,20-32%,600,W,1.7,优良,良好,良好,塑料、金属、木材,中,中型,每半年,较高,便捷,12000,小时,全球材料研究所,https://www.globalmatresearch.org,,
微型激光器,980 nm,40-45%,200,W,<1.0,优秀,优良,良好,电子元件、塑料,低,超小型,每年,中等,非常便捷,30000,小时,微纳激光技术论坛,https://www.micro-nanolaserforum.com,,
钛宝石激光器,700 nm,10-20%,1000,W,>2.0,一般,良好,中等,金属、陶瓷,中,中型,每年,较高,复杂,12000,小时,激光制造应用中心,https://www.laserapplicationtech.org,,
远红外激光器,10.0 µm,12-20%,1500,W,1.0,优良,优良,优秀,皮革、布料,低,大型,每年,中等,便捷,30000,小时,国际激光与光传输研究协会,https://www.interlaserresearch.org,,
超快激光器,800 nm,25-35%,600,W,<1.3,优秀,良好,优秀,金属、塑料,中,小型,每半年,较高,非常便捷,20000,小时,欧洲激光技术局,https://www.europeanlasertech.eu,,
机器人激光器,1064 nm,15-25%,2000,W,1.2,优良,优良,良好,金属、非金属,高,大型,每年,较高,便捷,22000,小时,自动化与机器人技术研究中心,https://www.robottech.org,,
红外激光器,850 nm,30-40%,900,W,1.6,良好,优良,优秀,金属、塑料,中,中型,每年,中等,便捷,18000,小时,中国激光技术研究会,https://www.clg.org.cn,,
小型CO2激光器,10.6 µm,12-18%,300,W,1.5,中等,良好,一般,塑料、木材,低,小型,每半年,高,便捷,10000,小时,小型激光研究所,https://www.smalllasertechnology.org,,
纳米激光器,515 nm,35-45%,250,W,<1.0,优秀,良好,良好,塑料、电子元件,低,超小型,每年,中等,非常便捷,15000,小时,纳米技术与激光协会,https://www.nanolasertech.com,,
多功能激光器,980 nm / 1064 nm,28-38%,1200,W,1.3,优良,优良,优秀,木材、金属、塑料,中,大型,每年,较高,便捷,25000,小时,多功能激光应用研究所,https://www.multifunctionallaser.org,,
脉冲光纤激光器,1060 nm,24-30%,1200,W,1.5,优秀,优良,优良,金属、塑料,中,中型,每年,中等,较便捷,15000,小时,激光技术创新研究中心,https://www.laserinnovation.org,,
碳氧激光器,479 nm,20-25%,500,W,1.4,良好,优良,中等,复合材料、木材,低,小型,每年,中等,便捷,18000,小时,材料科学研究所,https://www.materialsscience.org,,
紫外激光器,355 nm,15-20%,650,W,1.2,优良,较差,优良,塑料、玻璃,高,中型,每半年,较高,较复杂,12000,小时,国际光电协会,https://www.optoelectronics.org,,
高功率二氧化碳激光器,10.6 µm,22-30%,5000,W,>3.0,一般,优良,优良,金属、纸板,高,大型,每年,较高,便捷,30000,小时,华东理工大学激光与光电子研究所,https://www.ecust.edu.cn,,
近红外激光器,980 nm,35-45%,700,W,1.1,优良,优秀,优秀,合金、塑料,中,小型,每半年,较低,非常便捷,25000,小时,国家激光设备质量监督检测中心,https://www.laserquality.org.cn,,
激光打标机,532 nm,22-28%,400,W,>1.5,一般,中等,良好,金属、陶瓷,中,小型,每年,中等,便捷,20000,小时,中国激光打标与雕刻协会,https://www.cblabel.org,,
超强激光系统,800 nm,15-20%,10000,W,1.0,优秀,优良,优良,金属、塑料、陶瓷,低,特大型,每两年,高,复杂,50000,小时,激光与精密加工研究所,https://www.laserprecision.org,,
脉冲蓝光激光器,450 nm,30-40%,1000,W,1.2,良好,优良,优秀,塑料、电子元件,中,中型,每半年,中等,较便捷,15000,小时,广州激光技术中心,https://www.gzlaser.com,,
碱金属激光器,589 nm,12-17%,900,W,1.6,一般,较差,中等,塑料、光纤,中,中型,每三年,中等,便捷,18000,小时,国家激光研究院,https://www.laserinstitute.org,,
双波长激光器,532 nm / 1064 nm,30-40%,2500,W,1.4,优良,优良,优秀,金属、非金属,高,大型,每年,较高,便捷,24000,小时,中国波长激光协会,https://www.wavelengthlaser.org,,
固态激光器,1064 nm,25-35%,800,W,1.9,良好,中等,优良,金属、复合材料,中,中型,每年,中等,较便捷,16000,小时,激光技术与设备工程研究院,https://www.lasertech.org,,
冷激光器,810 nm,18-25%,300,W,1.5,优良,优良,一般,木材、金属,低,小型,每半年,较低,较便捷,14000,小时,全国激光产业技术创新中心,https://www.laserinnovation.cn,,
掺镱光纤激光器,1070 nm,30-35%,750,W,1.3,优良,优良,优良,塑料、金属,中,中型,每年,中等,较便捷,22000,小时,中国光纤激光器协会,https://www.fiberlaser.org.cn,,
高频激光器,1064 nm,20-25%,600,W,1.8,良好,较差,中等,塑料、金属,中,小型,每六个月,中等,便捷,15000,小时,国际光学与激光协会,https://www.opticalandlaser.org,,
辐射激光器,405 nm,10-15%,200,W,>1.7,一般,中等,优良,塑料、金属,低,小型,每半年,中等,便捷,10000,小时,全球激光科技协会,https://www.globalslasers.org,,
极紫外激光器,13.5 nm,5-10%,3000,W,>2.5,一般,优良,差,高科技材料,高,特大型,每两年,极高,复杂,20000,小时,中国半导体激光器研究所,https://www.semlasercn.org,,
光谱激光器,640 nm,22-30%,500,W,1.5,良好,优良,一般,塑料、玻璃,低,中型,每年,中等,便捷,15000,小时,新激光科技公司,https://www.newlasertech.com,,
固体激光器,1064 nm,25-35%,1200,W,1.1,优良,优秀,卓越,金属、陶瓷,高,大型,每年,较低,非常便捷,30000,小时,中国工程院,https://www.cae.cn,,
光纤激光器,1550 nm,30-40%,2000,W,1.2,优秀,良好,优秀,金属、合金,高,中型,每年,中等,便捷,40000,小时,光纤激光技术有限公司,https://www.fiberlasertech.com,,
紫外激光器,355 nm,15-25%,700,W,1.8,良好,优良,良好,塑料、纸张,低,小型,每半年,高,较便捷,12000,小时,激光应用研究院,https://www.laserappresearch.com,,
超高功率激光器,1060 nm,35-40%,8000,W,1.4,优良,卓越,优良,金属、复合材料,极高,大型,每年,中等,便捷,50000,小时,高功率激光设备制造商,https://www.highpowerlaser.com,,
超快激光器,800 nm,20-25%,400,W,<1.2,卓越,优良,优秀,生物材料、金属,中,小型,每半年,高,极为便捷,10000,小时,生物医用激光中心,https://www.biomedicallasercenter.com,,
碳二氧化碳激光器,10.6 µm,11-16%,1600,W,1.3,优良,优秀,良好,金属、塑料,高,中型,每年,较低,便捷,20000,小时,复合材料激光应用研究所,https://www.compositemateriallaserresearch.com,,
高功率氦氖激光器,632 nm,8-12%,1000,W,1.0,一般,一般,一般,金属、塑料、玻璃,中,小型,每六个月,高,复杂,15000,小时,中国光电技术研究开发中心,https://www.oeic.org.cn,,
紫广西方激光器,405 nm,25-35%,500,W,1.5,优良,一般,良好,塑料、板材,中,大型,每年,较高,便捷,18000,小时,新材料激光技术中心,https://www.newmateriallaser.com,,
小型妇科激光器,980 nm,30-40%,300,W,1.3,良好,优良,优秀,生物组织、金属,低,超小型,每半年,中等,非常便捷,20000,小时,中国微创外科研究医院,https://www.microsurgicalhospital.cn,,
三维激光打标机,532 nm,20-28%,600,W,1.4,优良,良好,一般,塑料、金属,中,中型,每年,中等,便捷,18000,小时,三维激光技术公司,https://www.3dlasertech.com,,
激光清洗器,1064 nm,15-25%,400,W,1.2,优秀,良好,良好,金属表面、复合材料,低,小型,每年,较低,便捷,15000,小时,清洁科技研究中心,https://www.cleaningtechresearch.com,,
激光打印激光器,650 nm,30-35%,250,W,1.6,良好,一般,中等,塑料、纸张,低,小型,每半年,高,便捷,8000,小时,激光打印技术公司,https://www.laserprintingtechnology.com,,
雷射探测器激光器,1250 nm,20-30%,150,W,1.7,一般,中等,一般,金属、玻璃,低,小型,每年,中等,便捷,12000,小时,激光传感技术研究所,https://www.lasersensingtech.com,,
高能粒子激光器,980 nm,30-50%,4500,W,1.3,卓越,优秀,优良,金属、塑料、复合材料,高,大型,每两年,较高,复杂,60000,小时,高能物理研究中心,https://www.highenergyphysics.org,,
蓝光激光器,445 nm,20%-26%,500,W,1.5,良好,中等,优良,塑料、木材,中,中型,每年,中等,便捷,15000,小时,中国激光行业协会,https://www.clia.org.cn,,
钕激光器,1064 nm,24%-30%,2000,W,1.4,优良,优良,优秀,金属、陶瓷,中,大型,每年,较低,较便捷,30000,小时,激光科技研究所,https://www.lasertech.com.cn,,
固态激光器,532 nm,22%-28%,1200,W,1.3,良好,中等,良好,塑料、金属,中,中型,每半年,中等,便捷,18000,小时,上海光电技术中心,https://www.soptec.org,,
长脉冲激光器,1064 nm,16%-22%,400,W,1.6,一般,中等,一般,金属、非金属,高,小型,每年,高,复杂,9000,小时,国际激光技术协会,https://www.ilta.org,,
超高功率激光器,1018 nm,25%-35%,15000,W,1.1,优秀,优良,优秀,金属、复合材料,中,超大型,每两年,中等,较便捷,50000,小时,激光制造技术创新中心,https://www.laserinnovation.com,,
光纤激光器,1550 nm,30%-40%,5000,W,1.2,良好,优良,优秀,金属、塑料、玻璃,低,小型,每年,中等,非常便捷,40000,小时,国家光电技术中心,https://www.opticaltech.org.cn,,
低温激光器,860 nm,15%-20%,350,W,2.0,一般,较差,一般,生物材料、聚合物,中,小型,每半年,高,复杂,6000,小时,生物激光应用研究中心,https://www.biorad.org,,
紫外激光器,355 nm,35%-45%,700,W,1.7,优良,优秀,优良,塑料、涂层、薄膜,中,小型,每年,中等,便捷,15000,小时,先进激光技术研究组,https://www.advancedlasertech.com,,
单模激光器,1310 nm,20%-25%,1000,W,1.1,优良,中等,良好,电子元件、半导体,低,超小型,每年,中等,便捷,20000,小时,日本电子激光社,https://www.japanlaser.com,,
