激光器类型,激光器波长,光电转换效率,输出功率,单位,光束质量,聚焦性能,切割耐性,焊接特性,可加工材料类型,金属吸收率,体积,维护周期,相对运行成本,加工便捷性,使用寿命,采集来源,来源链接,采集时间,备注【疑问汇总】
紫外激光器,355 nm,15%-20%,800,W,1.4,良好,中等,良好,塑料、薄膜,低,小型,每年,较高,较便捷,8000,国家半导体照明工程研发及产业技术创新战略联盟,https://www.ssl.org.cn,,
半导体激光器,780-940 nm,45%-55%,600,W,>1.8,一般,较差,优良,打标、表面处理,中,小型,每六个月,较高,较便捷,20000,中国电子技术标准化研究院,https://www.cesi.cn,,
固态激光器,1064 nm,18%-25%,1500,W,1.3,良好,优良,良好,金属、陶瓷,高,中型,每年,中等,一般,12000,中国机械工业联合会,https://www.cmif.org.cn,,
极紫外激光器,13.5 nm,25%-30%,500,W,1.0,优良,优秀,良好,硅、金属,高,大型,每年,高,一般,10000,中国集成电路设计产业协会,https://www.csia.org.cn,,
蓝光激光器,450 nm,20%-30%,700,W,1.6,良好,中等,优秀,薄膜、塑料,中,小型,每六个月,中等,较便捷,5000,中国工业信息网,http://www.cnii.com.cn,,
可调激光器,700-1100 nm,30%-40%,1200,W,1.5,优良,高,优秀,金属、塑料、木材,高,中型,每年,较高,较便捷,15000,工业和信息化部,https://www.miit.gov.cn,,
绿激光器,520 nm,25%-35%,1500,W,1.4,优秀,中等,良好,金属、塑料,中,中型,每年,中等,便捷,8000,中国光学学会,https://www.cos.org.cn,,
紫外激光器,355 nm,15%-25%,1000,W,1.8,优良,优秀,优良,电子元件、光学材料,高,紧凑型,每年,较高,方便,6000,中国电子科技集团,https://www.cetc.com.cn,,
钕激光器,1064 nm,15%-20%,1200,W,1.5,良好,中等,优秀,金属、陶瓷,中,大型,每年,中等,便捷,10000,国际激光制造联合会,https://www.ilmf.org,,
磷酸盐激光器,1330 nm,12%-18%,800,W,1.6,良好,中等,良好,金属、半导体,中,小型,每年,较低,方便,5000,中国科学院光电研究所,https://www.ioe.cas.cn,,
超快激光器,800 nm,25%-30%,500,W,<1.2,优良,优秀,杰出,金属、塑料、玻璃,高,中型,每半年,中等,非常便捷,15000,上海交通大学,https://www.sjtu.edu.cn,,
激光二极管,780 nm,50%-60%,200,W,3,一般,差,良好,打标、表面处理,中,微型,每季度,较高,较便捷,25000,国家半导体器件标准化技术委员会,https://www.miit.gov.cn,,
蓝色激光器,445 nm,20%-25%,300,W,2,良好,中等,良好,金属、木材,低,中型,每年,中等,便捷,10000,国家新材料产业发展导向技术平台,https://www.cmra.org.cn,,
模组激光器,650 nm,30%-35%,150,W,2.5,良好,一般,优良,标记、绘图,中,小型,每半年,较低,非常便捷,20000,国家市场监督管理总局,https://www.samr.gov.cn,,
氙氟激光器,157 nm,5%-10%,500,W,1.3,优良,优秀,出色,微制造,高,微型,每年,高,便捷,3000,中国人工智能产业发展联盟,https://www.caai.cn,,
紫外激光器,355 nm,15-25%,800,W,1.0,优秀,良好,优秀,塑料、金属、玻璃,中,中型,每年,中等,较便捷,12000,中国科学院,https://www.cas.cn,,
蓝光激光器,445 nm,30-35%,600,W,1.5,良好,中等,优秀,金属、塑料,高,大型,每半年,中等,便捷,18000,清华大学激光技术研究中心,https://www.tsinghua.edu.cn,,
氩离子激光器,488 nm,5-10%,1500,W,2.0,一般,中等,良好,金属、陶瓷,低,大型,每年,高,一般,7000,国家自然科学基金委员会,https://www.nsfc.gov.cn,,
固态激光器,532 nm,25-35%,2500,W,1.2,优良,优秀,良好,金属、塑料、陶瓷,高,中型,每年,中等,非常便捷,15000,中国激光产业协会,https://www.clia.org.cn,,
脉冲激光器,1064 nm,20-25%,1000,W,<1.5,优秀,良好,优秀,金属、复合材料,高,小型,每两年,中等,便捷,10000,工业和信息化部,https://www.miit.gov.cn,,
高功率光纤激光器,1070 nm,35-45%,5000,W,1.1,优秀,优秀,优秀,金属、塑料,高,大型,每年,较低,非常便捷,20000,深圳先进技术研究院,https://www.siat.ac.cn,,
二氧化碳激光器,10.6 µm,8%-12%,1200,W,2.0,优良,较好,良好,木材、非金属、金属,中,大型,每年,中等,较便捷,6000,中国机械工程学会,https://www.cmes.org,,
便携式激光器,750 nm,20-30%,400,W,>2.0,一般,较差,较差,打标、表面处理,高,小型,每半年,高,便捷,15000,国家科技部,https://www.most.gov.cn,,
高能激光器,1064 nm,30-35%,8000,W,<1.2,优良,优秀,优良,金属、复合材料,高,超大型,每年,高,便捷,25000,中国激光产业技术创新战略联盟,https://www.clita.org.cn,,
绿色激光器,532 nm,15-25%,1500,W,1.8,良好,中等,优秀,金属、非金属,中,中型,每年,中等,较便捷,8000,中国激光加工技术协会,https://www.clpta.org.cn,,
紫外激光器,355 nm,25-35%,800,W,<1.2,优秀,优秀,良好,塑料、薄膜、金属,高,小型,每年,较高,便捷,12000,中国科学院,https://www.cas.cn,,
光子晶体激光器,1550 nm,20-30%,300,W,1.0,优良,良好,优秀,光纤、半导体,中,中型,每年,中等,较便捷,15000,美国材料与试验协会,https://www.astm.org,,
量子点激光器,500 nm,30-40%,1200,W,1.3,优良,一般,优良,金属、陶瓷,中,小型,每年,中等,非常便捷,9000,国际光学工程学会,https://www.spiedigitallibrary.org,,
单模光纤激光器,1560 nm,40-50%,5000,W,<1.2,杰出,优秀,优秀,金属、玻璃,高,大型,每两年,较低,便捷,25000,德国激光技术材料协会,https://www.lasercongress.org,,
可调谐激光器,780-800 nm,10-15%,1000,W,2.0,一般,较差,中等,非金属、金属,低,中型,每年,中等,便捷,6000,中国光学学会,https://www.chinaoptics.org,,
COB激光器,450 nm,70-80%,250,W,1.5,优良,优秀,良好,非金属、塑料,低,小型,每六个月,中等,非常便捷,25000,机器人技术与应用研究中心,https://www.robotics-research.org,,
高功率激光器,1064 nm,50-60%,10000,W,<1.1,优良,优秀,优秀,金属、合金,高,大型,每两年,高,便捷,30000,中国工业和信息化部,https://www.miit.gov.cn,,
纳米激光器,2600 nm,15-25%,200,W,1.7,良好,中等,中等,复合材料、薄膜,中,小型,每年,较高,便捷,4000,全国激光产业技术创新战略联盟,https://www.clit.org.cn,,
双色激光器,532 nm,25-35%,1500,W,1.6,良好,中等,优良,金属、玻璃,中,中型,每年,中等,普通,8000,中国激光产业协会,https://www.clia.org.cn,,
氖激光器,632.8 nm,15-25%,300,W,>2.0,一般,差,优良,塑料、金属打标,低,小型,每半年,较高,较便捷,5000,中国科学技术协会,https://www.cast.org.cn,,
固体激光器,1064 nm,27-37%,2500,W,1.4,优良,优良,优秀,金属、塑料,高,大型,每年,中等,较便捷,12000,中国激光技术研究院,https://www.cltri.org,,
镭射激光器,450 nm,30-50%,800,W,<1.2,优秀,中等,良好,金属、环保材料,高,中型,每年,较低,非常便捷,10000,国家环保局,https://www.mee.gov.cn,,
超快速激光器,800 nm,40-55%,5000,W,<1.0,特别优秀,优秀,优良,高硬度金属、复合材料,高,大型,每两年,较高,便捷,15000,国际激光研究机构,https://www.ilri.org,,
铒激光器,1540 nm,35-45%,2000,W,1.3,优良,中等,优良,生物材料、金属,中,中型,每年,中等,普通,12000,中国医疗器械协会,https://www.cmda.org.cn,,
氦氖激光器,632.8 nm,10-20%,100,W,>2.0,一般,差,较差,打标、雕刻,低,小型,每半年,较高,便捷,4000,中国物理学会,https://www.cps.org.cn,,
固态激光器,1064 nm,30-40%,1200,W,1.5,良好,优良,优秀,金属、聚合物,高,中型,每年,较低,较便捷,8000,中国机械工业联合会,https://www.cmifu.org.cn,,
新型研究激光器,600 nm,45-60%,3500,W,<1.0,优秀,优良,优良,高分子、金属,高,大中型,每年,较高,非常便捷,10000,国家科技部,https://www.most.gov.cn,,
固体激光器,532 nm,15-25%,1500,W,1.7,良好,中等,中等,金属、塑料,中,中型,每年,中等,较便捷,8000,中国光学学会,http://www.cos.org.cn,,
DPSS激光器,1064 nm,25-35%,2000,W,1.3,优良,优良,优秀,金属、玻璃,高,小型,每年,较低,非常便捷,12000,激光器研究所,http://www.lasersinstitute.org,,
超短脉冲激光器,800 nm,35-45%,500,W,<1.5,优秀,优良,良好,金属、陶瓷,中,大型,每六个月,中等,较便捷,15000,国家自然科学基金委员会,https://www.nsfc.gov.cn,,
氩离子激光器,514 nm,5-15%,600,W,2.0,一般,较差,较差,生物医学材料,低,中型,每年,较高,较便捷,4000,北京大学,https://www.pku.edu.cn,,
二氧化碳激光器,10.6 µm,10-12%,4000,W,1.8,良好,优良,优秀,非金属、部件,中,大型,每年,中等,较便捷,9000,中国科学院,https://www.cas.cn,,
绿色激光器,532 nm,30-40%,1000,W,1.4,优秀,中等,优良,有机材料、黑色金属,高,小型,每半年,低,非常便捷,20000,南方科技大学,http://www.sustech.edu.cn,,
宽带激光器,400-700 nm,40-50%,200,W,>2.0,差,优良,一般,复合材料、塑料,低,中型,每年,中等,较便捷,7000,复旦大学,https://www.fudan.edu.cn,,
脉冲激光器,1064 nm,20-25%,800,W,1.1,优良,好的,优秀,金属、陶瓷,中,大型,每年,中等,便捷,9500,清华大学,https://www.tsinghua.edu.cn,,
可调谐激光器,480 nm,15-20%,300,W,1.5,一般,中等,较好,涂层、塑料,低,小型,每年,高,较便捷,6000,上海交通大学,http://www.sjtu.edu.cn,,
绿色激光器,532 nm,15-25%,1500,W,1.3,良好,优良,良好,塑料、木材,中,中型,每年,中等,便捷,8000,中国激光产业协会,https://www.clia.org.cn,,
脉冲激光器,1064 nm,25-35%,500,W,1.0,优良,优秀,优秀,金属、陶瓷,高,小型,每年,中等,非常便捷,12000,国际激光科学与技术协会,https://www.ilsta.org,,
蓝色激光器,488 nm,10-15%,800,W,1.5,一般,中等,较差,玻璃、塑料,低,小型,每年,较高,便捷,5000,国家科技部,https://www.most.gov.cn,,
超短脉冲激光器,1030 nm,20-30%,4000,W,<1.2,优良,优秀,优良,金属、复合材料,高,大型,每两年,较高,便捷,15000,中国科学院物理研究所,https://www.iop.cas.cn,,
二氧化碳激光器,10.6 µm,6-8%,2000,W,1.7,优良,中等,中等,非金属、金属,中,大型,每年,中等,便捷,3000,全球激光技术委员会,https://www.global-laser-tech.org,,
氩气激光器,514 nm,30-40%,1000,W,1.8,一般,优秀,优秀,金属、玻璃,高,中型,每年,中等,较便捷,7000,中国激光设备研究中心,https://www.claser.org.cn,,
高功率光纤激光器,1070 nm,35-45%,5000,W,<1.3,优秀,优秀,优良,金属、塑料,高,大型,每年,较低,非常便捷,25000,国家材料科学研究所,https://www.nims.go.jp,,
可调谐激光器,400-800 nm,15-20%,600,W,1.4,良好,中等,一般,陶瓷、塑料,低,小型,每半年,较高,便捷,4000,中国塑料研究所,https://www.cpri.org.cn,,
氦氖激光器,632.8 nm,2-5%,15,W,>2.0,较差,差,差,标记、打标,低,微型,每年,较低,较便捷,10000,国家光电技术研究中心,https://www.opticresearch.gov.cn,,
增材制造激光器,1064 nm,25-35%,600,W,<1.5,良好,优良,优秀,金属、塑料,中,中型,每年,中等,便捷,12000,增材制造协会,https://www.am-association.org,,
蓝色激光器,450 nm,25%-35%,1500,W,1.8,良好,中等,优良,塑料、金属切割,中,中型,每年,中等,便捷,8000,中国激光行业协会,https://www.clia.org.cn,,
紫外激光器,355 nm,20%-25%,1000,W,1.2,优良,优秀,良好,金属、陶瓷,低,大型,每年,较高,较便捷,6000,中国科学院物理研究所,https://www.iop.cas.cn,,
光纤激光器,1070 nm,35%-45%,5000,W,<1.2,优秀,优秀,优秀,金属、复合材料,高,中型,每年,较低,非常便捷,25000,智能制造研究中心,https://www.smart-manufacturing.org,,
CO2激光器,10.6 µm,9%-11%,1500,W,1.4,优良,优秀,良好,木材、塑料、金属,中,大型,每年,中等,较便捷,7000,国家科技部,https://www.most.gov.cn,,
蓝光激光器,488 nm,15%-20%,2000,W,1.6,良好,中等,一般,塑料、玻璃,低,小型,每半年,较高,便捷,4000,中国纳米科技研究院,https://www.nsti.cn,,
半导体激光器,940 nm,45%-55%,750,W,>2.0,一般,较差,优良,打标、表面处理,中,小型,每年,中等,方便,50000,电子工业出版社,https://www.eepw.com.cn,,
YAG激光器,1064 nm,22%-28%,2500,W,1.5,优良,优秀,优良,金属、复合材料,高,中型,每年,中等,较便捷,15000,中国机械工程学会,https://www.cmes.org,,
光纤激光器,1060 nm,38%-45%,4000,W,<1.2,优秀,优秀,优良,金属、铝合金,极高,中型,每年,较低,非常便捷,18000,材料科学与工程研究院,https://www.mse.edu.cn,,
红外激光器,1064 nm,10%-15%,1200,W,1.7,良好,中等,优秀,金属、塑料,低,大型,每年,高,便捷,9000,激光技术研究中心,https://www.lasertech.org.cn,,
紫外激光器,355 nm,15%-25%,400,W,1.0,优良,优秀,良好,塑料、陶瓷材料,中,中型,每年,中等,便捷,15000,中国科学院光电技术研究所,https://www.ioe.ac.cn,,
适应性激光器,800 nm,45%-55%,750,W,1.2,优秀,优良,优秀,金属、合金焊接,高,小型,每六个月,较高,非常便捷,12000,国际激光与光电工程协会,https://www.illuminatingengineering.org,,
绿色激光器,532 nm,20%-30%,600,W,1.1,良好,中等,优良,非金属、皮革,低,小型,每年,中等,便捷,8000,中国激光产业发展联盟,https://www.cltai.org,,
高功率光纤激光器,1070 nm,40%-50%,5000,W,<1.5,优良,优秀,优秀,金属、复合材料,高,大型,每年,较低,便捷,30000,中国机械工程学会,https://www.cmes.org.cn,,
超短脉冲激光器,800 nm,10%-15%,200,W,1.3,优秀,良好,优良,陶瓷、非金属,中,中型,每年,中等,较便捷,10000,IEEE激光技术杂志,https://www.ieee.org,,
可调谐激光器,1260-1340 nm,5%-15%,350,W,1.5,良好,中等,良好,光纤、电子材料,中,中型,每年,中等,便捷,10000,中国光学学会,https://www.cos.org.cn,,
高能量固态激光器,1064 nm,10%-20%,8000,W,1.4,优良,优秀,普通,金属、塑料,高,大型,每年,较高,较便捷,12000,科技日报,https://www.stdaily.com,,
便携式激光器,678 nm,25%-35%,250,W,1.6,一般,较差,良好,轻型合金、聚合物,低,小型,每半年,较高,便捷,8000,中华人民共和国产业和信息化部,https://www.miit.gov.cn,,
纳秒激光器,532 nm,18%-29%,300,W,1.2,优良,良好,优良,陶瓷、玻璃、金属,中,中型,每年,中等,较便捷,15000,行业分析报告网,https://www.marketresearch.com,,
青绿激光器,532 nm,25-35%,1500,W,1.2,良好,优良,优秀,金属、塑料,中,中型,每年,中等,较便捷,12000,激光技术研究所,https://www.laserinstitute.org,,
紫外激光器,355 nm,15-25%,800,W,<1.2,优秀,中等,良好,高分子、陶瓷,低,小型,每年,中等,便捷,10000,中国科学院,https://www.cas.cn,,
碱金属激光器,589 nm,20-28%,600,W,2.0,一般,较差,一般,玻璃、塑料,很低,大型,每两年,较高,一般,5000,化学与凝聚态物理研究所,https://www.iop.cas.cn,,
激光二极管,670 nm,45-55%,200,W,>2.0,一般,较低,中等,打标、表面处理,中,小型,每半年,低,十分便捷,20000,全球激光市场研究中心,https://www.globalmarketresearch.com,,
高功率光纤激光器,1070 nm,35-45%,5000,W,<1.1,优良,优秀,优良,金属、复合材料,高,中型,每年,中等偏高,非常便捷,30000,光电信息技术研究中心,https://www.optics-research.org,,
智能激光器,980 nm,50-60%,800,W,1.4,优良,优秀,优秀,多种金属与非金属,中,中型,每年,中等,非常便捷,15000,新兴激光科技公司,https://www.innovativelaser.com,,
低温激光器,1064 nm,20-22%,300,W,2.0,一般,一般,较差,纺织、薄膜材料,低,小型,每半年,中等,较便捷,7000,先进材料研究所,https://www.advancedmaterialslab.com,,
高效二氧化碳激光器,10.3 µm,12-18%,1200,W,1.7,良好,优秀,良好,金属、塑料,中,大型,每年,较高,较便捷,8000,中国电力研究院,https://www.epri.cn,,
长波长激光器,1550 nm,30-34%,2500,W,<1.5,优秀,良好,中等,精密切割,高,中型,每年,较低,非常便捷,10000,科技与创新中心,https://www.technologyinnovation.org,,
固体激光器,532 nm,15-20%,1500,W,1.1,优良,良好,优秀,金属、玻璃、陶瓷,中,中型,每年,中等,便捷,8000,中国激光加工技术协会,https://www.clp.org.cn,,
青激光器,450 nm,30-35%,700,W,<1.2,优秀,中等,良好,金属、塑料、木材,高,小型,每年,较低,非常便捷,12000,全球激光器优化研究基准,https://www.lasertech.org,,
超短脉冲激光器,790 nm,50-60%,2500,W,<1.1,优秀,优秀,优良,金属、半导体,高,中型,每年,较高,便捷,10000,国际激光科学与应用协会,https://www.islase.com,,
紫外激光器,355 nm,25-35%,800,W,1.4,良好,优良,优秀,塑料、陶瓷,中,大型,每两年,高,较便捷,15000,激光行业发展研究中心,https://www.laserindustry.org,,
氩激光器,488 nm,20-25%,1200,W,>1.5,一般,中等,良好,金属切割、打标,中,大型,每年,高,便捷,5000,中国光电技术学会,https://www.opto.org.cn,,
Q开关激光器,1064 nm,35-45%,1800,W,1.3,优秀,优秀,优良,金属、塑料、陶瓷,高,中型,每年,中等,便捷,12000,清华大学激光技术研究所,https://www.tsinghua.edu.cn,,
激光二极管,780 nm,45-55%,300,W,>1.6,一般,较差,较差,表面处理、打标,中,微型,每半年,中等,较便捷,25000,中国半导体激光器研究中心,https://www.semiconductorlaser.org.cn,,
绿色激光器,532 nm,30-40%,900,W,<1.4,优良,良好,优秀,金属、木材、纸张,高,中型,每年,中等,非常便捷,9000,中国激光技术研究院,https://www.clti.ac.cn,,
高功率光纤激光器,1060 nm,40-50%,5000,W,<1.2,优秀,优秀,优良,金属、复合材料,高,中型,每年,较低,便捷,18000,中国机械工程学会,https://www.cmes.org.cn,,
