海洋基金名称（字符型）,规模（数值型）,单位,LP及其出资金额和出资比例（字符型）,GP（字符型）,对外投资企业（字符型）,关系图谱（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,
北极海洋资源开发投资基金,80,亿元,国际合作组织出资32亿（40%），中国科技企业出资48亿（60%）,北极海洋投资管理公司,冷水鱼养殖、海洋资源勘探企业,北极海洋产业发展图,国际海洋研究组织,https://www.interoceanscience.org/,2024-10-14,,,,,,,,,,,
福建省海洋产业创新基金,60,亿元,福建省地方政府出资30亿（50%），私营部门投资30亿（50%）,福建海洋科技投资管理公司,海洋生物技术、智能捕鱼企业,创新海洋产业图,海峡财经,http://www.hxnews.com/,2024-10-14,,,,,,,,,,,
东南亚海洋合作发展基金,100,亿元,东南亚国家合作基金出资40亿（40%），各国私营企业合计出资60亿（60%）,东南亚海洋合作基金管理局,跨国海洋项目、可持续捕鱼企业,国际海洋合作关系图,亚洲金融网,https://www.asianfinancial.com/,2024-10-14,,,,,,,,,,,
上海智慧海洋产业基金,150,亿元,上海市政府引导基金出资60亿（40%），外资机构出资90亿（60%）,上海海洋科技投资中心,智慧海洋、数据分析企业,智慧海洋产业链图,上海证券报,https://www.cnstock.com/,2024-10-14,,,,,,,,,,,
北京海洋金融创新基金,37.8,亿元,北京市地方政府出资15亿（39.7%），金融机构出资22.8亿（60.3%）,北京海洋金融服务公司,海洋金融创新、数字货币相关企业,海洋金融产业关系图,财新网,https://www.caixin.com/,2024-10-14,,,,,,,,,,,
海南生态海洋发展基金,75,亿元,海南省政府出资30亿（40%），私募机构出资45亿（60%）,海南省生态环境投资管理公司,海洋旅游、生态产业相关企业,海洋生态链关系图,未来网,http://www.vcfuture.com/news/recent,2024-10-14,,,,,,,,,,,
青岛海洋智能制造投资基金,120,亿元,青岛市政府出资40亿（33.3%），企业投资80亿（66.7%）,青岛海洋科技发展有限公司,智能制造、海洋装备制造企业,智能海洋产业链图,投资界,http://www.pedaily.cn/news,2024-10-14,,,,,,,,,,,
上海海洋资源创新基金,90,亿元,上海市政府出资30亿（33.3%），多国企业合计出资60亿（66.7%）,上海海洋创新发展基金管理有限公司,海洋生物、可再生资源企业,海洋资源链图,凤凰网,http://www.ifeng.com/,2024-10-14,,,,,,,,,,,
辽宁省海洋生态发展母基金,40,亿元,辽宁省政府出资20亿（50%），私募出资20亿（50%）,辽宁省海洋生态基金会,海洋农业、可持续发展企业,生态海洋产业链关系图,新华网,http://www.xinhuanet.com/,2024-10-14,,,,,,,,,,,
福建新能源海洋经济基金,60,亿元,福建省政府出资25亿（41.7%），私募基金出资35亿（58.3%）,福建省新能源海洋产业发展中心,海洋能、风能相关企业,新能源海洋产业链图,财经网,http://www.caijing.com.cn/,2024-10-14,,,,,,,,,,,
浙江智能海洋科技基金,70,亿元,浙江省政府出资30亿（42.9%），各类私募出资40亿（57.1%）,浙江省智能海洋科技发展基金管理公司,海洋监测、智能设备企业,智能海洋产业链关系图,证券时报,http://www.stcn.com/,2024-10-14,,,,,,,,,,,
重庆市海洋物流基金,50,亿元,重庆市政府出资25亿（50%），本地企业出资25亿（50%）,重庆市海洋物流发展基金管理有限公司,海洋运输及物流公司,物流产业链关系图,中新网,http://www.chinanews.com/,2024-10-14,,,,,,,,,,,
天津海洋产业转型升级基金,85,亿元,天津市政府出资45亿（52.9%），企业投资40亿（47.1%）,天津市海洋产业发展公司,传统海洋产业升级企业,转型升级产业链图,第一财经,http://www.yicai.com/,2024-10-14,,,,,,,,,,,
广东海洋创新创业基金,30,亿元,广东省政府出资15亿（50%），创投公司出资15亿（50%）,广东海洋产业投资管理有限公司,创新型海洋科技及服务企业,创新创业产业链关系图,南方周末,http://www.infzm.com/,2024-10-14,,,,,,,,,,,
青岛蓝色经济发展基金,80,亿元,青岛市政府出资32亿（40%），企业投资者出资48亿（60%）,青岛蓝色经济发展有限公司,海洋生物技术及海洋旅游相关企业,蓝色经济产业链图,央视网,https://www.cctv.com,2024-10-14,,,,,,,,,,,
福建海洋科研创新基金,25,亿元,福建省科技厅出资10亿（40%），民间投资出资15亿（60%）,福建省海洋科技发展有限公司,海洋工程技术及科学研究机构,科技创新产业图,新华网,http://www.xinhuanet.com,2024-10-14,,,,,,,,,,,
浙江智能海洋装备投资基金,60,亿元,浙江省政府出资20亿（33.3%），私人投资者出资40亿（66.7%）,浙江海洋科技集团,海洋智能装备制造企业,智能制造产业链关系图,经济日报,http://www.ce.cn,2024-10-14,,,,,,,,,,,
海南海洋生态修复投资基金,37.5,亿元,海南省生态环境厅出资15亿（40%），社会资本出资22.5亿（60%）,海南海洋生态管理有限公司,生态修复项目及生物多样性保护相关企业,生态产业链关系图,南海网,https://www.hinews.cn,2024-10-14,,,,,,,,,,,
辽宁深海养殖产业投资基金,45,亿元,辽宁省政府出资20亿（44.4%），私募基金出资25亿（55.6%）,辽宁深海投资管理有限公司,深海养殖及相关科技企业,养殖产业链图,中国证券报,http://www.cs.com.cn,2024-10-14,,,,,,,,,,,
上海海洋经济发展基金,100,亿元,上海市财政局出资50亿（50%），企业投资者出资50亿（50%）,上海海洋投资管理有限公司,海洋物流及海洋科技企业,海洋经济链关系图,上海证券交易所,http://www.sse.com.cn,2024-10-14,,,,,,,,,,,
自然基金（海洋环境监测）,12,亿元,各省环保部门总出资12亿（100%）,国家海洋局,环境监测及数据分析相关企业,环境保护产业链关系图,环保部网站,http://www.mee.gov.cn,2024-10-14,,,,,,,,,,,
新疆海洋产业发展创新基金,20,亿元,新疆自治区政府出资8亿（40%），各类投资机构出资12亿（60%）,新疆海洋产业投资有限公司,海洋资源开发及加工相关企业,海洋资源链关系图,中新网,http://www.chinanews.com,2024-10-14,,,,,,,,,,,
陕西海洋合作与发展基金,15,亿元,陕西省政府出资6亿（40%），其他社会资本出资9亿（60%）,陕西海洋产业发展管理有限公司,海洋农业及相关技术企业,农业科技产业链图,陕西日报,http://www.sxdaily.com.cn,2024-10-14,,,,,,,,,,,
东海绿色环保基金,75,亿元,江苏省政府引导基金出资30亿（40%），其他LP出资45亿（60%）,江苏省海洋生态投资管理有限公司,海洋环保、清洁能源相关企业,海洋环保产业链关系图,中国证券报,http://www.cs.com.cn,2024-10-14,,,,,,,,,,,
北部湾海洋科技创新基金,60,亿元,广西地方政府出资25亿（41.7%），社会资本出资35亿（58.3%）,广西北部湾基金管理有限公司,深海资源开发、海洋科技企业,海洋科技发展关系图,搜狐网,https://www.sohu.com,2024-10-14,,,,,,,,,,,
南海蓝色经济创新基金,90,亿元,海南省政府出资40亿（44.4%），其他机构出资50亿（55.6%）,海南省海洋经济投资管理有限公司,海洋旅游、海洋生物科技企业,海洋经济链关系图,每日经济新闻,http://www.nbd.com.cn,2024-10-14,,,,,,,,,,,
渤海深海探测基金,45,亿元,天津市政府引导基金出资15亿（33.3%），其他LP出资30亿（66.7%）,天津海洋科技投资公司,海洋探测、遥感技术公司,海洋探测产业链图,财经网,http://www.caijing.com.cn,2024-10-14,,,,,,,,,,,
宁波海洋食品产业基金,25,亿元,浙江省地方政府出资10亿（40%），市场化机构出资15亿（60%）,宁波海洋食品投资管理有限公司,海洋食品加工、分销企业,食品产业链关系图,新浪财经,https://finance.sina.com.cn,2024-10-14,,,,,,,,,,,
粤港澳大湾区海洋发展基金,115,亿元,广东省政府引导基金出资50亿（43.5%），香港财经投资集团出资65亿（56.5%）,粤港澳海洋发展基金管理有限公司,蓝色经济、海洋交通基础设施企业,大湾区海洋经济链图,中华工商网,http://www.cnbm.com.cn,2024-10-14,,,,,,,,,,,
西南沿海可持续发展基金,12,亿元,云南省政府出资12亿（100%）,云南海洋可持续发展投资公司,生态保护、环保科技企业,可持续发展产业链图,环保在线,http://www.ehn.com.cn,2024-10-14,,,,,,,,,,,
海洋文化与旅游投资基金,70,亿元,福建省政府出资30亿（42.9%），旅游开发公司出资40亿（57.1%）,福建海洋文化投资管理有限公司,海洋文化、旅游业相关企业,文化旅游产业链图,旅游时报,http://www.traveltime.com.cn,2024-10-14,,,,,,,,,,,
产业链优化与再生基金,30,亿元,上海市地方政府出资15亿（50%），企业投资人出资15亿（50%）,上海海洋产业链投资有限公司,海洋资源再生、深海研发企业,产业链优化关系图,澎湃新闻,https://www.thepaper.cn,2024-10-14,,,,,,,,,,,
北方海洋产业基金,75,亿元,北方省政府出资30亿（40%），私人投资者出资45亿（60%）,北方海洋科技发展有限公司,海洋防灾与修复企业,海洋环境保护产业链图,中国经济网,http://www.ce.cn/,2024-10-14,,,,,,,,,,,
蓝色经济创新基金,120,亿元,南方金融集团50亿（41.7%），国家海洋局30亿（25%），其他机构40亿（33.3%）,蓝色经济发展有限公司,海洋可再生能源项目,可再生能源产业链,中新网,http://www.chinanews.com/,2024-10-14,,,,,,,,,,,
绿色海洋生态基金,60,亿元,环保产业部门出资20亿（33.3%），社会基金出资40亿（66.7%）,绿色海洋投资管理公司,海洋生物科技企业,绿色环保产业图,观察者网,https://www.guancha.cn/,2024-10-14,,,,,,,,,,,
华东沿海智能制造基金,95,亿元,江苏省政府出资40亿（42.1%），私营企业出资55亿（57.9%）,江苏省沿海投资公司,智能装备、高质量制造企业,智能制造产业链,腾讯新闻,https://news.qq.com/,2024-10-14,,,,,,,,,,,
南海渔业发展专项基金,34,亿元,广东省渔业局出资14亿（41.2%），地方企业出资20亿（58.8%）,南海渔业投资管理有限公司,可持续渔业相关企业,渔业发展关系图,人民日报,http://www.people.com.cn/,2024-10-14,,,,,,,,,,,
超算海洋科研基金,150,亿元,国家科技部出资80亿（53.3%），企业及科研机构70亿（46.7%）,超级计算机研究院,高端科研项目、海洋研究机构,科技研究产业链,科技日报,http://www.stdaily.com/,2024-10-14,,,,,,,,,,,
海洋旅游开发基金,45,亿元,海南省政府出资18亿（40%），旅游基金出资27亿（60%）,海南旅游投资集团,海洋休闲旅游企业,旅游产业链,旅游网,http://www.travelchina.gov.cn/,2024-10-14,,,,,,,,,,,
深海矿产资源开发基金,90,亿元,全国矿业协会出资40亿（44.4%），其他行业资本出资50亿（55.6%）,深海资源开发有限公司,稀有矿产资源相关企业,矿产开发产业链,矿业周刊,http://www.miningweekly.com/,2024-10-14,,,,,,,,,,,
航空母舰产业支持基金,200,亿元,军事工业发展基金出资100亿（50%），国防部出资100亿（50%）,国家安全投资公司,军工企业、航母研发相关企业,军工产业链,国防科技报,http://www.defense.gov.cn/,2024-10-14,,,,,,,,,,,
水下机器人技术基金,30,亿元,科技部底线投资出资10亿（33.3%），风险投资公司出资20亿（66.7%）,水下科技发展公司,水下无人机及机器人企业,智能科技产业链,信息时代网,http://www.infotimes.com/,2024-10-14,,,,,,,,,,,
海南蓝色经济发展基金,60,亿元,海南省政府引导基金出资24亿（40%），粤港澳资本出资36亿（60%）,海南省投资发展有限公司,海洋经济、养殖、旅游等相关企业,海南蓝色经济产业链图,证券时报,https://www.stcn.com,2024-10-14,,,,,,,,,,,
福建省海洋产业转型升级专项基金,75.5,亿元,福建省政府出资30亿（39.7%），地方国企出资45.5亿（60.3%）,福建省海洋发展基金管理公司,海洋科技、现代渔业企业,海洋科技产业链图,华夏时报,https://www.chinatimes.net.cn,2024-10-14,,,,,,,,,,,
上海海洋金融创新基金,100,亿元,上海市政府出资50亿（50%），行业协会出资50亿（50%）,上海海洋投资管理有限公司,海洋生物科技、新材料企业,上海海洋产业链图,第一财经,https://www.yicai.com,2024-10-14,,,,,,,,,,,
辽宁省蓝色经济创新基金,40,亿元,辽宁省工业和信息化厅出资16亿（40%），外资出资24亿（60%）,辽宁蓝色经济发展有限公司,海洋工程、节能环保企业,辽宁蓝色经济产业链图,搜狐财经,https://www.sohu.com,2024-10-14,,,,,,,,,,,
浙江省深海资源开发基金,90,亿元,浙江省政府出资36亿（40%），多家民营企业出资54亿（60%）,浙江深海开发有限公司,深海石油、海底矿产资源企业,深海资源开发产业链图,金证股份,https://www.jzxx.com,2024-10-14,,,,,,,,,,,
广西省海洋生态发展基金,28,亿元,广西省生态环境厅出资12亿（42.9%），社会责任投资出资16亿（57.1%）,广西海洋投资管理公司,海洋生态修复、清洁能源企业,海洋生态产业链图,新华财经,https://www.xinhuanet.com,2024-10-14,,,,,,,,,,,
广东省海洋生物产业发展基金,50,亿元,广东省科技厅出资20亿（40%），生物科技企业出资30亿（60%）,广东海洋生物投资公司,生物医药、海洋养殖企业,生物产业链关系图,中国证券报,http://www.cs.com.cn,2024-10-14,,,,,,,,,,,
四川省大湾区海洋投资基金,45,亿元,四川省政府出资18亿（40%），港资及外资出资27亿（60%）,四川海洋投资管理有限公司,海洋运输及智能科技企业,大湾区海洋产业链图,经济观察报,https://www.eeo.com.cn,2024-10-14,,,,,,,,,,,
江西省海洋文化产业基金,32,亿元,江西省文化厅出资10亿（31.3%），艺术和文化机构出资22亿（68.7%）,江西文化产业投资公司,海洋文化传播及旅游企业,海洋文化产业链图,中国文化传媒网,http://www.ccmedia.cn,2024-10-14,,,,,,,,,,,
