机器人类型,主要结构,特点,常见应用,采集来源,来源链接,采集时间,备注
艺术机器人,交互艺术装置,创意表达、多人互动,艺术展览、公共艺术,中国现代艺术家协会,http://www.caa.org.cn,,
防灾机器人,智能救援系统,快速部署、环境适应,自然灾害响应、紧急救援,中国应急管理学院,http://www.emergency.edu.cn,,
安全机器人,监控巡逻体系,实时监测、异常报警,小区安防、商业保护,中国国家安全局,https://www.nsa.gov.cn,,
娱乐教育机器人,智能学习平台,互动教学、情境模拟,幼教、兴趣班,中国教育信息化协会,http://www.iiie.org.cn,,
服务机器人,智能音箱集成系统,语音识别、智能助手,家庭自动化、客户服务,中国人工智能研究院,https://www.ai-cas.cn,,
运载机器人,电动运输车,长续航、抗风沙,农田运输、建筑工地,农业机械化研究所,http://www.amri.org.cn,,
医疗机器人,手术辅助臂,高精度、远程控制,微创手术、医生培训,中国医疗器械协会,https://www.cmda.com.cn,,
无人机,固定翼设计,长距离飞行、高清摄像,农业监测、电影拍摄,无人系统协会,http://www.uav.org.cn,,
教育机器人,互动学习平台,编程教学、趣味互动,青少年教育、技术培训,全国教育技术中心,http://www.etc.gov.cn,,
探测机器人,地面移动平台,环境监测、数据收集,气候研究、矿产勘探,中国地质调查局,http://www.cgs.gov.cn,,
农业机器人,自动化播种机,精准播种、高效作业,种植业、精准农业,中国农业科学院,http://www.icaas.org,,
家庭护理机器人,移动护理平台,日常监护、健康管理,老年护理、家庭支持,中国老龄产业协会,http://www.clia.org.cn,,
翻译机器人,多语言处理系统,实时翻译、语音互动,国际会议、旅游,国家语言文字工作委员会,http://www.chinalanguage.gov.cn,,
无人物流车,激光导航系统,灵活搬运、自动泊车,城市物流、超市配送,中国物流科技协会,http://www.cltc.org.cn,,
娱乐机器人,互动反馈系统,音频视觉互动、学习能力,家庭娱乐、儿童教育,中国机器人产业联盟,http://www.cria.org.cn,,
测量机器人,三维激光扫描仪,高精度测绘、实时数据分析,建筑设计、文物修复,中国工程院,http://www.cae.cn,,
智能厨师,自动烹饪系统,温控精确、自动清洗,家庭厨房、餐饮服务,中国厨电协会,http://www.china-cooking.org,,
环境清洁机器人,智能吸尘器,自充电、路径规划,家庭清扫、公共场所维护,中国清洁协会,http://www.cleaning.org.cn,,
跟随机器人,视觉跟踪系统,实时定位、障碍识别,导游服务、活动策划,中国旅游协会,http://www.chinatourism.org.cn,,
电商配送机器人,智能运输车,自动导航、实时调度,在线购物、快递服务,中国电子商务协会,http://www.ceba.org.cn,,
军用机器人,战术无人机,隐蔽性强、快速部署,侦查、武器投送,中国国防科技工业协会,http://www.china-nr.com,,
灾难应急机器人,多用途拖拉机,越野能力、运载灵活,灾后重建、物资运输,国家应急管理部,http://www.mem.gov.cn,,
农业机器人,智能割草机,精准割草、土壤监测,农田管理、草坪维护,中国农业科学院,http://www.caas.cn,,
医疗机器人,手术辅助手臂,高精度、实时监控,微创手术、病理分析,中国医学科学院,http://www.cams.cn,,
服务机器人,语音识别系统,智能对话、用户识别,酒店接待、家庭助手,中国服务机器人协会,http://www.csr.org.cn,,
家居清扫机器人,吸尘拖地一体,自动清扫、智能规划,家庭清洁、宠物毛发清除,中国家用电器协会,http://www.cheaa.com,,
社交机器人,表情识别与互动系统,情感交流、情境感知,老年人陪护、儿童教育,中国人工智能学会,http://www.caaia.org,,
清洗机器人,高压水喷射系统,高效清洗、节能,工业设备清洗、建筑清理,中国工业清洗设备厂家,http://www.ciea.org.cn,,
工业服务机器人,协作机械臂,灵活协作、安全防护,组装线、物料搬运,国际机器人联合会,http://www.ifr.org,,
特种作业机器人,地下挖掘机系统,精准挖掘、遥控操作,隧道建设、矿山开采,中国矿业协会,http://www.cma.org.cn,,
航空遥控机器人,四旋翼无人机,稳定飞行、高清摄像,农业喷药、交通监控,中国民航局,http://www.caac.gov.cn,,
演示机器人,全身自由活动机械,自然动作、实时反馈,博物馆展览、科技展示,中国科学技术协会,http://www.cast.org.cn,,
海洋机器人,自主水下航行器,深海探测、长期续航,海洋生物研究、沉船打捞,中国海洋局,http://www.soa.gov.cn,,
娱乐机器人,互动表演系统,多种表演、观众互动,公共活动、展览演出,中国娱乐科技协会,http://www.cestc.org.cn,,
环境监测机器人,传感器网络,实时数据采集、动态分析,空气质量监测、水污染检测,中国环境保护部,http://www.mep.gov.cn,,
教育机器人,编程平台与硬件整合,可编程、互动学习,课堂教育、科技竞赛,中国教育部,http://www.moe.gov.cn,,
纳米机器人,微型机械单元,精密操作、毫米级控制,医疗药物输送、高精度实验,中国科学院科技前沿评论,http://www.cas.cn,,
展览导航机器人,实时定位与引导系统,自动导览、互动体验,博物馆、商业展会,中国旅游局,http://www.cnta.gov.cn,,
运输机器人,智能移动底盘,自主导航、货物搬运,工厂流水线、医院配药,中国运输部,http://www.mot.gov.cn,,
无人机监管机器人,监控与响应系统,多重传感器、快速响应,边境监控、公共安全,国家安全生产监督管理局,http://www.chinasafety.gov.cn,,
商业清洁机器人,智能导航系统,高效清扫、抗干扰,商场、机场清洁,中国人工智能产业发展报告,https://www.aiindustry.cn,,
水面机器人,自航浮筒,高精度测量、水质监测,湖泊研究、海水监测,水文化研究中心,https://www.waterculture.cn,,
家用服务机器人,人机交互系统,语音识别、情感交流,家庭陪伴、老年人护理,中国社会科学家协会,https://www.cssa.org.cn,,
农业机器人,自动播种机,大面积作业、精准施肥,智能农业、作物管理,中国农业机械化协会,http://www.cama.org.cn,,
清洗机器人,高压水喷射系统,高效清洗、节水设计,交通工具清洗、建筑外立面,中国清洁技术协会,http://www.ccta.org.cn,,
护理机器人,智能定位系统,药物投递、紧急呼叫,医院、护理中心,智能医疗技术协会,http://www.imta.org.cn,,
商业配送机器人,移动导航平台,实时位置反馈、自动避障,餐饮配送、最后一公里物流,中国物流技术发展中心,https://www.clt.org.cn,,
垃圾处理机器人,智能分拣系统,废物识别分类、环保设计,市政垃圾处理、废物回收,中国环境保护协会,http://www.epa.org.cn,,
教育机器人,互动教学平台,编程学习、情景模拟,学校、培训机构,中国教育技术协会,https://www.cet.com.cn,,
服务机器人,移动机器人平台,多语言支持、互动交流,接待、导览,中国服务业发展研究院,https://www.serviceresearch.cn,,
边缘计算机器人,分布式数据处理单元,实时响应、安全防护,工业互联网、数据分析,中国通信工业协会,http://www.ccta.org.cn,,
远程监控机器人,灵活机动底盘,2D/3D成像、实时数据传输,安全监控、设施巡检,国家科技部,http://www.most.gov.cn,,
人工智能助手,深度学习算法,自我学习、高效工作,商务助理、客户服务,中国人工智能商会,https://www.caihub.org.cn,,
自动化检修机器人,遥控操作臂,高可靠性、故障自诊断,电力基础设施、设备维护,国家电力公司,http://www.sgcc.com.cn,,
无人机配送机器人,无人机技术与路径智能,快速投递、多点选择,药品配送、急救物资,中国无人机行业协会,https://www.uavassociation.cn,,
特种清洁机器人,自定义清洗模块,适应多种表面、环境友好,工业设施清洗、特殊区域维护,中国机械工程学会,http://www.cmes.org.cn,,
仓储管理机器人,条形码扫描系统,库存跟踪、自动补货,超市、储存设施,中国商业经济学会,http://www.cbe.org.cn,,
矿山作业机器人,防爆设计的移动平台,适应恶劣环境、高效作业,矿山开采、资源探测,中国矿业联合会,http://www.cme.org.cn,,
服务机器人,互动屏幕与移动底座,语音识别、情绪识别,酒店接待、家庭陪伴,中国人工智能行业发展报告,https://www.aiindustry.org,,
农业机器人,自动驾驶农机,精准播种、土壤监测,农作物种植、精准农业,中国农业科学院,http://www.caas.cn,,
教育机器人,可编程学习平台,模块化设计、互动学习,编程教育、STEM课程,教育部,http://www.moe.gov.cn,,
巡逻机器人,多传感器集成系统,实时监控、自动路径规划,公共安全、工厂监控,国家公安部,http://www.mps.gov.cn,,
护理机器人,人机交互接口,健康监测、自动帮助,老年照护、医疗监护,中国护理协会,http://www.cna.org.cn,,
无人机,旋翼系统与图像传感器,航拍、数据采集,城市规划、农业监测,中国无人机行业协会,http://www.uav.org.cn,,
美容机器人,激光治疗与皮肤分析,个性化护理、精准美容,美容院、皮肤治疗,中国美容行业发展协会,http://www.cba.org.cn,,
夜间巡逻机器人,热成像与红外传感器,夜间监控、智能报警,社区安保、工地安全,国家智能安防技术研究中心,http://www.sia.org.cn,,
自动化清洗机器人,全自动清洗模块,高效清洁、环境监测,家庭清洁、商业清洁,中国家电协会,http://www.chea.org.cn,,
无人潜水器,遥控潜水系统,深水探测、数据回传,海洋勘探、科研,中国海洋科学研究院,http://www.cmr.ac.cn,,
家居机器人,智能移动平台,多功能、家庭管理,家庭维护、智能家居,中国智能家居产业联盟,http://www.cih.org.cn,,
城市清扫机器人,液压清扫系统,环保清洁、低噪音,城市管理、环保,城市管理局,http://www.urbanmanagement.gov.cn,,
餐饮服务机器人,智能配送车,自动导航、餐品识别,餐厅服务、外卖配送,中国餐饮行业协会,http://www.catering.org.cn,,
激光切割机器人,激光操作臂,高精度切割、自动化,制造业、金属加工,中国机械工程学会,http://www.cmes.org.cn,,
模具制造机器人,多轴控制系统,高效制造、自动调节,模具设计、生产,中国模具工业协会,http://www.cmda.org.cn,,
交通管理机器人,信号灯与监控系统结合,流量分析、智能调度,城市交通、道路管理,交通安全研究中心,http://www.trafficstudy.cn,,
虚拟助手机器人,AI语音引擎与数据库,实时咨询、个性化服务,智能客服、在线服务,中国AI应用研究院,http://www.aiapp.cn,,
气象监测无人机,气象探测仪器,高空数据收集、预警功能,气象研究、灾害预警,中国气象局,http://www.cma.gov.cn,,
服务机器人,人形交互平台,自然语言处理、个性化服务,酒店接待、客户服务,中国智能服务机器人协会,http://www.servicerobotics.org.cn,,
农业机器人,田间无人驾驶农机,精细耕作、数据采集,农作物种植、监测,国家农业部,http://www.moa.gov.cn,,
医疗机器人,远程手术系统,高清摄像、精确操作,远程医疗、手术辅助,中国医疗器械协会,http://www.cmda.gov.cn,,
卫星遥感机器人,高分辨率成像系统,实时监控、数据分析,灾害评估、环境监测,中国空间技术研究院,http://www.casc.gov.cn,,
清扫机器人,智能导航系统,高效清扫、智能规划,家庭清洁、办公场所,中国家电协会,http://www.cheaa.org,,
娱乐机器人,交互式AI模块,娱乐互动、学习功能,家庭陪伴、教育,中国教育科技协会,http://www.ceatec.org,,
探索机器人,多轮驱动平台,复杂地形适应、耐久性强,火星探索、极地调查,中国科学院,http://www.cas.cn,,
军事机器人,无人地面车辆,高隐蔽性、远程控制,侦查、运输,中国国防科技局,http://www.mod.gov.cn,,
安防机器人,移动监控单元,实时监控、事件报警,商业安保、公共场所,中国安防协会,http://www.cps.com.cn,,
