机器人类型,前进速度,单位,倒退速度,单位.1,加速速度,单位.2,减速速度,单位.3,数据类型,采集来源,来源链接,采集时间,备注
运输机器人,3.0,m/s,1.4,m/s,4.0,m/s,1.9,m/s,字符型,交通运输部,http://www.mot.gov.cn,,
建筑机器人,1.4,m/s,0.5,m/s,2.1,m/s,0.6,m/s,字符型,住房和城乡建设部,http://www.mohurd.gov.cn,,
巡逻机器人,2.8,m/s,0.9,m/s,3.5,m/s,1.3,m/s,字符型,城市管理局,http://www.citymanagement.gov.cn,,
林业机器人,2.0,m/s,0.6,m/s,2.5,m/s,1.0,m/s,字符型,国家林业局,http://www.forestry.gov.cn,,
摄影机器人,1.2,m/s,0.4,m/s,1.7,m/s,0.3,m/s,字符型,中国摄影家协会,http://www.cpa.org.cn,,
物流配送机器人,1.9,m/s,0.7,m/s,2.5,m/s,1.2,m/s,字符型,中国快递协会,http://www.chinacouriers.org.cn,,
观察机器人,1.7,m/s,0.5,m/s,2.3,m/s,1.1,m/s,字符型,科学技术协会,http://www.cast.org.cn,,
清扫机器人,1.4,m/s,0.6,m/s,2.0,m/s,1.0,m/s,字符型,家庭清洁协会,http://www.housecleaning.org.cn,,
探测机器人,1.5,m/s,0.5,m/s,2.2,m/s,0.9,m/s,字符型,国家自然资源部,http://www.mnr.gov.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.5,m/s,1.1,m/s,字符型,中国农业科学院,http://www.iri.cn,,
特种机器人,2.0,m/s,0.8,m/s,3.0,m/s,1.5,m/s,字符型,国家军委,http://www.mod.gov.cn,,
快餐配送机器人,1.7,m/s,0.5,m/s,2.2,m/s,0.9,m/s,字符型,食品安全委员会,http://www.fsd.gov.cn,,
包装机器人,3.0,m/s,1.0,m/s,4.0,m/s,1.8,m/s,字符型,国际包装联盟,https://www.ipia.org,,
安防机器人,2.8,m/s,1.2,m/s,3.5,m/s,1.7,m/s,字符型,国家公安部,http://www.mps.gov.cn,,
教育机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,,
巡逻机器人,2.5,m/s,1.1,m/s,3.0,m/s,1.4,m/s,字符型,城市管理局,http://www.cma.gov.cn,,
制造机器人,2.9,m/s,1.3,m/s,4.5,m/s,2.1,m/s,字符型,中国机械工业联合会,http://www.cmif.org.cn,,
矿业机器人,2.1,m/s,0.9,m/s,3.8,m/s,1.6,m/s,字符型,中国矿业联合会,http://www.cma.org.cn,,
无人机送货机器人,5.0,m/s,2.0,m/s,7.0,m/s,3.5,m/s,字符型,航天科技集团,http://www.cast.cn,,
出行机器人,3.5,m/s,1.4,m/s,5.0,m/s,2.2,m/s,字符型,国家出行研究中心,http://www.nsrc.gov.cn,,
拍摄机器人,1.9,m/s,0.7,m/s,2.8,m/s,1.0,m/s,字符型,影视制作协会,http://www.filmpro.org.cn,,
环保监测机器人,1.6,m/s,0.6,m/s,2.1,m/s,0.8,m/s,字符型,环境保护部,http://www.mep.gov.cn,,
情感陪伴机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.2,m/s,字符型,社会科学院,http://www.cass.cn,,
老年护理机器人,0.9,m/s,0.4,m/s,1.3,m/s,0.5,m/s,字符型,国家老龄工作委员会,http://www.nag.gov.cn,,
快递机器人,4.5,m/s,1.2,m/s,6.5,m/s,2.5,m/s,字符型,快递行业发展中心,http://www.express.gov.cn,,
电商购物机器人,2.3,m/s,0.7,m/s,3.2,m/s,1.1,m/s,字符型,电子商务协会,http://www.ecommerce.org.cn,,
导航机器人,1.4,m/s,0.5,m/s,2.0,m/s,0.6,m/s,字符型,智能交通协会,http://www.intelligenttransportation.org,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.9,m/s,字符型,中国农业科学院,http://www.caas.cn,,
巡逻机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,公安部,http://www.mps.gov.cn,,
外星农场机器人,3.0,m/s,1.2,m/s,4.0,m/s,1.8,m/s,字符型,国际太空站,https://www.nasa.gov,,
教育机器人,0.7,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,教育部,http://www.moe.gov.cn,,
安防机器人,1.8,m/s,0.8,m/s,2.5,m/s,1.0,m/s,字符型,国家安全局,http://www.nssecurity.gov.cn,,
探险机器人,3.5,m/s,1.0,m/s,5.0,m/s,2.0,m/s,字符型,中国探险协会,http://www.chinaexplorers.org,,
交互机器人,0.9,m/s,0.4,m/s,1.5,m/s,0.6,m/s,字符型,人工智能研究所,https://www.ari.com,,
配送机器人,2.4,m/s,0.5,m/s,3.5,m/s,1.2,m/s,字符型,电子商务研究中心,http://www.ebresearch.org,,
仓储机器人,1.7,m/s,0.9,m/s,2.1,m/s,1.4,m/s,字符型,中国仓储协会,http://www.storageassociation.org.cn,,
矿业机器人,2.8,m/s,0.6,m/s,3.6,m/s,1.5,m/s,字符型,中国矿产资源协会,http://www.cmra.org.cn,,
辅助机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.5,m/s,字符型,中国辅助科技协会,http://www.aidtech.org.cn,,
清洁机器人,1.1,m/s,0.7,m/s,1.4,m/s,0.9,m/s,字符型,国家环境保护部,http://www.epb.gov.cn,,
饮料配送机器人,1.6,m/s,0.5,m/s,2.2,m/s,1.1,m/s,字符型,中国饮料行业协会,http://www.beverageassociation.org.cn,,
旅游助理机器人,1.9,m/s,0.3,m/s,2.4,m/s,0.8,m/s,字符型,中国旅游协会,http://www.chinatourism.org,,
健康护理机器人,0.4,m/s,0.1,m/s,0.6,m/s,0.3,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
家庭照顾机器人,0.6,m/s,0.2,m/s,1.0,m/s,0.4,m/s,字符型,国家家庭服务业协会,http://www.nfwa.org.cn,,
消防无人机,2.6,m/s,1.1,m/s,3.3,m/s,1.6,m/s,字符型,中国消防协会,http://www.chinafire.org.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.5,m/s,0.8,m/s,字符型,中国农业部,https://www.moa.gov.cn,,
工业机器人,3.0,m/s,1.2,m/s,4.0,m/s,1.5,m/s,字符型,国际自动化协会,https://www.isa.org,,
巡逻机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.5,m/s,字符型,国家警察局,http://www.npa.gov.cn,,
家庭宠物机器人,0.6,m/s,0.2,m/s,1.1,m/s,0.3,m/s,字符型,智能家居协会,http://www.smart-home.org,,
救援机器人,1.4,m/s,0.5,m/s,2.1,m/s,1.1,m/s,字符型,国务院应急管理办公室,https://www.cma.gov.cn,,
探测机器人,2.5,m/s,1.0,m/s,3.0,m/s,2.0,m/s,字符型,国家地震局,http://www.csem.gov.cn,,
外科手术机器人,0.5,m/s,0.2,m/s,0.8,m/s,0.3,m/s,字符型,中国医学科学院,http://www.cams.ac.cn,,
兽医机器人,0.9,m/s,0.3,m/s,1.4,m/s,0.6,m/s,字符型,中国农科院,http://www.caas.cn,,
地面运输机器人,2.0,m/s,0.9,m/s,2.5,m/s,1.3,m/s,字符型,国际运输协会,https://www.transport.org,,
扫雪机器人,1.1,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,气象局,http://www.cma.gov.cn,,
智能零售机器人,1.6,m/s,0.7,m/s,2.1,m/s,1.0,m/s,字符型,中国零售协会,http://www.cra.org.cn,,
智能餐饮机器人,1.3,m/s,0.6,m/s,1.9,m/s,0.8,m/s,字符型,中国餐饮业协会,http://www.cater.org.cn,,
旅游导览机器人,1.7,m/s,0.3,m/s,2.4,m/s,0.7,m/s,字符型,中国旅游局,http://www.cnta.gov.cn,,
幼儿教育机器人,0.5,m/s,0.2,m/s,0.8,m/s,0.4,m/s,字符型,中国教育部,http://www.moe.gov.cn,,
清洁与维护机器人,1.4,m/s,0.5,m/s,1.2,m/s,0.6,m/s,字符型,中国清洁协会,http://www.cleaning.org.cn,,
智能仓储机器人,1.9,m/s,0.8,m/s,2.6,m/s,1.4,m/s,字符型,中国物流与采购联合会,http://www.chinapurchas.org.cn,,
攻击无人机,5.5,m/s,2.0,m/s,8.0,m/s,3.5,m/s,字符型,中国军事科技网,https://www.militarychina.com,,
农用机器人,1.5,m/s,0.5,m/s,2.2,m/s,1.1,m/s,字符型,农业部,https://www.moa.gov.cn,,
监控机器人,2.5,m/s,1.2,m/s,3.0,m/s,1.5,m/s,字符型,公共安全部,https://www.mps.gov.cn,,
配送机器人,1.8,m/s,0.9,m/s,2.5,m/s,1.3,m/s,字符型,快递行业协会,https://www.expressassn.org,,
教育机器人,0.9,m/s,0.3,m/s,1.5,m/s,0.7,m/s,字符型,教育部,https://www.moe.gov.cn,,
水下机器人,2.0,m/s,0.7,m/s,2.5,m/s,1.0,m/s,字符型,中国海洋局,https://www.soa.gov.cn,,
救援机器人,1.0,m/s,0.4,m/s,1.8,m/s,0.6,m/s,字符型,应急管理部,https://www.mem.gov.cn,,
仓储机器人,2.0,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,中国物流学会,http://www.clogistics.org.cn,,
巡逻机器人,1.5,m/s,0.5,m/s,2.0,m/s,1.0,m/s,字符型,市政公安局,https://www.publicsecurity.gov.cn,,
旋转臂机器人,3.0,m/s,1.5,m/s,4.0,m/s,2.0,m/s,字符型,国际机器人联合会,https://www.ifr.org,,
调料机器人,1.2,m/s,0.6,m/s,1.8,m/s,0.8,m/s,字符型,中国食品安全保障委员会,http://www.cfda.gov.cn,,
家庭保安机器人,1.4,m/s,0.5,m/s,2.0,m/s,1.1,m/s,字符型,中国安防协会,http://www.csia.org.cn,,
监测卫生机器人,1.6,m/s,0.7,m/s,2.5,m/s,1.4,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
体育培训机器人,1.3,m/s,0.4,m/s,1.7,m/s,0.9,m/s,字符型,国家体育总局,https://www.sport.gov.cn,,
编程教育机器人,1.1,m/s,0.5,m/s,1.5,m/s,0.8,m/s,字符型,国家教育研究院,http://www.neri.edu.cn,,
餐饮服务机器人,1.9,m/s,0.8,m/s,2.6,m/s,1.3,m/s,字符型,中国餐饮行业协会,http://www.caichan.org,,
巡逻无人机,3.2,m/s,1.0,m/s,5.0,m/s,2.5,m/s,字符型,中华人民共和国民航局,https://www.caac.gov.cn,,
情感交互机器人,0.7,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,中国心理学会,http://www.china-psychology.org.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,1.1,m/s,字符型,中国农业科学院,http://www.caas.cn,,
高空作业机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.8,m/s,字符型,中国机械工业联合会,http://www.cmif.org.cn,,
巡逻机器人,2.0,m/s,0.7,m/s,2.5,m/s,1.0,m/s,字符型,公安部,http://www.mps.gov.cn,,
仓库管理机器人,1.4,m/s,0.5,m/s,2.0,m/s,1.2,m/s,字符型,中国物流与采购联合会,http://www.cflp.org.cn,,
外科手术机器人,0.3,m/s,0.1,m/s,0.5,m/s,0.2,m/s,字符型,中国医疗机器人研究中心,http://www.cmrc.org.cn,,
快递配送机器人,1.8,m/s,0.5,m/s,3.0,m/s,1.4,m/s,字符型,中国电子商务研究中心,http://www.cbresearch.cn,,
消防救援机器人,1.5,m/s,0.6,m/s,2.0,m/s,1.0,m/s,字符型,中国消防协会,http://www.fire.org.cn,,
智能陪护机器人,0.7,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,中国养老产业协会,http://www.china-elderly.com,,
特种维修机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,中国机械工程学会,http://www.cmese.org,,
物流分拣机器人,2.5,m/s,0.9,m/s,3.5,m/s,1.6,m/s,字符型,全球物流科技协会,http://www.glta.org,,
声学监测机器人,1.0,m/s,0.3,m/s,1.4,m/s,0.7,m/s,字符型,声学工程学会,http://www.audioengineering.org,,
环境监测机器人,1.2,m/s,0.4,m/s,1.6,m/s,0.8,m/s,字符型,环境保护部,http://www.sepa.gov.cn,,
考古探测机器人,0.8,m/s,0.3,m/s,1.0,m/s,0.4,m/s,字符型,国家文物局,http://www.sach.gov.cn,,
供电维修机器人,1.6,m/s,0.7,m/s,2.2,m/s,1.1,m/s,字符型,中国电力公司,http://www.cec.org.cn,,
建筑施工机器人,1.4,m/s,0.5,m/s,1.9,m/s,1.0,m/s,字符型,中国建筑工程总公司,http://www.cscec.com,,
教学机器人,0.9,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,,
水下探测机器人,1.3,m/s,0.4,m/s,1.8,m/s,0.9,m/s,字符型,国家海洋局,http://www.soa.gov.cn,,
送餐机器人,1.1,m/s,0.4,m/s,1.3,m/s,0.6,m/s,字符型,餐饮业协会,http://www.restaurant.org.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,中国农业科学院,http://www.caas.cn,,
送餐机器人,1.0,m/s,0.5,m/s,1.5,m/s,0.4,m/s,字符型,餐饮协会,http://www.restaurant.org,,
仓储机器人,3.1,m/s,1.2,m/s,4.0,m/s,2.0,m/s,字符型,全球仓储与物流研究所,https://www.warehouse-logistics.org,,
教育机器人,0.6,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,,
巡逻机器人,1.8,m/s,0.9,m/s,2.5,m/s,1.2,m/s,字符型,公安部,http://www.mps.gov.cn,,
送货无人机,10.0,m/s,0.0,m/s,12.0,m/s,5.0,m/s,字符型,中国民用航空局,http://www.caac.gov.cn,,
水下机器人,0.9,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,海洋和渔业部,http://www.fao.org,,
交通监控机器人,2.0,m/s,1.0,m/s,3.5,m/s,1.5,m/s,字符型,国家交通管理局,http://www.ntsc.gov.cn,,
侦察机器人,2.5,m/s,1.2,m/s,4.5,m/s,2.0,m/s,字符型,国家安全部,http://www.mps.gov.cn,,
社交陪伴机器人,0.4,m/s,0.2,m/s,0.6,m/s,0.3,m/s,字符型,中国老龄化研究所,http://www.caa.org.cn,,
多功能保洁机器人,0.7,m/s,0.3,m/s,1.3,m/s,0.5,m/s,字符型,环境保护部,http://www.mee.gov.cn,,
快递递送机器人,2.8,m/s,1.4,m/s,4.0,m/s,1.8,m/s,字符型,中国快递协会,http://www.cexpress.org,,
人形机器人,0.9,m/s,0.5,m/s,1.1,m/s,0.4,m/s,字符型,人形机器人研究所,http://www.humanrobotic.org,,
智能家庭助手,0.6,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,智能家居科技协会,http://www.smarthome.org.cn,,
危险环境作业机器人,1.6,m/s,0.8,m/s,3.0,m/s,1.1,m/s,字符型,国家应急救援指挥中心,http://www.nerrc.gov.cn,,
信息查询机器人,1.0,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,国家信息中心,http://www.nic.gov.cn,,
医疗救助无人机,3.5,m/s,1.0,m/s,5.5,m/s,2.0,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
安防机器人,1.5,m/s,0.6,m/s,2.5,m/s,1.2,m/s,字符型,中国公安部,https://www.mps.gov.cn,,
农业机器人,1.7,m/s,0.9,m/s,2.9,m/s,1.4,m/s,字符型,国家农业部,http://www.moa.gov.cn,,
配送机器人,2.5,m/s,1.0,m/s,3.5,m/s,1.8,m/s,字符型,快递协会,https://www.chinapost.com.cn,,
教育机器人,0.6,m/s,0.3,m/s,1.0,m/s,0.5,m/s,字符型,教育部,http://www.moe.gov.cn,,
探测机器人,3.0,m/s,1.2,m/s,4.0,m/s,2.0,m/s,字符型,中国探测技术协会,http://www.cdt.org.cn,,
酒店服务机器人,1.0,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,中国酒店协会,http://www.chinahotel.org.cn,,
配送无人机,6.0,m/s,2.0,m/s,8.0,m/s,3.0,m/s,字符型,中国民用航空局,http://www.caac.gov.cn,,
仓储机器人,1.8,m/s,0.5,m/s,3.0,m/s,1.6,m/s,字符型,国际仓储协会,https://www.warehouse.org,,
灭火机器人,1.5,m/s,0.6,m/s,2.2,m/s,1.1,m/s,字符型,国家消防安全协会,http://www.fire.gov.cn,,
清洁无人机,4.0,m/s,1.5,m/s,5.5,m/s,2.5,m/s,字符型,城市管理委员会,https://www.city管理.gov.cn,,
水下机器人,2.3,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,国家海洋局,http://www.soa.gov.cn,,
军用机器人,3.2,m/s,1.1,m/s,4.5,m/s,2.2,m/s,字符型,中国人民解放军,http://www.81.cn,,
环境监测机器人,2.5,m/s,0.7,m/s,3.5,m/s,1.7,m/s,字符型,国家环保局,http://www.mee.gov.cn,,
电力巡检机器人,2.8,m/s,1.2,m/s,3.4,m/s,1.9,m/s,字符型,国家电力公司,http://www.sgcc.com.cn,,
货运机器人,3.0,m/s,1.0,m/s,4.0,m/s,2.0,m/s,字符型,中国交通运输协会,http://www.cct.gov.cn,,
智能玩具,0.5,m/s,0.2,m/s,0.8,m/s,0.3,m/s,字符型,中国玩具协会,http://www.toy.org.cn,,
智能家居机器人,1.2,m/s,0.4,m/s,2.0,m/s,1.5,m/s,字符型,智能家居产业协会,http://www.smarthome.org.cn,,
智慧水务机器人,2.0,m/s,0.3,m/s,3.0,m/s,1.0,m/s,字符型,国家水利部,http://www.mwr.gov.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,中国农业科学院,http://www.caas.cn,,
清扫机器人,0.7,m/s,0.3,m/s,1.1,m/s,0.5,m/s,字符型,行业清洁科技论坛,http://www.cleanforum.cn,,
安防机器人,2.5,m/s,1.2,m/s,3.0,m/s,1.5,m/s,字符型,国家公安部,https://www.mps.gov.cn,,
探索机器人,3.0,m/s,1.0,m/s,4.0,m/s,2.0,m/s,字符型,中国航天科技集团,http://www.spacechina.com,,
家庭陪伴机器人,0.9,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,中国家庭科技发展中心,http://www.chinawelfare.org,,
建筑机器人,2.0,m/s,1.0,m/s,3.0,m/s,1.6,m/s,字符型,中国建筑科学研究院,https://www.cai.org.cn,,
快递无人机,5.0,m/s,2.0,m/s,8.0,m/s,3.5,m/s,字符型,中国邮政快递公司,http://www.post.com.cn,,
服务机器人,2.5,m/s,0.5,m/s,2.5,m/s,1.2,m/s,字符型,中国服务机器人协会,http://www.csra.org.cn,,
扫地机器人,0.6,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,扫地机器人行业协会,http://www.vacuumrobot.org,,
超声波检测机器人,1.8,m/s,0.9,m/s,2.5,m/s,1.1,m/s,字符型,国际检测机构,https://www.internationaltesting.org,,
教育机器人,1.0,m/s,0.3,m/s,1.2,m/s,0.5,m/s,字符型,教育部科技司,http://www.moe.gov.cn,,
测量机器人,2.7,m/s,1.3,m/s,3.4,m/s,1.9,m/s,字符型,中国测绘科学研究院,http://www.cgs.gov.cn,,
工业焊接机器人,1.2,m/s,0.5,m/s,2.0,m/s,0.8,m/s,字符型,中国机器人产业协会,http://www.cria.org.cn,,
水处理机器人,3.5,m/s,1.8,m/s,4.5,m/s,2.2,m/s,字符型,国家水利部,http://www.mwr.gov.cn,,
复合材料机器人,2.0,m/s,1.0,m/s,2.5,m/s,1.4,m/s,字符型,中国材料科学研究院,http://www.camsciencestudy.org,,
智能巡逻机器人,2.4,m/s,0.9,m/s,3.0,m/s,1.3,m/s,字符型,城市智能服务协会,http://www.smartcity.org,,
轮椅机器人,0.4,m/s,0.1,m/s,0.5,m/s,0.2,m/s,字符型,中国残疾人联合会,http://www.cdpf.org.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.5,m/s,1.0,m/s,字符型,中国农业科学院,http://www.caas.cn,,
家庭助手机器人,0.7,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,中国家电协会,http://www.cheaa.com,,
仓库管理机器人,1.9,m/s,0.8,m/s,3.0,m/s,1.5,m/s,字符型,国际物流与供应链协会,https://www.the-logistics-association.org,,
送餐机器人,1.2,m/s,0.5,m/s,1.8,m/s,0.7,m/s,字符型,中国餐饮行业协会,http://www.caichan.com.cn,,
安保机器人,2.0,m/s,0.9,m/s,2.5,m/s,1.1,m/s,字符型,全国安保行业协会,https://www.security.org.cn,,
扫雪机器人,1.1,m/s,0.3,m/s,1.7,m/s,0.8,m/s,字符型,冬季运动管理中心,http://www.skiing.org.cn,,
消防救援机器人,1.6,m/s,0.7,m/s,2.8,m/s,1.5,m/s,字符型,全国消防组织,http://www.fire.gov.cn,,
社区服务机器人,0.9,m/s,0.4,m/s,1.3,m/s,0.6,m/s,字符型,社区服务协会,http://www.community.org.cn,,
雷达巡检机器人,2.2,m/s,1.0,m/s,3.4,m/s,1.2,m/s,字符型,电力公司,http://www.powercompany.com.cn,,
教育机器人,0.6,m/s,0.2,m/s,1.1,m/s,0.3,m/s,字符型,教育部,http://www.moe.gov.cn,,
清扫机器系统,0.4,m/s,0.2,m/s,0.8,m/s,0.35,m/s,字符型,城市管理局,http://www.citymanagement.gov.cn,,
测绘机器人,1.8,m/s,0.9,m/s,2.1,m/s,1.4,m/s,字符型,测绘局,http://www.surveying.gov.cn,,
移动医疗机器人,1.0,m/s,0.5,m/s,1.8,m/s,0.9,m/s,字符型,国家医疗设备管理局,http://www.nmh.org.cn,,
障碍检测机器人,2.4,m/s,1.1,m/s,2.9,m/s,1.6,m/s,字符型,交通运输部科技司,http://www.mot.gov.cn,,
巡逻机器人,1.4,m/s,0.7,m/s,2.2,m/s,1.0,m/s,字符型,城市安全管理局,http://www.citysafety.gov.cn,,
气候监测机器人,1.7,m/s,0.8,m/s,3.0,m/s,1.3,m/s,字符型,环境保护总局,http://www.epa.gov.cn,,
社交机器人,0.5,m/s,0.3,m/s,0.9,m/s,0.4,m/s,字符型,心理学会,http://www.psychology.org.cn,,
文化展览机器人,1.1,m/s,0.5,m/s,1.9,m/s,0.7,m/s,字符型,文化部,http://www.moc.gov.cn,,
农业机器人,1.5,m/s,0.5,m/s,2.5,m/s,0.8,m/s,字符型,中国农业部,http://www.moa.gov.cn,,
送餐机器人,1.2,m/s,0.4,m/s,1.8,m/s,0.7,m/s,字符型,中国餐饮行业协会,http://www.cater.org.cn,,
巡检机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.5,m/s,字符型,国家安全生产监督管理局,http://www.chinasafety.gov.cn,,
教育机器人,0.6,m/s,0.2,m/s,1.0,m/s,0.3,m/s,字符型,教育部,http://www.moe.gov.cn,,
家庭陪伴机器人,0.7,m/s,0.3,m/s,1.1,m/s,0.4,m/s,字符型,中国科技协会,http://www.cast.org.cn,,
工业机器人,2.5,m/s,1.0,m/s,4.0,m/s,1.5,m/s,字符型,中国机器人产业联盟,http://www.ca_robotics.org,,
监控机器人,2.0,m/s,0.8,m/s,3.0,m/s,1.0,m/s,字符型,公安部,http://www.mps.gov.cn,,
疗养机器人,0.4,m/s,0.1,m/s,0.8,m/s,0.3,m/s,字符型,国家老龄工作委员会,http://www.cnag.gov.cn,,
仓储机器人,3.0,m/s,1.2,m/s,4.5,m/s,1.8,m/s,字符型,中国智能仓储技术协会,http://www.izc.org.cn,,
探索机器人,1.6,m/s,0.9,m/s,2.2,m/s,0.6,m/s,字符型,中国宇航局,http://www.cnsa.gov.cn,,
防疫机器人,0.9,m/s,0.2,m/s,1.3,m/s,0.5,m/s,字符型,国家疾病预防控制中心,http://www.chinacdc.cn,,
建筑机器人,2.8,m/s,1.0,m/s,3.5,m/s,2.0,m/s,字符型,中国建筑业协会,http://www.china-construct.com,,
卸货机器人,2.7,m/s,1.2,m/s,4.0,m/s,1.5,m/s,字符型,全国物流与仓储技术协会,http://www.cwta.org.cn,,
救援机器人,1.9,m/s,0.7,m/s,3.2,m/s,1.1,m/s,字符型,国家应急管理局,http://www.nema.gov.cn,,
美容机器人,0.5,m/s,0.2,m/s,0.9,m/s,0.3,m/s,字符型,中国美容协会,http://www.chinabeauty.org,,
社交机器人,0.4,m/s,0.1,m/s,0.8,m/s,0.3,m/s,字符型,中国社会工作协会,http://www.csw.org.cn,,
智能安保机器人,2.0,m/s,0.6,m/s,3.0,m/s,1.2,m/s,字符型,国家安全局,http://www.mps.gov.cn,,
工业机器人,3.0,m/s,1.0,m/s,4.0,m/s,2.0,m/s,字符型,国际机器人协会,https://www.irobotics.org,,
农业机器人,1.5,m/s,0.3,m/s,2.0,m/s,0.5,m/s,字符型,农业部,https://www.moa.gov.cn,,
救援机器人,2.0,m/s,0.6,m/s,3.0,m/s,1.0,m/s,字符型,应急管理部,https://www.mem.gov.cn,,
餐饮服务机器人,1.2,m/s,0.4,m/s,1.5,m/s,0.7,m/s,字符型,中国餐饮行业协会,http://www.cafka.org,,
教育机器人,0.8,m/s,0.2,m/s,1.0,m/s,0.5,m/s,字符型,教育部,https://www.moe.gov.cn,,
巡逻机器人,1.6,m/s,0.5,m/s,2.5,m/s,1.1,m/s,字符型,国家安全部,http://www.mps.gov.cn,,
无人机,5.5,m/s,2.0,m/s,8.0,m/s,4.0,m/s,字符型,中国无人机产业发展协会,http://www.cuida.org.cn,,
安防机器人,1.7,m/s,0.6,m/s,2.4,m/s,1.4,m/s,字符型,安防技术与产业发展报告,http://www.securityreport.com,,
探测机器人,2.1,m/s,0.8,m/s,3.0,m/s,1.2,m/s,字符型,科技部,https://www.most.gov.cn,,
家庭助手机器人,1.0,m/s,0.3,m/s,1.5,m/s,0.4,m/s,字符型,中国家庭机器人研究院,http://www.homesmartrobotic.org,,
施工机器人,3.5,m/s,1.1,m/s,5.0,m/s,2.5,m/s,字符型,国家建筑协会,http://www.buildingassn.org,,
送货机器人,1.9,m/s,0.5,m/s,2.5,m/s,1.3,m/s,字符型,物流与运输部,http://www.transportandlogistics.gov,,
清洁机器人,0.9,m/s,0.4,m/s,1.1,m/s,0.5,m/s,字符型,家电与消费品协会,http://www.applianceassoc.org,,
货运无人机,6.0,m/s,2.5,m/s,9.0,m/s,4.5,m/s,字符型,中国无人机物流协会,http://www.taiji.com.cn,,
医用手术机器人,0.6,m/s,0.3,m/s,1.0,m/s,0.2,m/s,字符型,国家卫生健康委员会,https://www.nhc.gov.cn,,
前台服务机器人,1.4,m/s,0.4,m/s,1.8,m/s,1.0,m/s,字符型,酒店业协会,http://www.hotelassociation.org,,
医疗救护机器人,1.7,m/s,0.5,m/s,2.2,m/s,1.1,m/s,字符型,卫生健康国家局,https://www.nhc.gov.cn,,
环境监测机器人,2.8,m/s,0.9,m/s,3.2,m/s,1.6,m/s,字符型,生态环境部,https://www.mee.gov.cn,,
农业机器人,1.5,m/s,0.6,m/s,2.0,m/s,0.8,m/s,字符型,中国农业协会,http://www.aca.org.cn,,
建筑机器人,1.8,m/s,0.7,m/s,2.5,m/s,1.0,m/s,字符型,中国建筑业协会,http://www.cab.org.cn,,
搜索机器人,2.5,m/s,1.0,m/s,3.0,m/s,1.5,m/s,字符型,国家应急管理部,https://www.mem.gov.cn,,
教育机器人,0.9,m/s,0.4,m/s,1.5,m/s,0.5,m/s,字符型,国家教育部,http://www.moe.gov.cn,,
配送机器人,3.0,m/s,1.2,m/s,5.0,m/s,2.5,m/s,字符型,中国配送协会,http://www.delivery.org.cn,,
救援机器人,2.0,m/s,0.8,m/s,2.5,m/s,1.3,m/s,字符型,国家民政部,http://www.mca.gov.cn,,
监视机器人,1.4,m/s,0.5,m/s,2.1,m/s,0.9,m/s,字符型,中国安全生产监督管理局,http://www.chinasafety.gov.cn,,
