机器人类型,障碍场景,最短路径,单位,平均路径,单位、,路径长度标准差,单位.1,平均迭代次数,采集来源,来源链接,采集时间,备注
物流机器人,配送中心,3.3,米,4.1,米,0.2,米,7,智能物流研究院,https://www.smartlogistics.org,,
水下机器人,海底勘探,20.0,米,22.0,米,1.5,米,25,海洋科技研究中心,https://www.oceanresearch.org,,
服务型娱乐机器人,社区活动中心,2.5,米,3.0,米,0.2,米,5,社区服务与发展协会,https://www.communityservices.org,,
指挥机器人,活动广场,6.0,米,7.0,米,0.4,米,11,城市智能化研究中心,https://www.smartcity.org,,
医疗机器人,老年护理中心,1.0,米,1.5,米,0.1,米,5,国家老龄化研究中心,https://www.narc.org.cn,,
农业机器人,水稻田,9.0,米,10.5,米,0.5,米,12,中国农业科学院,http://www.caas.cn,,
教育机器人,在线课堂,3.0,米,3.8,米,0.2,米,8,国家教育部,http://www.moe.gov.cn,,
服务机器人,购物中心,4.5,米,6.0,米,0.3,米,9,中国商业联合会,http://www.ccfa.org.cn,,
工业机器人,汽车制造厂,2.0,米,3.5,米,0.4,米,10,中国机械工程学会,https://www.cmes.org,,
救援机器人,地震灾区,8.5,米,9.5,米,0.7,米,25,中国紧急救援协会,https://www.cdra.org.cn,,
移动机器人,机场,6.8,米,8.5,米,0.5,米,10,民航总局,https://www.caac.gov.cn,,
移动机器人,校园环境,7.0,米,9.0,米,0.4,米,11,高等教育协会,http://www.hea.gov.cn,,
医疗机器人,医院急诊,1.8,米,2.2,米,0.1,米,5,中国医学科学院,https://www.cams.ac.cn,,
环保机器人,城市清扫,3.5,米,4.0,米,0.3,米,8,环保局,https://www.sepa.gov.cn,,
农业机器人,水果园,10.2,米,12.0,米,1.0,米,14,中国农业大学,http://www.cau.edu.cn,,
工业机器人,电子产品装配线,4.0,米,5.0,米,0.2,米,6,国家工业和信息化部,https://www.miit.gov.cn,,
服务机器人,社区服务中心,5.5,米,7.0,米,0.6,米,9,社区管理协会,https://www.community.gov.cn,,
移动机器人,旅游景点,7.2,米,8.8,米,0.4,米,11,国家旅游局,https://www.cnta.gov.cn,,
救援机器人,山洪灾害处理,9.5,米,11.0,米,0.8,米,21,中国水利部,https://www.mwr.gov.cn,,
医疗机器人,手术室,2.0,米,2.5,米,0.2,米,4,中国医学科学院,https://www.cams.ac.cn,,
食品机器人,食品加工厂,3.2,米,4.2,米,0.3,米,10,中国食品科学技术学会,https://www.cfst.org.cn,,
工业机器人,钢铁冶炼厂,3.8,米,4.5,米,0.5,米,8,全国冶金工业协会,http://www.cai.org.cn,,
医疗机器人,养老院,1.5,米,2.0,米,0.1,米,5,中国老龄事业发展中心,http://www.cnald.org,,
农业机器人,果园,8.0,米,9.5,米,0.4,米,10,现代农业发展研究院,http://www.modernagri.org,,
教育机器人,实验室,2.2,米,3.0,米,0.3,米,8,未来教育科技协会,https://www.futuristicedu.org,,
服务机器人,购物中心,3.5,米,4.8,米,0.2,米,6,商业服务机器人联盟,http://www.csrba.org,,
工业机器人,制造车间,2.9,米,3.3,米,0.4,米,5,智能制造研究院,https://www.smartmanufacturing.org,,
救援机器人,山体滑坡现场,10.0,米,11.2,米,1.0,米,18,紧急救援科技中心,http://www.emergencytech.org,,
移动机器人,城市公园,4.0,米,5.0,米,0.5,米,9,城市智能发展研究中心,http://www.urbanintelligence.org,,
移动机器人,室内展览馆,5.2,米,6.0,米,0.7,米,13,展览技术研究小组,http://www.exhibitiontech.org,,
医疗机器人,手术室,1.0,米,1.5,米,0.1,米,3,手术机器人研究中心,http://www.surgicalrobotics.org,,
农业机器人,施肥田,11.0,米,12.5,米,0.6,米,14,农业科技创新中心,http://www.agrisci.org,,
教育机器人,社区中心,1.8,米,2.3,米,0.2,米,5,智能教育发展联盟,http://www.smarteducation.org,,
服务机器人,餐厅,3.0,米,4.0,米,0.3,米,4,智能服务研究中心,http://www.intelligentservice.org,,
工业机器人,汽车工厂,5.0,米,6.0,米,0.5,米,12,中国制造协会,http://www.chinamfg.org,,
救援机器人,地震灾区,8.0,米,9.0,米,0.7,米,22,自然灾害应急中心,http://www.disasterrescue.org,,
移动机器人,旅游景点,6.5,米,7.2,米,0.4,米,10,旅游智能服务研究院,http://www.tourismtech.org,,
移动机器人,医院走廊,2.5,米,3.2,米,0.3,米,7,医疗服务技术协会,http://www.medicalservice.org,,
农业机器人,水稻田,15.0,米,16.5,米,0.9,米,12,国家农业科学院,http://www.naas.cn,,
教育机器人,图书馆,1.5,米,2.0,米,0.1,米,4,全国教育咨询中心,http://www.nationaledu.org,,
服务机器人,机场候机厅,4.5,米,5.5,米,0.4,米,8,航空服务科技研究所,http://www.aviationservice.org,,
环境监测机器人,污水处理厂,3.2,米,4.1,米,0.4,米,9,生态环境研究院,http://www.cipe.org.cn,,
物流机器人,配送中心,7.5,米,8.3,米,0.5,米,10,中国物流与采购网,http://www.chinawlp.com,,
巡逻机器人,商业街,4.2,米,4.8,米,0.3,米,5,安全与安防科技研究中心,http://www.safetytech.org.cn,,
配送机器人,校园,2.1,米,3.2,米,0.1,米,8,高校自动化与智能化研究所,https://www.uniautomation.edu.cn,,
巡检机器人,发电厂,4.9,米,5.6,米,0.7,米,6,能源科技发展集团,http://www.energytech.gov.cn,,
家庭服务机器人,居家环境,1.0,米,1.5,米,0.2,米,3,家居科技协会,http://www.homeautomation.org.cn,,
消防机器人,商业大厦,3.5,米,4.2,米,0.6,米,12,消防研究所,http://www.firetech.org.cn,,
服务机器人,医院大厅,2.5,米,3.0,米,0.4,米,7,健康科技发展中心,http://www.healthtech.org.cn,,
救援机器人,山地灾区,8.5,米,9.8,米,1.0,米,25,中国红十字会,https://www.redcross.cn,,
社区服务机器人,居民小区,2.0,米,2.5,米,0.3,米,9,社区建设与发展研究所,http://www.communitydevelopment.org.cn,,
农业机器人,果园,12.5,米,13.0,米,1.2,米,20,农业机器人创新中心,http://www.agriculturalrobots.org.cn,,
教育机器人,科普展馆,3.0,米,3.7,米,0.3,米,5,教育科技提升基金会,http://www.edutechfoundation.org.cn,,
城市管理机器人,城市公园,5.0,米,6.0,米,0.5,米,8,城市发展研究院,http://www.citydevelopment.org.cn,,
移动机器人,地铁站,5.8,米,7.0,米,0.4,米,12,城市交通研究中心,https://www.citytransport.org.cn,,
工业机器人,生产线,1.9,米,2.2,米,0.2,米,6,工业自动化研究所,http://www.industryautomation.org.cn,,
医疗机器人,老人护理中心,1.5,米,2.0,米,0.1,米,4,养老科技发展研究中心,http://www.seniorhealth.org.cn,,
服务机器人,餐厅,2.3,米,3.1,米,0.4,米,7,酒饮餐饮协会,http://www.diningtech.org.cn,,
物流机器人,超市,4.4,米,5.1,米,0.3,米,6,中国零售业协会,http://www.retail.org.cn,,
医疗机器人,老年护理中心,1.0,米,1.5,米,0.1,米,5,健康科技研究所,http://www.healthtech.edu.cn,,
农业机器人,果园,10.0,米,12.0,米,0.75,米,13,中国农业科学院,http://www.caas.cn,,
教育机器人,图书馆,3.0,米,4.0,米,0.3,米,8,教育部科技与信息化司,http://www.moe.gov.cn,,
服务机器人,餐厅,2.5,米,3.2,米,0.15,米,10,中国酒店协会,http://www.chinahotel.org.cn,,
工业机器人,生产车间,2.0,米,2.5,米,0.2,米,6,中国制造2025,http://www.chinamfg2025.gov.cn,,
救援机器人,山地救援,15.0,米,16.5,米,1.0,米,25,中国救援协会,https://www.cras.org.cn,,
移动机器人,货运站,6.0,米,7.0,米,0.5,米,12,物流与交通发展中心,http://www.transport.gov.cn,,
移动机器人,城市公园,7.5,米,9.0,米,0.7,米,14,城市规划研究院,http://www.urp.org.cn,,
医疗机器人,急诊医院,1.5,米,2.0,米,0.2,米,6,国家卫生健康委员会,http://www.nhc.gov.cn,,
移动机器人,体育场馆,4.5,米,5.5,米,0.4,米,9,中国体育科技协会,http://www.csti.org.cn,,
农业机器人,农田,13.5,米,15.0,米,1.2,米,18,农科院公益平台,http://www.nkaas.gov.cn,,
教育机器人,远程学习平台,2.2,米,3.0,米,0.25,米,7,数字教育发展中心,http://www.digitaledu.gov.cn,,
服务机器人,购物中心,3.5,米,4.5,米,0.2,米,8,全国商业联合会,http://www.ncc.org.cn,,
工业机器人,仓储物流,4.0,米,5.0,米,0.4,米,9,智能制造韧性实验室,http://www.smartmanufacturing.cn,,
救援机器人,城市灾害救援,12.0,米,13.5,米,0.95,米,22,国家应急管理局,http://www.nema.gov.cn,,
移动机器人,地铁站,8.5,米,9.5,米,0.8,米,15,城市轨道交通局,http://www.metro.gov.cn,,
医疗机器人,传染病隔离病房,1.8,米,2.5,米,0.18,米,5,中国疾病预防控制中心,http://www.chinacdc.cn,,
农业机器人,高科技农场,9.0,米,11.0,米,0.6,米,14,农业技术推广中心,http://www.greenagri.gov.cn,,
智能清洁机器人,办公室楼层,3.0,米,4.2,米,0.5,米,10,智能家居研究所,https://www.smart-home.org,,
物流机器人,配送中心,15.0,米,16.5,米,0.7,米,12,中国物流与采购联合会,https://www.clp.org.cn,,
运输机器人,工业车间,8.0,米,9.5,米,0.4,米,8,中国机械工业集团公司,http://www.cnmg.org.cn,,
服务机器人,社区服务中心,5.0,米,6.5,米,0.3,米,9,社区智能服务研究机构,https://www.community-ai.org,,
医疗机器人,养老院,2.5,米,3.3,米,0.2,米,5,长者服务研究所,https://www.eldercare.org.cn,,
家庭助手,住宅区,7.5,米,8.8,米,0.5,米,6,现代家庭科技协会,http://www.home-tech.org,,
配送机器人,校园,4.5,米,5.0,米,0.2,米,6,高等教育机器人应用研究,https://www.higheredtech.org,,
巡逻机器人,购物中心,10.0,米,12.0,米,0.6,米,15,商业安全科技研究院,https://www.commercial-security.org,,
教育机器人,公立学校,2.0,米,2.7,米,0.1,米,4,教育机器人开发与应用中心,https://www.edurobotics.org,,
探测机器人,矿山,20.0,米,22.0,米,1.1,米,25,矿业可持续发展研究所,http://www.minesustain.org,,
城市配送机器人,市区街道,4.8,米,5.9,米,0.4,米,5,城市物流与机器人研究中心,https://www.urbanlogistics.org,,
消毒机器人,医疗机构,3.2,米,4.0,米,0.3,米,7,公共卫生智能科技中心,https://www.publichealthtech.org,,
农业巡检机器人,果园,15.5,米,17.0,米,0.9,米,14,现代农业研究中心,https://www.modernagriculture.org,,
机器人竞技,比赛场地,1.5,米,2.0,米,0.1,米,3,全国机器人竞赛组委会,https://www.robocompetitions.org.cn,,
智能拣货机器人,超市仓储区,6.5,米,7.8,米,0.4,米,9,智能零售科技协会,https://www.smartretail.org,,
海洋探测机器人,海洋平台,30.0,米,35.0,米,1.5,米,30,海洋技术与研究中心,http://www.ocean-tech.org,,
智能陪伴机器人,家庭环境,1.0,米,1.5,米,0.05,米,5,智能机器人研究和应用中心,https://www.robotics-research.org,,
医疗机器人,手术室,1.0,米,1.5,米,0.1,米,3,中国医院协会,https://www.hospital.org.cn,,
农业机器人,智能农田,10.0,米,12.5,米,0.5,米,10,农业部科技司,http://www.moa.gov.cn,,
教育机器人,实验室,3.0,米,4.2,米,0.3,米,5,数字教育发展机构,https://www.digiedu.cn,,
服务机器人,购物中心,6.0,米,7.0,米,0.4,米,8,中国零售协会,http://www.china-ra.org.cn,,
工业机器人,制造车间,2.8,米,3.5,米,0.2,米,6,国际机器人联合会,https://www.ifr.org,,
救援机器人,山灾现场,7.0,米,9.0,米,0.8,米,18,国家应急管理部,http://www.mem.gov.cn,,
移动机器人,城市公园,4.5,米,6.0,米,0.5,米,9,城市规划局,http://www.planning.gov.cn,,
家庭服务机器人,家庭客厅,2.0,米,2.5,米,0.1,米,4,家用电器协会,https://www.appliances.org.cn,,
安防机器人,商场出入口,3.5,米,5.0,米,0.3,米,7,国家公安部,http://www.mps.gov.cn,,
物流机器人,配送中心,5.0,米,6.5,米,0.7,米,12,中国物流与采购联合会,http://www.cflp.org.cn,,
垃圾清扫机器人,城市街道,3.0,米,4.5,米,0.6,米,6,市容环境管理局,http://www.epb.gov.cn,,
物流无人机,城市高空,20.0,米,25.0,米,2.0,米,15,无人机协会,http://www.drone.org.cn,,
仓储机器人,货物存储区,4.1,米,5.8,米,0.4,米,11,电子商务协会,http://www.ecommerce.org.cn,,
无人送餐机器人,餐厅,3.2,米,4.0,米,0.3,米,5,餐饮行业联合会,http://www.dish.org.cn,,
城市巡逻机器人,社区街道,8.0,米,10.0,米,0.9,米,20,社区服务中心,http://www.community.gov.cn,,
环境监测机器人,工厂排放区域,9.5,米,11.0,米,0.7,米,19,环保局,http://www.epa.gov.cn,,
娱乐机器人,游乐场,2.5,米,3.0,米,0.25,米,6,文化和旅游部,http://www.mct.gov.cn,,
社交机器人,社区活动中心,3.8,米,4.4,米,0.2,米,7,社会科学研究中心,http://www.ssrc.org.cn,,
环境监测机器人,城市公园,3.5,米,4.2,米,0.3,米,8,城市生态研究中心,http://www.ecocity.cn,,
送餐机器人,餐厅,2.0,米,2.5,米,0.1,米,5,餐饮科技协会,https://www.foodtech.org.cn,,
巡逻机器人,商场,4.5,米,5.0,米,0.4,米,10,安防技术研究所,http://www.securetech.org.cn,,
物流机器人,货运中心,3.0,米,3.7,米,0.2,米,12,现代物流研究中心,http://www.modernlogistics.cn,,
工业清洁机器人,制造车间,1.8,米,2.3,米,0.25,米,6,智能制造协会,http://www.smartmanufacturing.org.cn,,
家庭助手机器人,住宅区,1.5,米,2.0,米,0.2,米,5,家庭科技协会,http://www.hometech.org.cn,,
救护机器人,公共活动场所,3.2,米,4.0,米,0.3,米,14,急救技术研究院,http://www.ems.tech.cn,,
教育辅导机器人,学习中心,2.3,米,3.0,米,0.15,米,5,教育创新学院,http://www.edinnovate.org.cn,,
探险机器人,森林区域,7.0,米,8.5,米,0.5,米,20,探险科技研究所,http://www.explor-tech.org.cn,,
维修服务机器人,公用设施,4.0,米,5.3,米,0.4,米,9,公共服务研究中心,http://www.publicservice.org.cn,,
清理机器人,城市街道,5.0,米,6.0,米,0.5,米,15,城市管理局,http://www.urbanmanagement.org.cn,,
快递机器人,住宅小区,2.5,米,3.1,米,0.15,米,11,快递科技协会,http://www.express-tech.org.cn,,
共享滑板车,市中心街道,3.0,米,4.5,米,0.2,米,8,共享经济研究中心,http://www.sharingeconomy.org.cn,,
智能农田机器人,农田,4.2,米,5.0,米,0.3,米,12,国家农业科技研究院,http://www.agritech.org.cn,,
智能养老机器人,养老院,2.0,米,3.2,米,0.15,米,6,养老科技促进会,http://www.seniorcaretech.org.cn,,
物流分拣机器人,快递中心,3.8,米,4.5,米,0.3,米,14,物流科技协会,http://www.logisticstech.cn,,
科技展览机器人,展览大厅,4.8,米,6.1,米,0.35,米,9,科技展览协会,http://www.techexpo.org.cn,,
医疗机器人,老年护理院,1.5,米,1.9,米,0.25,米,5,中国老年护理协会,http://www.clca.org.cn,,
工业机器人,汽车制造工厂,3.0,米,4.5,米,0.4,米,10,中国机器人技术研究院,http://www.cri.org.cn,,
家庭服务机器人,居民住宅,2.0,米,2.5,米,0.15,米,3,家庭智能科技展,http://www.housingtechexpo.com,,
娱乐机器人,主题公园,7.0,米,8.5,米,0.5,米,5,文化体验与科技研究院,http://www.culturaltech.org.cn,,
安防机器人,商业综合体,4.0,米,5.0,米,0.3,米,8,国家安全科技中心,http://www.securitytech.gov.cn,,
农业机器人,大棚种植区,10.0,米,11.5,米,0.7,米,20,农业农村部,http://www.moa.gov.cn,,
配送机器人,城市街区,5.0,米,6.2,米,0.4,米,9,物联网技术研究中心,http://www.iotrc.org.cn,,
搜救机器人,滑坡现场,8.0,米,9.0,米,1.0,米,25,应急管理部,http://www.mem.gov.cn,,
教育机器人,图书馆,2.5,米,3.0,米,0.2,米,6,中国教育科研网,http://www.edu.cn,,
清扫机器人,机场候机区,3.5,米,4.0,米,0.2,米,4,民航局,http://www.caac.gov.cn,,
探测机器人,核电站,6.0,米,7.2,米,0.5,米,12,国家核能管理局,http://www.nra.gov.cn,,
物流机器人,配送中心,4.5,米,5.5,米,0.4,米,11,快递行业协会,http://www.express.org.cn,,
移动机器人,机场安检区,5.5,米,7.0,米,0.3,米,10,国际民航组织,http://www.icao.int,,
协作机器人,制造生产线,4.2,米,5.0,米,0.35,米,8,国际机器人联合会,http://www.ifr.org,,
潜水机器人,海洋调查区,10.5,米,12.0,米,0.8,米,15,国家海洋局,http://www.soa.gov.cn,,
消防机器人,高层建筑火灾,6.7,米,8.0,米,0.6,米,14,国家消防救援学院,http://www.nra.edu.cn,,
无人机,农田监测,15.0,米,17.0,米,1.0,米,25,中国无人机应用协会,http://www.drone.org.cn,,
快递机器人,城市商业区,3.8,米,4.5,米,0.3,米,8,电子商务研究中心,http://www.ebusiness.org.cn,,
物流机器人,配送中心,3.5,米,4.1,米,0.3,米,6,中国物流与采购联合会,http://www.cflp.org.cn,,
教育机器人,大学讲堂,1.9,米,2.5,米,0.1,米,5,教育部信息中心,http://www.moe.gov.cn,,
医疗机器人,手术室,0.9,米,1.1,米,0.05,米,3,国家医学研究中心,http://www.nmrc.gov.cn,,
清洁机器人,购物中心,4.0,米,5.0,米,0.4,米,10,中国清洁服务协会,http://www.ccsa.org.cn,,
救援机器人,海上救援,15.3,米,17.0,米,1.2,米,25,中国海上救援服务网,https://www.marinerescue.cn,,
安防机器人,商业大厦,8.1,米,9.5,米,0.7,米,12,中国安防协会,http://www.cpsa.org.cn,,
农业机器人,田间地头,10.5,米,12.5,米,0.6,米,18,全国农业信息中心,http://www.agriinfo.gov.cn,,
移动机器人,公园步道,6.0,米,7.0,米,0.5,米,8,城市规划研究院,http://www.urbanplanning.org.cn,,
运输机器人,车站落客区,7.4,米,8.5,米,0.4,米,9,交通运输研究院,http://www.transportinstitute.gov.cn,,
工业机器人,制造车间,2.8,米,3.3,米,0.3,米,7,中国制造业科技促进会,http://www.cmpt.org.cn,,
巡逻机器人,小区园区,4.2,米,4.8,米,0.6,米,10,社区安全监测中心,http://www.communitysafety.org.cn,,
家庭机器人,住宅内部,1.0,米,1.5,米,0.1,米,4,智能家居技术发展中心,http://www.smarthome.org.cn,,
娱乐机器人,游乐园,10.0,米,11.5,米,0.7,米,15,文化和旅游部,http://www.mct.gov.cn,,
外科手术机器人,手术室,0.8,米,1.2,米,0.05,米,3,国际外科机器人协会,http://www.isrs.org,,
服务机器人,会议中心,6.9,米,8.1,米,0.5,米,10,中国服务机器人协会,http://www.script.org.cn,,
应急响应机器人,大型活动场所,5.0,米,6.0,米,0.4,米,9,国家应急管理部,http://www.mem.gov.cn,,
