公司名称（字符型）,应用领域（字符型）,解决方案名称（字符型）,实现功能（字符型）,自研核心（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
云程网络,旅游、酒店,智能酒店管理系统,信贷风险评估,数据分析与风险控制,英维克科技官网,https://www.invech.com/solutions/riskmanagement.html,2024-09-15,,,,,,,,,,,,
乐享科技,娱乐、传媒,内容分发网络优化,交通流量监测与调整,大数据与AI预测,方舟云科技官网,https://www.fangzhoucloud.com/solutions/smarttraffic.html,2024-09-15,,,,,,,,,,,,
华云科技,政府、公共服务,智慧城市管理平台,客房管理与客户服务,IoT与数据分析,云程网络官网,https://www.yuncheng.com/solutions/hotelmanagement.html,2024-09-15,,,,,,,,,,,,
赛云科技,农业、环保,农业生态监测系统,视频流畅播放与延迟降低,网络技术与数据缓存,乐享科技官网,https://www.lexiang.com/solutions/cdn.html,2024-09-15,,,,,,,,,,,,
明源云,房地产、建筑,明源云建设管理平台,公共服务优化与资源共享,大数据与AI决策支持,华云科技官网,https://www.huayun.com/solutions/smartcity.html,2024-09-15,,,,,,,,,,,,
思源科技,公共事业、环境保护,环境监测数据系统,农业环境数据采集与分析,传感器与数据分析,赛云科技官网,https://www.saiyun.com/solutions/agriculture.html,2024-09-15,,,,,,,,,,,,
中兴通讯,通信、智能城市,智慧城市解决方案,项目进度监控、成本控制,云计算与移动互联网,明源云官网,https://www.mingyuancn.com/,2024-09-15,,,,,,,,,,,,
华为技术有限公司,教育、医疗,智能教育平台,实时环境数据分析,物联网与大数据,思源科技官网,https://www.siyuantech.com/,2024-09-15,,,,,,,,,,,,
金蝶软件,制造业、零售,智能供应链管理,城市管理数字化,5G技术与云平台,中兴通讯官网,https://www.zte.com.cn/,2024-09-15,,,,,,,,,,,,
用友网络,金融、企业管理,用友云财务,个性化学习方案,AI与教育云,华为官网,https://www.huawei.com/cn/,2024-09-15,,,,,,,,,,,,
美的集团,家电、智能制造,智能工厂自动化解决方案,实时库存监控与优化,ERP系统与数据分析,金蝶官网,https://www.kingdee.com/,2024-09-15,,,,,,,,,,,,
阿里巴巴,电子商务、IT服务,Alibaba Cloud智能服务,财务数据集成与分析,云会计与大数据,用友官网,https://www.yonyou.com/,2024-09-15,,,,,,,,,,,,
腾讯科技,互联网、社交媒体,TMS企业管理系统,设备互联与生产调度,物联网与人工智能,美的官网,https://www.midea.com/,2024-09-15,,,,,,,,,,,,
海康威视,安防、智慧城市,智能监控解决方案,企业级云计算与实时分析,云计算与大数据技术,阿里云官网,https://www.aliyun.com/,2024-09-15,,,,,,,,,,,,
掌中宝科技,零售、物流,智能库存管理系统,社交网络分析与管理,大数据与社交分析,腾讯官网,https://www.tencent.com/,2024-09-15,,,,,,,,,,,,
顶点科技,医疗、生物,远程医疗服务平台,视频分析与实时监控,视频大数据与AI技术,海康威视官网,https://www.hikvision.com/cn/,2024-09-15,,,,,,,,,,,,
智慧云网络,教育、培训,在线学习管理系统,库存追踪与补货自动化,物联网与数据分析,掌中宝科技官网,https://www.zhangzhongbao.com/solutions/inventory.html,2024-09-15,,,,,,,,,,,,
伟创软件,政府、公共安全,应急管理指挥系统,在线诊疗与健康管理,大数据与人工智能,顶点科技官网,https://www.dingdian.com/healthcare/remote.html,2024-09-15,,,,,,,,,,,,
通用信息,金融、供应链,区块链支付解决方案,课程管理与学员跟踪,人工智能与云计算,智慧云官网,https://www.zhihuiyun.com/edutech.html,2024-09-15,,,,,,,,,,,,
云启科技,游戏、娱乐,云游戏服务平台,事件响应与资源调配,系统集成与数据可视化,伟创软件官网,https://www.weichuang.com/government/emergency.html,2024-09-15,,,,,,,,,,,,
互联智达,广告、市场营销,智能数据营销平台,快速交易与透明审计,区块链技术与加密算法,通用信息官网,https://www.tongyong.com/solutions/blockchain.html,2024-09-15,,,,,,,,,,,,
远见科技,制造、工业,工业物联网监测系统,高性能在线游戏体验,云计算与流媒体技术,云启科技官网,https://www.yunqi.com/gaming.html,2024-09-15,,,,,,,,,,,,
恒逸技术,汽车、智能交通,车载信息娱乐系统,精准广告投放与分析,大数据挖掘与ML算法,互联智达官网,https://www.hulianzhida.com/marketing.html,2024-09-15,,,,,,,,,,,,
讯达科技,物流、供应链,运输优化系统,设备状态监控与预警,物联网与边缘计算,远见科技官网,https://www.yuanjian.com/iot.html,2024-09-15,,,,,,,,,,,,
启明星辰,金融、保险,风险管理解决方案,导航与实时信息服务,嵌入式系统与用户体验设计,恒逸官网,https://www.hengyi.com/automotive.html,2024-09-15,,,,,,,,,,,,
蓝色港湾科技,零售、电子商务,电商运营管理系统,路线规划与成本控制,算法优化与实时数据分析,讯达科技官网,https://www.xunda.com/logistics.html,2024-09-15,,,,,,,,,,,,
阿里云,IT服务、云计算,云数据分析平台,全面风险评估与分析,信息安全管理,启明星辰官网,https://www.istar.com.cn,2024-09-15,,,,,,,,,,,,
重构科技,高科技、人工智能,智能客服系统,订单管理、客户服务,智能数据分析,蓝色港湾官网,https://www.lansec.com,2024-09-15,,,,,,,,,,,,
软通动力,制造业、物流,供应链管理系统,实时数据处理与可视化,大数据生态,阿里云官网,https://www.aliyun.com,2024-09-15,,,,,,,,,,,,
用友软件,企业管理、财务,云财务解决方案,自动化客户支持,自然语言处理,重构科技官网,https://www.rebuildtech.com,2024-09-15,,,,,,,,,,,,
云辰科技,教育、培训,虚拟课堂平台,流动性优化与成本控制,区块链技术,软通动力官网,https://www.aptg.com.cn,2024-09-15,,,,,,,,,,,,
数人云,医疗、健康,医疗信息管理系统,财务流程管理,智能财务分析,用友软件官网,https://www.yonyou.com,2024-09-15,,,,,,,,,,,,
鼎捷软件,制造业、能源,智能制造解决方案,在线课程、互动教学,云计算与大数据,云辰科技官网,https://www.yunchen.com,2024-09-15,,,,,,,,,,,,
金蝶软件,财务、供应链,企业资源规划系统,患者数据管理与分析,医疗大数据技术,数人云官网,https://www.shurenyun.com,2024-09-15,,,,,,,,,,,,
阿里云,电商、金融,云计算解决方案,生产线自动化与优化,物联网技术,鼎捷软件官网,https://www.digiwin.com,2024-09-15,,,,,,,,,,,,
腾讯云,社交、游戏,智慧社区解决方案,资源整合与管理,智能化管理体系,金蝶官网,https://www.kingdee.com,2024-09-15,,,,,,,,,,,,
用友网络,制造业、服务业,企业数字化转型解决方案,资源动态调度、负载均衡,云平台架构设计,阿里云官网,https://www.aliyun.com/product/cloud,2024-09-15,,,,,,,,,,,,
华为,通信、IT,智能城市解决方案,社区管理、活动策划,大数据应用与安全,腾讯云官网,https://cloud.tencent.com/solutions/community,2024-09-15,,,,,,,,,,,,
金蝶软件,零售、金融,财务云服务,流程再造、效率提升,企业资源计划与管理,用友网络官网,https://www.yonyou.com/solutions,2024-09-15,,,,,,,,,,,,
IBM,金融、政府,区块链解决方案,城市管理、数据共享,物联网架构与数据中心,华为官网,https://www.huawei.com/cn/solutions/smart-city,2024-09-15,,,,,,,,,,,,
SAP,制造业、物流,供应链管理解决方案,智能财务管理、多币种支持,云财务与物联网技术,金蝶官网,https://www.kingdee.com/solutions,2024-09-15,,,,,,,,,,,,
微众银行,金融科技,智能风控解决方案,资产追踪与验真,区块链网络及安全性,IBM官网,https://www.ibm.com/blockchain/solutions,2024-09-15,,,,,,,,,,,,
SAP,政府、公共事业,公共服务数字转型,实时监控与优化调配,供应链可视化与数据分析,SAP官网,https://www.sap.com/products/supply-chain-management.html,2024-09-15,,,,,,,,,,,,
Oracle,金融、教育,数据中台解决方案,风险识别与评估,机器学习与数据挖掘,微众银行官网,https://www.webank.com/,2024-09-15,,,,,,,,,,,,
用友网络,财务、制造,云财务解决方案,透明化与效率提升,云计算与数据治理,SAP官网,https://www.sap.com/solutions/government.html,2024-09-15,,,,,,,,,,,,
华为,通讯、公共事务,智能城市平台,数据整合与支持决策,数据云与智能分析,Oracle官网,https://www.oracle.com/cloud/data-platform/,2024-09-15,,,,,,,,,,,,
金蝶软件,商业、零售,金蝶云 ERP,财务数据实时同步与报告,云计算与智能分析,用友网络官网,https://www.yonyou.com,2024-09-15,,,,,,,,,,,,
博科智联,智慧交通、城市管理,智慧交通解决方案,城市数据管理与分析,AI与大数据,华为官网,https://www.huawei.com/cn/solutions,2024-09-15,,,,,,,,,,,,
钉钉,远程办公、企业管理,钉钉协同办公系统,供应链管理与财务一体化,企业资源规划,金蝶官网,https://www.kdzh.com,2024-09-15,,,,,,,,,,,,
华三通信,教育、IT服务,智能校园解决方案,实时交通数据监控与调度,物联网技术,博科智联官网,https://www.bokesoft.com,2024-09-15,,,,,,,,,,,,
搜狐科技,媒体、互联网,内容分发网络方案,即时通讯与项目管理,社交网络与云服务,钉钉官网,https://www.dingtalk.com,2024-09-15,,,,,,,,,,,,
西部数据,存储、数据安全,企业级数据存储解决方案,校园数据集成与互动,网络科技与信息化,华三官网,https://www.h3c.com,2024-09-15,,,,,,,,,,,,
云从科技,人脸识别、安防,智能安防系统,高效信息推送与分发,网络传输优化,搜狐科技官网,https://www.sohu.com,2024-09-15,,,,,,,,,,,,
信维通信,电子、通讯,物联网通信解决方案,数据安全备份与恢复,数据管理技术,西部数据官网,https://www.westerndigital.com,2024-09-15,,,,,,,,,,,,
大连云科技,物流、交通,智能物流管理系统,安全监控与异常报警,AI算法与视觉识别,云从科技官网,https://www.cloudwalk.cn,2024-09-15,,,,,,,,,,,,
华为技术有限公司,通信、云计算,云计算基础设施解决方案,设备连接与数据监测,无线通信技术,信维通信官网,https://www.senweitech.com,2024-09-15,,,,,,,,,,,,
易点科技,电商、零售,商业智能分析平台,运输调度优化、实时数据监控,物联网与大数据分析,大连云科技官网,https://www.dalyun.com,2024-09-15,,,,,,,,,,,,
互联星空,医疗、健康,远程医疗服务平台,高效虚拟化与资源管理,云服务平台,华为官网,https://www.huawei.com/cn/solutions,2024-09-15,,,,,,,,,,,,
京东科技,供应链、物流,全链路供应链管理,市场趋势分析与数据挖掘,AI与机器学习,易点科技官网,https://www.e-dian.com,2024-09-15,,,,,,,,,,,,
中兴通讯,IoT、智能家居,智慧家居解决方案,在线问诊与健康管理,医患关系管理技术,互联星空官网,https://www.linkedstars.com,2024-09-15,,,,,,,,,,,,
蓝色光标,广告、营销,数字营销解决方案,供应链可视化与智能决策,区块链与AI技术,京东官网,https://www.jd.com/technology,2024-09-15,,,,,,,,,,,,
腾讯云,金融、区块链,区块链金融服务平台,智能设备互联与管理,5G与云平台,中兴官网,https://www.zte.com.cn/cn/solutions,2024-09-15,,,,,,,,,,,,
钉钉,团体、企业,企业协同办公平台,精准广告投放与分析,数据分析与算法优化,蓝色光标官网,https://www.bluefocus.com.cn,2024-09-15,,,,,,,,,,,,
好未来教育,教育、在线学习,智慧教育解决方案,安全交易与资产管理,区块链技术,腾讯云官网,https://cloud.tencent.com/solutions,2024-09-15,,,,,,,,,,,,
东华软件,制造业、供应链,智能制造解决方案,组织管理与流程自动化,协同办公与移动应用技术,钉钉官网,https://www.dingtalk.com,2024-09-15,,,,,,,,,,,,
金蝶软件,财务、企业管理,云财务解决方案,个性化学习与在线辅导,AI教育技术与数据分析,好未来官网,https://www.haoweilai.com,2024-09-15,,,,,,,,,,,,
华为云,云计算、数据中心,云存储解决方案,生产流程优化、智能调度,工业互联网平台,东华软件官网,https://www.dhsoft.com/products/,2024-09-15,,,,,,,,,,,,
跟谁学,教育、在线学习,在线学习平台,财务报表自动生成,财务智能化,金蝶官网,https://www.kingdee.com/solutions/,2024-09-15,,,,,,,,,,,,
易鑫科技,金融科技、汽车,汽车贷款管理系统,数据备份与恢复,云架构设计与管理,华为官网,https://support.huaweicloud.com/,2024-09-15,,,,,,,,,,,,
博彦科技,大数据、人工智能,大数据分析平台,直播课堂与录播,在线教育系统,跟谁学官网,https://www.genshuixue.com/,2024-09-15,,,,,,,,,,,,
金山软件,Office软件、企业管理,WPS办公云服务,贷款申请自动审批,金融IT解决方案,易鑫科技官网,https://www.ecartech.com/,2024-09-15,,,,,,,,,,,,
有道云笔记,教育、个人管理,在线笔记与知识管理,商业智能分析,数据挖掘与分析,博彦科技官网,https://www.boyan.com.cn/,2024-09-15,,,,,,,,,,,,
同花顺,金融、投资,证券市场数据分析,文档协作与在线编辑,云端办公解决方案,金山软件官网,https://www.wps.cn/product/,2024-09-15,,,,,,,,,,,,
飞桨科技,人工智能、机器学习,深度学习框架,数据同步与分享,知識管理平台,有道官网,https://note.youdao.com/,2024-09-15,,,,,,,,,,,,
金科科技,医疗、健康管理,健康数据分析平台,投资决策支持,金融大数据平台,同花顺官网,https://www.10jqka.com.cn/,2024-09-15,,,,,,,,,,,,
未来科技,物流、供应链,智能物流系统,机器学习模型训练,AI算法优化,飞桨官网,https://www.paddlepaddle.org.cn/,2024-09-15,,,,,,,,,,,,
蓝色星球,环保、能源管理,智能能源管理系统,患者数据管理与分析,大数据分析与人工智能,金科科技官网,https://www.jktech.com.cn/healthdata.html,2024-09-15,,,,,,,,,,,,
智联科技,教育、在线学习,在线教育管理平台,物流数据可视化与实时监控,物联网技术与云计算,未来科技官网,https://www.weilaikeji.com/supplychain.html,2024-09-15,,,,,,,,,,,,
海阔天空,旅游、餐饮,智能旅游解决方案,能源使用监测与优化,行业解决方案与分析,蓝色星球官网,https://www.lansexingqiu.com/energy.html,2024-09-15,,,,,,,,,,,,
智汇云,房地产、城市管理,城市建设管理平台,课程管理与学生评估,移动学习与交互技术,智联科技官网,https://www.zhiliankeji.com/education.html,2024-09-15,,,,,,,,,,,,
