考核原则,评价标准,SO2排放量,NOx排放量,生活污水COD排放量,矿井水COD排放量,污染物排放达标率,在线监测系统数据传输有效率,数据上报率,外排土场排放到界区域整形覆土率,权重,计算模型,采集来源,来源链接,采集时间,备注【疑问汇总】
环境和经济平衡,绿色运作指标,22,68,145,102,90%,0.97,99%,0.82,0.25,综合评估,行业协会,http://www.chinaep.org/,,
科技驱动,碳足迹分析,28,60,175,115,92%,0.99,100%,0.9,0.27,碳排放计算模型,技术开发公司,https://www.techdev.org/,,
社区参与,公众环境满意度,32,74,165,98,88%,0.93,95%,0.76,0.19,满意度调查模型,地方政府调查,https://www.localgov-surveys.gov.cn/,,
应急准备,事故响应时间,15,55,120,75,85%,0.92,96%,0.7,0.13,应急管理模型,国家安全生产监督管理局,https://www.chinasafety.gov.cn/,,
全球视野,国际规范遵守,30,65,155,103,91%,0.94,98%,0.84,0.16,全球标准评估,国际环保组织,https://www.iucn.org/,,
绿色发展,资源循环利用率,45,75,155,110,91%,0.96,99%,0.88,0.35,循环经济模型,生态环境部,https://www.mee.gov.cn/,,
安全优先,安全培训频次,35,65,170,130,94%,0.99,98%,0.87,0.28,安全绩效模型,北京市安监局,https://www.bjguoan.gov.cn/,,
创新驱动,新技术应用,28,50,140,85,95%,0.97,100%,0.91,0.2,技术创新模型,中国科学院,https://www.cas.cn/,,
合规性优先,环境管理体系符合性,22,55,130,95,89%,0.92,96%,0.83,0.18,合规性审核模型,国家生态环境部,https://www.mee.gov.cn/,,
成本控制,运营成本效率,37,78,160,115,90%,0.94,97%,0.86,0.27,财务分析模型,财务监督局,https://www.fmprc.gov.cn/,,
公众参与,公众满意度调查,34,62,175,145,93%,0.98,99%,0.9,0.2,社会反馈模型,中国社会科学院,https://www.cass.cn/,,
信息透明,信息披露率,25,58,145,100,91%,0.95,98%,0.84,0.15,透明度模型,资源环境部,https://www.mnr.gov.cn/,,
应急准备,应急响应时间,21,54,138,92,87%,0.93,94%,0.79,0.22,应急管理模型,全国应急管理信息网络,https://www.mem.gov.cn/,,
效益评估,环境经济效益,18,48,125,85,92%,0.96,95%,0.82,0.19,效益分析模型,中国经济研究中心,https://www.drc.gov.cn/,,
资源节约优先,能源消耗效率,35,90,150,110,92%,0.95,97%,0.85,0.28,综合评估模型,国家生态环境部,https://www.mee.gov.cn/,,
创新驱动,技术应用率,45,75,170,130,90%,0.96,98%,0.8,0.22,技术评估模型,清华大学环境学院,https://www.tsinghua.edu.cn/,,
社会责任优先,员工安全培训,25,70,190,140,89%,0.97,96%,0.82,0.2,风险评估模型,全国安全生产监督管理局,https://www.chinasafety.gov.cn/,,
绿色采购,环保材料使用比例,28,77,160,115,93%,0.94,99%,0.75,0.25,绿色采购评估模型,市场监管总局,https://www.samr.gov.cn/,,
数据透明,信息公开率,32,68,155,120,91%,0.89,95%,0.78,0.18,透明度评估模型,环保组织报告,https://www.greenpeace.org/,,
预测与控制,预测准确率,22,65,135,100,88%,0.91,97%,0.82,0.15,预测模型评估,中国气候变化研究中心,https://www.ccchinaclimate.org/,,
防灾减灾,事故应急响应能力,38,78,145,105,90%,0.92,93%,0.84,0.2,应急评估模型,应急管理研究院,https://www.emergency.org.cn/,,
生态保护,生态恢复效果,30,62,125,97,87%,0.88,91%,0.88,0.12,生态评估模型,国家林业和草原局,https://www.forestry.gov.cn/,,
综合治理,综合治理效益,40,72,200,125,89%,0.93,96%,0.76,0.15,多元回归模型,国际环境保护组织,https://www.worldenvironment.org/,,
清洁生产,资源利用率,45,85,170,110,93%,0.97,100,0.88,0.28,指标综合评估法,国家生态环境部,https://www.mee.gov.cn/,,
零排放,废物回收率,25,60,130,75,90%,0.95,98,0.92,0.35,生命周期评估模型,国际环保组织,https://www.greenpeace.org/,,
节能降耗,能源消耗强度,35,75,150,90,91%,0.96,97,0.86,0.22,能效评估模型,中国能源研究院,https://www.cer.org.cn/,,
技术创新,新技术推广率,20,50,140,85,94%,0.98,99,0.89,0.3,技术效益分析模型,企业科技创新部,https://www.scia.gov.cn/,,
社会责任,公众满意度,15,40,130,70,95%,0.99,100,0.91,0.18,公众参与评估模型,中国社会科学院,https://www.cass.cn/,,
行业标准,合规审计率,30,55,160,85,88%,0.96,99,0.87,0.12,合规审查模型,国家标准化管理委员会,https://www.sac.gov.cn/,,
持续改进,环境投资回报率,10,35,120,65,92%,0.97,98,0.9,0.23,财务效益评估模型,清华大学环境管理研究中心,https://www.tsinghua.edu.cn/,,
绿色供应链,合作伙伴合规率,28,65,155,80,91%,0.95,97,0.9,0.27,供应链绩效模型,中国绿色发展研究中心,https://www.cgdc.org.cn/,,
风险管理,潜在风险控制,32,72,145,78,89%,0.94,96,0.85,0.17,风险评估模型,国务院应急管理办公室,https://www.gov.cn/zhengce/,,
环保优先,碳排放监测,45,95,210,160,93%,0.97,99%,0.92,0.35,加权平均法,中国环境保护部,http://www.mee.gov.cn,,
安全第一,安全生产隐患排查,35,75,150,100,96%,0.95,98%,0.85,0.3,整体评估模型,广东省安全生产监督管理局,http://www.gd.gov.cn,,
持续改进,资源利用效率,28,82,140,95,91%,0.94,98%,0.78,0.25,数据驱动模型,全国节能减排信息平台,http://www.cnenergy.cn,,
合规性优先,环保政策执行力,18,55,130,85,89%,0.92,97%,0.73,0.18,合规性评估模型,河北省环境保护厅,http://www.hebepb.gov.cn,,
创新优先,可再生资源使用比,22,65,120,80,90%,0.96,99%,0.8,0.27,创新评估模型,国家发改委,http://www.ndrc.gov.cn,,
社会责任优先,社会效益评估,15,50,110,75,88%,0.91,96%,0.76,0.2,社会评估模型,中国社会科学院,http://wwwcass.org.cn,,
技术优先,新技术应用比例,33,73,135,90,92%,0.93,98%,0.83,0.22,技术评估模型,国家科技部,http://www.most.gov.cn,,
透明化优先,公众参与度,26,68,145,88,87%,0.94,97%,0.81,0.19,透明度评估模型,环保组织,http://www.greenwatch.org,,
生态优先,生态恢复效果,10,40,100,70,85%,0.89,95%,0.7,0.17,生态评估模型,国家生态环境部,http://www.mee.gov.cn,,
责任优先,企业自查合格率,20,60,125,85,94%,0.9,96%,0.74,0.2,责任评估模型,四川省环境保护局,http://www.sc.gov.cn,,
循环利用,废物回收率,45,90,175,130,93%,0.99,98,0.87,0.28,资源循环模型,环境保护部,https://www.mee.gov.cn,,
创新优先,清洁能源使用率,28,55,120,85,91%,0.96,100,0.89,0.22,清洁能源评估模型,国家能源局,https://www.nea.gov.cn,,
科技引领,智慧监测系统有效性,35,75,155,110,94%,0.97,99,0.92,0.26,智能监测模型,中国环境科学研究院,https://www.cneri.org,,
绿色发展,可再生资源利用率,38,65,150,95,90%,0.92,97,0.85,0.18,环境友好型评估模型,全国工业和信息化部,https://www.miit.gov.cn,,
社会责任,员工安全培训覆盖率,22,48,130,70,87%,0.9,96,0.78,0.2,社会责任模型,中国企业社会责任联盟,https://www.csral.org,,
全面合规,保险事故处理及时率,18,40,125,65,89%,0.95,99,0.88,0.17,合规与风险评估模型,保险行业协会,https://www.ia.org.cn,,
责任担当,公众满意度调查,25,70,145,80,92%,0.94,98,0.91,0.23,公众参与评估模型,民意调查中心,https://www.survey.org.cn,,
国际标准,ISO证书持有率,15,35,100,60,95%,0.99,100,0.93,0.3,国际标准评估模型,国际标准化组织,https://www.iso.org,,
数字转型,数字监测覆盖率,32,60,140,95,88%,0.93,97,0.8,0.19,数字化转型模型,信息产业部,https://www.miit.gov.cn,,
环保优先,温室气体减排,45,95,190,140,93%,0.97,100%,0.85,0.35,加权平均法,国家气候变化委员会,https://www.ncc.gov.cn/,,
安全第一,事故反应时间,35,75,170,110,91%,0.95,98%,0.88,0.3,响应时间评估模型,北京市应急办,https://www.bj.gov.cn/,,
持续改进,资源利用率提升,28,65,150,95,89%,0.92,97%,0.82,0.25,数据驱动模型,江苏省环境保护厅,http://www.jshb.gov.cn/,,
合规性优先,法律法规遵守,15,50,130,85,86%,0.9,94%,0.78,0.18,合规性评估模型,广州市生态环境局,http://www.gz.gov.cn/,,
技术创新优先,新技术应用水平,60,110,210,160,90%,0.96,99%,0.9,0.4,技术评估模型,科技部创新推进中心,https://www.most.gov.cn/,,
风险管理优先,风险评估合格率,25,55,145,105,88%,0.94,96%,0.8,0.22,风险评估模型,经济和信息化部,https://www.miit.gov.cn/,,
社会责任优先,公众满意度,50,85,200,130,91%,0.98,97%,0.87,0.26,综合评价模型,国务院新闻办公室,http://www.scio.gov.cn/,,
经济效益优先,成本控制,30,85,155,100,90%,0.93,95%,0.83,0.24,经济效益评估模型,中国社会科学院,http://www.cass.cn/,,
健康优先,职业健康安全,20,65,175,120,89%,0.91,99%,0.89,0.2,健康安全评估模型,国家卫生健康委员会,http://www.nhc.gov.cn/,,
持续改进,资源利用效率,45,90,175,110,91%,0.96,98%,0.85,0.28,加权平均法,江苏省生态环境厅,https://www.jiangsu.gov.cn/xxgk/safety/environment,,
合规性优先,安全生产合规,15,50,130,80,94%,0.99,97%,0.78,0.2,合规性评估模型,国家安全生产监督管理局,https://www.chinasafety.gov.cn/,,
环保优先,固体废物处理,25,65,155,70,90%,0.95,89%,0.82,0.3,综合评估体系,广东省环保局,https://www.gdep.gov.cn/,,
安全第一,职业健康安全,35,75,190,140,93%,0.97,92%,0.88,0.22,风险评估模型,天津市生态环境局,https://www.tianjin.gov.cn/,,
持续改进,清洁生产评价,20,55,145,95,89%,0.96,99%,0.79,0.18,数据驱动分析,重庆市生态环境局,https://www.cq.gov.cn/,,
合规性优先,排放标准达成率,10,30,120,60,97%,0.98,100%,0.86,0.15,合规性监督模型,河北省生态环境厅,https://www.heb.gov.cn/,,
环保优先,生态环境影响,55,110,210,160,92%,0.94,96%,0.83,0.12,影响评估模型,浙江省生态环境厅,https://www.zhejiang.gov.cn/,,
安全第一,应急响应效率,28,62,165,105,95%,0.99,99%,0.87,0.25,实时监测模型,四川省应急管理厅,https://www.sc.gov.cn/,,
持续改进,环保技术应用,22,46,150,85,90%,0.97,95%,0.81,0.2,技术评估模型,山东省生态环境厅,https://www.sd.gov.cn/,,
合规性优先,行业标准执行,12,32,135,75,93%,0.95,98%,0.8,0.15,合规性测评模型,辽宁省生态环境厅,https://www.liaoning.gov.cn/,,
环保优先,废弃物回收率,35,85,170,110,91%,0.96,99%,0.88,0.32,加权平均法,北京市环保局,https://www.bjepb.gov.cn/,,
安全第一,事故响应时间,55,90,150,115,89%,0.94,97%,0.82,0.28,基于风险的模型,中国安全生产监督管理局,https://www.chinasafer.com/,,
持续改进,能源利用效率,65,75,120,100,94%,0.97,100%,0.91,0.2,动态优化模型,江苏省环保局,https://www.jsepb.gov.cn/,,
合规性优先,法规遵守率,25,65,130,75,95%,0.92,96%,0.78,0.15,合规性评估模型,浙江省生态环境厅,https://www.zjehb.gov.cn/,,
环保优先,碳足迹减少,20,50,110,80,90%,0.95,98%,0.85,0.35,生命周期评估,武汉市生态环境局,https://www.wh.gov.cn/,,
安全第一,生产安全规范,45,95,160,105,88%,0.93,94%,0.8,0.22,风险评估模型,广东省应急管理厅,https://www.gd.gov.cn/,,
持续改进,技术创新应用,48,78,145,90,93%,0.91,99%,0.86,0.27,数据分析模型,东北大学环境科学研究所,https://www.neu.edu.cn/,,
合规性优先,质量管理体系认证,33,62,139,85,96%,0.94,95%,0.74,0.18,综合评估模型,安徽省环保厅,https://www.ah.gov.cn/,,
环保优先,可再生资源利用,28,72,155,98,92%,0.96,97%,0.9,0.29,生态足迹法,海南省生态环境保护局,https://www.hainan.gov.cn/,,
资源高效利用,能源消耗效率,25,55,130,85,91%,0.96,97%,0.88,0.1,效率导向模型,国家能源局,https://www.nea.gov.cn/,,
事故预防,安全隐患排查率,35,90,170,115,93%,0.94,98%,0.82,0.35,隐患评估模型,北京市环保局,https://www.bjepb.gov.cn/,,
创新驱动,科技使用率,15,45,110,70,96%,0.99,100%,0.95,0.2,创新评估模型,国务院科学技术部,https://www.most.gov.cn/,,
区域发展,地区环保标准达标率,28,68,145,95,89%,0.97,93%,0.87,0.2,区域综合评估模型,江苏省生态环境厅,https://jshb.jiangsu.gov.cn/,,
环境教育,公众环保意识提升率,22,62,125,80,90%,0.95,96%,0.92,0.15,社会影响评估模型,全国环境保护协会,https://www.epa.gov.cn/,,
绿色生产,可再生资源利用率,18,50,155,105,92%,0.98,99%,0.9,0.18,资源循环评估模型,国家发改委,https://www.ndrc.gov.cn/,,
风险管理,应急预案实施效果,27,75,135,95,94%,0.92,96%,0.86,0.22,风险评估模型,民政部,https://www.mca.gov.cn/,,
社会责任,社会评价反馈及时率,33,87,160,105,89%,0.93,98%,0.91,0.15,社会责任评价模型,社会责任促进会,https://www.srp.org.cn/,,
科技引领,先进技术采用率,20,66,150,90,90%,0.95,97%,0.89,0.17,技术应用评估模型,行业协会,https://www.industry.org.cn/,,
环保优先,能源消费效率,45,90,170,110,91%,0.96,98%,0.83,0.28,综合绩效模型,国家能源局,https://www.nea.gov.cn/,,
安全第一,设备故障率,35,75,150,95,93%,0.95,97%,0.87,0.22,安全管理模型,行业协会报告,https://www.industry-assoc.org/,,
持续改进,技术创新能力,25,65,130,85,89%,0.94,96%,0.8,0.18,创新评估模型,科技部,https://www.most.gov.cn/,,
合规性优先,环境法规遵从,15,50,120,80,95%,0.99,99%,0.9,0.3,合规性管理模型,环保部,https://www.mee.gov.cn/,,
节能减排,单位产值能耗,30,55,110,75,96%,0.93,97%,0.85,0.25,能耗评估模型,国家统计局,https://www.stats.gov.cn/,,
绿色生产,循环经济实施情况,20,40,100,70,97%,0.98,98%,0.88,0.27,循环经济模型,环境保护组织,https://www.greenpeace.org/,,
安全管理,操作安全性,28,62,145,85,92%,0.9,95%,0.82,0.2,安全性能模型,中国安全生产委员会,https://www.chinasafety.gov.cn/,,
合规性优先,重新审查合规性,10,30,90,50,98%,0.97,100%,0.91,0.15,合规性审查模型,法律咨询公司,https://www.legalconsult.com/,,
创新驱动,新技术应用情况,22,35,130,60,94%,0.91,96%,0.86,0.19,创新评估模型,政协委员会议,https://www.cppcc.gov.cn/,,
环保优先,排放量控制,45,90,210,180,93%,0.97,100%,0.85,0.35,加权平均法,国家环境保护局,https://www.mee.gov.cn/,,
安全第一,事故处理时间,35,75,195,130,91%,0.95,98%,0.88,0.2,动态评估法,北京安全生产许可证管理,https://www.bj.gov.cn/,,
持续改进,资源利用率,28,65,150,110,89%,0.96,99%,0.82,0.25,资源优化模型,学术研究期刊,https://www.journalofenviron.org/,,
合规性优先,企业自查率,22,58,135,85,90%,0.94,92%,0.78,0.18,合规审计模型,深圳市环境保护局,https://www.szepb.gov.cn/,,
环保优先,清洁生产计划实施,33,72,170,140,95%,0.99,97%,0.91,0.28,清洁生产模型,江苏省环境监管,http://www.jsepb.gov.cn/,,
安全第一,应急预案更新率,30,80,175,120,87%,0.93,96%,0.84,0.22,风险评估模型,天津市应急管理局,https://www.tianjin.gov.cn/,,
持续改进,员工培训覆盖率,24,55,165,95,89%,0.95,100%,0.77,0.19,培训质量评估模型,教育部,http://www.moe.gov.cn/,,
合规性优先,行政处罚指标,15,50,130,70,92%,0.91,94%,0.8,0.16,风险合规模型,国家市场监督管理总局,http://www.samr.gov.cn/,,
环保优先,创新技术应用率,32,68,145,110,88%,0.98,99%,0.86,0.27,技术评估模型,生态环境部,http://www.mee.gov.cn/,,
生态优先,碳排放强度,45,95,210,140,93%,0.96,98%,0.88,0.32,综合评估模型,江苏省生态环境厅,https://www.jiangsu.gov.cn/col/20230101/index.html,,
安全优先,职业健康安全事故率,35,75,190,110,91%,0.94,97%,0.82,0.28,风险评估模型,国家安全生产监督管理局,https://www.chinasafety.gov.cn/,,
创新驱动,资源综合利用率,25,65,175,85,89%,0.97,96%,0.8,0.22,创新评价模型,中国科学技术部,https://www.most.gov.cn/,,
可持续发展,水资源消耗率,28,68,165,95,90%,0.95,99%,0.75,0.2,可持续性评估模型,全球环境基金,https://www.thegef.org/,,
透明度优先,环境信息披露,55,120,230,160,94%,0.99,100%,0.91,0.35,透明度评估模型,国际环境保护组织,https://www.wwf.org/,,
社会责任,社区影响评估,30,90,200,130,90%,0.92,96%,0.78,0.25,影响评估模型,中国社会科学院,http://www.cass.cn/,,
可追溯性,污染物排放记录,32,85,150,100,96%,0.98,99%,0.83,0.18,追溯性分析模型,生态环境部,https://www.mee.gov.cn/,,
技改优先,新技术应用率,22,55,135,80,88%,0.91,94%,0.76,0.14,技术创新评估模型,南京理工大学,http://www.njust.edu.cn/,,
用户导向,客户满意度,38,77,165,122,92%,0.98,97%,0.84,0.24,客户满意度模型,市场研究机构,https://www.mr-pro.com/,,
可持续发展,可再生能源使用比例,35,90,150,110,91%,0.96,97%,0.88,0.28,基于指标KPI评估模型,国家能源局,https://www.nea.gov.cn,,
安全第一,火灾事故响应时间,25,50,130,80,85%,0.94,96%,0.78,0.2,综合事故评估模型,广东省消防总队,https://www.gd.gov.cn/govinfo/gkml_1/gkml/2023/05/12/020206432.html,,
创新发展,新技术应用率,62,110,210,160,88%,0.92,98%,0.82,0.4,技术驱动模型,科技部,https://www.most.gov.cn,,
法规确信,管理体系合规性,18,45,125,65,90%,0.99,100%,0.86,0.27,合规性评估模型,工商行政管理局,https://www.aic.gov.cn,,
公众参与,公众满意度调查,20,55,135,75,93%,0.95,93%,0.91,0.22,社会满意度评估模型,生态环境部,https://www.mee.gov.cn,,
绿色发展,环境保护投资比例,28,65,155,95,87%,0.91,98%,0.84,0.19,财务分析模型,财务部,https://www.mof.gov.cn,,
责任共享,跨部门协调评估,45,85,170,130,89%,0.93,97%,0.76,0.24,多方协调评估模型,中央政府办公厅,https://www.gov.cn,,
技术创新,智能监控系统覆盖率,30,60,140,85,92%,0.97,99%,0.89,0.3,智能评估模型,信息产业部,https://www.miit.gov.cn,,
资源节约,废物回收利用率,22,57,145,70,90%,0.94,98%,0.83,0.18,资源管理评估模型,环境监测中心,https://www.cnemc.cn,,
绿色转型,清洁生产实施,35,85,175,110,91%,0.96,100,0.88,0.28,生态效率评估模型,国家生态环境部,https://www.mee.gov.cn/,,
创新驱动,新技术应用率,25,65,130,85,92%,0.94,97,0.82,0.22,动态评估模型,工信部,https://www.miit.gov.cn/,,
