品类（字符型）,体系结构（字符型）,层次结构（字符型）,设计机构（字符型）,实现结构（字符型）,采集来源,来源链接,采集时间,备注,,,,,,,,,,,
智能温湿度传感器,敏感元件 + 微处理器 + 无线传输模块,信号采集层、无线传输层、应用层,小米公司,集成式,小米科技,https://www.mi.com/global/products/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 转换模块 + 数据处理单元,物理层、信号处理层、分析层,德云科技,集成式,农业科技论坛,https://www.agri-tech.com,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 信号调理电路 + 接口模块,传感层、处理层、输出层,阿里巴巴,混合式,阿里云,https://www.aliyun.com/product/iot,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 信号处理单元 + 传输控制模块,感知层、处理层、应用层,安信科技,模块式,水资源管理中心,https://www.anxin-tech.com,2024-09-14,,,,,,,,,,,,
运动传感器,敏感元件 + 微处理器 + 通信模块,数据采集层、分析层、应用层,乐视网,集成式,乐视网官网,https://www.le.com/products/,2024-09-14,,,,,,,,,,,,
触摸传感器,敏感元件 + 处理电路 + 接口层,硬件层、控制层、交互层,百度Apollo,集成式,百度AI实验室,https://apollo.auto,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 微处理器 + 数据通信接口,测量层、处理层、显示层,施耐德电气,混合式,施耐德电气官网,https://www.se.com/cn/zh/,2024-09-14,,,,,,,,,,,,
RFID传感器,敏感元件 + 读取器 + 数据处理模块,物理层、射频层、应用层,中兴通讯,模块式,中兴通讯官网,https://www.zte.com.cn/cn/products,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 嵌入式控制器 + 数据传输模块,环境层、数据分析层、应用层,农田智联,集成式,农田智联,https://www.smartagriculture.com/,2024-09-14,,,,,,,,,,,,
光照强度传感器,光敏元件 + 信号处理电路,采集层、信号传输层,光电科技,模块式,光电科技,https://www.optotechnology.com/,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 转换电路 + 微控制器,物理层、数据层,北方自动化,混合式,北方自动化,http://www.northautomation.com/,2024-09-14,,,,,,,,,,,,
水质传感器,电化学传感元件 + 微处理器 + 信号调理,检测层、处理层、反馈层,水资源监测公司,集成式,水资源监测公司,https://www.watermonitoring.com/,2024-09-14,,,,,,,,,,,,
风速传感器,敏感元件 + 处理模块,采集层、分析层,气象科技,模块式,气象科技,https://www.meteorologicaltech.com/,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 信号调理电路 + 微控制器,检测层、处理层、警报层,安全科技,集成式,安全科技,https://www.safetytech.com/,2024-09-14,,,,,,,,,,,,
尿液分析传感器,生物敏感元件 + 电子接口 + 数据分析模块,采集层、分析层、报告层,医疗传感技术,模块式,医疗传感技术,https://www.medicalsensortech.com/,2024-09-14,,,,,,,,,,,,
心率传感器,生物敏感元件 + 信号调理 + 数据传输模块,生理信号采集层、处理层,健康科技,集成式,健康科技,https://www.healthtech.com/,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 流体动态模拟器 + 信号调理电路,流量层、数据层、输出层,流体动力公司,混合式,流体动力公司,https://www.fluiddynamics.com/,2024-09-14,,,,,,,,,,,,
状态监测传感器,敏感元件 + 数据处理单元 + 通信接口,监测层、分析层、反馈层,智能监控科技,集成式,智能监控科技,https://www.smartmonitoringtech.com/,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,传感层、处理层、应用层,华为技术,集成式,华为智能家居,https://www.huawei.com/cn/solutions/smart-home,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 接口电路 + 信号处理单元,传感层、网络层、应用层,中兴通讯,模块式,中兴大学,https://www.zte.com.cn/cn/solutions,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 智能算法 + 输出电路,采集层、处理层、反馈层,飞思卡尔半导体,混合式,飞思卡尔电子,https://www.nxp.com/products/sensors,2024-09-14,,,,,,,,,,,,
辐射传感器,敏感元件 + 处理器 + 数字接口,监测层、数据采集层、显示层,量子科技,集成式,量子科技官网,https://www.quantum.com/products,2024-09-14,,,,,,,,,,,,
湿度温度传感器,敏感元件 + 信号调理电路 + 无线模块,物理层、数据层、传输层,瑞芯微电子,模块式,瑞芯微官网,https://www.rock-chips.com,2024-09-14,,,,,,,,,,,,
液位传感器,敏感元件 + 信号调理 + 输出接口,硬件层、处理层、控制层,华大基因,集成式,华大基因,https://wwwBGI.com,2024-09-14,,,,,,,,,,,,
气候传感器,敏感元件 + 计算单元 + 数据接口,传感层、分析层、控制层,中科院,混合式,中科院气象台,http://www.cma.gov.cn,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 微处理器 + 通信模块,监测层、数据层、应用层,国控环境,集成式,国控环境科技,https://www.cceep.com,2024-09-14,,,,,,,,,,,,
压力传感器,敏感元件 + 放大电路 + 模拟转换器,感知层、处理层、输出层,优傲科技,模块式,优傲科技,https://www.uipath.com/product,2024-09-14,,,,,,,,,,,,
光学传感器,敏感元件 + 信号处理电路 + 无线通信单元,物理层、数据层、应用层,博世公司,集成式,博世官网,https://www.bosch.com,2024-09-14,,,,,,,,,,,,
液位传感器,敏感元件 + 硬件接口 + 信号处理模块,输入层、处理层、反馈层,北京智创科技,模块式,智创科技,https://www.zccn.com/,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 微处理器 + 数据转换电路,物理层、数据层、应用层,华为技术有限公司,集成式,华为官网,https://www.huawei.com/cn/,2024-09-14,,,,,,,,,,,,
土壤传感器,敏感元件 + 模拟信号调理 + 数据输出模块,环境监测层、数据层,绿洲科技,混合式,绿洲官网,https://www.garden-tech.com/,2024-09-14,,,,,,,,,,,,
电压传感器,敏感元件 + 电压转换电路,采集层、调理层、输出层,中兴通讯,模块式,中兴通讯,https://www.zte.com.cn/,2024-09-14,,,,,,,,,,,,
风速传感器,敏感元件 + 信号处理电路 + 输出接口,环境层、数据处理层,海洋监测技术公司,集成式,海洋技术,https://www.ocean-tech.net/,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 信号放大器 + 数据处理模块,传感层、处理层、输出层,安防科技,混合式,安防科技,https://www.security-tech.com/,2024-09-14,,,,,,,,,,,,
光线传感器,敏感元件 + 电路调理 + 输出接口,感知层、调整层,光电科技,集成式,光电科技,https://www.photonic-tech.com/,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 流量转换电路 + 通信接口,采集层、分析层,流体控制研究所,模块式,流体研究,https://www.fluid-research.com/,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 微处理器 + 输出电路,数据采集层、信号处理层,振动分析公司,集成式,振动分析,https://www.vibrationanalysis.com/,2024-09-14,,,,,,,,,,,,
气象传感器,敏感元件 + 数据采集系统 + 网络接口,气象层、数据传输层,气象局,模块式,气象局官网,https://www.weather.gov.cn/,2024-09-14,,,,,,,,,,,,
环境传感器,敏感元件 + 微处理器 + 接口电路,感知层、传输层、应用层,新兴科技,模块化,红外线传感器协会,https://www.irss.org/,2024-09-14,,,,,,,,,,,,
距离传感器,敏感元件 + 信号处理单元,感知层、分析层,电子工程,集成式,维基百科,https://zh.wikipedia.org/wiki/%E8%B7%9D%E7%A6%BB%E4%BC%A0%E6%84%9F%E5%99%A8,2024-09-14,,,,,,,,,,,,
流量传感器,敏感元件 + 转换元件 + 信号处理电路,测量层、控制层,工控网,分布式,谷歌学术,https://scholar.google.com/,2024-09-14,,,,,,,,,,,,
液位传感器,敏感元件 + 处理单元 + 输出电路,采集层、控制层,优利德,模组化,优利德官网,https://www.uni-t.com/,2024-09-14,,,,,,,,,,,,
生化传感器,敏感元件 + 信号调理电路,生物传感层、数据处理层,生物技术研究所,集成式,Nature Biotechnology,https://www.nature.com/nbt/,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 电子处理单元,物理层、信号层,正在进行的技术,模块式,行业资讯网,https://www.industrynews.com/,2024-09-14,,,,,,,,,,,,
油温传感器,敏感元件 + 转换电路,测量层、输出层,汽车电子,混合式,汽车之家,https://www.autohome.com.cn/,2024-09-14,,,,,,,,,,,,
制冷传感器,敏感元件 + 控制系统,环境层、调控层,博世,集成式,Engineering.com,https://www.engineering.com/,2024-09-14,,,,,,,,,,,,
噪音传感器,敏感元件 + 信号处理元件,数据层、控制层,城市环境监测,模块式,城市环保局,https://www.cityenvironment.gov/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 脉冲电路,监测层、分析层,水利部,集成式,水质监测网,https://www.waterqualitymonitoring.org/,2024-09-14,,,,,,,,,,,,
温度湿度传感器,敏感元件 + 微处理器 + 信号调理电路,传感层、处理层、应用层,新松机器人,集成式,新松科技,https://www.newtonrobotics.com/,2024-09-14,,,,,,,,,,,,
光照传感器,敏感元件 + 放大电路,传感层、信号层,华为技术有限公司,模块式,华为云,https://cloud.huawei.com/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 信号调理电路 + 数据分析模块,物理层、水质分析层、输出层,海洋科技馆,集成式,海洋科技研究,http://www.oceanresearch.org/,2024-09-14,,,,,,,,,,,,
力传感器,敏感元件 + 微处理器 + 数据转换器,传感层、处理层、输出层,德国西门子,混合式,西门子官网,https://www.siemens.com/,2024-09-14,,,,,,,,,,,,
烟雾传感器,敏感元件 + 转换元件 + 信号调理电路,监测层、响应层,火灾安全科技,模块式,火灾安全研究中心,https://www.firetech.com/,2024-09-14,,,,,,,,,,,,
振动传感器,敏感元件 + 信号处理单元,物理层、分析层,阿里巴巴云,集成式,阿里云,https://www.aliyun.com/,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 放大电路,监测层、控制层,国家电网,模块式,国家电网公司,http://www.sgcc.com.cn/,2024-09-14,,,,,,,,,,,,
定位传感器,敏感元件 + 微处理器 + 通信模块,测量层、输出层、通信层,空间科技,混合式,空间信息研究院,http://www.spatialtech.com/,2024-09-14,,,,,,,,,,,,
辐射传感器,敏感元件 + 检测电路 + 数据处理电路,监测层、分析层、报警层,环境监测部,集成式,环境保护部,http://www.epa.gov.cn/,2024-09-14,,,,,,,,,,,,
图像传感器,敏感元件 + 信号转换器 + 存储单元,采集层、处理层、输出层,大疆创新,集成式,大疆官网,https://www.dji.com/,2024-09-14,,,,,,,,,,,,
光谱传感器,敏感元件 + 光学元件 + 信号处理电路,检测层、分析层、应用层,瑞萨电子,模块式,瑞萨电子官网,https://www.renesas.com,2024-09-14,,,,,,,,,,,,
接触传感器,敏感元件 + 信号调理电路,输入层、处理层,阿里云,集成式,阿里云智能,https://iot.aliyun.com,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 信号处理电路 + 无线传输模块,检测层、数据传输层,小米科技,混合式,小米科技,https://www.mi.com,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 数据处理单元,物理层、数据层,海康威视,模块式,海康威视科技,https://www.hikvision.com,2024-09-14,,,,,,,,,,,,
辐射传感器,敏感元件 + 转换模块,监测层、输出层,清华大学智能设备中心,集成式,清华大学官网,https://www.tsinghua.edu.cn,2024-09-14,,,,,,,,,,,,
气压传感器,敏感元件 + 模拟信号调理电路,物理层、输出层,华为技术,集成式,华为官网,https://www.huawei.com,2024-09-14,,,,,,,,,,,,
颜色传感器,敏感元件 + 信号处理单元 + 输出模块,采集层、输出层,中兴通讯,模块式,中兴通讯,https://www.zte.com.cn,2024-09-14,,,,,,,,,,,,
射频传感器,敏感元件 + 信号调理电路 + 数据接口,物理层、信号层、应用层,华星光电,混合式,华星光电官网,https://www.csot.cn,2024-09-14,,,,,,,,,,,,
温湿度一体传感器,敏感元件 + 处理单元 + 通信模块,检测层、数据管理层,联发科技,集成式,联发科技官网,https://www.mediatek.com,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 信号增强电路,输入层、处理层、输出层,恩智浦半导体,模块式,恩智浦官网,https://www.nxp.com,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,数据采集层、处理层、应用层,北京智控科技,集成式,北京智控科技,https://www.bjzhikong.com/,2024-09-14,,,,,,,,,,,,
光线传感器,敏感元件 + 转换元件 + 接口电路,物理层、传输层、应用层,新大陆科技,模块式,新大陆科技,https://www.newland.com/,2024-09-14,,,,,,,,,,,,
电流传感器,敏感元件 + 信号调理电路,信号层、处理层,意法半导体,混合式,意法半导体,https://www.st.com/,2024-09-14,,,,,,,,,,,,
超声波传感器,敏感元件 + 微处理器 + 脉冲电路,测量层、信号处理层,厚普科技,集成式,厚普科技,http://www.hoputech.com/,2024-09-14,,,,,,,,,,,,
环境监测传感器,敏感元件 + 无线通信模块 + 信号调理电路,物理层、通信层、应用层,航天信息,模块式,航天信息,https://www.spaceinfo.com.cn/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 转换元件 + 数据处理电路,采集层、分析层、反馈层,蓝天环保,集成式,蓝天环保,https://www.skyblueenvironment.com/,2024-09-14,,,,,,,,,,,,
运动传感器,敏感元件 + 移动处理器 + 通信模块,信号采集层、处理层、控制层,智科移动,混合式,智科移动,https://www.smartmobile.com/,2024-09-14,,,,,,,,,,,,
土壤湿度传感器,敏感元件 + 数据转换电路 + 处理模块,物理层、环境层、输出层,农智科技,集成式,农智科技,https://www.agriculture-intelligence.com/,2024-09-14,,,,,,,,,,,,
磁场传感器,敏感元件 + 信号放大电路 + 微处理器,信号层、处理层、应用层,电磁科技,模块式,电磁科技,http://www.electromagnetictech.com/,2024-09-14,,,,,,,,,,,,
人物识别传感器,敏感元件 + 图像处理模块 + 数据通信电路,传感层、识别层、反馈层,通用识别,集成式,通用识别,https://www.genericsolutions.com/,2024-09-14,,,,,,,,,,,,
温湿度传感器,敏感元件 + 微处理器 + 信号调理电路,感知层、处理层、应用层,华为技术有限公司,集成式,华为开发者社区,https://developer.huawei.com/consumer/cn/,2024-09-14,,,,,,,,,,,,
气压传感器,敏感元件 + 转换电路 + 接口电路,传感层、信号处理层、输出层,飞思卡尔半导体,模块式,飞思卡尔官网,https://www.nxp.com/,2024-09-14,,,,,,,,,,,,
水质传感器,敏感元件 + 微处理器 + 数据转发模块,采集层、处理层、云平台层,智云科技,混合式,智云科技博客,https://tech.zhongyunj.com/,2024-09-14,,,,,,,,,,,,
红外传感器,敏感元件 + 转换电路 + 数据处理单元,感知层、应用层,欧司朗,集成式,欧司朗官网,https://www.osram.com/,2024-09-14,,,,,,,,,,,,
温度湿度传感器,敏感元件 + 数据处理器 + 通信模块,信息采集层、物联网层,艾默生,模块式,艾默生官网,https://www.emerson.com/,2024-09-14,,,,,,,,,,,,
颗粒物传感器,敏感元件 + 转换器 + 接口电路,硬件层、数据层、应用层,瑞萨电子,集成式,瑞萨电子开发者平台,https://www.renesas.com/,2024-09-14,,,,,,,,,,,,
