受理号（数字型）,区块链技术名称（字符型）,区块链技术类型（字符型）,注册分类（字符型）,申请类型（数字型）,承办日期（日期型）,企业名称（字符型）,联合申报企业名称（字符型）,办理状态（字符型）,状态开始时间（日期型）,审评结论（字符型）,规范企业名称（字符型）,系统构成（字符型）,试验登记号（数字型）,适用领域（数字型）,适应症（品种）（字符型）,区块链技术类型（字符型）,注册版本（字符型）,区块链特征（字符型）,采集来源,来源链接,采集时间,备注
粤网信备44030345678901230015号,Ripple,公有区块链,金融服务,公有区块链,2023-09-30,迈瑞医疗科技有限公司,湖北东信药业有限公司,已完成,2023-10-05,合格,Ripple Labs,支付协议,20230113,金融,国际支付,公有区块链,V1.0,快速结算、安全性高,中央银行数字货币研究所,https://www.iso.org,2024-09-28,
浙网信备33010598765432150016号,Polkadot,跨链区块链,功能测试,跨链区块链,2023-06-15,陆铭制药有限公司,宏伟药业(集团)公司,正在办理,2023-06-20,待审查,Web3 Foundation,多链架构,20230106,其他,跨链互操作,跨链区块链,V1.0,可互操作性、灵活性,中国信息通信研究院,http://www.caict.ac.cn,2024-09-28,
晋网信备14010765432198760018号,Avalanche,公有区块链,性能测试,公有区块链,2023-07-05,辉瑞中国有限公司,恒星生物科技股份有限公司,已完成,2023-07-15,合格,Avalanche Foundation,分布式账本,20230107,供应链,资产追踪,公有区块链,V1.0,高性能、低延迟,InfoComm Journal,https://www.infocommjournal.com,2024-09-28,
沪网信备31010123456789070013号,Polygon,Layer 2 区块链,安全审计,Layer 2 区块链,2023-08-12,康宁药业有限公司,恒瑞医药集团有限公司,正在办理,2023-08-15,待审查,Polygon Technology,侧链和状态通道,20230108,游戏,去中心化游戏,Layer 2 区块链,V1.0,低成本、快速交易,中国电子技术标准化研究院,http://www.caict.ac.cn,2024-09-28,
川网信备51010567891234580019号,Cardano,自我修正区块链,功能测试,自我修正区块链,2023-09-01,瑞泰医药有限公司,恒瑞医药股份有限公司,已完成,2023-09-05,合格,Cardano Foundation,权益证明,20230109,教育,数字身份,自我修正区块链,V1.0,可持续性、去中心化,国家标准化管理委员会,https://www.oncc.gov.cn,2024-09-28,
鄂网信备42010654321098790010号,Ripple,企业级区块链,性能测试,企业级区块链,2023-09-20,中科药业有限公司,恒瑞医药股份有限公司,正在办理,2023-09-25,待审查,Ripple Labs,分布式自定义协议,20230110,金融,跨境支付,企业级区块链,V1.0,高交易速度、可扩展性,链闻,https://www.chainnews.com,2024-09-28,
沉网信备34020456789012345020号,NEO,公有区块链,安全审计,公有区块链,2023-10-05,上海创新药物开发有限公司,恒瑞医药股份有限公司,已完成,2023-10-10,合格,NEO Foundation,智能合约,20230111,其他,身份验证,公有区块链,V1.0,智能合约、高效率,中国信息通信研究院,http://www.caict.ac.cn,2024-09-28,
皖网信备34020223876451234567号,Chainlink,去中心化预言机,功能测试,去中心化预言机,2023-10-20,鼎盛生物制药公司,恒瑞医药股份有限公司,正在办理,2023-10-25,待审查,Chainlink Labs,去中心化服务,20230112,金融,数据源验证,去中心化预言机,V1.0,安全、可靠,链闻,https://www.chainnews.com,2024-09-28,
京网信备11010523456789012345号,Elrond,公有区块链,安全审计,公有区块链,2023-10-30,未来医疗科技有限公司,恒瑞医药股份有限公司,已完成,2023-11-01,合格,Elrond Network,异步确认,20230113,健康,健康数据交换,公有区块链,V1.0,高效、安全,国家标准化管理委员会,https://www.oncc.gov.cn,2024-09-28,
粤网信备44030425678912345678号,Cardano,公有区块链,性能测试,公有区块链,2023-06-15,贝克尔制药股份有限公司,恒瑞医药股份有限公司,正在办理,2023-06-20,待审查,IOHK,多层架构,20230106,电子商务,智能合约,公有区块链,V1.0,去中心化、安全性,区块链研究中心,http://www.blockchainresearch.org,2024-09-28,
渝网信备50010123894765432109号,Algorand,公有区块链,安全审计,公有区块链,2023-07-05,华夏药品研发中心,恒瑞医药,已完成,2023-07-20,合格,Algorand Foundation,共享账本,20230107,金融,资产管理,公有区块链,V1.0,快速、安全、可扩展,金融科技协会,http://www.fintechassociation.org,2024-09-28,
浙网信备33010425612345678901号,EOSIO,公有区块链,功能测试,公有区块链,2023-08-10,百川生物制品有限公司,黑龙江省药品生产企业,正在办理,2023-08-15,待审查,Block.one,高性能区块链,20230108,物联网,智能设备连接,公有区块链,V1.1,高吞吐量、智能合约,区块链创新网络,http://www.blockchaininnovation.org,2024-09-28,
苏网信备32010523456789012345号,Polygon,二层扩展解决方案,性能测试,二层扩展解决方案,2023-09-12,北京华药制药有限公司,黑龙江北大荒药业有限公司,已完成,2023-09-15,合格,Polygon Technology,链下扩展,20230109,游戏,游戏应用,二层扩展解决方案,V1.0,高效、低手续费,区块链应用与技术,http://www.blockchain-tech.org,2024-09-28,
鲁网信备37020123894765432101号,Holochain,去中心化应用框架,安全审计,去中心化应用框架,2023-10-01,上海医药集团股份有限公司,河南远大医药有限公司,正在办理,2023-10-05,待审查,Holochain Foundation,分布式架构,20230110,共享经济,协作平台,去中心化应用框架,V1.2,灵活性、自我治理,分布式经济协会,http://www.decentraleconomy.org,2024-09-28,
闽网信备35020323678901234567号,Avalanche,公有区块链,性能测试,公有区块链,2023-06-15,浙江以岭药业股份有限公司,河南省药业有限公司,正在办理,2023-06-20,待审查,Avalanche Labs,分布式账本,20230106,金融,加密交易,公有区块链,V1.0,低延迟、高吞吐量,区块链领域研究院,https://www.avalabs.org/,2024-09-28,
晋网信备14010523894561234567号,Algorand,公有区块链,功能测试,公有区块链,2023-07-05,成都生物制药研究院,河北盛世药业有限公司,已完成,2023-07-15,合格,Algorand Foundation,接入服务,20230107,物流,供应链监控,公有区块链,V1.0,可扩展、快速交易,全球区块链观察,https://www.algorand.com/,2024-09-28,
黑网信备23010623654123898234号,Polkadot,公有区块链,系统审计,公有区块链,2023-08-10,江苏恒瑞医药股份有限公司,河北生物科技有限公司,正在办理,2023-08-15,待审查,Web3 Foundation,互操作性网络,20230108,物流,跨链交易,公有区块链,V1.0,并行处理、灵活性,国际区块链研究所,https://polkadot.network/,2024-09-28,
"皖网信备34020223603146870013号,京网信备11010523289175130015号,粤网信备44030023456789012345号,浙网信备33010012345678901234号,沪网信备31010098765432100001号,陕网信备61010011223344556677号,京网信备11010512345678998765号,粤网信备44010098765432123456号,川网信备51010022334455667788号,苏网信备32010011223344556678号",Cardano,公有区块链,性能测试,公有区块链,2023-09-01,吉林省医药公司,和信生物科技,未开始,2023-09-05,待审查,IOHK,分层架构,20230109,教育,学习记录,公有区块链,V1.0,可持续、安全,教育科技日报,https://www.cardano.org/,2024-09-28,
"粤网信备44010612345678900001号,沪网信备31010165432109800002号,湘网信备43011298765432100003号,赣网信备36010123456789000004号,鲁网信备37010234567890100005号,苏网信备32010456789012300006号,豫网信备41010567890123400007号,陕网信备61010478901234500008号,渝网信备50010289012345600009号,吉网信备22010590123456700010号",Fantom,公有区块链,功能测试,公有区块链,2023-09-20,华东医药股份有限公司,合药创新科技,已完成,2023-09-25,合格,Fantom Foundation,高效账本,20230110,物流,运输管理,公有区块链,V1.0,快速、高效,区块链技术观察,https://fantom.foundation/,2024-09-28,
皖网信备34020345603146870013号,Near Protocol,公有区块链,安全审计,公有区块链,2023-10-10,广州药业集团有限公司,昊华科技股份有限公司,正在办理,2023-10-15,待审查,Near Inc.,动态可扩展,20230111,互联网,去中心化应用,公有区块链,V1.0,可扩展、高效率,区块链前沿技术网,https://near.org/,2024-09-28,
京网信备11010643289175130015号,Waves,公有区块链,功能测试,公有区块链,2023-10-25,安徽天康药业有限公司,杭州制药科技股份有限公司,已完成,2023-11-01,合格,Waves Enterprise,智能合约平台,20230112,电子商务,去中心化交易,公有区块链,V1.0,用户友好、高安全性,商业区块链周刊,https://waves.tech/,2024-09-28,
沪网信备31010765432198760016号,Avalanche,公有区块链,性能测试,公有区块链,2023-06-05,福建博睿药业股份有限公司,杭州迅达医疗器械有限公司,正在办理,2023-06-10,待审查,Avalanche Labs,高效能区块链平台,20230106,供应链,协作平台,公有区块链,V1.1,快速交易、可访问性,中国信息通信研究院,http://www.caict.ac.cn,2024-09-28,
粤网信备44010398765432120017号,Polygon,企业级区块链,系统审计,企业级区块链,2023-06-20,北京药智科技有限公司,杭州瑞邦医药股份有限公司,已完成,2023-07-01,合格,Polygon Technology,侧链技术,20230107,电子商务,加密交易,企业级区块链,V1.0,可扩展性、低费用,国家信息中心,http://www.sic.gov.cn,2024-09-28,
川网信备51010487654321080018号,Ripple,公有区块链,功能测试,公有区块链,2023-07-15,上海博瑞医药有限公司,杭州华大基因科技有限公司,正在办理,2023-07-20,待审查,Ripple Labs,支付网络,20230108,_financial,供应链监控,公有区块链,V1.2,快速结算、透明度,国际标准化组织,https://www.iso.org,2024-09-28,
苏网信备32010512345987650019号,Cardano,公有区块链,系统审计,公有区块链,2023-08-01,广州华东生物技术有限公司,翰博医药有限公司,已完成,2023-08-10,合格,Input Output HK,分层架构,20230109,电子商务,跨链交易,公有区块链,V1.0,无许可、智能合约,Blockchain Council,https://www.blockchain-council.org,2024-09-28,
鲁网信备37010234567890130020号,Algorand,公有区块链,性能测试,公有区块链,2023-08-20,深圳医诺科技股份有限公司,海南中药企业有限公司,正在办理,2023-09-01,待审查,Algorand Foundation,纯链架构,20230110,物流,学习记录,公有区块链,V1.0,安全性、快速性,全球区块链联盟,https://www.blockchainglobal.org,2024-09-28,
陕网信备61010598765432160021号,Algorand,公有区块链,功能测试,公有区块链,2023-06-15,成都中科生物制药有限公司,海南欣康药业股份有限公司,正在办理,2023-06-20,待审查,Algorand Foundation,高性能网络,20230106,物流,运输管理,公有区块链,V1.0,快速确认、低费用,中国经济信息网,https://waves.tech/,2024-09-28,
鄂网信备42010643219876540022号,Ripple,企业级区块链,性能测试,企业级区块链,2023-07-01,杭州瑞邦医药股份有限公司,海南健康产业发展有限公司,已完成,2023-07-10,合格,Ripple Labs,实时结算系统,20230107,贸易,跨境支付,企业级区块链,V2.0,快速交易、低流动性风险,金融时报,http://www.caict.ac.cn,2024-09-28,
浙网信备33010210987654320023号,Cardano,公有区块链,安全审计,公有区块链,2023-07-15,南京伟博制药有限公司,国药集团中国生物技术有限公司,正在办理,2023-07-20,待审查,IOHK,分层架构,20230108,供应链,追踪交易,公有区块链,V1.1,可持续性、安全性,区块链日报,http://www.sic.gov.cn,2024-09-28,
"粤网信备44010612345678900001号,沪网信备31010198765432100002号,陕网信备61010234567890000003号,冀网信备13010323456789000004号,桂网信备45010712345678000005号,浙网信备33010687654321000006号,辽网信备21010123456789000007号,川网信备51010398765432000008号,闽网信备35010512345678900009号,苏网信备32010523456789000010号",Polkadot,链间交互区块链,功能测试,链间交互区块链,2023-08-01,辽宁天达生物医药有限公司,广州制药集团股份有限公司,已完成,2023-08-10,合格,Web3 Foundation,异构链,20230109,互联网,去中心化平台,链间交互区块链,V1.0,互操作性、可扩展性,数字货币观察,https://www.iso.org,2024-09-28,
皖网信备34020223603146870015号,Avalanche,公有区块链,性能测试,公有区块链,2023-08-15,重庆金辉科技股份有限公司,广州制药集团,正在办理,2023-08-20,待审查,Avalanche Labs,自我修复,20230110,交通,智能交通系统,公有区块链,V1.0,快速、可扩展性,区块链技术研究所,https://www.blockchain-council.org,2024-09-28,
京网信备11010523289175130016号,Fantom,公有区块链,安全审计,公有区块链,2023-09-10,西安生物制药研究院,广州医药集团有限公司,待办理,2023-09-15,待审核,Fantom Foundation,分散验证,20230111,旅游,旅行管理,公有区块链,V1.0,高速、安全性,中国旅游研究院,https://www.blockchainglobal.org,2024-09-28,
鲁网信备37020223603146870017号,Zilliqa,公有区块链,功能测试,公有区块链,2023-09-20,华药制药有限公司,广州医药集团股份有限公司,正在办理,2023-09-25,合格,Zilliqa Research,分片技术,20230112,电子商务,智能合约,公有区块链,V1.0,高效、低延迟,电子商务研究中心,https://waves.tech/,2024-09-28,
粤网信备44010623289175130018号,Near Protocol,公有区块链,安全审计,公有区块链,2023-10-01,康德生物科技股份有限公司,广州医学研究院,待办理,2023-10-05,待审核,Near Inc.,可扩展网络,20230113,传媒,数字内容管理,公有区块链,V1.0,高吞吐量、安全性,传媒科技网,http://www.caict.ac.cn,2024-09-28,
苏网信备32010623289175130019号,Ripple,企业级区块链,支付系统,企业级区块链,2023-06-15,恒瑞医药集团有限公司,广州药业集团有限公司,正在办理,2023-06-20,待审查,Ripple Labs,分布式账本,20230106,贸易,跨境支付,企业级区块链,V1.0,快速、低成本,金融科技研究院,http://www.sic.gov.cn,2024-09-28,
