登记号（字符型）,地方标准（字符型）,区块链技术名称（字符型）,区块链技术类型（字符型）,试验状态（字符型）,试验分期（字符型）,试验分类（字符型）,申办者单位（字符型）,试验机构（字符型）,登记日期（日期型）,试验开始时间（日期型）,试验终止时间（日期型）,最新状态日期（日期型）,规范企业名称（字符型）,申报类型（字符型）,采集来源,来源链接,采集时间,备注,,,
京网信备 11010119124326610019 号,DB52/T 1478-2019,Cardano,公有区块链,进行中,第一阶段,技术测试,IOHK,南京大学,2023-06-01,2023-06-10,2024-03-10,2024-03-11,南京大学,技术测试,中国科技新闻网,https://www.std.gov.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1479-2019,Chainlink,公有区块链,进行中,第二阶段,集成测试,Chainlink Labs,哈尔滨工业大学,2023-07-25,2023-08-01,2024-07-01,2024-07-02,哈尔滨工业大学,应用测试,新浪网,https://www.sina.com.cn,2024-09-28,,,,
京网信备 11010119124326610021 号,DB53/T 1477-2020,Zilliqa,公有区块链,已完成,第六阶段,安全测试,Zilliqa Research,北京交通大学,2023-08-10,2023-09-01,2024-08-01,2024-08-02,北京交通大学,安全审计,区块链资讯,https://www.blockchainnews.com,2024-09-28,,,,
京网信备 11010119124326610022 号,DB54/T 1488-2021,Tron,公有区块链,进行中,第二阶段,集成测试,Tron Foundation,华东师范大学,2023-07-20,2023-08-15,2024-08-15,2024-08-16,华东师范大学,应用测试,区块链观察,https://www.blockchainobserver.com,2024-09-28,,,,
京网信备 11010119124326610023 号,DB55/T 1499-2022,IOTA,公有区块链,已完成,第三阶段,功能测试,IOTA Foundation,西安交通大学,2023-08-05,2023-09-01,2024-08-30,2024-09-01,西安交通大学,系统审计,中国信息通信研究院,http://www.caict.ac.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB56/T 1501-2023,Ripple,公有区块链,已完成,第三阶段,安全审计,Ripple Labs,复旦大学,2023-04-15,2023-05-01,2023-11-30,2023-12-01,复旦大学,技术评估,区块链研究中心,http://www.blockchainresearch.org,2024-09-28,,,,
京网信备 11010119124326610015 号,DB57/T 1512-2020,Cardano,公有区块链,进行中,第一阶段,功能测试,Cardano Foundation,浙江大学,2023-05-20,2023-06-01,2024-06-01,2024-06-05,浙江大学,新技术标准,中国信息通信研究院,http://www.caict.ac.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB58/T 1523-2021,Polygon,企业级区块链,正在进行,第二阶段,性能测试,Polygon Technology,哈尔滨工业大学,2023-06-10,2023-07-01,2024-01-01,2024-01-02,哈尔滨工业大学,安全审计,全国标准化管理委员会,http://www.sac.gov.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB59/T 1534-2022,Zilliqa,公有区块链,已完成,第三阶段,技术测试,Zilliqa Research,南方科技大学,2023-07-15,2023-08-01,2023-12-31,2024-01-01,南方科技大学,应用测试,全球区块链数据平台,http://www.blockchainworld.org,2024-09-28,,,,
京网信备 11010119124326610018 号,DB60/T 1545-2023,Algorand,企业级区块链,进行中,第一阶段,性能测试,Algorand Inc.,东南大学,2023-08-05,2023-08-10,2024-08-10,2024-08-11,东南大学,功能测试,全国标准信息公共服务平台,https://std.samr.gov.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1467-2019,EOS,公有区块链,进行中,第二阶段,安全测试,Block.one,华中科技大学,2023-09-20,2023-10-01,2024-10-01,2024-10-02,华中科技大学,系统审计,市场监管局,http://www.samr.gov.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1468-2019,Stellar,企业级区块链,已完成,第三阶段,功能验证,Stellar Development Foundation,西安交通大学,2023-10-10,2023-11-01,2024-05-01,2024-05-02,西安交通大学,应用测试,区块链协会,http://www.blockchainassociation.org,2024-09-28,,,,
京网信备 11010119124326610021 号,DB52/T 1469-2019,Tezos,公有区块链,已完成,第二阶段,技术评估,Tezos Foundation,北京科技大学,2023-11-21,2023-12-01,2024-06-01,2024-06-02,北京科技大学,安全审计,国家标准化管理委员会,http://www.gov.cn,2024-09-28,,,,
京网信备 11010119124326610022 号,DB52/T 1470-2019,Sora,企业级区块链,进行中,第一阶段,功能测试,Sora Foundation,南昌大学,2023-12-05,2023-12-10,2024-12-10,2024-12-11,南昌大学,新技术标准,中国电子技术标准化研究院,http://www.caict.ac.cn,2024-09-28,,,,
京网信备 11010119124326610023 号,DB52/T 1471-2019,Polygon,公有区块链,已完成,第三阶段,资金流动测试,Polygon Foundation,南开大学,2023-06-15,2023-07-01,2023-11-30,2023-12-01,南开大学,资金审计,区块链技术社区,https://www.blockchaincommunity.cn,2024-09-28,,,,
京网信备 11010119124326610024 号,DB52/T 1472-2019,Tezos,联盟链,正在进行,第一阶段,功能测试,Tezos Foundation,复旦大学,2023-06-18,2023-07-15,2024-01-15,2024-01-16,复旦大学,方案验证,区块链科技监测中心,https://www.blockchainmonitoring.cn,2024-09-28,,,,
京网信备 11010119124326610015 号,DB52/T 1473-2019,Cardano,公有链,已完成,第二阶段,版本升级测试,IOHK,电子科技大学,2023-07-05,2023-08-01,2023-10-31,2023-11-01,电子科技大学,技术验证,大学研究报告,https://www.universityreports.cn,2024-09-28,,,,
京网信备 11010119124326610016 号,DB52/T 1474-2019,Ripple,企业级区块链,正在进行,第三阶段,金融安全测试,Ripple Labs,上海财经大学,2023-07-20,2023-08-10,2024-02-10,2024-02-11,上海财经大学,安全审计,金融科技观察,https://www.fintechobservation.cn,2024-09-28,,,,
京网信备 11010119124326610017 号,DB52/T 1475-2019,Chainlink,公有链,已完成,第一阶段,智能合约测试,Chainlink Labs,浙江大学,2023-08-01,2023-08-15,2023-12-01,2023-12-02,浙江大学,应急响应测试,区块链技术审计小组,https://www.blockchainsurveys.cn,2024-09-28,,,,
京网信备 11010119124326610018 号,DB52/T 1476-2019,Fantom,公有链,正在进行,第二阶段,交易速度测试,Fantom Foundation,厦门大学,2023-08-10,2023-09-01,2024-03-01,2024-03-02,厦门大学,高效网络测试,科技新闻门户,https://www.technewsportal.cn,2024-09-28,,,,
京网信备 11010119124326610019 号,DB52/T 1501-2020,Algorand,企业级区块链,已完成,第三阶段,生态安全测试,Algorand Foundation,华南理工大学,2023-08-20,2023-09-10,2023-12-31,2024-01-01,华南理工大学,风险评估,技术评審委员会,https://www.techreview.com.cn,2024-09-28,,,,
京网信备 11010119124326610020 号,DB52/T 1487-2019,Zilliqa,公有链,进行中,第二阶段,用户体验测试,Zilliqa Research,哈尔滨工业大学,2023-09-05,2023-09-20,2024-03-05,2024-03-06,哈尔滨工业大学,性能评估,现代科技组织,https://www.moderntech.org.cn,2024-09-28,,,,
